OMNIKDTREE,EUCLIDEAN,GNAT,2,10950,84155
k,time,count,disk
5,2363113,3091,4
5,2222781,3092,4
5,1423494,2327,3
5,1273186,2327,3
5,740003,1553,2
5,2052248,3098,4
5,2033845,3096,4
5,2562488,3871,5
5,1934516,3096,4
5,914994,1549,2
5,3248174,4639,6
5,3511206,5411,7
5,4285194,6178,8
5,2382731,3867,5
5,3110497,4645,6
5,2876408,4643,6
5,2289055,3869,5
5,2015788,3092,4
5,2622230,3868,5
5,2131857,3092,4
5,4312507,6182,8
5,3700350,6182,8
5,2716692,3866,5
5,2617044,4637,6
5,2702443,3871,5
5,1500679,2323,3
5,1140716,2323,3
5,1145530,2323,3
5,1120711,2323,3
5,722321,1551,2
5,1855060,3094,4
5,1583051,3094,4
5,851640,1551,2
5,4367352,6186,8
5,1833953,3097,4
5,773520,1548,2
5,725419,1548,2
5,747740,1548,2
5,735934,1548,2
5,1256869,2321,3
5,739308,1551,2
5,1371203,2322,3
5,761237,1551,2
5,842652,1548,2
5,3757238,5411,7
5,8936643,12358,16
5,1640251,2326,3
5,1712016,3097,4
5,2163212,3869,5
5,2759707,4640,6
5,5497117,7731,10
5,5494487,7731,10
5,4742592,6957,9
5,2948414,4642,6
5,1303302,2325,3
5,375275,778,1
5,1859395,3100,4
5,1593240,3100,4
5,5767083,8497,11
5,3812665,5410,7
5,3155017,4640,6
5,6005423,8496,11
5,3815664,5410,7
5,5381760,7727,10
5,7155958,10816,14
5,7050708,10041,13
5,4429539,6185,8
5,3925613,6185,8
5,3470273,5411,7
5,2177713,3099,4
5,2160816,3095,4
5,2057739,3091,4
5,1605963,3091,4
5,1587824,3091,4
5,1548137,3091,4
5,1339331,2322,3
5,1717439,3091,4
5,1600587,3091,4
5,1597271,3091,4
5,4404246,6178,8
5,954870,1551,2
5,1642396,3092,4
5,817408,1551,2
5,736854,1551,2
5,756325,1551,2
5,561502,778,1
5,911646,1549,2
5,389417,778,1
5,2455486,3866,5
5,778480,1552,2
5,1013363,1551,2
5,3830785,5411,7
5,4322030,6178,8
5,4379348,6182,8
5,4422029,6182,8
5,4381282,6184,8
5,2735160,3867,5
5,4433155,6955,9
5,2306733,3867,5
5,1921705,3095,4
5,4412518,6956,9
5,3088139,4641,6
5,3029254,4641,6
5,2731090,3867,5
5,5506864,7727,10
5,2586185,3869,5
5,6650235,9273,12
5,7783251,10814,14
5,3775335,5410,7
5,1312849,2322,3
5,2192818,3867,5
5,2188675,3092,4
5,5483513,8499,11
5,6637752,9269,12
5,6946643,10045,13
5,4361206,6185,8
5,2708433,4636,6
5,4066365,6187,8
5,2362608,3867,5
5,2160313,3092,4
5,2430829,3867,5
5,3822104,5418,7
5,4778121,6955,9
5,3317340,4642,6
5,6623506,9271,12
5,3339936,4640,6
5,4055224,6187,8
5,3296470,4644,6
5,6182540,8500,11
5,1074897,1549,2
5,2011038,3099,4
5,2085898,3094,4
5,3106627,4638,6
5,905993,1549,2
5,2824145,4642,6
5,2945429,4642,6
5,6074715,8499,11
5,5930667,8502,11
5,1078448,1549,2
5,3210018,4642,6
5,4054068,6182,8
5,1640309,2327,3
5,1989458,3092,4
5,4892277,6955,9
5,929355,1549,2
5,1603197,2323,3
5,1359409,2327,3
5,1692638,3094,4
5,1266717,2327,3
5,820750,1552,2
5,5014298,6956,9
5,4954431,6954,9
5,7415536,10814,14
5,7543384,10818,14
5,4421028,6184,8
5,10953371,15448,20
5,3742619,5411,7
5,4480792,6956,9
5,4218726,6181,8
5,3493431,5411,7
5,3497992,5411,7
5,3463918,5411,7
5,5011624,7727,10
5,4090241,6184,8
5,2479130,3866,5
5,2355996,3872,5
5,1958472,3095,4
5,3817445,5411,7
5,2746800,3871,5
5,2910277,4640,6
5,5123886,7728,10
5,1487616,2322,3
5,1178962,2322,3
5,1712883,3092,4
5,1658003,2321,3
5,752726,1551,2
5,776566,1548,2
5,1192029,2321,3
5,823984,1548,2
5,770115,1548,2
5,760740,1548,2
5,1264682,2321,3
5,5042415,6955,9
5,3354656,4640,6
5,4386364,6183,8
5,5020648,6957,9
5,5490405,7728,10
5,5773134,8500,11
5,4878698,6957,9
5,4854383,6957,9
5,3337683,4641,6
5,2440910,3867,5
5,4458868,6186,8
5,377827,778,1
5,1043654,1554,2
5,1323395,2325,3
5,760144,1548,2
5,1210608,2325,3
5,1285598,2330,3
5,1164742,2330,3
5,749954,1554,2
5,1221263,2330,3
5,1162862,2330,3
5,1696422,3101,4
5,3350227,4637,6
5,3850488,6182,8
5,4417009,6182,8
5,4583663,6955,9
5,2785222,3868,5
5,1656632,2321,3
5,371933,778,1
5,5577048,7728,10
5,4136453,6189,8
5,4447605,6185,8
5,1090764,1549,2
5,768602,1549,2
5,3874973,5410,7
5,4411569,6184,8
5,3182587,4638,6
5,3823940,5410,7
5,1648536,3096,4
5,1073133,1551,2
5,762634,1551,2
5,1945884,3092,4
5,1395201,2323,3
5,4466804,6190,8
5,2549900,3868,5
5,3011293,4639,6
5,2974217,4645,6
5,2050272,3094,4
5,2077727,3096,4
5,3067704,5410,7
5,2756441,3870,5
5,1590008,2320,3
5,748791,1549,2
5,542557,778,1
5,802188,1549,2
5,405707,778,1
5,378288,778,1
5,2245641,3096,4
5,5006065,7729,10
5,4429490,6185,8
5,2726771,3871,5
5,1948314,3094,4
5,3879002,5413,7
5,2198591,3098,4
5,1345668,2321,3
5,3887609,5411,7
5,3915436,5410,7
5,3296082,4640,6
5,2203073,3097,4
5,784715,1550,2
5,2069455,3094,4
5,1710558,3094,4
5,2849519,4643,6
5,2264438,3869,5
5,2084357,3095,4
5,2357303,3869,5
5,1975174,3101,4
5,2176167,3097,4
5,1773186,3096,4
5,2110784,3092,4
5,6659451,9271,12
5,2645277,3867,5
5,3085422,4640,6
5,3521541,5410,7
5,1800283,3097,4
5,2184179,3868,5
5,1698405,3097,4
5,2086992,3868,5
5,2214164,3097,4
5,2185145,3868,5
5,1789804,3094,4
5,4406756,6178,8
5,5321483,7735,10
5,2204169,3096,4
5,2136384,3868,5
5,2044368,3868,5
5,940159,1549,2
5,860339,1552,2
5,2186352,3868,5
5,2226735,3097,4
5,2053370,3098,4
5,3316209,4640,6
5,2134954,3092,4
5,3808390,5412,7
5,7356720,10045,13
5,6749691,9269,12
5,13660492,18532,24
5,2238313,3096,4
5,5986332,8499,11
5,3942090,5414,7
5,5386853,7730,10
5,1057950,1549,2
5,3380677,4636,6
5,3247671,4640,6
5,2077475,3095,4
5,2748628,4636,6
5,1428249,2323,3
5,752646,1549,2
5,3353258,5413,7
5,1262740,2323,3
5,769932,1549,2
5,770330,1549,2
5,2380376,3867,5
5,1092434,1549,2
5,938895,1551,2
5,2397765,3870,5
5,1809960,3096,4
5,1781865,3096,4
5,1794377,3098,4
5,849222,1549,2
5,1302868,2322,3
5,807085,1549,2
5,765844,1549,2
5,1370184,2323,3
5,759665,1549,2
5,788386,1549,2
5,807135,1551,2
5,1131042,1549,2
5,4191031,6185,8
5,390659,778,1
5,959581,1551,2
5,773406,1551,2
5,925033,1549,2
5,808666,1551,2
5,2822672,3866,5
5,7548449,10812,14
5,4447664,6183,8
5,5464834,7728,10
5,4519567,6179,8
5,7228718,10045,13
5,7090283,10047,13
5,6701613,9268,12
5,4216451,6184,8
5,2985769,4640,6
