OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,10950,267376
k,time,count,disk
5,2964002,3866,5
5,1998226,3093,4
5,1677901,3091,4
5,1716406,3094,4
5,771312,1549,2
5,1038217,1551,2
5,2016210,3095,4
5,1708695,3094,4
5,2167362,3866,5
5,1392174,2321,3
5,6646994,9276,12
5,5218823,7725,10
5,6529122,9267,12
5,3236165,4642,6
5,3669150,5416,7
5,1036168,1549,2
5,7019819,10041,13
5,3769670,5413,7
5,4786970,6955,9
5,3791115,5415,7
5,4832162,6964,9
5,7407987,10815,14
5,3220715,4639,6
5,2409520,3866,5
5,3766727,5414,7
5,1484107,2325,3
5,1127283,2325,3
5,721517,1552,2
5,1292905,2323,3
5,1685712,3094,4
5,1519785,3094,4
5,1531507,3094,4
5,1238935,2325,3
5,4301206,6185,8
5,1912539,3096,4
5,900419,1549,2
5,373504,778,1
5,738701,1549,2
5,1761970,3093,4
5,2211654,3867,5
5,1739257,3091,4
5,1687259,3093,4
5,1789289,3091,4
5,1145884,2320,3
5,5407348,7728,10
5,8137483,11587,15
5,1422272,2321,3
5,2778369,4639,6
5,2747232,4640,6
5,3055150,5411,7
5,5423516,7725,10
5,5277071,8499,11
5,5466821,8504,11
5,2318269,3868,5
5,1800736,3092,4
5,734043,1549,2
5,747312,1549,2
5,749360,1549,2
5,4395049,6955,9
5,3224737,4638,6
5,3287564,5409,7
5,8139921,11594,15
5,5504070,7726,10
5,5440996,7729,10
5,6708846,10045,13
5,5329699,7730,10
5,5411252,7728,10
5,3832196,6178,8
5,4219473,6956,9
5,4330460,6181,8
5,3116106,4636,6
5,1839620,3094,4
5,1551674,3094,4
5,900764,1553,2
5,2216338,3867,5
5,2685646,4640,6
5,1607905,3094,4
5,737466,1549,2
5,751495,1549,2
5,4213619,6187,8
5,2533537,3869,5
5,4048790,6186,8
5,1907850,3094,4
5,1241507,2326,3
5,736736,1549,2
5,2186506,3092,4
5,2095389,3865,5
5,761510,1549,2
5,2407388,3869,5
5,2534092,3865,5
5,2237178,3869,5
5,5471448,7730,10
5,5317981,7727,10
5,5438440,7730,10
5,4359133,6185,8
5,3710070,5411,7
5,2148593,3091,4
5,2789286,4636,6
5,1607087,3091,4
5,2991173,4641,6
5,2522382,4641,6
5,2015250,3870,5
5,1604633,2323,3
5,2673191,3866,5
5,5440345,7724,10
5,2506450,3869,5
5,4347914,6181,8
5,6612704,9271,12
5,2482412,3869,5
5,1739859,3094,4
5,2108924,3867,5
5,1080162,1551,2
5,2962889,4636,6
5,5258480,7730,10
5,5662542,8496,11
5,3428084,5412,7
5,3634783,6185,8
5,1679653,3091,4
5,1565299,3091,4
5,3302742,4641,6
5,2561516,3866,5
5,6573237,9270,12
5,4391645,6178,8
5,3527008,6178,8
5,2152876,3093,4
5,3280319,4642,6
5,2694917,4637,6
5,4877374,6953,9
5,6232572,8501,11
5,1066789,1551,2
5,2994491,4640,6
5,3853675,5411,7
5,3762769,5412,7
5,868681,1549,2
5,2928156,4640,6
5,4756936,7723,10
5,6042289,8499,11
5,6370279,9267,12
5,519059,778,1
5,4715917,6957,9
5,3899319,6181,8
5,511931,777,1
5,1479266,2322,3
5,4091906,6183,8
5,1342021,2322,3
5,2153980,3094,4
5,398813,777,1
5,778813,1549,2
5,767523,1549,2
5,1653395,3094,4
5,2763155,3871,5
5,2981576,4641,6
5,4537631,6957,9
5,3727638,6188,8
5,1965138,3091,4
5,9966865,13907,18
5,880581,1549,2
5,2975089,4639,6
5,2366268,3874,5
5,1246306,2325,3
5,2156839,3874,5
5,1640862,3100,4
5,3908629,6184,8
5,1330919,2325,3
5,1289575,2329,3
5,2170510,3095,4
5,3057429,4637,6
5,6444444,9266,12
5,3863042,5411,7
5,2938355,4639,6
5,4529299,6958,9
5,1992720,3096,4
5,1321356,2324,3
5,3000459,4642,6
5,2183554,3097,4
5,1476154,2322,3
5,2585300,4642,6
5,2391682,3871,5
5,949628,1551,2
5,764995,1551,2
5,900991,1549,2
5,1161189,2322,3
5,4430859,6182,8
5,2761932,3872,5
5,2703816,3866,5
