OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,10950,149006
k,time,count,disk
5,2412508,3092,4
5,1893267,3100,4
5,893968,1549,2
5,927807,1551,2
5,459878,778,1
5,2193940,3095,4
5,1810159,3092,4
5,1360139,2325,3
5,1922425,3092,4
5,1324229,2321,3
5,6261833,8502,11
5,5390839,7733,10
5,5319458,7725,10
5,2160486,3101,4
5,1499186,2322,3
5,1620894,2324,3
5,5924456,8501,11
5,4880192,6955,9
5,4877743,6954,9
5,2091362,3092,4
5,6466056,9274,12
5,4272082,6192,8
5,3240931,4638,6
5,1959220,3091,4
5,4304292,6182,8
5,1594212,2321,3
5,1667102,3095,4
5,1181227,2321,3
5,1875942,3094,4
5,1354519,2321,3
5,1708471,3094,4
5,1558700,3094,4
5,2248680,3866,5
5,5090887,6957,9
5,1885691,3098,4
5,747873,1551,2
5,759350,1551,2
5,352393,778,1
5,1310739,2322,3
5,1705317,3098,4
5,1953907,3094,4
5,2149099,3871,5
5,1681692,3094,4
5,895561,1551,2
5,3807958,5410,7
5,8338812,11588,15
5,1061184,1552,2
5,2919960,4639,6
5,2859591,4639,6
5,2637671,4639,6
5,6624874,9277,12
5,4364797,6182,8
5,6174824,8504,11
5,3088152,4641,6
5,915903,1551,2
5,353144,778,1
5,2071267,3097,4
5,1578360,3097,4
5,4914092,7731,10
5,3845748,5411,7
5,1535653,2325,3
5,11760907,16222,21
5,3861288,5416,7
5,6660680,9271,12
5,7303691,10818,14
5,5789924,8503,11
5,4440776,6182,8
5,3793333,6182,8
5,2929985,4645,6
5,2184606,3092,4
5,2013432,3098,4
5,2226867,3867,5
5,1245333,2325,3
5,747779,1553,2
5,1608510,3092,4
5,1715950,3092,4
5,1292392,2325,3
5,1156983,2325,3
5,352595,778,1
5,4995798,6956,9
5,1622973,2321,3
5,2255167,3866,5
5,809260,1549,2
5,1197782,2323,3
5,762514,1549,2
5,2196544,3099,4
5,2216744,3870,5
5,1675665,3099,4
5,2343231,3870,5
5,2528661,3870,5
5,514983,778,1
5,4999769,6960,9
5,3823894,5414,7
5,3845071,5411,7
5,6056012,8496,11
5,4392039,6189,8
5,2755059,3872,5
5,2627483,4643,6
5,1806185,3101,4
5,3309598,4637,6
5,3803386,6184,8
5,2844625,4641,6
5,3595120,5414,7
5,2149175,3094,4
5,4912139,6962,9
5,1933029,3095,4
5,4026023,6188,8
5,4284440,6184,8
5,3009269,4637,6
5,887101,1551,2
5,1156568,2322,3
5,2199736,3097,4
5,4592933,6958,9
5,5809677,8502,11
5,4551664,6958,9
5,3607658,5415,7
5,3894626,6188,8
5,3978799,6188,8
5,1823630,3092,4
5,3874298,5415,7
5,3479737,5415,7
5,8382790,11591,15
5,6174655,8501,11
5,2756934,3865,5
5,5563570,7726,10
5,3319156,4640,6
5,4675552,6959,9
5,5628943,8506,11
5,8394760,11589,15
5,1098224,1549,2
5,2029411,3095,4
5,1992398,3095,4
5,1719966,3098,4
5,799307,1549,2
5,1936096,3095,4
5,2835491,4638,6
5,5140731,6956,9
5,4817079,6955,9
5,1095617,1549,2
5,2680705,3868,5
5,4002500,6186,8
5,1647508,2323,3
5,1880549,3092,4
5,6081109,8501,11
5,944017,1550,2
5,1087461,1549,2
5,1933067,3095,4
5,1374772,2325,3
5,1329505,2323,3
5,932667,1549,2
5,4393024,6186,8
5,5294318,7733,10
5,6809117,10047,13
5,8266718,11591,15
5,2776383,3865,5
5,9989951,13902,18
5,1547682,2327,3
5,3448592,5413,7
5,4974779,7734,10
5,2566861,3870,5
5,1786360,3098,4
5,3375191,5413,7
5,4675671,6960,9
5,3522842,5415,7
5,1976653,3098,4
5,3732496,5413,7
5,3233612,4637,6
5,5388589,7731,10
5,2189161,3096,4
5,2912457,4639,6
5,4173237,6186,8
5,2481824,3868,5
5,841391,1550,2
5,2785007,4638,6
5,1086793,1550,2
5,918595,1554,2
5,1902006,3095,4
5,1975701,3092,4
5,404783,778,1
5,791145,1550,2
5,760285,1550,2
5,1473547,2326,3
5,4441723,6186,8
5,3846316,5414,7
5,3279816,4637,6
5,3324453,4643,6
5,3952246,6183,8
5,4420343,6962,9
5,3039376,4641,6
5,2694128,4641,6
5,1634134,2322,3
5,4055732,6193,8
5,3845965,5413,7
5,428555,778,1
5,376433,778,1
5,372015,778,1
5,371697,778,1
5,887404,1553,2
5,374537,778,1
5,373172,778,1
5,765200,1553,2
5,375068,778,1
5,371720,778,1
5,402105,778,1
5,3912786,5419,7
5,3241253,5419,7
5,3974975,6187,8
5,2555642,3866,5
5,2159221,3092,4
5,1069632,1549,2
5,761914,1549,2
5,2720731,3870,5
5,2019647,3095,4
5,3261817,4648,6
5,534128,778,1
5,372847,778,1
5,3290175,4638,6
5,4346297,6183,8
5,3300044,4639,6
5,3159159,3868,5
5,2683201,3867,5
5,1629941,2321,3
5,1163151,2321,3
5,1989937,3096,4
5,2232376,3866,5
5,2200901,3093,4
5,4155327,6184,8
5,3272859,4637,6
5,1980654,3094,4
5,3260600,4648,6
5,3358202,5416,7
5,4996124,7733,10
5,2184015,3096,4
5,1490593,2323,3
5,1200663,2323,3
5,1361208,2322,3
5,779399,1551,2
5,763907,1551,2
5,758770,1551,2
5,1103189,1552,2
5,3102320,4636,6
5,3311257,4637,6
5,2120640,3092,4
5,1190131,2321,3
5,3288231,4642,6
5,1474065,2325,3
5,1177261,2325,3
5,3223232,4637,6
5,3150286,4642,6
5,2086161,3092,4
5,1081495,1549,2
5,756146,1549,2
5,2687714,3868,5
5,2951195,4637,6
5,3518680,5413,7
5,2335938,3870,5
5,2196673,3091,4
5,2463460,3867,5
5,2637276,3870,5
5,1642244,2321,3
5,796265,1549,2
5,762203,1549,2
5,5569367,7729,10
5,2590296,3866,5
5,2664044,3864,5
5,4142710,6181,8
5,936207,1549,2
5,1847887,3094,4
5,1845716,3094,4
5,1701816,3094,4
5,3179971,4643,6
5,2233435,3868,5
5,1368230,2321,3
5,7165016,10040,13
5,4928172,6956,9
5,2121764,3094,4
5,2177695,3864,5
5,2063778,3864,5
5,924040,1550,2
5,436871,778,1
5,1729409,3094,4
5,2209991,3096,4
5,2776946,4640,6
5,2622915,3870,5
5,4655025,6961,9
