OMNIKDTREE,EUCLIDEAN,PCA,2,10950,338066
k,time,count,disk
5,1857957,2326,3
5,2219094,3101,4
5,1328252,2324,3
5,1331075,2322,3
5,765631,1549,2
5,1011451,1549,2
5,2607101,3867,5
5,2901644,4636,6
5,2787439,4640,6
5,919946,1555,2
5,4886931,6961,9
5,5340788,7729,10
5,6464281,9273,12
5,3206401,4638,6
5,921937,1549,2
5,1942756,3094,4
5,4254683,6189,8
5,2030714,3098,4
5,2384720,3873,5
5,4896215,6955,9
5,3056218,4644,6
5,3594803,6187,8
5,2649954,3870,5
5,1590822,2321,3
5,1602985,2323,3
5,450391,778,1
5,1449514,2323,3
5,757450,1552,2
5,1166868,2323,3
5,776904,1552,2
5,893374,1550,2
5,1661247,3095,4
5,1610956,3092,4
5,6108364,8503,11
5,1861176,3102,4
5,930209,1549,2
5,1250116,2324,3
5,764292,1553,2
5,1707273,3100,4
5,2255262,3869,5
5,1214806,2322,3
5,1151877,2322,3
5,1164412,2322,3
5,1262877,2322,3
5,3240287,4641,6
5,7665601,10816,14
5,957595,1549,2
5,1643965,3094,4
5,1292280,2325,3
5,3312758,5412,7
5,3801811,5412,7
5,4431529,6180,8
5,4216877,6182,8
5,1281979,2323,3
5,868988,1551,2
5,358635,778,1
5,1090346,1554,2
5,762026,1554,2
5,4236967,6178,8
5,2678846,3872,5
5,2137905,3102,4
5,6558797,9276,12
5,2097450,3091,4
5,6454162,9273,12
5,5489161,8501,11
5,4464490,6957,9
5,2162815,3096,4
5,3771288,6186,8
5,3157544,5414,7
5,2136873,3093,4
5,2644251,3865,5
5,1344838,2322,3
5,767461,1551,2
5,365938,777,1
5,1195495,2322,3
5,771802,1551,2
5,756659,1551,2
5,356106,777,1
5,373113,777,1
5,3847058,5412,7
5,2080058,3092,4
5,1329668,2323,3
5,759396,1549,2
5,1553895,3092,4
5,1542315,3092,4
5,1621740,2327,3
5,1159334,2327,3
5,1164912,2327,3
5,2930197,4637,6
5,1419977,2324,3
5,902050,1553,2
5,4300174,6181,8
5,2718787,3868,5
5,4152464,6185,8
5,3592307,5407,7
5,3164001,4637,6
5,3026450,4640,6
5,3647700,6182,8
5,2650663,4640,6
5,2901941,4637,6
5,3833642,6184,8
5,2063971,3869,5
5,2953571,4636,6
5,926053,1549,2
5,8025849,11589,15
5,1947215,3091,4
5,1617903,3092,4
5,8744394,13137,17
5,1954745,3091,4
5,1197400,2320,3
5,2662535,4636,6
5,2462554,3869,5
5,3713611,6178,8
5,3393353,5412,7
5,5625378,8499,11
5,3277875,4637,6
5,3323685,5410,7
5,3988042,6184,8
5,2217679,3869,5
5,1636417,2322,3
5,1900433,3100,4
5,4908009,6960,9
5,4090289,6191,8
5,3274317,4640,6
5,5507554,7728,10
5,3829107,5412,7
5,4011901,6187,8
5,4544631,6188,8
5,5556753,7729,10
5,1067413,1549,2
5,2041612,3098,4
5,2003009,3091,4
5,2893372,4637,6
5,1230737,2323,3
5,1636263,3094,4
5,4361334,6189,8
5,4929725,6957,9
5,6596428,9273,12
5,1609358,2323,3
5,1910020,3095,4
5,2474396,3869,5
5,1078035,1549,2
5,1044434,1549,2
5,4379197,6188,8
5,1602727,2322,3
5,1477896,2324,3
5,1233130,2322,3
5,1183525,2322,3
5,1183187,2322,3
5,2334642,3867,5
5,1653942,2325,3
5,2281862,3869,5
5,2766471,4640,6
5,2772704,4637,6
5,1548375,2323,3
5,5880064,8498,11
5,1557085,2322,3
5,1722725,3098,4
5,1616199,3098,4
5,1186090,2322,3
5,1611052,3098,4
5,1744758,3092,4
5,2252591,3869,5
5,1240295,2325,3
5,1276536,2322,3
5,1907385,3091,4
5,1366888,2321,3
5,4002757,6178,8
5,1066757,1549,2
5,2011642,3094,4
5,2896258,4639,6
5,1413650,2323,3
5,1475070,2321,3
5,2309312,3868,5
5,1629852,2324,3
5,2046692,3094,4
5,1289692,2324,3
5,1212899,2324,3
5,843284,1549,2
5,772753,1549,2
5,1367910,2323,3
5,1185682,2323,3
5,3889250,5413,7
5,2740607,3866,5
5,2062504,3097,4
5,2166673,3095,4
5,3943963,6178,8
5,4668282,7728,10
5,1751708,3093,4
5,1707767,3096,4
5,6122748,8504,11
5,3177045,4638,6
5,4889569,6960,9
5,1021152,1549,2
5,1058059,1551,2
5,778902,1551,2
5,381941,778,1
