OMNIKDTREE,EUCLIDEAN,RANDOM,2,10950,117514
k,time,count,disk
5,4116880,5411,7
5,845042,1549,2
5,1326257,2322,3
5,1299760,2324,3
5,890205,1553,2
5,1084119,1551,2
5,1637634,2329,3
5,3780395,5414,7
5,2129169,3100,4
5,894022,1551,2
5,4331632,6178,8
5,2614045,3864,5
5,6061938,8499,11
5,5900857,8499,11
5,5994143,8497,11
5,7757587,10817,14
5,3313457,4638,6
5,7720305,10818,14
5,3217963,4636,6
5,4252969,6183,8
5,4864316,6952,9
5,4712493,6952,9
5,3241615,4639,6
5,2018831,3094,4
5,4263705,6185,8
5,1522281,2321,3
5,1109973,2321,3
5,733498,1550,2
5,1423086,2325,3
5,2058787,3868,5
5,1132574,2321,3
5,1969721,3868,5
5,1290832,2321,3
5,3216802,4636,6
5,1480753,2322,3
5,873278,1549,2
5,748677,1549,2
5,747229,1549,2
5,740302,1549,2
5,860390,1551,2
5,741160,1551,2
5,758849,1551,2
5,740443,1551,2
5,819066,1549,2
5,6558847,9270,12
5,9422404,13138,17
5,2119794,3091,4
5,2670068,3868,5
5,2314127,3867,5
5,3157498,5410,7
5,7561436,10816,14
5,4032371,6179,8
5,7086502,10045,13
5,3201369,4639,6
5,1547127,2323,3
5,372536,778,1
5,2227026,3867,5
5,1647660,3096,4
5,6823373,10043,13
5,1638812,2322,3
5,1863367,3093,4
5,8808419,12352,16
5,3283589,4637,6
5,4937356,6956,9
5,7345936,10814,14
5,8224401,11593,15
5,3271520,4636,6
5,2646367,4636,6
5,4518577,6957,9
5,2201452,3098,4
5,1616525,2323,3
5,1259555,2322,3
5,1846773,3092,4
5,1787038,3096,4
5,926101,1551,2
5,1210039,2322,3
5,780277,1549,2
5,752043,1549,2
5,1867156,3096,4
5,5868866,8502,11
5,2174277,3098,4
5,3092552,4641,6
5,832791,1549,2
5,2266960,3868,5
5,1681775,3098,4
5,1620872,2324,3
5,1168677,2324,3
5,768797,1553,2
5,2395886,3872,5
5,1981238,3092,4
5,1728567,3097,4
5,5428593,7723,10
5,3062644,4640,6
5,3230134,4638,6
5,4875020,6955,9
5,4316733,6189,8
5,2148837,3094,4
5,3570649,5412,7
5,2827313,4637,6
5,3102569,4639,6
5,4843244,7725,10
5,2566141,3867,5
5,3063959,4641,6
5,3775318,5411,7
5,7735731,10818,14
5,2144024,3092,4
5,6575581,9267,12
5,8224472,11588,15
5,1804008,3092,4
5,1376529,2324,3
5,3335086,5410,7
5,2955004,4638,6
5,5567671,8499,11
5,7127032,10044,13
5,8144382,11588,15
5,3300876,4638,6
5,4404889,6954,9
5,3256072,5410,7
5,2370799,3869,5
5,3247336,4639,6
5,4878466,7731,10
5,5410307,7725,10
5,7662887,10816,14
5,2665402,3869,5
5,6008355,8499,11
5,2733075,3866,5
5,4148946,6182,8
5,2379625,3865,5
5,7076031,10038,13
5,1080978,1551,2
5,1885281,3098,4
5,2158202,3092,4
5,1408551,2323,3
5,771568,1549,2
5,1950107,3098,4
5,2346695,3869,5
5,3269477,4636,6
5,3559659,5410,7
5,514511,778,1
5,1947848,3096,4
5,2734214,4637,6
5,1623488,2325,3
5,1702358,3098,4
5,6892555,10043,13
5,3268610,4640,6
5,1621332,2323,3
5,3142328,4640,6
5,1532933,2323,3
5,1461877,2325,3
5,1410678,2323,3
5,4898129,6956,9
5,4927870,6955,9
5,7037304,10048,13
5,7379370,10814,14
5,4373393,6187,8
5,10268402,14679,19
5,3867164,5413,7
5,3243733,5415,7
5,4578368,6954,9
5,3630599,5413,7
5,1401244,2322,3
5,3201075,5415,7
5,7289996,10818,14
5,3086375,4641,6
5,1307819,2322,3
5,2117965,3094,4
5,2462410,3867,5
5,6020166,8500,11
5,2185744,3100,4
5,4632946,6953,9
5,4485026,6955,9
5,1861944,3094,4
5,2779110,4636,6
5,2825708,4637,6
5,3266190,4639,6
5,1031307,1550,2
5,2295223,3868,5
5,2339402,3866,5
5,979664,1550,2
5,755788,1550,2
5,762439,1550,2
5,768222,1550,2
5,4454839,6187,8
5,4364359,6182,8
5,4882488,6954,9
5,4218054,6178,8
5,5150607,7728,10
5,5824453,8499,11
5,4203601,6183,8
5,3749710,5413,7
5,6616815,9271,12
5,5792601,8496,11
5,6047154,8496,11
5,868539,1551,2
5,3044702,4641,6
5,3279180,5413,7
5,1844845,3095,4
5,2118621,3870,5
5,1889117,3097,4
5,1606138,3097,4
5,1261695,2325,3
5,793038,1554,2
5,1690307,3097,4
5,1656678,3095,4
5,4375193,6181,8
5,4902313,7723,10
5,6094841,8499,11
5,7717590,10045,13
5,4989689,6957,9
5,1094719,1550,2
5,358267,778,1
5,4971426,6953,9
5,5942992,8495,11
5,6730628,9273,12
5,1091471,1550,2
5,355844,778,1
5,3314427,4638,6
5,6040596,8505,11
5,3159214,4637,6
5,3282245,4638,6
5,2749867,4637,6
5,1619917,2325,3
5,1700492,3096,4
5,2017710,3091,4
5,1341372,2325,3
5,9417707,13131,17
5,4422324,6181,8
5,4067704,6182,8
5,6112867,8500,11
5,3527150,5409,7
5,3364467,5410,7
5,6132804,9268,12
5,2749402,3868,5
5,1351234,2323,3
5,813478,1550,2
5,1641411,2326,3
5,854094,1550,2
5,1356498,2323,3
5,370190,778,1
5,2204532,3092,4
5,4177837,6182,8
5,3290639,4637,6
5,2186981,3101,4
5,2394993,3874,5
5,3303012,4642,6
5,1370690,2322,3
5,1190762,2322,3
5,3734532,5419,7
5,2519257,3873,5
5,2556829,3869,5
5,1637526,2325,3
5,1182540,2325,3
5,1909566,3092,4
5,4177919,6180,8
5,2517155,3869,5
5,4970137,7727,10
5,1659644,2322,3
5,4200967,6180,8
5,4317850,6185,8
5,2197667,3096,4
5,1371210,2321,3
5,4973949,7727,10
5,6139966,8497,11
5,3292678,4636,6
5,2703460,3866,5
5,3129785,4640,6
5,2283912,3868,5
5,1804083,3092,4
5,2206274,3868,5
5,2761659,4639,6
5,2173610,3092,4
5,1585285,3092,4
5,4725212,6956,9
5,4948588,6956,9
5,7683045,10814,14
5,1440721,2321,3
5,1363102,2321,3
5,2776786,4639,6
5,1087740,1551,2
5,2102556,3094,4
5,1395560,2321,3
5,1628881,2321,3
5,1476382,2323,3
5,1916868,3092,4
5,2271133,3867,5
5,2847378,4635,6
5,8814976,12365,16
5,8302239,11593,15
5,17206197,23169,30
5,4521085,6180,8
5,8211355,11588,15
5,5019091,6959,9
5,3723707,5408,7
5,1747589,2321,3
5,1639962,2321,3
5,3143129,4642,6
5,2661392,3866,5
5,2090682,3866,5
5,2168466,3095,4
5,1649252,3095,4
5,1647442,3095,4
5,1652800,3095,4
5,2211401,3866,5
5,1230987,2321,3
5,1601822,3095,4
5,529325,778,1
5,379142,778,1
5,378706,778,1
5,957607,1550,2
5,775175,1550,2
5,773929,1550,2
5,1106076,1550,2
5,838870,1550,2
5,1233952,2324,3
5,810201,1550,2
5,951552,1554,2
5,867559,1552,2
5,787809,1550,2
5,772788,1550,2
5,1098515,1550,2
5,5140070,7727,10
5,1050346,1549,2
5,1305590,2323,3
5,1199152,2323,3
5,1076782,1550,2
5,1280133,2323,3
5,5518796,7730,10
5,10389205,14680,19
5,3678353,5417,7
5,5918087,8498,11
5,4442939,6184,8
5,7751437,10814,14
5,8758308,12363,16
5,6504278,9268,12
5,5646771,8505,11
5,3038069,4636,6
5,2177762,3864,5
5,3685203,5410,7
5,2778008,4639,6
5,2263257,3868,5
5,4173727,6188,8
5,3976595,6184,8
5,3001753,4636,6
5,2847201,4637,6
5,2990697,4642,6
5,8891773,12362,16
5,8812357,12363,16
5,4411091,6183,8
5,2795741,3868,5
5,2122903,3094,4
5,2577365,3870,5
5,4212394,6189,8
5,2352351,3873,5
5,889898,1549,2
5,1257909,2326,3
5,2440692,3868,5
5,813158,1549,2
5,2370633,3871,5
5,2074775,3094,4
5,2174978,3094,4
5,2038603,3095,4
5,2867099,4639,6
5,401368,778,1
5,1378128,2321,3
5,1180084,2321,3
5,368731,778,1
5,379850,778,1
5,381054,778,1
5,1106008,1554,2
5,942891,1552,2
5,2863774,4639,6
5,1003894,1550,2
5,473297,778,1
5,393779,778,1
5,791686,1554,2
5,360523,778,1
5,379222,778,1
5,378067,778,1
5,909810,1550,2
5,367568,778,1
5,825970,1554,2
5,779214,1550,2
5,772560,1550,2
5,4505236,6185,8
5,1495364,2322,3
5,1347876,2323,3
5,2792343,4637,6
5,4064479,6185,8
5,3902342,5408,7
5,8325251,11592,15
5,3361843,4642,6
5,3309186,4638,6
5,5966378,8503,11
5,1104318,1552,2
5,767761,1552,2
5,3024440,4639,6
5,1398648,2323,3
5,1192217,2323,3
5,361644,778,1
5,1121625,1551,2
5,775758,1551,2
5,895295,1549,2
5,1271562,2323,3
5,808558,1550,2
5,769132,1550,2
5,360339,778,1
5,7907402,10817,14
5,2133317,3096,4
5,5855720,8496,11
5,4977803,6954,9
5,2786475,3869,5
5,1612618,3096,4
5,4927612,6952,9
5,5504318,7728,10
5,3846966,5414,7
5,1087822,1555,2
5,1351077,2326,3
5,2232808,3873,5
5,2729045,3872,5
5,2284793,3874,5
5,526141,778,1
5,380566,778,1
5,543457,778,1
5,401672,778,1
5,380814,778,1
5,1360095,2323,3
5,1203029,2323,3
5,364098,778,1
5,1215324,2323,3
5,370706,778,1
5,7314069,10051,13
5,2153347,3095,4
5,2076257,3094,4
5,1646702,2324,3
5,2511702,3865,5
5,4688502,6955,9
5,1480731,2321,3
5,3368477,5410,7
5,4456264,6183,8
5,8273679,11589,15
5,3900161,5412,7
5,4466287,6187,8
5,4444962,6182,8
5,4409378,6180,8
5,4505213,6956,9
5,4674834,6955,9
5,5050877,6957,9
5,5961135,8501,11
5,3330982,4640,6
5,4979834,6956,9
5,3795429,5413,7
5,1636638,2322,3
5,4261123,6188,8
5,3428237,5410,7
5,2081877,3094,4
5,1286223,2327,3
5,2886856,4640,6
5,4272525,6186,8
5,5743168,8498,11
5,1067822,1549,2
5,1399832,2327,3
5,810247,1553,2
5,365341,778,1
5,854505,1549,2
5,363183,778,1
5,897665,1552,2
5,1677941,2327,3
5,966195,1549,2
5,869235,1554,2
5,6133601,8497,11
5,2238578,3098,4
5,1299726,2327,3
5,3097038,4639,6
5,2080551,3095,4
5,2018738,3098,4
5,1364943,2327,3
5,980760,1550,2
5,1305828,2327,3
5,1940951,3092,4
5,1780735,3092,4
5,857251,1549,2
5,940468,1554,2
5,3025857,4643,6
5,3226469,4639,6
5,2914413,4639,6
5,533451,778,1
5,963826,1549,2
5,368975,778,1
5,392911,778,1
5,822262,1549,2
5,1126557,1552,2
5,4544019,6184,8
5,522619,778,1
5,382959,778,1
5,383011,778,1
5,383981,778,1
5,385315,778,1
5,383029,778,1
5,4552197,6182,8
5,6224563,8496,11
5,5097108,6956,9
5,2148277,3091,4
5,3856378,5413,7
5,4523749,6189,8
5,3687819,5411,7
5,2096369,3095,4
5,3798437,5417,7
5,2827397,3870,5
5,7431918,10040,13
5,6674678,9271,12
5,5685583,7724,10
5,7948970,10817,14
5,8552548,11589,15
5,2843949,3870,5
5,2150456,3870,5
5,1765976,3094,4
5,3242693,5412,7
5,2322009,3867,5
5,974802,1551,2
5,795716,1551,2
5,5739855,8509,11
5,7667717,10814,14
5,2654247,3870,5
5,1296008,2322,3
5,790621,1551,2
5,784972,1551,2
5,1837506,3097,4
5,832728,1555,2
5,1676845,3097,4
5,1307815,2322,3
5,1203649,2322,3
5,1696552,2325,3
5,2219800,3095,4
