OMNIKDTREE,EUCLIDEAN,SSS,2,10950,325187
k,time,count,disk
5,2929860,3864,5
5,2163688,3097,4
5,1527884,2323,3
5,1834288,3094,4
5,1294034,2323,3
5,1038688,1549,2
5,2691335,3867,5
5,2042183,3095,4
5,2503691,3867,5
5,856704,1549,2
5,2144269,3097,4
5,4243190,6189,8
5,3076699,4640,6
5,2995634,4635,6
5,1983790,3094,4
5,2342570,3868,5
5,5419018,7729,10
5,3108317,4643,6
5,3641474,5413,7
5,3266536,4640,6
5,1606869,2324,3
5,1711927,3095,4
5,2120364,3092,4
5,2352257,3867,5
5,2145590,3096,4
5,431851,778,1
5,364399,778,1
5,886590,1550,2
5,914780,1551,2
5,1338182,2321,3
5,1344158,2323,3
5,799849,1549,2
5,420019,778,1
5,6681271,9268,12
5,988679,1549,2
5,356028,778,1
5,913367,1551,2
5,1820281,3095,4
5,879697,1551,2
5,883306,1549,2
5,1788802,3092,4
5,863779,1549,2
5,766874,1549,2
5,1886384,3095,4
5,2159435,3097,4
5,6546666,9276,12
5,1011462,1549,2
5,1910673,3091,4
5,1706169,3091,4
5,2424682,3868,5
5,6030255,8496,11
5,3803939,5415,7
5,4339286,6187,8
5,1893700,3095,4
5,1414030,2325,3
5,812446,1552,2
5,2027385,3092,4
5,1721502,3092,4
5,4690344,6962,9
5,3282115,4643,6
5,2554870,3870,5
5,4847946,6958,9
5,3170080,4643,6
5,5887390,8506,11
5,4143911,6178,8
5,4533276,6959,9
5,2723658,3870,5
5,3483056,5415,7
5,3373711,5417,7
5,3251912,4644,6
5,3106174,4637,6
5,1477557,2324,3
5,821229,1552,2
5,774982,1552,2
5,1211119,2324,3
5,798508,1552,2
5,767415,1552,2
5,865463,1552,2
5,757619,1552,2
5,2693551,3869,5
5,2967378,4643,6
5,3884616,6187,8
5,1896990,3098,4
5,2251467,3869,5
5,1735127,3098,4
5,1067594,1549,2
5,1347039,2322,3
5,854762,1549,2
5,1337803,2323,3
5,1516463,2321,3
5,2081340,3098,4
5,4319574,6181,8
5,3821192,5418,7
5,3210244,4637,6
5,3838642,5407,7
5,4346629,6183,8
5,1608621,2324,3
5,2342704,3873,5
5,1301263,2324,3
5,1365581,2322,3
5,3984709,6184,8
5,935324,1549,2
5,1898428,3100,4
5,2737678,3869,5
5,5265793,7725,10
5,1912361,3091,4
5,5856923,8502,11
5,5444689,7734,10
5,3166256,4636,6
5,881303,1549,2
5,2187769,3866,5
5,2508536,3871,5
5,4006715,6182,8
5,5299973,7726,10
5,5154452,7727,10
5,2676888,3869,5
5,1870170,3098,4
5,3998016,6184,8
5,2483807,3871,5
5,1615300,2325,3
5,2996714,4637,6
5,3607003,5415,7
5,3673264,5411,7
5,3273703,4644,6
5,3793259,5412,7
5,1605483,2322,3
5,3992105,6182,8
5,4323691,6184,8
5,6392543,9271,12
5,1086461,1550,2
5,1478066,2327,3
5,1596850,2323,3
5,3096488,4637,6
5,1741701,3095,4
5,2102139,3095,4
5,2551204,3869,5
5,4370404,6188,8
5,5688901,8505,11
5,1612109,2325,3
5,2041918,3097,4
5,2958742,4637,6
5,1074190,1549,2
5,1602548,2325,3
5,3776301,5411,7
5,1459448,2324,3
5,2039988,3096,4
5,937180,1549,2
5,1512831,2320,3
5,860063,1549,2
5,1885274,3096,4
5,2700264,3869,5
5,3122323,4637,6
5,5007573,7729,10
5,7364090,10813,14
5,2681099,3867,5
5,10837091,15449,20
5,2099610,3098,4
5,3315127,5412,7
5,2788250,4637,6
5,1874991,3098,4
5,3223613,5413,7
5,2918083,4640,6
5,4444775,6955,9
5,4077786,6182,8
5,2477255,3870,5
5,1948758,3092,4
5,2432345,3867,5
5,3256957,4639,6
5,2142617,3098,4
5,2006359,3091,4
5,2786580,4642,6
5,1361458,2325,3
5,1795248,3097,4
5,1750760,3098,4
5,2672235,3868,5
5,2038470,3092,4
5,1418750,2322,3
5,1699864,3094,4
5,798998,1548,2
5,1229042,2323,3
5,1211025,2323,3
