OMNIKDTREE,EUCLIDEAN,CONVEX,26,1000,166572
k,time,count,disk
5,24028752,9272,128
5,23952981,9275,128
5,23790708,9272,128
5,23915961,9272,128
5,23874626,9272,128
5,23976403,9272,128
5,23831407,9272,128
5,23880716,9272,128
5,23852564,9272,128
5,23850601,9272,128
5,23906515,9272,128
5,23862512,9273,128
5,23878044,9272,128
5,23850009,9272,128
5,24023660,9272,128
5,23772305,9272,128
5,23963940,9272,128
5,23750631,9274,128
5,23839960,9273,128
5,23822464,9272,128
5,24087235,9273,128
5,23805221,9272,128
5,23959321,8994,124
5,23901833,9272,128
5,23865918,9272,128
5,24147446,9272,128
5,23796961,9272,128
5,24218157,9272,128
5,23876596,9272,128
5,23815484,9272,128
5,23887429,9272,128
5,23981035,9272,128
5,23770824,9272,128
5,23767045,9272,128
5,23951228,9272,128
5,23823487,9272,128
5,23985531,9272,128
5,23255227,8992,124
5,23791697,9272,128
5,23818831,9272,128
5,23342883,9065,125
5,23102202,8992,124
5,24263446,9272,128
5,23862045,9272,128
5,23895614,9272,128
5,24090762,9207,127
5,23932728,9273,128
5,23891448,9272,128
5,23896217,9272,128
5,24070092,9272,128
5,23913792,9272,128
5,23766921,9272,128
5,23882044,9272,128
5,23859157,9272,128
5,24162743,9274,128
5,23838517,9272,128
5,23889804,9272,128
5,23905383,9272,128
5,23105693,8994,124
5,24031631,9272,128
5,23699443,9207,127
5,23861579,9272,128
5,23687211,9207,127
5,24144061,9273,128
5,23819355,9272,128
5,24755527,9272,128
5,21096187,8122,112
5,23770954,9272,128
5,23899888,9272,128
5,23897969,9272,128
5,23686230,9207,127
5,23845359,9272,128
5,23819557,9272,128
5,23978623,9272,128
5,23372141,9065,125
5,23943998,9272,128
5,24026767,9275,128
5,23799804,9272,128
5,23865338,9272,128
5,24167852,9272,128
5,23770077,9272,128
5,23778919,9275,128
5,24002583,9272,128
5,23816068,9272,128
5,23778396,9275,128
5,23244058,8992,124
5,24003721,9272,128
5,23719514,9272,128
5,23761477,9272,128
5,23989949,9272,128
5,23767711,9272,128
5,23868238,9272,128
5,23565033,9065,125
5,23781919,9273,128
5,23961578,9272,128
5,23865338,9273,128
5,23968994,9272,128
5,23843718,9272,128
5,23825921,9272,128
5,23819625,9272,128
5,23831568,9272,128
5,20798464,8122,112
5,23812106,9274,128
5,23987076,9272,128
5,23865304,9272,128
5,24058541,9272,128
5,23835991,9272,128
5,23810143,9272,128
5,24871019,9272,128
5,23809696,9277,128
5,23934164,9272,128
5,23900744,9272,128
5,23836084,9272,128
5,24124935,9272,128
5,23844495,9272,128
5,23922270,9272,128
5,23247766,9065,125
5,23815375,9272,128
5,24172369,9272,128
5,23910865,9272,128
5,23926490,9272,128
5,23863120,9272,128
5,23903445,9272,128
5,24261122,9272,128
5,24066952,9272,128
5,23913166,9272,128
5,24009000,9273,128
5,23849187,9136,126
5,23954008,9272,128
5,23934112,9272,128
5,24004269,9273,128
5,24147115,9272,128
5,23891059,9274,128
5,23941224,9272,128
5,23956216,9272,128
5,23923647,9273,128
5,23749673,9207,127
5,23912715,9207,127
5,23962711,9272,128
5,23933457,9272,128
5,23900555,9273,128
5,17994628,6965,96
5,23004469,8921,123
5,23929887,9272,128
5,23829386,9272,128
5,24139558,9272,128
5,23955853,9272,128
5,23901756,9276,128
5,24091886,9207,127
5,23902737,9272,128
5,23930696,9272,128
5,24903923,9273,128
5,23941570,9272,128
5,23866109,9274,128
5,23871330,9272,128
5,23920379,9272,128
5,23827122,9272,128
5,23809950,9272,128
5,24285565,9273,128
5,23835748,9273,128
5,23918246,9272,128
5,23909874,9272,128
5,23315064,9065,125
5,23490174,9065,125
5,23371129,9065,125
5,23934820,9272,128
5,23960673,9272,128
5,23919903,9272,128
5,23917400,9272,128
5,24241423,9272,128
5,23932232,9273,128
5,23807616,9273,128
5,23872042,9272,128
5,23936781,9272,128
5,24053451,9207,127
5,23233392,8992,124
5,23891091,9272,128
5,23927735,9272,128
5,23804269,9207,127
5,23906047,9272,128
5,23891134,9272,128
5,24430556,9272,128
5,23958427,9275,128
5,23886592,9276,128
5,23933197,9272,128
5,24152748,9272,128
5,20915533,8122,112
5,23996380,9272,128
5,23985309,9272,128
5,23970967,9272,128
5,24044360,9272,128
5,23925562,9272,128
5,24160296,9207,127
5,23917601,9272,128
5,24792396,9272,128
5,23847744,9273,128
5,24074724,9272,128
5,23940663,9272,128
5,24003160,9272,128
5,23951314,9275,128
5,23903644,9272,128
5,23998683,9272,128
5,24259673,9272,128
5,23986017,9272,128
5,23982701,9272,128
