OMNIKDTREE,EUCLIDEAN,GNAT,2,1000,147703
k,time,count,disk
5,22309431,9248,128
5,22260423,9248,128
5,22634939,9248,128
5,22679785,9248,128
5,22760438,9248,128
5,22802410,9248,128
5,23120014,9248,128
5,23174076,9248,128
5,23221727,9248,128
5,23470707,9248,128
5,23063664,9248,128
5,23154023,9248,128
5,23265890,9249,128
5,23363498,9248,128
5,23351516,9248,128
5,23353151,9248,128
5,23744077,9248,128
5,23400068,9248,128
5,23359491,9248,128
5,23313294,9248,128
5,23813699,9248,128
5,23470871,9248,128
5,22452451,8895,123
5,23439003,9248,128
5,23605647,9248,128
5,23439259,9248,128
5,23411109,9248,128
5,23382248,9248,128
5,23517134,9248,128
5,23386348,9248,128
5,23611759,9248,128
5,23401340,9248,128
5,23724433,9248,128
5,23396203,9248,128
5,23494047,9248,128
5,23580689,9248,128
5,23320768,9248,128
5,21954862,8680,120
5,24702020,9248,128
5,23617048,9248,128
5,23435846,9250,128
5,23257156,9183,127
5,23499900,9248,128
5,23418874,9248,128
5,23602502,9248,128
5,23390143,9248,128
5,23535827,9248,128
5,23652880,9248,128
5,23417084,9248,128
5,23422703,9248,128
5,23476884,9248,128
5,23504436,9248,128
5,23367106,9248,128
5,23372787,9248,128
5,23486310,9248,128
5,23606084,9248,128
5,23353814,9248,128
5,23354175,9248,128
5,23453427,9183,127
5,23400217,9248,128
5,23436057,9248,128
5,23421302,9248,128
5,23446955,9248,128
5,23385117,9248,128
5,23398473,9248,128
5,23620115,9248,128
5,22565701,8899,123
5,23625975,9248,128
5,23455981,9248,128
5,23388074,9248,128
5,23642907,9248,128
5,23396749,9248,128
5,23394481,9248,128
5,23340782,9248,128
5,23413071,9183,127
5,23328509,9248,128
5,23570845,9248,128
5,23377049,9248,128
5,23409049,9248,128
5,23425942,9248,128
5,23580989,9248,128
5,23330616,9248,128
5,24533737,9248,128
5,23564507,9248,128
5,23580222,9248,128
5,23391555,9252,128
5,23413733,9248,128
5,23400430,9250,128
5,23657179,9248,128
5,23407493,9248,128
5,23449506,9248,128
5,23457836,9248,128
5,23455814,9183,127
5,23437080,9248,128
5,23482557,9248,128
5,23441999,9248,128
5,23635487,9248,128
5,23481061,9248,128
5,23633998,9248,128
5,23404653,9248,128
5,23427076,9248,128
5,23641419,9250,128
5,23514489,9248,128
5,23409074,9248,128
5,23592902,9248,128
5,23448225,9248,128
5,23410507,9248,128
5,23445747,9248,128
5,23625577,9248,128
5,23382154,9248,128
5,23611010,9248,128
5,23397304,9248,128
5,23430245,9248,128
5,23425009,9248,128
5,23548841,9248,128
5,23057543,9038,125
5,23381592,9249,128
5,23565554,9248,128
5,23413969,9248,128
5,23674870,9248,128
5,23394541,9248,128
5,23396789,9248,128
5,23451811,9248,128
5,23490735,9248,128
5,23579735,9248,128
5,24512002,9248,128
5,23525837,9248,128
5,23427719,9251,128
5,23628000,9248,128
5,23369115,9248,128
5,23366961,9248,128
5,23323841,9248,128
5,23327607,9248,128
5,23603257,9248,128
5,23404834,9248,128
5,23379580,9248,128
5,23284749,9248,128
5,23309843,9248,128
5,23716373,9248,128
5,23318144,9248,128
5,23315255,9249,128
5,23383609,9248,128
5,20839392,8247,114
5,23290390,9248,128
5,23747104,9248,128
5,23411484,9248,128
5,23369305,9248,128
5,23253733,9248,128
5,23319848,9248,128
5,23366325,9248,128
5,23557232,9248,128
5,23329351,9248,128
5,23353574,9248,128
5,23638700,9248,128
5,23373737,9248,128
5,23490689,9248,128
5,23314950,9248,128
5,23305470,9248,128
5,23543898,9248,128
5,23290796,9248,128
5,23355914,9248,128
5,23526409,9248,128
5,23513870,9253,128
5,23311598,9182,127
5,23617546,9250,128
5,23328497,9248,128
5,23451552,9248,128
5,23600957,9248,128
5,23424522,9248,128
5,24563381,9248,128
5,23475915,9248,128
5,23641230,9248,128
5,23415792,9248,128
5,23613510,9248,128
5,23465218,9248,128
5,21196021,8390,116
5,23696814,9248,128
5,23379327,9248,128
5,23620519,9248,128
5,23250967,9248,128
5,23389571,9248,128
5,23631668,9248,128
5,23415552,9248,128
5,23406512,9248,128
5,23514173,9248,128
5,23332294,9248,128
5,23397219,9248,128
5,23542415,9248,128
5,23403431,9248,128
5,23404863,9248,128
5,23431749,9248,128
5,23582148,9248,128
5,23577431,9248,128
5,23355768,9248,128
5,23308307,9248,128
5,23404628,9248,128
5,23567054,9248,128
5,23359352,9248,128
5,23470793,9248,128
5,23465369,9248,128
5,23357057,9248,128
5,23547392,9248,128
5,23368755,9248,128
5,23339435,9248,128
5,23559055,9248,128
5,23354685,9248,128
5,23599522,9248,128
5,23332695,9248,128
5,23536144,9248,128
5,23377573,9248,128
5,23423497,9248,128
5,23511367,9248,128
5,23349700,9248,128
5,24469493,9248,128
5,23468419,9248,128
5,23563306,9248,128
5,23573622,9248,128
5,23369381,9248,128
5,23467473,9248,128
5,23528578,9248,128
5,22969177,9112,126
5,23416755,9248,128
5,23387204,9248,128
5,23360459,9248,128
5,23645584,9248,128
5,23435219,9248,128
5,23479212,9248,128
5,23638840,9248,128
5,23336094,9248,128
5,23408987,9248,128
5,23441726,9248,128
5,23401403,9249,128
5,23615072,9248,128
5,23356911,9248,128
5,23525651,9248,128
5,23375895,9252,128
5,23411961,9248,128
5,23442710,9248,128
5,23794709,9248,128
5,23415413,9248,128
5,23380442,9248,128
5,23662310,9248,128
5,23425485,9248,128
5,23397322,9248,128
5,23490338,9248,128
5,23424975,9248,128
5,23509073,9248,128
5,23617858,9248,128
5,23351791,9248,128
5,23617876,9250,128
5,23467134,9248,128
5,23332903,9248,128
5,23542054,9248,128
5,23394197,9248,128
5,23493000,9248,128
5,23401374,9252,128
5,24479187,9248,128
5,23368223,9248,128
5,22811850,9248,128
5,22840629,9248,128
5,23264184,9248,128
5,23313419,9248,128
5,23336699,9248,128
5,23246684,9248,128
5,23225862,9248,128
5,23197631,9248,128
5,23324551,9248,128
5,22682255,8899,123
5,23295625,9248,128
5,23248237,9248,128
5,23371961,9248,128
5,23501890,9248,128
5,23239844,9248,128
5,23280126,9248,128
5,23284018,9248,128
5,23249320,9248,128
5,23254467,9248,128
5,23458389,9250,128
5,23257799,9248,128
5,23262248,9248,128
5,23231071,9248,128
5,23455076,9248,128
5,23475858,9248,128
5,23222959,9248,128
5,23226271,9248,128
5,23475470,9248,128
5,23283084,9248,128
5,23275224,9248,128
5,23511976,9248,128
5,23181638,9248,128
5,23267926,9248,128
5,23190470,9248,128
5,22942830,9182,127
5,23320307,9248,128
5,23328359,9248,128
5,23426470,9248,128
5,23181385,9248,128
5,23356829,9248,128
5,23303469,9248,128
5,23279202,9251,128
5,24626851,9248,128
5,23162049,9248,128
5,23325118,9248,128
5,23278639,9248,128
5,23219344,9251,128
5,23147073,9248,128
5,23570904,9248,128
5,23175810,9248,128
5,23275136,9248,128
5,23247937,9248,128
5,23301267,9249,128
5,23284017,9249,128
5,23534117,9248,128
5,23257032,9248,128
5,23362336,9248,128
5,23283533,9248,128
5,23287517,9248,128
5,23528413,9248,128
5,23269319,9249,128
5,23296614,9248,128
5,23177377,9250,128
5,23511193,9248,128
5,22017332,8756,121
5,23228482,9248,128
5,23296007,9248,128
5,22738282,9038,125
5,23322558,9248,128
5,23260140,9248,128
5,23731231,9248,128
5,23248590,9248,128
5,23335417,9248,128
5,23289026,9248,128
5,23420522,9248,128
5,23231197,9248,128
5,23301774,9248,128
5,23278339,9248,128
5,23340320,9248,128
5,23278220,9248,128
5,23333543,9248,128
5,23756762,9248,128
5,23216211,9248,128
5,23273362,9253,128
5,23305954,9248,128
5,23400438,9248,128
5,24413381,9248,128
5,23369662,9248,128
5,23335536,9248,128
5,23271529,9248,128
5,23555446,9248,128
5,23267731,9248,128
5,23250465,9248,128
5,23315091,9248,128
5,23619722,9248,128
5,23233979,9248,128
5,23292714,9249,128
5,22141374,8823,122
5,23245282,9248,128
5,23553886,9248,128
5,23387479,9248,128
5,23316403,9248,128
5,23341341,9251,128
5,23317062,9252,128
5,23268536,9248,128
5,22359172,8895,123
5,23708348,9248,128
5,23215110,9248,128
5,23293861,9248,128
5,23353263,9248,128
5,23448658,9248,128
5,23263206,9248,128
5,23364026,9248,128
5,23256161,9248,128
5,23320377,9248,128
5,23282869,9248,128
5,23596830,9248,128
5,23200180,9248,128
5,23539183,9248,128
5,23324018,9248,128
5,23327328,9248,128
5,23429720,9248,128
5,23236269,9248,128
5,23211056,9112,126
5,23376470,9248,128
5,23496859,9248,128
5,23214426,9250,128
5,23298246,9248,128
5,23333868,9248,128
5,23390107,9248,128
5,24592683,9248,128
5,23230309,9248,128
5,23303796,9250,128
5,23297765,9248,128
5,23276557,9249,128
5,23551750,9248,128
5,23394210,9248,128
5,23373439,9248,128
5,23251445,9248,128
5,23316728,9248,128
5,23485342,9183,127
5,23307066,9248,128
5,23334499,9248,128
5,23529354,9252,128
5,21550384,8534,118
5,23342007,9248,128
5,23242510,9253,128
5,23683921,9248,128
5,22485492,8899,123
5,23303456,9249,128
5,23348661,9248,128
5,23332005,9248,128
5,23574605,9248,128
5,23209723,9248,128
5,23346232,9248,128
5,23287403,9248,128
5,23603193,9248,128
5,23298854,9248,128
5,23283566,9248,128
5,23352638,9248,128
5,23326712,9248,128
5,10195189,4052,56
5,23227977,9248,128
5,23628123,9252,128
5,23364716,9248,128
5,23344669,9248,128
5,23280534,9248,128
5,23585019,9248,128
5,23309297,9248,128
5,23256168,9248,128
5,23163591,9183,127
5,23254619,9248,128
5,23265353,9248,128
5,23747910,9248,128
5,24300533,9248,128
5,23300115,9248,128
5,23328031,9248,128
5,23285094,9248,128
5,23320708,9248,128
5,23468646,9248,128
5,23336003,9248,128
5,23483746,9248,128
5,23269667,9248,128
5,23201317,9248,128
5,23401819,9248,128
5,23244962,9248,128
5,23297012,9248,128
5,23304390,9248,128
5,23416858,9248,128
5,23379351,9248,128
5,23213989,9248,128
5,23233889,9248,128
5,23232246,9248,128
5,23673215,9248,128
5,23312466,9248,128
5,23207838,9248,128
5,23313928,9248,128
5,23325001,9248,128
5,23541224,9248,128
5,23322340,9248,128
5,23377679,9248,128
5,23286650,9248,128
5,23237149,9248,128
5,22538427,8967,124
5,23287636,9248,128
5,23757545,9248,128
5,23275140,9248,128
5,23345074,9248,128
5,23333345,9248,128
5,23356178,9248,128
5,23227090,9248,128
5,23465973,9248,128
5,23294176,9248,128
5,23257923,9248,128
5,23248298,9248,128
5,23601878,9248,128
5,23317328,9248,128
5,23229566,9248,128
5,24382283,9248,128
5,23266138,9248,128
5,23357781,9248,128
5,23317526,9248,128
5,23620578,9248,128
5,23259900,9251,128
5,23327552,9248,128
5,23253764,9248,128
5,23313414,9248,128
5,23535669,9248,128
5,23349627,9248,128
5,23354920,9248,128
5,23298733,9249,128
5,23569913,9248,128
5,23358493,9248,128
5,23245502,9248,128
5,23256383,9248,128
5,23287283,9251,128
5,23338122,9248,128
5,23317775,9248,128
5,23291522,9248,128
5,23399297,9249,128
5,23290754,9248,128
5,23684306,9248,128
5,23245327,9248,128
5,23237004,9248,128
5,23319567,9248,128
5,23230443,9249,128
5,22097621,8680,120
5,23184094,9248,128
5,23283087,9248,128
5,23334026,9248,128
5,23233966,9248,128
5,23359696,9248,128
5,23604931,9248,128
5,23313293,9248,128
5,23256704,9248,128
5,23320605,9248,128
5,23353114,9248,128
5,23807389,9249,128
5,23246545,9248,128
5,23424558,9248,128
5,23312140,9248,128
5,23306301,9248,128
5,24422917,9248,128
5,23468656,9248,128
5,23317231,9248,128
5,23329502,9248,128
5,23244588,9248,128
5,23306186,9248,128
5,23720534,9248,128
5,23213032,9248,128
5,23304422,9248,128
5,23458529,9248,128
5,23359365,9253,128
5,23236142,9248,128
5,23635651,9248,128
5,23339347,9248,128
5,23379273,9248,128
5,23228888,9248,128
5,23664402,9248,128
5,23299096,9249,128
5,23339531,9248,128
5,23271734,9249,128
5,20579369,8100,112
5,23287681,9248,128
5,23408367,9248,128
5,23421270,9248,128
5,23361660,9248,128
5,23316892,9248,128
5,23553439,9248,128
5,23266749,9248,128
5,23317208,9248,128
5,23290539,9249,128
5,23783890,9248,128
5,23223514,9248,128
5,21069966,8390,116
5,23406328,9248,128
5,23608135,9248,128
5,23259473,9248,128
5,23052154,9182,127
5,21466115,8537,118
5,23418224,9248,128
5,23263663,9248,128
5,23582692,9248,128
5,23470372,9248,128
5,23236105,9251,128
5,23368593,9248,128
5,24480295,9248,128
5,23354756,9248,128
5,22544269,8822,122
5,23362594,9248,128
5,23364156,9248,128
5,23403145,9248,128
5,23278618,9248,128
5,23285130,9248,128
5,23596419,9248,128
5,23282963,9248,128
5,23340877,9249,128
5,23322206,9248,128
5,23312503,9248,128
5,23775820,9248,128
5,23388223,9248,128
5,23336750,9248,128
5,23310007,9248,128
5,23308749,9249,128
5,23405263,9248,128
5,23365463,9248,128
5,23348260,9248,128
5,22738796,8824,122
5,23347537,9248,128
5,23272479,9248,128
5,23194387,9248,128
5,23479389,9251,128
5,23333573,9248,128
5,23263749,9248,128
5,23410455,9248,128
5,23284413,9248,128
5,23305387,9248,128
5,23225942,9253,128
5,23495591,9248,128
5,23279639,9248,128
5,23427601,9248,128
5,23624413,9248,128
5,23266818,9248,128
5,23312205,9248,128
5,23591610,9248,128
5,23280571,9248,128
5,23302401,9248,128
5,23327058,9248,128
5,23472307,9248,128
5,23274138,9248,128
5,24374316,9248,128
5,23268148,9248,128
5,23354499,9249,128
5,9782278,3908,54
5,23396566,9248,128
5,23498048,9251,128
5,21888406,8680,120
5,23586798,9248,128
5,23334930,9248,128
5,23340479,9248,128
5,23336845,9250,128
5,23284677,9248,128
5,23490132,9248,128
5,22222642,8823,122
5,23309573,9248,128
5,23270192,9248,128
5,23601177,9248,128
5,23255868,9248,128
5,23289973,9248,128
5,23273789,9248,128
5,23348661,9248,128
5,23274500,9248,128
5,23371065,9248,128
5,23552501,9248,128
5,21983445,8751,121
5,23277578,9248,128
5,23621190,9250,128
5,23280548,9248,128
5,23414018,9248,128
5,23405915,9248,128
5,23693737,9248,128
5,23278144,9248,128
5,23354810,9248,128
5,23294406,9251,128
5,23398704,9250,128
5,23303072,9248,128
5,23590879,9248,128
5,23331819,9248,128
5,23441977,9252,128
5,23356967,9248,128
5,23816611,9248,128
5,23373376,9248,128
5,23363662,9248,128
5,23310718,9248,128
5,24491392,9248,128
5,21552802,8535,118
5,23348046,9248,128
5,23353572,9248,128
5,23299614,9248,128
5,23322397,9248,128
5,23652470,9248,128
5,23447675,9248,128
5,23287819,9248,128
5,23315642,9248,128
5,23385967,9248,128
5,23406978,9248,128
5,23528590,9248,128
5,23226234,9248,128
5,23515589,9248,128
5,23365935,9248,128
5,23402748,9248,128
5,23400290,9248,128
5,23446703,9248,128
5,23727662,9248,128
5,23407281,9248,128
5,19473060,7742,107
5,23649678,9248,128
5,21137096,8390,116
5,23348156,9248,128
5,23402617,9248,128
5,23384539,9248,128
5,23490789,9248,128
5,23383117,9248,128
5,23267657,9248,128
5,23615372,9248,128
5,23348513,9248,128
5,23293865,9248,128
5,23355261,9248,128
5,23386939,9248,128
5,23372215,9248,128
5,23477774,9248,128
5,23482886,9248,128
5,23375917,9248,128
5,23545727,9248,128
5,23295946,9248,128
5,23490103,9248,128
5,23410009,9248,128
5,23285571,9248,128
5,24482738,9252,128
5,23415967,9248,128
5,23397866,9248,128
5,23407728,9248,128
5,23328871,9248,128
5,23331025,9248,128
5,23706022,9249,128
5,23357787,9248,128
5,23357119,9248,128
5,23318669,9248,128
