OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,1000,296869
k,time,count,disk
5,23102118,9248,128
5,23073105,9251,128
5,21628603,8682,120
5,23173226,9248,128
5,23148117,9248,128
5,23113348,9248,128
5,22994392,9248,128
5,23063642,9248,128
5,23154995,9248,128
5,23021133,9248,128
5,23008066,9248,128
5,23400773,9248,128
5,23168634,9249,128
5,23162293,9248,128
5,23089476,9251,128
5,23474921,9251,128
5,23159807,9252,128
5,23265554,9248,128
5,23299680,9248,128
5,23206979,9248,128
5,22803485,9110,126
5,23457130,9248,128
5,4185821,1670,23
5,23171108,9248,128
5,23185232,9248,128
5,23190236,9248,128
5,23529627,9248,128
5,23241470,9248,128
5,23235451,9248,128
5,23427675,9248,128
5,23317332,9248,128
5,23215281,9248,128
5,23270557,9249,128
5,23228580,9248,128
5,23343015,9248,128
5,23315133,9250,128
5,23138055,9248,128
5,10072361,3909,54
5,23285056,9248,128
5,23321490,9248,128
5,6110588,2464,34
5,4023313,1597,22
5,24379945,9248,128
5,23155902,9248,128
5,23418198,9248,128
5,22822238,9110,126
5,23268527,9253,128
5,23569565,9248,128
5,23295671,9248,128
5,23166046,9248,128
5,23348517,9251,128
5,23251696,9248,128
5,23229764,9248,128
5,23439199,9249,128
5,22718584,9038,125
5,23188159,9248,128
5,23268429,9248,128
5,23632720,9250,128
5,3658312,1453,20
5,22028774,8822,122
5,5835297,2320,32
5,23276971,9248,128
5,12568245,4919,68
5,23177405,9250,128
5,23326369,9248,128
5,23197137,9249,128
5,4379500,1741,24
5,23275974,9248,128
5,23344838,9248,128
5,23345546,9248,128
5,23509418,9249,128
5,23236571,9248,128
5,23171979,9248,128
5,23457679,9249,128
5,3288793,1309,18
5,23116216,9248,128
5,23206779,9248,128
5,23533716,9248,128
5,23262910,9248,128
5,23189927,9248,128
5,23278324,9250,128
5,23447394,9248,128
5,23231917,9248,128
5,23257298,9248,128
5,22832136,9110,126
5,4338337,1741,24
5,23383799,9248,128
5,23254628,9250,128
5,23209419,9182,127
5,23225355,9248,128
5,22823441,9110,126
5,24254950,9110,126
5,2949674,1165,16
5,22979947,9110,126
5,23353871,9248,128
5,23501950,9248,128
5,23258370,9248,128
5,23171919,9248,128
5,23357837,9252,128
5,23250622,9248,128
5,23206090,9248,128
5,5115239,2031,28
5,22973907,9110,126
5,23152120,9248,128
5,23135709,9248,128
5,23395017,9249,128
5,23216872,9248,128
5,23349678,9248,128
5,23122254,9248,128
5,23196116,9249,128
5,23558094,9248,128
5,23270371,9248,128
5,23205358,9250,128
5,22160936,8825,122
5,23540910,9248,128
5,23320162,9248,128
5,5092930,2031,28
5,23203558,9248,128
5,23217969,9248,128
5,23059209,9182,127
5,23190554,9248,128
5,23208706,9248,128
5,23520324,9248,128
5,23239394,9248,128
5,23221938,9248,128
5,23315269,9248,128
5,18156605,7234,100
5,12558341,4919,68
5,23203133,9248,128
5,23245196,9248,128
5,23313357,9182,127
5,23252249,9248,128
5,22832948,9110,126
5,23404520,9249,128
5,23264459,9248,128
5,20228216,8100,112
5,23241187,9249,128
5,23376489,9249,128
5,24410690,9248,128
5,22430921,8966,124
5,23234812,9249,128
5,22549971,8966,124
5,5827933,2320,32
5,23197154,9248,128
5,22802873,9110,126
5,23675509,9248,128
5,23252564,9248,128
5,22900828,9110,126
5,23201606,9252,128
5,23390479,9249,128
5,23339877,9248,128
5,23209943,9250,128
5,23298593,9248,128
5,23280092,9248,128
5,22446235,8966,124
5,23319357,9248,128
5,22391817,8825,122
5,23463791,9248,128
5,23274126,9249,128
5,23247910,9252,128
5,23289879,9248,128
5,23463585,9250,128
5,3271328,1309,18
5,4848649,1960,27
5,4017506,1597,22
5,23186508,9248,128
5,23376136,9248,128
5,23178331,9249,128
5,22868197,9111,126
5,23133212,9250,128
5,23217229,9038,125
5,23171990,9249,128
5,23196403,9248,128
5,23196372,9248,128
5,23524440,9248,128
5,16652936,6653,92
5,23203165,9248,128
5,23187930,9250,128
5,21038607,8391,116
5,23201038,9248,128
5,23571242,9248,128
5,22795399,9110,126
5,23261779,9251,128
5,23186696,9252,128
5,22867202,9111,126
5,23661576,9248,128
5,10545377,3765,52
5,23226897,9248,128
5,22201744,8893,123
5,23174126,9248,128
5,23531807,9248,128
5,23179506,9248,128
5,23198444,9182,127
5,23194754,9248,128
5,23202902,9250,128
5,23334882,9249,128
5,23259101,9248,128
5,23218011,9248,128
5,23471495,9248,128
5,20975254,8388,116
5,23456143,9248,128
5,23175735,9248,128
5,23504941,9250,128
5,23190763,9248,128
5,23430680,9248,128
5,23209126,9248,128
5,23300886,9251,128
5,23234978,9248,128
5,23305541,9248,128
5,22827924,9110,126
5,23460518,9248,128
5,23204092,9249,128
5,22802979,9110,126
5,23210376,9249,128
5,23250612,9249,128
5,23560401,9248,128
5,23271673,9248,128
5,23203143,9248,128
5,23303178,9248,128
5,22362685,8825,122
5,2928050,1165,16
5,23258892,9248,128
5,23351482,9248,128
5,23313345,9248,128
5,23251452,9248,128
5,23195147,9248,128
5,23318808,9248,128
