OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,1000,401898
k,time,count,disk
5,23182546,9248,128
5,23155537,9248,128
5,23039441,9248,128
5,23136940,9248,128
5,23257227,9248,128
5,23173692,9248,128
5,23126290,9248,128
5,23550495,9248,128
5,23339355,9248,128
5,23342262,9248,128
5,23341156,9248,128
5,23298815,9249,128
5,23494079,9248,128
5,23267546,9248,128
5,23478824,9248,128
5,23268667,9248,128
5,23587391,9248,128
5,23168596,9249,128
5,23274470,9249,128
5,23384257,9248,128
5,23586366,9249,128
5,23399019,9248,128
5,20742784,8246,114
5,23406336,9248,128
5,23412448,9248,128
5,23629228,9248,128
5,23431913,9248,128
5,23390872,9248,128
5,23413993,9248,128
5,23349700,9248,128
5,23476023,9248,128
5,23697608,9248,128
5,23622690,9248,128
5,24542708,9248,128
5,23483572,9248,128
5,23639909,9248,128
5,23423146,9248,128
5,22325419,8824,122
5,23443858,9248,128
5,23650647,9248,128
5,17893551,7090,98
5,21945109,8680,120
5,23468846,9248,128
5,23395082,9248,128
5,23514879,9248,128
5,23481212,9251,128
5,23432212,9248,128
5,23548637,9248,128
5,23385077,9249,128
5,23649141,9248,128
5,23579940,9248,128
5,23526267,9248,128
5,23387662,9248,128
5,23523297,9248,128
5,23840793,9248,128
5,23461434,9248,128
5,23503075,9248,128
5,23436748,9248,128
5,20476712,8102,112
5,23416500,9248,128
5,22734150,8895,123
5,23412962,9248,128
5,24153964,9183,127
5,23450476,9249,128
5,23671779,9248,128
5,23379143,9248,128
5,14682154,5785,80
5,23433221,9248,128
5,23446679,9248,128
5,23494765,9248,128
5,23413653,9183,127
5,23491016,9248,128
5,23360532,9248,128
5,23496707,9248,128
5,22799994,8895,123
5,23405578,9248,128
5,23361717,9250,128
5,24526896,9248,128
5,23693290,9248,128
5,23383531,9248,128
5,23693575,9248,128
5,23357757,9250,128
5,23483008,9248,128
5,23606034,9248,128
5,23528261,9250,128
5,21687561,8605,119
5,23519699,9248,128
5,23482701,9248,128
5,23617539,9248,128
5,23516174,9248,128
5,23519082,9248,128
5,23506258,9248,128
5,20976267,8317,115
5,23470082,9249,128
5,23741179,9248,128
5,23448762,9249,128
5,23610176,9248,128
5,23441480,9248,128
5,23645165,9248,128
5,23333490,9248,128
5,23336949,9248,128
5,17527455,6946,96
5,23466009,9250,128
5,23338599,9248,128
5,23651200,9248,128
5,23478397,9248,128
5,23393295,9248,128
5,23390679,9248,128
5,23433930,9248,128
5,23399508,9251,128
5,23499865,9248,128
5,23870775,9248,128
5,23366686,9248,128
5,23292793,9248,128
5,23875213,9248,128
5,23391202,9248,128
5,22481137,8895,123
5,23452952,9248,128
5,23435295,9248,128
5,23549941,9248,128
5,23458337,9248,128
5,24724596,9248,128
5,23451088,9248,128
5,23465327,9248,128
5,23421388,9248,128
5,23345347,9248,128
5,23642826,9248,128
5,22715737,9039,125
5,23290060,9248,128
5,23297310,9248,128
5,23569782,9248,128
5,23309383,9248,128
5,23386668,9249,128
5,23356339,9248,128
5,23442767,9248,128
5,23405185,9248,128
5,23182951,9112,126
5,22994187,9112,126
5,23460652,9248,128
5,23609324,9248,128
5,23389513,9248,128
5,23377461,9249,128
5,20994297,8246,114
5,23396506,9248,128
5,23420917,9248,128
5,23801031,9248,128
5,23417060,9248,128
5,23416520,9250,128
5,23040783,9112,126
5,23563035,9248,128
5,23410452,9248,128
5,23463498,9248,128
5,23383250,9248,128
5,23420215,9249,128
5,23475724,9248,128
5,23706773,9248,128
5,23508602,9248,128
5,23402103,9248,128
5,23748765,9248,128
5,23477006,9248,128
5,23662875,9248,128
5,23512864,9248,128
5,22611007,8895,123
5,22353170,8751,121
5,22913082,9039,125
5,24724537,9248,128
5,23504752,9248,128
5,23531116,9248,128
5,23503974,9248,128
5,23475621,9248,128
5,23798090,9248,128
5,23493401,9249,128
5,23522732,9248,128
5,23620924,9248,128
5,23231658,9183,127
5,23523576,9112,126
5,23491180,9248,128
5,23522511,9248,128
5,23371517,9183,127
5,23603006,9248,128
5,23390737,9248,128
5,23489946,9248,128
5,23535181,9250,128
5,23458904,9250,128
5,23521865,9248,128
5,23754730,9248,128
5,17612439,6946,96
5,23492954,9248,128
5,23718953,9248,128
5,23553540,9248,128
5,23639138,9248,128
5,23579169,9248,128
5,23861356,9252,128
5,23506871,9248,128
5,23564284,9248,128
5,23471984,9248,128
5,23664483,9248,128
5,23535216,9248,128
5,23600730,9248,128
5,23538656,9248,128
5,23553389,9248,128
5,23828230,9248,128
5,23562538,9248,128
5,23549827,9248,128
5,23727265,9248,128
5,23574123,9248,128
5,23659159,9248,128
5,23549672,9248,128
5,24799269,9249,128
5,23569943,9251,128
5,23577717,9248,128
5,23531002,9249,128
5,23760820,9248,128
5,23547560,9248,128
5,23600164,9248,128
5,23540693,9248,128
5,23927140,9248,128
5,23578311,9248,128
5,23826489,9248,128
5,23512505,9248,128
5,20920412,8246,114
5,23596667,9248,128
5,23598113,9248,128
5,23734374,9248,128
5,23535747,9248,128
5,23524626,9248,128
5,23574286,9248,128
5,23523553,9248,128
5,23708184,9248,128
5,23640074,9248,128
5,23591660,9248,128
5,23627028,9248,128
5,23838721,9248,128
5,23609704,9248,128
5,23716297,9248,128
5,13926871,5497,76
5,23732828,9248,128
5,23499381,9248,128
5,23581245,9248,128
5,23734207,9248,128
5,23525552,9248,128
5,23589013,9248,128
5,23376907,9112,126
5,23516433,9248,128
5,23552944,9251,128
5,23760152,9248,128
5,23568340,9250,128
5,23761694,9249,128
5,23500169,9248,128
5,22758263,8968,124
5,23817621,9248,128
5,23269623,9112,126
5,24669213,9248,128
5,23303619,9248,128
5,23095875,9248,128
5,17739213,7090,98
5,23184294,9248,128
5,23392403,9248,128
5,23349094,9248,128
5,23500819,9253,128
5,23312633,9250,128
5,23384304,9248,128
5,23449276,9248,128
5,23619843,9248,128
5,23395662,9248,128
5,23459953,9249,128
5,23505797,9248,128
5,14469181,5641,78
5,23434917,9248,128
5,23470157,9249,128
5,23426716,9248,128
5,23438778,9248,128
5,23629663,9248,128
5,23417446,9248,128
5,23453269,9248,128
5,23329986,9248,128
5,23416532,9248,128
5,23565771,9250,128
5,23518066,9248,128
5,23406696,9248,128
5,23660082,9248,128
5,23328905,9248,128
5,23398468,9248,128
5,23569992,9248,128
5,23272484,9248,128
5,23286917,9248,128
5,23416596,9248,128
5,23346875,9248,128
5,23496913,9248,128
5,23360411,9248,128
5,23369119,9248,128
5,23318497,9248,128
5,23290867,9248,128
5,23573579,9248,128
5,23489371,9248,128
5,23198574,9248,128
5,24488902,9249,128
5,23736499,9248,128
5,23389352,9248,128
5,22851059,9041,125
5,23320200,9248,128
5,23154486,9183,127
5,23636321,9248,128
5,23366083,9248,128
5,22190126,8751,121
5,23312261,9248,128
5,23427424,9248,128
5,23581347,9248,128
5,23254817,9248,128
5,23345838,9248,128
5,23104311,9112,126
5,23167000,9112,126
5,23235443,9248,128
5,23538736,9248,128
5,23365656,9248,128
5,23300756,9249,128
5,23406915,9248,128
5,17519957,6946,96
5,23028039,9112,126
5,23393380,9248,128
5,22988077,9039,125
5,23373290,9248,128
5,20746777,8246,114
5,23276559,9248,128
5,23577091,9248,128
5,22181449,8824,122
5,23541164,9248,128
