OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,1000,465134
k,time,count,disk
5,22805367,9248,128
5,21711900,8823,122
5,20535115,8389,116
5,22429942,9112,126
5,22896628,9248,128
5,22789215,9250,128
5,22421676,9112,126
5,22870019,9248,128
5,22797476,9253,128
5,22841819,9183,127
5,22579315,9183,127
5,22736012,9250,128
5,21424637,8681,120
5,22884253,9248,128
5,22921341,9251,128
5,21347279,8681,120
5,23060479,9249,128
5,22786012,9250,128
5,22843532,9249,128
5,22897096,9252,128
5,21710745,8822,122
5,22543561,9112,126
5,1424423,581,8
5,22761409,9248,128
5,23037714,9248,128
5,22857409,9249,128
5,22834194,9249,128
5,22947462,9183,127
5,22138141,8966,124
5,22778899,9248,128
5,22995622,9252,128
5,22519189,9112,126
5,22057649,8823,122
5,21780119,8823,122
5,22530105,9040,125
5,22795092,9250,128
5,22173165,8966,124
5,1982573,798,11
5,22245017,8966,124
5,22300948,9040,125
5,1810068,726,10
5,1608836,654,9
5,22926258,9249,128
5,22816806,9248,128
5,22511621,9182,127
5,22398825,9040,125
5,22618124,9183,127
5,22742354,9182,127
5,23992279,9040,125
5,22793611,9248,128
5,22820832,9252,128
5,22861190,9250,128
5,22839567,9252,128
5,22148013,8823,122
5,22117839,8966,124
5,22868340,9248,128
5,22820327,9112,126
5,21745939,8823,122
5,1454976,581,8
5,22332672,9110,126
5,4352080,1736,24
5,22471145,9112,126
5,4272561,1742,24
5,22514777,9112,126
5,21921243,8823,122
5,22716049,9252,128
5,1994900,799,11
5,22872251,9251,128
5,23006719,9253,128
5,22102679,8966,124
5,22103014,8965,124
5,22800070,9248,128
5,23210659,9249,128
5,21792932,8823,122
5,1807769,726,10
5,22083876,8966,124
5,23053457,9251,128
5,22826871,9248,128
5,22819966,9248,128
5,22827381,9252,128
5,21565116,8752,121
5,22342147,9040,125
5,22740346,9248,128
5,22784839,9250,128
5,22338410,9038,125
5,1797428,726,10
5,23053342,9251,128
5,22871480,9252,128
5,22787372,9252,128
5,22795621,9248,128
5,23056962,9249,128
5,22866442,9253,128
5,1427622,581,8
5,22505622,9112,126
5,22682345,9183,127
5,22749872,9112,126
5,22865986,9252,128
5,22813374,9250,128
5,21976815,8823,122
5,24554501,9249,128
5,22111485,8966,124
5,2326742,943,13
5,21252267,8604,119
5,21890967,8823,122
5,22779110,9248,128
5,22622372,9183,127
5,22898296,9248,128
5,22906203,9183,127
5,22603163,9183,127
5,22582591,9182,127
5,22869998,9249,128
5,22678550,9183,127
5,22437785,8966,124
5,20577932,8389,116
5,22479550,9112,126
5,22862848,9253,128
5,1779122,726,10
