OMNIKDTREE,EUCLIDEAN,RANDOM,2,1000,1903
k,time,count,disk
5,22654496,9248,128
5,22457007,9182,127
5,19682642,8103,112
5,22575218,9250,128
5,23121710,9248,128
5,23113310,9248,128
5,23053206,9251,128
5,22956115,9248,128
5,23118657,9248,128
5,23224444,9248,128
5,23088084,9248,128
5,23257147,9249,128
5,22952850,9111,126
5,23544628,9248,128
5,23029997,9182,127
5,22190209,8826,122
5,23395057,9249,128
5,23229172,9250,128
5,23306498,9249,128
5,23581172,9248,128
5,20472178,8100,112
5,23270823,9250,128
5,2575539,1015,14
5,23250544,9248,128
5,23464637,9248,128
5,23342902,9249,128
5,23275078,9248,128
5,23364746,9248,128
5,23404261,9183,127
5,23244484,9248,128
5,23393337,9249,128
5,23343497,9249,128
5,22867385,9040,125
5,22793993,9040,125
5,23684505,9248,128
5,23336925,9249,128
5,23047946,9111,126
5,4744296,1888,26
5,23238565,9183,127
5,24796116,9249,128
5,2924109,1163,16
5,2140904,871,12
5,23426244,9248,128
5,23399326,9248,128
5,23307359,9248,128
5,22986679,9110,126
5,23683653,9253,128
5,23327336,9250,128
5,23360494,9183,127
5,23375951,9248,128
5,23037111,9110,126
5,23777929,9248,128
5,23415686,9248,128
5,22906480,9040,125
5,23359744,9182,127
5,23511222,9248,128
5,23457396,9250,128
5,23057225,9040,125
5,2006673,803,11
5,22925006,9110,126
5,3646456,1452,20
5,23484464,9248,128
5,6561272,2608,36
5,23329172,9249,128
5,22679546,8969,124
5,23242379,9248,128
5,2964198,1158,16
5,23487531,9250,128
5,23264711,9248,128
5,23402072,9251,128
5,23111734,9110,126
5,23259062,9248,128
5,23369291,9249,128
5,23059268,9111,126
5,3841151,1521,21
5,23776566,9249,128
5,23243455,9251,128
5,23337894,9248,128
5,23425438,9248,128
5,23594569,9248,128
5,22900613,9040,125
5,23372449,9251,128
5,23386794,9248,128
5,23374348,9248,128
5,23408393,9251,128
5,2204851,871,12
5,23658909,9250,128
5,23361375,9248,128
5,23291897,9250,128
5,24419042,9248,128
5,23382938,9249,128
5,23674787,9251,128
5,3295975,1304,18
5,22930670,9110,126
5,23434554,9248,128
5,23441121,9250,128
5,23664350,9248,128
5,23282608,9248,128
5,22859221,9040,125
5,23473520,9248,128
5,23505312,9250,128
5,4180970,1665,23
5,23454504,9182,127
5,22825220,9040,125
5,23495286,9248,128
5,23382611,9248,128
5,23437831,9248,128
5,23509432,9248,128
5,23383403,9248,128
5,23515058,9250,128
5,23412937,9248,128
5,23458377,9248,128
5,23086111,9111,126
5,21316004,8392,116
5,23447074,9248,128
5,23414222,9250,128
5,2754798,1086,15
5,23293376,9248,128
5,23513427,9251,128
5,23352127,9248,128
5,23587815,9250,128
5,23312701,9248,128
5,23326289,9248,128
5,23416025,9248,128
5,23580945,9252,128
5,23226551,9249,128
5,22427956,8893,123
5,9043371,3618,50
5,23275341,9183,127
5,23417719,9253,128
5,23283467,9110,126
5,23426268,9252,128
5,23513812,9251,128
5,23407355,9248,128
5,23380107,9251,128
5,22687455,8968,124
5,24152888,9111,126
5,23346927,9251,128
5,23525328,9248,128
5,23446833,9252,128
5,22992797,9111,126
5,22675903,9039,125
5,2026473,800,11
5,23259096,9248,128
5,23567975,9249,128
5,23306498,9251,128
5,23370283,9248,128
5,23290376,9250,128
5,13463327,5359,74
5,23501406,9248,128
5,22679458,8969,124
5,23295505,9252,128
5,23390700,9248,128
5,23336990,9249,128
5,23299155,9249,128
5,23632054,9248,128
5,21605259,8612,119
5,23339677,9248,128
5,23310927,9249,128
5,23344678,9251,128
5,23467356,9183,127
5,23367921,9250,128
5,5470371,2173,30
5,3973961,1593,22
5,3460486,1377,19
5,22717662,9040,125
5,23377535,9252,128
5,23603306,9250,128
5,22741580,9040,125
5,23015807,9182,127
5,22948147,9039,125
5,23252286,9249,128
5,23485387,9248,128
5,23249501,9248,128
5,23372957,9253,128
5,4719239,1888,26
5,23349487,9248,128
5,23644636,9248,128
5,21930365,8679,120
5,23434700,9248,128
5,23298306,9248,128
5,23321370,9249,128
5,23473768,9251,128
5,23311969,9252,128
5,23286917,9040,125
5,24512660,9248,128
5,2210858,876,12
5,23383711,9248,128
5,23126060,9182,127
5,23403700,9248,128
5,23670150,9249,128
5,23278876,9248,128
5,22841540,9039,125
5,23406377,9248,128
5,22940153,9040,125
5,23387146,9182,127
5,23363541,9249,128
5,23426683,9250,128
5,23638460,9248,128
5,23015567,9110,126
5,23427789,9248,128
5,23467534,9249,128
5,23091540,9111,126
5,23424250,9248,128
5,23496655,9183,127
5,23424040,9248,128
5,22954471,8969,124
5,23341115,9248,128
5,23411350,9249,128
5,23563447,9252,128
5,22716590,8969,124
5,23320870,9249,128
5,23432539,9253,128
5,23455876,9250,128
5,23361047,9248,128
5,23557926,9248,128
5,23364028,9248,128
5,23255213,9249,128
5,23605430,9249,128
5,21210286,8392,116
5,2905931,1158,16
5,22762383,9040,125
5,23448151,9248,128
5,23256429,9183,127
5,23547766,9248,128
5,23307093,9248,128
5,23423264,9249,128
5,23435665,9248,128
5,23354763,9252,128
5,22887511,8969,124
5,23399704,9248,128
5,24533922,9251,128
5,23433677,9248,128
5,23321889,9248,128
5,23719553,9248,128
5,3462770,1379,19
5,23388635,9248,128
5,23397069,9250,128
5,23522553,9250,128
5,23393060,9248,128
5,22903854,8969,124
5,23647736,9253,128
5,7103047,2825,39
5,23119971,9182,127
5,16717500,6653,92
5,23399367,9248,128
5,22471933,8824,122
5,23147939,9182,127
5,23356297,9248,128
5,2657920,1019,14
5,23369525,9253,128
5,23316149,9253,128
5,23496691,9182,127
5,23563320,9248,128
5,23397765,9248,128
5,2960833,1163,16
5,22648374,8969,124
5,23350676,9250,128
5,22729479,8969,124
5,23210822,9111,126
5,22450159,8893,123
5,22633520,8969,124
