KDTREE,EUCLIDEAN,CONVEX,2,4490,150582
k,time,count,disk
5,40189116,40656,0
5,40944171,40656,0
5,44310433,40656,0
5,41343868,40656,0
5,45056594,40656,0
5,42811962,40656,0
5,42076638,40656,0
5,43184219,40656,0
5,43645171,40656,0
5,41231494,40656,0
5,43028680,40656,0
5,44137779,40656,0
5,41553019,40656,0
5,42515075,40656,0
5,43573619,40656,0
5,43092516,40656,0
5,43598800,40656,0
5,43427307,40656,0
5,43749638,40656,0
5,41555974,40656,0
5,43723098,40656,0
5,43988153,40656,0
5,41224382,40656,0
5,43056700,40656,0
5,44054961,40656,0
5,43145614,40656,0
5,43536598,40656,0
5,44140262,40656,0
5,43422424,40656,0
5,43391276,40656,0
5,43810072,40656,0
5,44099593,40656,0
5,44108302,40656,0
5,45405034,40656,0
5,43833949,40656,0
5,43633650,40656,0
5,43949437,40656,0
5,41286434,40656,0
5,41700091,40656,0
5,42040028,40656,0
5,43586007,40656,0
5,43365583,40656,0
5,41684479,40656,0
5,41787452,40656,0
5,43469499,40656,0
5,44001901,40656,0
5,43905714,40656,0
5,41938564,40656,0
5,41992660,40656,0
5,44779959,40656,0
5,42772291,40656,0
5,41247567,40656,0
5,42413657,40656,0
5,42587339,40656,0
5,42991782,40656,0
5,40752678,40656,0
5,41080636,40656,0
5,41510128,40656,0
5,42960469,40656,0
5,41878900,40656,0
5,42163243,40656,0
5,44258573,40656,0
5,42677241,40656,0
5,42463776,40656,0
5,43489389,40656,0
5,41453815,40656,0
5,41190271,40656,0
5,41646893,40656,0
5,41404863,40656,0
5,43168114,40656,0
5,41549510,40656,0
5,43028633,40656,0
5,43903137,40656,0
5,43548975,40656,0
5,44252323,40656,0
5,41794289,40656,0
5,41917780,40656,0
5,42156019,40656,0
5,42989845,40656,0
5,42829950,40656,0
5,42638391,40656,0
5,41418298,40656,0
5,40805583,40656,0
5,41183500,40656,0
5,40973892,40656,0
5,41113450,40656,0
5,40851124,40656,0
5,41694202,40656,0
5,42798676,40656,0
5,42274098,40656,0
5,41276720,40656,0
5,43362092,40656,0
5,43905205,40656,0
5,43009006,40656,0
5,42625449,40656,0
5,43405838,40656,0
5,43265451,40656,0
5,42298949,40656,0
5,42754136,40656,0
5,44148963,40656,0
5,43446523,40656,0
5,43201544,40656,0
5,44027529,40656,0
5,43060590,40656,0
5,42395988,40656,0
5,43212066,40656,0
5,43280221,40656,0
5,41713503,40656,0
5,41117656,40656,0
5,42343662,40656,0
5,43270528,40656,0
5,42736022,40656,0
5,43089537,40656,0
5,46088338,40656,0
5,40887593,40656,0
5,44773829,40656,0
5,44782813,40656,0
5,42117295,40656,0
5,40839122,40656,0
5,43520598,40656,0
5,43026781,40656,0
5,42822073,40656,0
5,42538696,40656,0
5,42497355,40656,0
5,42507141,40656,0
5,42155728,40656,0
5,41372489,40656,0
5,45193400,40656,0
5,44049760,40656,0
5,42738057,40656,0
5,44344550,40656,0
5,42004107,40656,0
5,43439354,40656,0
5,45370754,40656,0
5,44274265,40656,0
5,42545140,40656,0
5,43534902,40656,0
5,43539706,40656,0
5,44018715,40656,0
5,43713975,40656,0
5,42830766,40656,0
5,44242001,40656,0
5,44396707,40656,0
5,43996797,40656,0
5,42917701,40656,0
5,42029022,40656,0
5,44261641,40656,0
5,42465372,40656,0
5,44552309,40656,0
5,44756823,40656,0
5,42266363,40656,0
5,43326561,40656,0
5,42134656,40656,0
5,44025017,40656,0
5,43459016,40656,0
5,43247661,40656,0
5,43629573,40656,0
5,44026351,40656,0
5,42718456,40656,0
5,44112951,40656,0
5,43762962,40656,0
5,44426172,40656,0
5,44193092,40656,0
5,44370366,40656,0
5,44916355,40656,0
5,42676728,40656,0
5,42860182,40656,0
5,44892585,40656,0
5,44449596,40656,0
5,42331555,40656,0
5,41893089,40656,0
5,44020087,40656,0
5,43773811,40656,0
5,43487674,40656,0
5,42149684,40656,0
5,42201061,40656,0
5,41432924,40656,0
5,43513767,40656,0
5,43393938,40656,0
5,43911556,40656,0
5,41465737,40656,0
5,41565764,40656,0
5,42634762,40656,0
5,43569804,40656,0
5,41888439,40656,0
5,44012557,40656,0
5,41883688,40656,0
5,43938615,40656,0
5,41653248,40656,0
5,41757140,40656,0
5,42142897,40656,0
5,41992019,40656,0
5,41865451,40656,0
5,43640748,40656,0
5,41425235,40656,0
5,42430556,40656,0
5,41571161,40656,0
5,43482503,40656,0
5,43070002,40656,0
5,41642648,40656,0
5,42478597,40656,0
5,41938371,40656,0
5,43353183,40656,0
5,43424484,40656,0
5,44403225,40656,0
5,41089290,40656,0
5,42664369,40656,0
5,43202254,40656,0
5,43282193,40656,0
5,43428001,40656,0
5,42483355,40656,0
5,44105693,40656,0
5,43760692,40656,0
5,44210654,40656,0
5,43406599,40656,0
5,43819272,40656,0
5,43073013,40656,0
5,42423866,40656,0
5,41794989,40656,0
5,42185160,40656,0
5,44177223,40656,0
5,43592172,40656,0
5,43231429,40656,0
5,43030110,40656,0
5,43382971,40656,0
5,41621975,40656,0
5,43300573,40656,0
5,43713060,40656,0
5,42697117,40656,0
5,42884097,40656,0
5,42111346,40656,0
5,40908232,40656,0
5,43019202,40656,0
5,42310372,40656,0
5,44035851,40656,0
5,43800577,40656,0
5,41532602,40656,0
5,43882907,40656,0
5,44840705,40656,0
5,44016472,40656,0
5,44869669,40656,0
5,43553054,40656,0
5,41935121,40656,0
5,43003961,40656,0
5,42883405,40656,0
5,43854335,40656,0
5,44509071,40656,0
5,43601226,40656,0
5,41506867,40656,0
5,43680622,40656,0
5,41762579,40656,0
5,44889673,40656,0
5,41838971,40656,0
5,42491414,40656,0
5,42875323,40656,0
5,43022269,40656,0
5,43800372,40656,0
5,44362824,40656,0
5,43713164,40656,0
5,43414584,40656,0
5,45308755,40656,0
5,43041481,40656,0
5,42821478,40656,0
5,44129261,40656,0
5,44244287,40656,0
5,42180438,40656,0
5,43758791,40656,0
5,43263363,40656,0
5,43719110,40656,0
5,41315766,40656,0
5,41865501,40656,0
5,43812744,40656,0
5,43367106,40656,0
5,43988709,40656,0
5,41907416,40656,0
5,44377198,40656,0
5,43555029,40656,0
5,43556083,40656,0
5,41708239,40656,0
5,44028825,40656,0
5,41524911,40656,0
5,42548674,40656,0
5,41646967,40656,0
5,40453519,40656,0
5,43909194,40656,0
5,42272762,40656,0
5,41323272,40656,0
5,42218245,40656,0
5,44014409,40656,0
5,41837523,40656,0
5,41447479,40656,0
5,41616337,40656,0
5,43734704,40656,0
5,42095889,40656,0
5,44479289,40656,0
5,43812388,40656,0
5,43844402,40656,0
5,41661904,40656,0
5,42360938,40656,0
5,43363903,40656,0
5,41231235,40656,0
5,44471098,40656,0
5,44276168,40656,0
5,43508754,40656,0
5,44098070,40656,0
5,42635769,40656,0
5,43284997,40656,0
5,43158509,40656,0
5,43936165,40656,0
5,44909500,40656,0
5,43328860,40656,0
5,43493098,40656,0
5,43503547,40656,0
5,43474977,40656,0
5,44480763,40656,0
5,41612221,40656,0
5,43523026,40656,0
5,43697115,40656,0
5,43345277,40656,0
5,43784291,40656,0
5,41997248,40656,0
5,43107384,40656,0
5,42942089,40656,0
5,43273307,40656,0
5,42584958,40656,0
5,43277294,40656,0
5,43201737,40656,0
5,43096680,40656,0
5,41856019,40656,0
5,43585910,40656,0
5,42205608,40656,0
5,42924038,40656,0
5,42543090,40656,0
5,41787043,40656,0
5,41968214,40656,0
5,45581624,40656,0
5,43240771,40656,0
5,43779161,40656,0
5,40983835,40656,0
5,41102792,40656,0
5,43931775,40656,0
5,41990148,40656,0
5,41938932,40656,0
5,41584066,40656,0
5,43590302,40656,0
5,43845449,40656,0
5,42939023,40656,0
5,42888112,40656,0
5,43146267,40656,0
5,40994257,40656,0
5,41599649,40656,0
5,44036651,40656,0
5,44294710,40656,0
5,42386021,40656,0
5,43319904,40656,0
5,40625622,40656,0
5,43793913,40656,0
5,42707481,40656,0
5,43639615,40656,0
5,42601663,40656,0
5,43452576,40656,0
5,43490082,40656,0
5,42788649,40656,0
5,44076904,40656,0
5,44278778,40656,0
5,44686474,40656,0
5,43603209,40656,0
5,41960689,40656,0
5,44235106,40656,0
5,44108690,40656,0
5,43456085,40656,0
5,42955920,40656,0
5,41920614,40656,0
5,43744560,40656,0
5,41786671,40656,0
5,44075819,40656,0
5,43303720,40656,0
5,41666482,40656,0
5,44531014,40656,0
5,43632667,40656,0
5,45610805,40656,0
5,43252609,40656,0
5,42397901,40656,0
5,41654147,40656,0
5,40703860,40656,0
5,44001839,40656,0
5,43904363,40656,0
5,46082666,40656,0
5,44873430,40656,0
5,44326994,40656,0
5,43669261,40656,0
5,42317376,40656,0
5,43134853,40656,0
5,43776592,40656,0
5,43585562,40656,0
5,44185869,40656,0
5,43747898,40656,0
5,44636305,40656,0
5,43305966,40656,0
5,43182051,40656,0
5,42529165,40656,0
5,43399205,40656,0
5,43587461,40656,0
5,44162092,40656,0
5,44077533,40656,0
5,43493667,40656,0
5,43392671,40656,0
5,43649421,40656,0
5,43251823,40656,0
5,41950627,40656,0
5,42635079,40656,0
5,43199165,40656,0
5,42220633,40656,0
5,43959449,40656,0
5,42296379,40656,0
5,42623856,40656,0
5,45122384,40656,0
5,43218188,40656,0
5,42405501,40656,0
5,41775298,40656,0
5,42857595,40656,0
5,42861884,40656,0
5,43690020,40656,0
5,43342419,40656,0
5,43444487,40656,0
5,43098266,40656,0
5,44061152,40656,0
5,43644754,40656,0
5,42076516,40656,0
5,43333616,40656,0
5,42508260,40656,0
