KDTREE,EUCLIDEAN,GNAT,2,4490,114178
k,time,count,disk
5,42708839,40656,0
5,43090921,40656,0
5,46993315,40656,0
5,42601286,40656,0
5,41672664,40656,0
5,43713711,40656,0
5,45543776,40656,0
5,43329330,40656,0
5,46429904,40656,0
5,41551436,40656,0
5,43314653,40656,0
5,43517062,40656,0
5,42842641,40656,0
5,46845598,40656,0
5,43459386,40656,0
5,43026364,40656,0
5,43447080,40656,0
5,43725661,40656,0
5,43905458,40656,0
5,43233266,40656,0
5,43639140,40656,0
5,43724869,40656,0
5,44045087,40656,0
5,46971565,40656,0
5,44168396,40656,0
5,44625940,40656,0
5,44029524,40656,0
5,43952688,40656,0
5,46498040,40656,0
5,43477542,40656,0
5,43671575,40656,0
5,43282433,40656,0
5,43260804,40656,0
5,45195730,40656,0
5,44283790,40656,0
5,46876791,40656,0
5,43940838,40656,0
5,43785242,40656,0
5,43751556,40656,0
5,44169120,40656,0
5,44592113,40656,0
5,47381541,40656,0
5,43432215,40656,0
5,43394914,40656,0
5,42479364,40656,0
5,44458355,40656,0
5,44586935,40656,0
5,43105397,40656,0
5,43437251,40656,0
5,44010919,40656,0
5,43144556,40656,0
5,42757834,40656,0
5,44134051,40656,0
5,43883198,40656,0
5,43921979,40656,0
5,44593573,40656,0
5,44117433,40656,0
5,44919505,40656,0
5,44318882,40656,0
5,43689868,40656,0
5,43369797,40656,0
5,44005439,40656,0
5,43940472,40656,0
5,44931758,40656,0
5,43808081,40656,0
5,44903841,40656,0
5,44233089,40656,0
5,45020747,40656,0
5,44903034,40656,0
5,46369265,40656,0
5,43925102,40656,0
5,47225715,40656,0
5,44450410,40656,0
5,44569762,40656,0
5,43004789,40656,0
5,43638046,40656,0
5,44520894,40656,0
5,44224974,40656,0
5,46679091,40656,0
5,44100026,40656,0
5,44673429,40656,0
5,43882242,40656,0
5,43828859,40656,0
5,44237514,40656,0
5,44610881,40656,0
5,45978034,40656,0
5,44421815,40656,0
5,43143769,40656,0
5,46706944,40656,0
5,42992826,40656,0
5,44299389,40656,0
5,45807329,40656,0
5,44557101,40656,0
5,44614944,40656,0
5,44265642,40656,0
5,43701378,40656,0
5,44485446,40656,0
5,43507715,40656,0
5,43602096,40656,0
5,43832169,40656,0
5,46557921,40656,0
5,44916479,40656,0
5,44257948,40656,0
5,44790138,40656,0
5,44269194,40656,0
5,46039560,40656,0
5,45935968,40656,0
5,44322988,40656,0
5,43823641,40656,0
5,44374230,40656,0
5,44293094,40656,0
5,43545756,40656,0
5,44624237,40656,0
5,45110698,40656,0
5,43326932,40656,0
5,44212329,40656,0
5,48668252,40656,0
5,43276663,40656,0
5,43705550,40656,0
5,47249343,40656,0
5,44942189,40656,0
5,44496663,40656,0
5,46089389,40656,0
5,44255553,40656,0
5,44246321,40656,0
5,43471422,40656,0
5,44713469,40656,0
5,45180898,40656,0
5,43782904,40656,0
5,46464376,40656,0
5,47881913,40656,0
5,43970590,40656,0
5,44268966,40656,0
5,42525873,40656,0
5,43920649,40656,0
5,44410594,40656,0
5,44457770,40656,0
5,43795023,40656,0
5,43656778,40656,0
5,43450802,40656,0
5,43694353,40656,0
5,43804080,40656,0
5,43924641,40656,0
5,43550958,40656,0
5,44793543,40656,0
5,43010051,40656,0
5,47502289,40656,0
5,43769137,40656,0
5,44231327,40656,0
5,43947456,40656,0
5,43444894,40656,0
5,45219756,40656,0
5,44102047,40656,0
5,43674599,40656,0
5,43791661,40656,0
5,44116389,40656,0
5,45726326,40656,0
5,43701172,40656,0
5,42799092,40656,0
5,46753967,40656,0
5,44639198,40656,0
5,44542036,40656,0
5,44807579,40656,0
5,45315126,40656,0
5,44780682,40656,0
5,45042970,40656,0
5,44520228,40656,0
5,44627530,40656,0
5,44112010,40656,0
5,44761889,40656,0
5,44648823,40656,0
5,45795159,40656,0
5,44196700,40656,0
5,43529350,40656,0
5,44297307,40656,0
5,42754104,40656,0
5,44224174,40656,0
5,43669121,40656,0
5,44181015,40656,0
5,44035946,40656,0
5,44564685,40656,0
5,43014308,40656,0
5,45686000,40656,0
5,44212161,40656,0
5,44249370,40656,0
5,43772441,40656,0
5,44580301,40656,0
5,43555640,40656,0
5,43514676,40656,0
5,44355023,40656,0
5,44537750,40656,0
5,43641940,40656,0
5,44252644,40656,0
5,42939654,40656,0
5,43880660,40656,0
5,44408346,40656,0
5,44554804,40656,0
5,44274056,40656,0
5,43672217,40656,0
5,44969520,40656,0
5,44778856,40656,0
5,44115220,40656,0
5,43497749,40656,0
5,43847218,40656,0
5,45143782,40656,0
5,45077005,40656,0
5,44503886,40656,0
5,44251084,40656,0
5,44655416,40656,0
5,43451700,40656,0
5,43773558,40656,0
5,44059596,40656,0
5,47446389,40656,0
5,44855873,40656,0
5,45056202,40656,0
5,47122482,40656,0
5,43626071,40656,0
5,43252108,40656,0
5,43668215,40656,0
5,43095854,40656,0
5,43673126,40656,0
5,44511172,40656,0
5,43917903,40656,0
5,44319834,40656,0
5,45028122,40656,0
5,43051033,40656,0
5,45699371,40656,0
5,43769364,40656,0
5,44327727,40656,0
5,43481393,40656,0
5,44573672,40656,0
5,44459867,40656,0
5,44720812,40656,0
5,44223212,40656,0
5,45226673,40656,0
5,47567195,40656,0
5,44786316,40656,0
5,44405237,40656,0
5,44910962,40656,0
5,45543968,40656,0
5,44318668,40656,0
5,45059784,40656,0
5,44359599,40656,0
5,44938124,40656,0
5,44756263,40656,0
5,46807864,40656,0
5,44638601,40656,0
5,46876903,40656,0
5,44317400,40656,0
5,45649565,40656,0
5,42166916,40656,0
5,42073112,40656,0
5,43360316,40656,0
5,42860674,40656,0
5,43670151,40656,0
5,46456252,40656,0
5,44010969,40656,0
5,44221277,40656,0
5,44540499,40656,0
5,44584749,40656,0
5,42255783,40656,0
5,43508282,40656,0
5,44006591,40656,0
5,44568119,40656,0
5,44514803,40656,0
5,44138941,40656,0
5,45671597,40656,0
5,45076796,40656,0
5,44614762,40656,0
5,43920368,40656,0
5,42961591,40656,0
5,44380140,40656,0
5,45104466,40656,0
5,45418404,40656,0
5,44428064,40656,0
5,43772142,40656,0
5,43985470,40656,0
5,42954766,40656,0
5,43323392,40656,0
