KDTREE,EUCLIDEAN,KMEDOIDS,2,4490,247285
k,time,count,disk
5,40586761,31969,0
5,42350498,38305,0
5,43672205,39600,0
5,39423098,29914,0
5,44549531,40105,0
5,38666175,27906,0
5,41384612,38555,0
5,38605013,26616,0
5,43801020,39362,0
5,43356597,38337,0
5,37086959,23115,0
5,37610409,23077,0
5,43874943,38335,0
5,42409744,38969,0
5,36919530,21336,0
5,37426513,24144,0
5,37647232,24144,0
5,38319734,24411,0
5,37622019,23152,0
5,42820891,37877,0
5,37496090,23649,0
5,37868184,24169,0
5,42385564,38076,0
5,42066772,38870,0
5,37944625,25724,0
5,39010273,28164,0
5,38574141,26383,0
5,38085345,25106,0
5,42146679,38856,0
5,39714878,29076,0
5,37579868,25445,0
5,37530828,24511,0
5,38703720,25944,0
5,42119659,39742,0
5,37174699,22949,0
5,44153786,39306,0
5,37895864,23704,0
5,44886563,37091,0
5,43939419,38290,0
5,43441937,37049,0
5,39062250,26626,0
5,44356821,39262,0
5,43053187,38307,0
5,42576183,38212,0
5,38825875,26582,0
5,37692363,22962,0
5,37124892,20851,0
5,40567718,32779,0
5,41883721,36192,0
5,43642732,39829,0
5,38270834,24511,0
5,42502123,38301,0
5,39319603,27424,0
5,39144868,28677,0
5,36235502,19033,0
5,43940033,38298,0
5,43566470,38325,0
5,44327740,38299,0
5,40289664,27228,0
5,44207271,38299,0
5,42616091,34175,0
5,38931800,24423,0
5,40941990,30301,0
5,42331922,38198,0
5,37433120,21928,0
5,43659346,38110,0
5,42589733,38300,0
5,42709322,38314,0
5,42132546,38298,0
5,42069063,38723,0
5,43587047,35555,0
5,40641792,27105,0
5,37344848,22292,0
5,39809849,27268,0
5,37158575,22573,0
5,43881967,38298,0
5,40601164,30805,0
5,40196586,29458,0
5,40741321,26243,0
5,39071959,26706,0
5,38856533,25848,0
5,44163393,38298,0
5,43409438,38296,0
5,43197072,38299,0
5,43484768,38300,0
5,42083372,38323,0
5,42960081,38299,0
5,43724368,38325,0
5,40534577,26237,0
5,40899669,32581,0
5,44134973,38147,0
5,40939936,26167,0
5,37937482,22152,0
5,39919113,28368,0
5,40971570,33115,0
5,40674376,30236,0
5,40805439,29628,0
5,42882847,38322,0
5,41120491,34038,0
5,36943575,21461,0
5,38816591,25569,0
5,40025897,27826,0
5,36865965,20524,0
5,40323394,27272,0
5,39538666,27905,0
5,39103420,25444,0
5,39175037,25356,0
5,43324255,38299,0
5,43246322,38300,0
5,40410595,31337,0
5,37105994,21959,0
5,38764588,27181,0
5,38007354,21495,0
5,38104683,23874,0
5,41939344,38353,0
5,44698114,40095,0
5,43439365,39678,0
5,43166245,38325,0
5,42923357,38300,0
5,40263040,26139,0
5,38996512,26001,0
5,40478040,28948,0
5,41837008,38511,0
5,40350005,30452,0
5,40762577,31157,0
5,43218365,38300,0
5,42932519,38261,0
5,43979737,39925,0
5,37631382,23152,0
5,41511289,38674,0
5,43143058,39424,0
5,41138324,33256,0
5,37424875,22565,0
5,43383034,39970,0
5,37311425,23115,0
5,40097984,30904,0
5,37168235,21372,0
5,37559960,23704,0
5,37765654,24058,0
5,38859878,26383,0
5,40945031,32165,0
5,37916051,25201,0
5,37478526,23298,0
5,38746126,25729,0
5,42267173,38339,0
5,43055453,38325,0
5,43916716,39212,0
5,42044473,38298,0
5,37177554,23152,0
5,38081310,24169,0
5,42920438,38302,0
5,39444445,28285,0
5,40053410,33970,0
5,38707606,26383,0
5,39894018,29429,0
5,38039875,24656,0
5,42156583,39128,0
5,38398764,25777,0
5,43834707,38337,0
5,42774004,38876,0
5,39998769,28438,0
5,36637797,22624,0
5,38528279,25190,0
5,37769831,24577,0
5,36554115,21879,0
5,43653308,38299,0
5,44100009,38300,0
5,37744488,23504,0
5,37445930,24321,0
5,42828521,31047,0
5,43466049,38221,0
5,43390412,39225,0
5,38841226,26894,0
5,39933984,30724,0
5,43369576,38299,0
5,41043620,38195,0
5,43039998,38298,0
5,37107300,23596,0
5,38580869,26119,0
5,37332453,23343,0
5,43377187,38119,0
5,42248438,38360,0
5,42362616,38590,0
5,38325253,24450,0
5,43293471,38299,0
5,36687879,17940,0
5,43004735,38299,0
5,37402806,23568,0
5,43256206,38300,0
5,43212374,38300,0
5,43433915,38298,0
5,43428431,38299,0
5,43431643,38148,0
5,38474542,25944,0
5,43088933,38298,0
5,42726590,38307,0
5,43724880,38271,0
5,40068366,28091,0
5,41732054,38563,0
5,43738720,38298,0
5,41563320,36904,0
5,41938402,36296,0
5,40825044,26727,0
5,38049091,25243,0
5,36615813,19864,0
5,43569161,38271,0
5,40304269,31473,0
5,40244640,27532,0
5,39903077,26775,0
5,37784244,23211,0
5,41139937,32752,0
5,37349752,23401,0
5,40714267,26301,0
5,35877950,14878,0
5,40209134,27276,0
5,40662693,26189,0
5,39611612,27754,0
5,41775729,33465,0
5,42675132,34561,0
5,43350757,38298,0
5,37988903,24019,0
5,40100777,27591,0
5,40144163,29366,0
5,40565371,31230,0
5,40081466,27018,0
5,43092911,38298,0
5,38925193,25615,0
5,37570654,23685,0
5,40918854,31502,0
5,39821568,30932,0
5,44053698,37902,0
5,41993543,36391,0
5,40123266,30936,0
5,40957707,33502,0
5,38534256,24256,0
5,39045841,25589,0
5,43689574,37240,0
5,39040194,26663,0
5,38846877,23785,0
5,40695917,29026,0
5,38216267,22975,0
5,40259537,30636,0
5,42779375,38298,0
5,40430331,30017,0
5,40317149,28007,0
5,38961182,24819,0
5,37503615,22886,0
5,39161984,25773,0
5,42747464,36853,0
5,38703033,25802,0
5,41940246,38302,0
5,43931603,40084,0
5,42557481,36887,0
5,42040221,38406,0
5,40791216,30276,0
5,40742393,26867,0
5,36845943,22112,0
5,36690499,19880,0
5,43052776,38862,0
5,36926557,22074,0
5,43588152,40071,0
5,39590937,31310,0
5,41848942,33628,0
5,36409884,19821,0
5,36476263,20545,0
5,40325697,30055,0
5,39567255,25481,0
5,40262104,27954,0
5,36353448,19559,0
5,43884846,38338,0
5,40841686,32652,0
5,36702713,18541,0
5,40325318,27004,0
5,39904010,28267,0
5,41835725,38459,0
5,36780983,21399,0
5,40124340,27423,0
5,38883563,25759,0
5,42135400,36758,0
5,39141256,28789,0
5,42252935,38454,0
5,41255459,32973,0
5,42612149,38360,0
5,42311108,38487,0
5,40267062,26248,0
5,43887299,38335,0
5,42991080,38383,0
5,40220243,29691,0
5,37018459,21392,0
