KDTREE,EUCLIDEAN,MAXSEPARETED,2,4490,45952
k,time,count,disk
5,40956122,40656,0
5,41425833,40656,0
5,43921679,40656,0
5,41187213,40656,0
5,45922064,40656,0
5,43754078,40656,0
5,42853090,40656,0
5,43107613,40656,0
5,43514624,40656,0
5,41779882,40656,0
5,44736922,40656,0
5,44665609,40656,0
5,42484756,40656,0
5,43743212,40656,0
5,44579977,40656,0
5,44593756,40656,0
5,44548250,40656,0
5,44491950,40656,0
5,45003022,40656,0
5,43056708,40656,0
5,44804520,40656,0
5,44850240,40656,0
5,42947197,40656,0
5,44757519,40656,0
5,44529031,40656,0
5,44661175,40656,0
5,44797817,40656,0
5,44744759,40656,0
5,43623807,40656,0
5,43344193,40656,0
5,44229398,40656,0
5,44844205,40656,0
5,44549413,40656,0
5,46081870,40656,0
5,45315170,40656,0
5,44837215,40656,0
5,45224239,40656,0
5,42610513,40656,0
5,43402496,40656,0
5,42984189,40656,0
5,44263244,40656,0
5,44495922,40656,0
5,42060734,40656,0
5,42357443,40656,0
5,44363472,40656,0
5,44643821,40656,0
5,44502724,40656,0
5,43363111,40656,0
5,42329786,40656,0
5,45241580,40656,0
5,44064169,40656,0
5,42710293,40656,0
5,43970249,40656,0
5,44164725,40656,0
5,45454618,40656,0
5,42505326,40656,0
5,41536549,40656,0
5,42159491,40656,0
5,43843664,40656,0
5,43160352,40656,0
5,43272167,40656,0
5,45224669,40656,0
5,43346481,40656,0
5,43592623,40656,0
5,44755947,40656,0
5,42573349,40656,0
5,41927039,40656,0
5,42548943,40656,0
5,42752116,40656,0
5,44298308,40656,0
5,42408438,40656,0
5,44133522,40656,0
5,44086084,40656,0
5,43293427,40656,0
5,44333827,40656,0
5,42391064,40656,0
5,42694782,40656,0
5,42918968,40656,0
5,43842899,40656,0
5,43688074,40656,0
5,44151164,40656,0
5,42462278,40656,0
5,42060772,40656,0
5,42313268,40656,0
5,42315050,40656,0
5,43199692,40656,0
5,43124162,40656,0
5,42502933,40656,0
5,43580794,40656,0
5,43362155,40656,0
5,42911842,40656,0
5,44094843,40656,0
5,44759648,40656,0
5,43254738,40656,0
5,42838202,40656,0
5,44147754,40656,0
5,44332540,40656,0
5,42819250,40656,0
5,43013077,40656,0
5,44445923,40656,0
5,43865459,40656,0
5,44039527,40656,0
5,45195832,40656,0
5,44364533,40656,0
5,44221028,40656,0
5,44744855,40656,0
5,44158262,40656,0
5,42975473,40656,0
5,42799516,40656,0
5,44481994,40656,0
5,45557641,40656,0
5,44764477,40656,0
5,44933408,40656,0
5,46788172,40656,0
5,42922955,40656,0
5,46431948,40656,0
5,45671213,40656,0
5,43271974,40656,0
5,43675546,40656,0
5,44953628,40656,0
5,44807119,40656,0
5,44902760,40656,0
5,44219200,40656,0
5,44502078,40656,0
5,43699323,40656,0
5,42626080,40656,0
5,41887940,40656,0
5,46229309,40656,0
5,45243193,40656,0
5,44045963,40656,0
5,45814601,40656,0
5,43428385,40656,0
5,44465719,40656,0
5,46296856,40656,0
5,45051003,40656,0
5,43752105,40656,0
5,44806020,40656,0
5,44903156,40656,0
5,44458811,40656,0
5,44646512,40656,0
5,44039165,40656,0
5,45046476,40656,0
5,45160490,40656,0
5,45199243,40656,0
5,43766614,40656,0
5,42584729,40656,0
5,45166427,40656,0
5,42848215,40656,0
5,45235607,40656,0
5,45501399,40656,0
5,43228808,40656,0
5,43849503,40656,0
5,42887144,40656,0
5,45031552,40656,0
5,44439655,40656,0
5,44388432,40656,0
5,44670538,40656,0
5,44998552,40656,0
5,42870159,40656,0
5,44210556,40656,0
5,43946158,40656,0
5,45057202,40656,0
5,44747334,40656,0
5,45376895,40656,0
5,46171576,40656,0
5,43421391,40656,0
5,42914698,40656,0
5,45426201,40656,0
5,45767230,40656,0
5,43625101,40656,0
5,43158006,40656,0
5,45381227,40656,0
5,44593809,40656,0
5,44140382,40656,0
5,42873822,40656,0
5,43253501,40656,0
5,42908833,40656,0
5,45468007,40656,0
5,44617816,40656,0
5,45520177,40656,0
5,43151123,40656,0
5,42705607,40656,0
5,43785368,40656,0
5,44351955,40656,0
5,42452492,40656,0
5,45055946,40656,0
5,43138557,40656,0
5,45753250,40656,0
5,42968743,40656,0
5,42612173,40656,0
5,41865637,40656,0
5,42393182,40656,0
5,42297948,40656,0
5,44400426,40656,0
5,42429052,40656,0
5,43336224,40656,0
5,42711081,40656,0
5,43602924,40656,0
5,43127996,40656,0
5,42757872,40656,0
5,43496772,40656,0
5,43307080,40656,0
5,44807724,40656,0
5,44682646,40656,0
5,44909373,40656,0
5,42629955,40656,0
5,44235630,40656,0
5,44586344,40656,0
5,44491763,40656,0
5,44277891,40656,0
5,42805001,40656,0
5,44405366,40656,0
5,44171155,40656,0
5,45332246,40656,0
5,44770614,40656,0
5,44947882,40656,0
5,43757291,40656,0
5,42777953,40656,0
5,41695488,40656,0
5,42015427,40656,0
5,44749506,40656,0
5,43897085,40656,0
5,43121486,40656,0
5,43112740,40656,0
5,43528533,40656,0
5,42324002,40656,0
5,44365536,40656,0
5,44753941,40656,0
5,43501652,40656,0
5,43795204,40656,0
5,42104094,40656,0
5,42629483,40656,0
5,44248485,40656,0
5,43036190,40656,0
5,44786559,40656,0
5,44649361,40656,0
5,42803350,40656,0
5,44642288,40656,0
5,45727865,40656,0
5,44450106,40656,0
5,45203449,40656,0
5,44147527,40656,0
5,42611413,40656,0
5,44429248,40656,0
5,44914938,40656,0
5,44704319,40656,0
5,45144733,40656,0
5,44519967,40656,0
5,42685682,40656,0
5,44888871,40656,0
5,42067347,40656,0
5,45693821,40656,0
5,42824913,40656,0
5,43545072,40656,0
5,43631853,40656,0
5,43989921,40656,0
5,44335647,40656,0
5,44936060,40656,0
5,44245402,40656,0
5,44436622,40656,0
5,46695014,40656,0
5,43580969,40656,0
5,42945017,40656,0
5,44377633,40656,0
5,45857954,40656,0
5,44361475,40656,0
5,44992616,40656,0
5,43464980,40656,0
5,44571412,40656,0
5,43103887,40656,0
5,43362972,40656,0
5,44841691,40656,0
5,43922224,40656,0
5,44302677,40656,0
5,42322672,40656,0
5,45308815,40656,0
5,43955206,40656,0
5,43716108,40656,0
5,41561002,40656,0
5,43928434,40656,0
5,42007089,40656,0
5,43367317,40656,0
5,41731115,40656,0
5,41791954,40656,0
5,43829468,40656,0
5,42500462,40656,0
5,42786653,40656,0
5,43898696,40656,0
5,45317786,40656,0
5,43230823,40656,0
5,42118335,40656,0
5,42528857,40656,0
5,44624171,40656,0
5,43829108,40656,0
5,45644673,40656,0
5,44551298,40656,0
5,44539976,40656,0
5,43017074,40656,0
5,44101102,40656,0
5,44678056,40656,0
5,43246040,40656,0
5,45689739,40656,0
5,46270186,40656,0
5,45630213,40656,0
5,46271775,40656,0
5,44858221,40656,0
5,44338282,40656,0
5,44707094,40656,0
5,44858273,40656,0
5,45251314,40656,0
5,44428967,40656,0
5,44968419,40656,0
5,45185567,40656,0
5,44883692,40656,0
5,45226990,40656,0
5,43388829,40656,0
5,44547088,40656,0
5,44899096,40656,0
5,45157284,40656,0
5,45326565,40656,0
5,43682419,40656,0
5,45532376,40656,0
5,45161204,40656,0
5,44442788,40656,0
5,43382395,40656,0
5,44938720,40656,0
5,44243451,40656,0
5,45416864,40656,0
5,44019148,40656,0
5,44506682,40656,0
5,43488547,40656,0
5,43450244,40656,0
5,43258349,40656,0
5,43319191,40656,0
5,43582675,40656,0
5,46729420,40656,0
5,44662372,40656,0
5,43813817,40656,0
5,41629251,40656,0
5,42798297,40656,0
5,44996694,40656,0
5,42284489,40656,0
5,42162832,40656,0
5,43382133,40656,0
5,44770442,40656,0
5,45475378,40656,0
5,44093491,40656,0
5,44218149,40656,0
5,44384119,40656,0
5,42472751,40656,0
5,43412908,40656,0
5,45627707,40656,0
5,45551222,40656,0
5,43714925,40656,0
5,44603695,40656,0
5,42778787,40656,0
5,44305767,40656,0
5,43008175,40656,0
5,44650726,40656,0
5,43979365,40656,0
5,45459924,40656,0
5,44738097,40656,0
5,44165301,40656,0
5,44455246,40656,0
5,45133293,40656,0
5,44362168,40656,0
5,43941783,40656,0
5,41959122,40656,0
5,44424254,40656,0
5,45015157,40656,0
5,44416568,40656,0
5,44037705,40656,0
5,43047335,40656,0
5,45415291,40656,0
5,43471415,40656,0
5,45727659,40656,0
5,44766535,40656,0
5,42213100,40656,0
5,44816311,40656,0
5,44400596,40656,0
5,46922977,40656,0
5,45010202,40656,0
5,44643194,40656,0
5,43499038,40656,0
5,41986615,40656,0
5,44727424,40656,0
5,44747764,40656,0
5,46909986,40656,0
5,45184043,40656,0
5,45116112,40656,0
5,44951422,40656,0
5,43511482,40656,0
5,44439610,40656,0
5,44287817,40656,0
5,43561991,40656,0
5,43806655,40656,0
5,44299962,40656,0
5,45270164,40656,0
5,44677107,40656,0
5,44942452,40656,0
5,43339422,40656,0
5,43496964,40656,0
5,43970443,40656,0
5,44536583,40656,0
5,45209316,40656,0
5,44780576,40656,0
5,44057708,40656,0
5,43787566,40656,0
5,43538024,40656,0
5,42925733,40656,0
5,43689795,40656,0
5,44717487,40656,0
5,43196448,40656,0
5,44704644,40656,0
5,42679415,40656,0
5,42970101,40656,0
5,46550419,40656,0
5,44714776,40656,0
5,43480503,40656,0
5,42955850,40656,0
5,43992982,40656,0
5,44199897,40656,0
5,44801282,40656,0
5,45027888,40656,0
5,44254880,40656,0
5,44465725,40656,0
5,46011788,40656,0
5,45570696,40656,0
5,44891575,40656,0
5,45528886,40656,0
5,44383177,40656,0
5,45693554,40656,0
5,45976768,40656,0
5,44905822,40656,0
5,42937630,40656,0
5,43424186,40656,0
5,44743818,40656,0
5,43055118,40656,0
5,44928468,40656,0
5,43058395,40656,0
5,42738078,40656,0
5,45654136,40656,0
5,43551145,40656,0
5,45006835,40656,0
5,42608037,40656,0
5,45161427,40656,0
5,44005467,40656,0
5,43915331,40656,0
5,42832823,40656,0
5,45203129,40656,0
5,44788895,40656,0
5,42401309,40656,0
5,44764891,40656,0
5,44102597,40656,0
5,43586257,40656,0
5,42954406,40656,0
5,45171473,40656,0
5,43559906,40656,0
5,43668868,40656,0
5,44277765,40656,0
5,43602824,40656,0
5,45248588,40656,0
5,43486183,40656,0
5,43231375,40656,0
5,45195902,40656,0
5,46440206,40656,0
5,44337519,40656,0
5,43790430,40656,0
5,46919112,40656,0
5,46721962,40656,0
5,43868597,40656,0
5,42597293,40656,0
5,45263496,40656,0
5,44739522,40656,0
5,43210966,40656,0
5,42379358,40656,0
5,44344916,40656,0
5,42653215,40656,0
5,45533351,40656,0
5,44457268,40656,0
5,45879277,40656,0
5,45308853,40656,0
5,44780598,40656,0
5,45132827,40656,0
5,45689743,40656,0
5,45508515,40656,0
5,46303707,40656,0
5,43769352,40656,0
5,45753743,40656,0
5,44272148,40656,0
5,45032739,40656,0
5,45718434,40656,0
5,44901688,40656,0
5,45605935,40656,0
5,45428030,40656,0
5,46347866,40656,0
5,44976233,40656,0
5,44837008,40656,0
5,44914680,40656,0
5,43127221,40656,0
5,44403106,40656,0
5,43521526,40656,0
5,45873273,40656,0
5,45147316,40656,0
5,44762740,40656,0
5,44959825,40656,0
5,45380006,40656,0
5,45521483,40656,0
5,44734865,40656,0
5,47132674,40656,0
5,45101938,40656,0
5,45352716,40656,0
5,46488657,40656,0
5,43153121,40656,0
5,45275086,40656,0
5,45063184,40656,0
5,42419822,40656,0
5,42818665,40656,0
5,44404277,40656,0
5,45180943,40656,0
5,43783735,40656,0
5,44682651,40656,0
5,44484448,40656,0
5,45604445,40656,0
5,45128782,40656,0
5,45075091,40656,0
5,43431645,40656,0
5,44754237,40656,0
5,44149177,40656,0
5,45786796,40656,0
5,44740812,40656,0
5,46269494,40656,0
5,46440195,40656,0
5,44600331,40656,0
5,44316658,40656,0
5,44437171,40656,0
5,44423720,40656,0
5,44369411,40656,0
5,45262638,40656,0
