KDTREE,EUCLIDEAN,MAXVARIANCE,2,4490,286969
k,time,count,disk
5,34368241,15041,0
5,33481848,10681,0
5,40975770,39134,0
5,34409183,13528,0
5,44831868,40093,0
5,40689604,39205,0
5,37767381,27004,0
5,41580483,39277,0
5,40518150,38737,0
5,35068878,17867,0
5,41768104,39481,0
5,42584994,39573,0
5,37072115,24809,0
5,39995731,37546,0
5,41786737,39460,0
5,41430729,39399,0
5,41862143,39399,0
5,41755197,39371,0
5,42151722,39461,0
5,42876990,38419,0
5,42414864,39414,0
5,42061316,39415,0
5,33284316,11137,0
5,38984974,35481,0
5,40933056,39310,0
5,41483077,39185,0
5,41844114,39295,0
5,42237602,39368,0
5,42696596,35085,0
5,42080682,39156,0
5,42230833,39324,0
5,41968237,39408,0
5,41960084,39319,0
5,41193560,39397,0
5,41077924,39444,0
5,39769995,38656,0
5,41711919,39433,0
5,44254114,38439,0
5,32908161,9074,0
5,43785588,38473,0
5,42400411,39247,0
5,40458859,38544,0
5,43943966,36887,0
5,32586048,9993,0
5,41544307,39282,0
5,43371394,39630,0
5,43996043,39601,0
5,42318494,38868,0
5,42834817,38597,0
5,42373990,39589,0
5,42280198,39408,0
5,33194232,11025,0
5,41053531,39207,0
5,41512969,39132,0
5,42471821,39555,0
5,38721731,24066,0
5,42998229,38187,0
5,34364976,12288,0
5,44045584,39737,0
5,39973263,28215,0
5,41916814,38698,0
5,43313577,39669,0
5,43543950,39810,0
5,36040393,19465,0
5,42632860,39605,0
5,33250433,8906,0
5,38280998,22825,0
5,33489570,10735,0
5,37878608,21425,0
5,39590183,31195,0
5,42478509,38602,0
5,43138819,39731,0
5,42980571,39595,0
5,43635867,39739,0
5,42794890,39619,0
5,46148276,36944,0
5,34439497,13233,0
5,43679057,39794,0
5,43681859,39719,0
5,41628184,39247,0
5,43355771,39698,0
5,42517022,32143,0
5,45532908,38285,0
5,37131091,20831,0
5,41365342,34395,0
5,36306933,21535,0
5,38144424,22925,0
5,43328343,37815,0
5,44115515,39719,0
5,41448864,38861,0
5,32433038,8743,0
5,42910937,39708,0
5,42944368,39626,0
5,43466870,39761,0
5,44589510,39879,0
5,44437312,39818,0
5,44093303,39800,0
5,36546874,19882,0
5,41318641,38731,0
5,41707925,39567,0
5,43219235,39698,0
5,43087203,39753,0
5,42395205,39553,0
5,42923488,39739,0
5,43188667,39154,0
5,43183086,39697,0
5,43477542,39695,0
5,44116318,35097,0
5,36205736,18690,0
5,40926300,38943,0
5,42080057,39469,0
5,40930959,39234,0
5,43246462,39617,0
5,42866484,39635,0
5,33749956,13066,0
5,44597330,40061,0
5,41153065,39276,0
5,35430981,17910,0
5,43459908,35815,0
5,43040388,39716,0
5,41327146,39282,0
5,43717576,39772,0
5,37850355,26223,0
5,44551331,38991,0
5,43526789,38931,0
5,33714781,10075,0
5,46449118,38315,0
5,41349996,39756,0
5,41707992,39461,0
5,38947351,30114,0
5,41896424,38856,0
5,34894308,14924,0
5,42047360,39516,0
5,42031343,39846,0
5,41581834,39481,0
5,41881986,38955,0
5,42257470,39481,0
5,41614924,39433,0
5,41484317,39435,0
5,40618109,39295,0
5,40888389,38923,0
5,41615393,39368,0
5,42194384,39447,0
5,41777844,39329,0
5,36640542,22158,0
5,39064948,31784,0
5,41063867,38447,0
5,36462824,17163,0
5,42161001,39461,0
5,41628663,39415,0
5,33085609,10126,0
5,42582918,39744,0
5,34817494,16047,0
5,41304066,39295,0
5,41191300,39113,0
5,42240079,39341,0
5,40685475,38326,0
5,41435725,39330,0
5,37971887,29388,0
5,40117366,35555,0
5,42745674,39123,0
5,41777461,39478,0
5,42007595,39344,0
5,42458798,39372,0
5,42301095,39532,0
5,45091755,35536,0
5,39375889,30470,0
5,41392988,39463,0
5,41387072,39419,0
5,33955891,12539,0
5,32623788,8765,0
5,40447699,38478,0
5,42068162,39260,0
5,41478754,39039,0
5,37184799,19953,0
5,34321819,15239,0
5,41507576,30571,0
5,41874337,39452,0
5,42820782,39259,0
5,42131690,39523,0
