KDTREE,EUCLIDEAN,PCA,2,4490,356649
k,time,count,disk
5,47148095,40032,0
5,45911538,40075,0
5,37526183,15049,0
5,47342695,40042,0
5,41640104,40054,0
5,45257680,40109,0
5,47120531,39966,0
5,45700593,40109,0
5,39292360,20674,0
5,45109617,40095,0
5,46485726,40109,0
5,47228286,40109,0
5,44844639,40099,0
5,43425638,32838,0
5,47968761,40109,0
5,46842775,40109,0
5,46454792,40109,0
5,46297679,40109,0
5,47111670,40109,0
5,44450152,40107,0
5,46372866,40109,0
5,46398843,40109,0
5,46314973,40060,0
5,44722351,35551,0
5,47133933,40109,0
5,45572016,40109,0
5,45772809,40109,0
5,46743115,40109,0
5,45129541,36298,0
5,45216567,40109,0
5,46808562,40109,0
5,45990291,40109,0
5,45786895,40109,0
5,36925981,14474,0
5,46647699,40109,0
5,39827007,22338,0
5,46618954,40109,0
5,47617390,40107,0
5,47825627,40070,0
5,45519051,40107,0
5,47045192,40109,0
5,40550379,24663,0
5,46711887,40107,0
5,48761645,40061,0
5,45928704,40109,0
5,49568095,40109,0
5,48911587,40109,0
5,45088399,40108,0
5,43530658,40107,0
5,35128014,14194,0
5,46383361,40109,0
5,48857463,40064,0
5,47001831,40109,0
5,46456321,40109,0
5,48363408,40109,0
5,47003736,40099,0
5,45191029,40107,0
5,48029024,40086,0
5,49298387,40109,0
5,46506721,40103,0
5,45858365,40108,0
5,49984221,40109,0
5,48058388,40109,0
5,48119562,40009,0
5,48294348,40109,0
5,47970006,40061,0
5,47100057,40099,0
5,46352171,40073,0
5,47749898,40099,0
5,47627245,38816,0
5,44934244,40107,0
5,48499774,40109,0
5,47779093,40109,0
5,49343923,40109,0
5,48223319,40109,0
5,47324889,40107,0
5,47453497,40042,0
5,50127399,40109,0
5,49859730,40109,0
5,48261062,40109,0
5,48170971,40109,0
5,48001673,40104,0
5,46569663,40107,0
5,45665449,40099,0
5,45196375,40105,0
5,47336241,40002,0
5,47097324,40099,0
5,45193626,40107,0
5,50387034,40109,0
5,45895113,40108,0
5,49559687,40061,0
5,47877542,40109,0
5,49528755,40109,0
5,49858768,40109,0
5,47804870,40109,0
5,49681525,40109,0
5,49884284,40109,0
5,45450979,40095,0
5,45991747,40108,0
5,48304631,40109,0
5,49806808,40109,0
5,49943140,40109,0
5,47559425,40109,0
5,49152334,40109,0
5,48278514,40109,0
5,49893170,40109,0
5,49413943,40109,0
5,46169305,40106,0
5,45289958,40095,0
5,46557221,40108,0
5,46339087,40109,0
5,46140918,40109,0
5,49994096,40109,0
5,48230007,40109,0
5,45891511,40075,0
5,42057753,40014,0
5,39881344,13887,0
5,46327862,40095,0
5,46382126,40107,0
5,49823378,40109,0
5,47146695,40109,0
5,48382102,40109,0
5,48136795,39968,0
5,48568913,40109,0
5,47916044,40108,0
5,48188532,40073,0
5,47316067,40107,0
5,35418493,17866,0
5,46691040,40109,0
5,47041629,39476,0
5,38957949,18539,0
5,47613713,40032,0
5,46545552,40109,0
5,36854680,21929,0
5,47201841,40109,0
5,46210241,40109,0
5,47423886,40109,0
5,46182530,40109,0
5,45699553,40109,0
5,45309575,40109,0
5,44241166,40108,0
5,45803782,40109,0
5,46591743,40109,0
5,45892397,40109,0
5,48066925,39995,0
5,45845528,40104,0
5,41745337,25500,0
5,47841838,40095,0
5,47242075,40109,0
5,46992501,40109,0
5,48052493,40073,0
5,46697657,40109,0
5,46498341,40028,0
5,45517398,40109,0
5,44805609,40109,0
5,47654733,40109,0
5,41631045,28615,0
5,46189076,40109,0
5,44762044,40103,0
5,45963710,35447,0
5,47880488,40109,0
5,47212387,40109,0
5,46416333,40109,0
5,46058980,40109,0
5,46396269,40109,0
5,46467979,40106,0
5,45704211,40103,0
5,47065588,40109,0
5,46648198,40109,0
5,48001091,40048,0
5,49135008,40068,0
5,40969960,24998,0
5,46024904,40109,0
5,45041460,40109,0
5,47568728,40098,0
5,46363005,40042,0
5,46725260,40103,0
5,46402301,40109,0
5,47994586,40109,0
5,47331137,40109,0
5,50637738,40061,0
5,45337632,40064,0
5,48079992,39952,0
5,48814443,40109,0
5,47940054,40095,0
5,48970643,40109,0
5,47579256,40098,0
5,46339010,40109,0
5,46268826,40104,0
5,47561196,40095,0
5,46995119,40100,0
5,47600812,40090,0
5,50682204,40061,0
5,46113278,40109,0
5,47321953,40100,0
5,48565619,40071,0
5,46857486,40107,0
5,48195342,40109,0
5,45558624,39999,0
5,47506818,40104,0
5,47379455,40015,0
5,43870334,40107,0
5,45756647,40109,0
5,45885851,40109,0
5,48910648,40109,0
5,49264261,40069,0
5,50198424,40109,0
5,49774225,40109,0
5,49700956,40109,0
5,47515946,40109,0
5,44713715,40108,0
5,47560441,40109,0
5,49986534,40109,0
5,49807962,40109,0
5,50415354,40109,0
5,49513296,40109,0
5,47218258,40109,0
5,47174809,40108,0
5,47527864,40108,0
5,47196139,40103,0
5,49385665,40109,0
5,49742918,40109,0
5,48350447,40109,0
5,50102278,40109,0
5,50185166,40109,0
5,47301646,40094,0
5,49743628,40109,0
5,48686137,40109,0
5,50719110,40109,0
5,46072787,40109,0
5,47778055,40056,0
5,46224021,40107,0
5,50646081,40109,0
5,47835001,40108,0
5,49859457,40109,0
5,49910313,40109,0
5,47767051,40107,0
5,49508045,40109,0
5,49668628,40109,0
5,50305791,40109,0
5,49402209,40109,0
5,50142046,40109,0
5,46292572,40099,0
5,47848238,40109,0
5,50247994,40109,0
5,49713064,40109,0
5,49218215,40109,0
5,49899188,40109,0
5,47027934,40107,0
5,48692584,40109,0
5,45962663,40107,0
5,41603457,39981,0
5,45525684,40107,0
5,47721666,39997,0
5,46959761,40109,0
5,48728392,40109,0
5,47599925,40109,0
5,48585637,40109,0
5,45399238,37554,0
5,47223303,40109,0
5,41758665,39946,0
5,45620547,40108,0
5,47004137,40108,0
5,47373200,40109,0
5,48254011,40109,0
5,50503725,40109,0
5,49727282,40109,0
5,49176622,40109,0
5,47886140,40109,0
5,43430890,40104,0
5,45595793,40108,0
5,49712782,40109,0
5,50037704,40109,0
5,50143580,40109,0
5,44779517,40037,0
5,47527834,40109,0
5,47395327,40109,0
5,46770945,40109,0
5,43302803,40107,0
5,44984597,40109,0
5,44823531,40073,0
5,47035988,40108,0
5,44211855,40091,0
5,42270137,40086,0
5,49278844,40109,0
5,42890180,40104,0
5,42815830,40095,0
5,49547865,40109,0
5,47826090,40109,0
5,47639147,40107,0
5,45573341,40073,0
5,47402613,40065,0
5,46961151,40109,0
5,46816873,40109,0
5,49257623,40109,0
5,46706956,40109,0
5,50289054,40109,0
5,45937711,40103,0
5,50315189,40109,0
5,47576878,40109,0
5,48006036,40073,0
5,39827542,24778,0
5,48736390,40109,0
5,49065410,40109,0
5,49323129,40109,0
5,47351761,40109,0
5,50084344,40109,0
5,48027324,40109,0
5,48962468,40109,0
5,49465431,40109,0
5,49664363,40109,0
5,47400121,40109,0
5,47642185,40109,0
5,49280097,40109,0
5,47056409,40109,0
5,44424538,40107,0
5,47320147,40109,0
5,47935707,40109,0
5,44890553,40109,0
5,48203469,40109,0
5,45451769,40108,0
5,47068473,40109,0
5,47121041,40109,0
5,48311970,40109,0
5,46125212,40109,0
5,46282162,40109,0
5,48287721,40109,0
5,47291030,40109,0
5,46075902,40109,0
5,46714334,40109,0
5,46709636,40109,0
5,48572960,40109,0
5,46138510,38759,0
5,46388167,40026,0
5,45041552,40095,0
5,36298046,20664,0
5,47481873,40109,0
5,48176264,40109,0
5,49363959,40061,0
5,48084572,40073,0
5,45821170,37397,0
5,46277018,40108,0
5,45305232,40106,0
5,48878247,40067,0
5,49740826,40109,0
5,48233838,40109,0
5,48920278,40109,0
5,48981537,40109,0
5,47701789,40109,0
5,46353220,40057,0
5,45003019,40107,0
5,47773213,40109,0
5,47971614,40109,0
5,44078413,40108,0
5,46891333,40109,0
5,43941312,40059,0
5,49647617,40109,0
5,48003428,40109,0
5,48993650,40109,0
5,46207718,40109,0
5,48382189,40109,0
5,49299455,40109,0
5,46246649,40109,0
5,48440215,40109,0
5,48015178,40109,0
5,47988410,40109,0
5,46523691,40109,0
5,43191470,40094,0
5,49673301,40109,0
5,49599784,40109,0
5,49667451,40109,0
5,50144161,40109,0
5,45329208,40107,0
5,49386605,40109,0
5,44007503,40107,0
5,49991825,40109,0
5,47745854,40109,0
5,46057414,40104,0
5,48411337,40109,0
5,48936288,40109,0
5,49482366,40109,0
5,49788091,40109,0
5,50032664,40109,0
5,46414752,40108,0
5,45812571,40107,0
5,50056613,40109,0
5,50004402,40109,0
5,48979624,40109,0
5,48627521,40109,0
5,49032315,40109,0
5,48985382,40109,0
5,46992805,40099,0
5,50560334,40109,0
5,49646948,40109,0
5,45321345,40108,0
5,49826948,40109,0
5,47605713,40109,0
5,50268640,40109,0
5,50224064,40109,0
5,50241424,40109,0
5,46544645,40109,0
5,50203975,40109,0
5,50281971,40109,0
5,50560474,40109,0
5,49860677,40109,0
5,49968324,40109,0
5,50278337,40109,0
5,51271024,40109,0
5,51329944,40109,0
5,46292685,40107,0
5,45923931,40107,0
5,46915322,40109,0
5,46135976,40103,0
5,47582209,40109,0
5,45437870,40095,0
5,47416747,40091,0
5,38849264,14078,0
5,45705651,40109,0
5,47725761,40015,0
5,45471690,40100,0
5,49988477,40109,0
5,49292324,40109,0
5,48645770,40109,0
5,50108329,40109,0
5,49405778,40109,0
5,49923215,40109,0
5,49106986,40109,0
5,49570150,40109,0
5,44509683,35753,0
5,40406693,26241,0
5,46176255,40109,0
5,48293167,40109,0
5,49411788,40109,0
5,43308585,29245,0
5,44251424,40107,0
5,47752645,40042,0
5,48320060,40109,0
5,45621002,40095,0
5,47784973,40109,0
5,46534021,40091,0
5,47255407,40099,0
5,36449834,19182,0
5,47868252,40090,0
5,49744701,40109,0
5,49283658,40073,0
5,49584824,40109,0
5,49222242,40109,0
5,48038944,39211,0
5,45274747,40004,0
5,49006387,40109,0
5,46793157,40109,0
5,44281154,40098,0
5,38040868,19071,0
5,47512688,40108,0
5,47263222,40050,0
5,46842700,40070,0
5,41480620,28885,0
5,47868844,40081,0
5,49472975,40072,0
5,50828742,40064,0
5,48485476,40091,0
5,47160837,40109,0
5,47722489,40054,0
5,48010892,40099,0
5,45275936,40108,0
5,39193545,18666,0
5,49512560,40109,0
5,45790558,40108,0
5,36296046,17856,0
5,35800860,14649,0
5,45736561,40108,0
5,46881133,40107,0
5,48587253,40109,0
5,46422840,40109,0
5,46836633,40037,0
5,46842933,40099,0
5,45150925,40109,0
5,42809501,40105,0
5,47063803,40109,0
5,48849423,40109,0
5,49044918,40109,0
5,43838682,29014,0
5,48148405,40109,0
5,49122384,40109,0
5,49195143,40109,0
5,49625584,40109,0
5,37889335,17093,0
5,48529175,40059,0
5,49368087,40109,0
5,47654856,40109,0
5,49113679,40109,0
5,49086271,40109,0
5,49646262,40109,0
5,48904834,40109,0
5,48055209,40109,0
5,39178235,18747,0
5,49474671,40109,0
5,49013332,40109,0
5,49164710,40109,0
5,49629865,40073,0
5,48640146,39973,0
5,45187378,40103,0
5,49130909,40109,0
5,49459773,40109,0
5,49555243,40109,0
5,48436408,40109,0
5,49496973,40109,0
5,49848470,40109,0
5,43654816,31902,0
5,44007047,40107,0
5,49029338,40109,0
