KDTREE,EUCLIDEAN,RANDOM,2,4490,20807
k,time,count,disk
5,42895889,38613,0
5,42030002,37662,0
5,45906755,39784,0
5,42733284,38502,0
5,49491710,40108,0
5,38599681,27183,0
5,43551340,39104,0
5,38130525,26031,0
5,45557758,39660,0
5,42021524,36992,0
5,36675986,21976,0
5,35879425,19956,0
5,41616034,36283,0
5,44285623,39383,0
5,37081979,21943,0
5,38221389,23751,0
5,37739839,23751,0
5,37588845,24114,0
5,37272585,22384,0
5,40448091,33371,0
5,36856608,23387,0
5,39765159,23529,0
5,44074399,38182,0
5,44765586,39322,0
5,38252620,25299,0
5,38517091,27391,0
5,38406689,25740,0
5,38075889,24527,0
5,44017009,39318,0
5,39039800,28002,0
5,37990524,25030,0
5,37413277,23835,0
5,38551991,25366,0
5,47036625,39879,0
5,36739601,22753,0
5,44103015,39619,0
5,36502476,23086,0
5,41634138,32943,0
5,44091214,37900,0
5,40866784,32997,0
5,37994612,26267,0
5,45034742,39573,0
5,41650139,34455,0
5,42870603,38057,0
5,38139308,26001,0
5,35753891,16581,0
5,35641555,17788,0
5,40005769,30663,0
5,40356396,32607,0
5,47635487,39935,0
5,37321307,23835,0
5,42956853,38013,0
5,39059028,26841,0
5,39010537,27826,0
5,35713770,19501,0
5,42738754,36125,0
5,41429085,34043,0
5,42614043,37437,0
5,35243174,15810,0
5,42589941,35691,0
5,40549368,31558,0
5,34896516,13917,0
5,35997009,21090,0
5,44362972,38853,0
5,36208200,17935,0
5,43323063,38089,0
5,42140833,36284,0
5,42228905,37754,0
5,42432498,36439,0
5,44288802,39231,0
5,39613286,32245,0
5,34316272,15884,0
5,36608989,18937,0
5,35098742,15584,0
5,35904113,17390,0
5,41636369,34321,0
5,43492015,38479,0
5,36373743,19216,0
5,34646426,13322,0
5,38101688,26243,0
5,34349534,15337,0
5,42120895,35172,0
5,40529794,33645,0
5,41433589,36523,0
5,41061001,34934,0
5,43452103,38924,0
5,41642009,36263,0
5,40661952,34281,0
5,35051584,13197,0
5,39058479,30541,0
5,43171230,38045,0
5,35300293,14659,0
5,35511742,16682,0
5,36233640,17572,0
5,37566161,24604,0
5,36796679,20560,0
5,36343434,19657,0
5,42610809,36708,0
5,39545424,31516,0
5,36311858,19395,0
5,34877188,12744,0
5,35762845,16605,0
5,36497621,19853,0
5,35633889,15837,0
5,39156131,27378,0
5,34517119,12899,0
5,34962236,12831,0
5,41033066,34786,0
5,41484963,36750,0
5,39641563,29773,0
5,36882898,22040,0
5,38538799,26672,0
5,35218984,16903,0
5,35938302,17212,0
5,42399176,37679,0
5,48272112,40105,0
5,47104724,39836,0
5,42315539,36918,0
5,41476098,34684,0
5,34584299,12926,0
5,38601912,25585,0
5,35836100,18445,0
5,43884444,39092,0
5,39362291,29100,0
5,40346143,29649,0
5,43692388,37729,0
5,41914127,33504,0
5,48135259,39999,0
5,37171623,22384,0
5,43337350,39201,0
5,45338121,39702,0
5,43761762,38607,0
5,36248877,21252,0
5,48152394,40022,0
5,36494896,21976,0
5,39863267,29490,0
5,36868720,21525,0
5,36672622,23086,0
5,37510674,23216,0
5,38206087,25740,0
5,39556346,30286,0
5,38161980,24550,0
5,37137358,22772,0
5,37647266,25118,0
5,43899180,38951,0
5,41047467,35450,0
5,45455339,39550,0
5,42636190,36884,0
5,36896192,22384,0
5,39774836,23529,0
5,42090090,37816,0
5,35524079,19935,0
5,43786304,38659,0
5,38664923,25740,0
5,38955170,28290,0
5,37426352,24615,0
5,44313670,39473,0
5,37996055,25147,0
5,41805348,35800,0
5,45116324,39324,0
5,39478225,27733,0
5,36095948,21940,0
5,37708894,24779,0
5,38488260,24143,0
5,36132924,20766,0
5,41408962,34663,0
5,41482451,35484,0
5,37081620,22428,0
5,39910141,23554,0
5,43739751,38418,0
5,43316926,37953,0
5,45499782,39555,0
5,38357771,26311,0
5,38998691,29238,0
5,42980452,36586,0
5,44474989,38485,0
5,42991527,35374,0
5,37473977,22793,0
5,37873613,25937,0
5,36670180,21330,0
5,44317083,38063,0
5,43452333,38034,0
5,44922735,39129,0
5,38410935,24675,0
5,42649193,36786,0
5,36295348,21671,0
5,42645757,36519,0
5,36847645,22076,0
5,42018742,35191,0
5,42963205,36792,0
5,42554782,36069,0
5,42259701,37346,0
5,42208325,38035,0
5,37818186,25366,0
5,42843949,35944,0
5,43815804,37875,0
5,41651157,33530,0
5,39141168,27499,0
5,44011675,38970,0
5,42706772,35214,0
5,44667663,38824,0
5,40540451,32667,0
5,38174226,26079,0
5,37955794,24685,0
5,36513496,19345,0
5,43150511,37914,0
5,37085317,22287,0
5,35437483,15786,0
5,35149471,14174,0
5,38040205,23911,0
5,39912552,30729,0
5,37947725,23919,0
5,34865420,13509,0
5,36413780,20439,0
5,36049754,15328,0
5,34433100,13213,0
5,39496510,27286,0
5,40442841,31148,0
5,40133924,31753,0
5,41662423,35720,0
5,35461555,15975,0
5,36179173,15944,0
5,35384628,18978,0
5,37359820,21907,0
5,35315027,14983,0
5,41954709,37072,0
5,34326049,12629,0
5,35293172,16538,0
5,36687881,22326,0
5,39565085,29563,0
5,44146497,38248,0
5,41192514,32649,0
5,36263921,21496,0
5,40265406,31170,0
5,35128837,14048,0
5,34410980,12281,0
5,41123209,32999,0
5,38503200,26354,0
5,34962494,14579,0
5,36041026,18540,0
5,35489429,16011,0
5,36621042,21121,0
5,42182666,36316,0
5,39567884,28804,0
5,36113489,16754,0
5,34671743,12822,0
5,35699238,16130,0
5,34509677,12539,0
5,41025873,32838,0
5,34605315,14552,0
5,41188526,34583,0
5,47867967,40099,0
5,40227903,32923,0
5,43788192,38950,0
5,36231200,21256,0
5,35311029,15185,0
5,37160501,22928,0
5,35499032,19935,0
5,45673300,39289,0
5,37023362,22414,0
5,48891807,40095,0
5,39847366,29757,0
5,40490506,31223,0
5,36664595,22107,0
5,36513884,18526,0
5,36728170,20171,0
5,34613570,12602,0
5,35945788,16631,0
5,36913056,21833,0
5,40930125,35237,0
5,40346143,30652,0
5,36860137,22138,0
5,35426556,14679,0
5,36052656,17275,0
5,42178557,38690,0
5,37397512,22151,0
5,38577827,27010,0
5,38490399,25639,0
5,40593374,32917,0
5,38937548,27882,0
5,42228013,37880,0
5,40153769,30834,0
5,41774584,37351,0
5,42272820,37675,0
5,35266552,13142,0
5,40651330,35290,0
5,41541285,37045,0
5,36247681,19704,0
5,36702219,20804,0
5,40355004,32158,0
5,41908175,37903,0
5,42825516,37981,0
5,36955958,23060,0
5,39538550,28299,0
5,35663304,17744,0
5,38420476,26227,0
5,34794256,12358,0
5,41502513,35548,0
5,36851154,21106,0
5,36882883,23056,0
5,43631584,37752,0
5,45352055,39583,0
5,35866172,17840,0
5,36102148,20118,0
5,36097210,18299,0
5,37757462,24569,0
5,36432964,16207,0
5,38874773,23772,0
5,35585767,20199,0
5,35433692,17544,0
5,34756818,13046,0
5,36265717,22351,0
5,36569290,21905,0
5,35173033,17118,0
5,35764093,20291,0
5,40542105,32075,0
5,37443467,22791,0
5,36371569,23214,0
5,38930720,28143,0
5,37038829,22772,0
5,39897411,31030,0
5,36242070,21900,0
5,36908662,22718,0
5,37180508,22365,0
5,38389535,27326,0
5,36783256,21884,0
5,37293863,22631,0
5,36485356,21941,0
5,38738411,27797,0
5,37298746,23162,0
5,39685677,29045,0
5,34528986,14130,0
5,45503224,39236,0
5,44843480,38674,0
5,43157246,36978,0
5,48887734,40018,0
5,38115624,23913,0
5,36060682,17798,0
5,42841234,38049,0
5,42628210,37773,0
5,44550557,39285,0
5,40245095,31949,0
5,41546961,34778,0
5,43353806,37969,0
5,35029489,13540,0
5,36350676,21305,0
5,36944472,21846,0
5,36191935,20681,0
5,38275662,26064,0
5,44222053,38239,0
5,41493822,33665,0
5,37019791,20917,0
5,36168584,19527,0
5,40461500,30758,0
5,38522169,25295,0
5,42213019,38332,0
5,34662257,13518,0
5,38808939,27212,0
5,36612988,21272,0
5,39031049,28967,0
5,35678218,16308,0
5,34355712,13908,0
5,38708997,27794,0
5,37733508,24150,0
5,37310286,22762,0
5,39417650,23613,0
5,38348393,26684,0
5,41546770,37242,0
5,36121174,15129,0
5,33809343,13676,0
5,36397224,18772,0
5,36810793,21138,0
5,41364578,33927,0
5,34600152,13447,0
5,40677645,33097,0
5,35819953,15885,0
5,38281514,25296,0
5,41377519,35318,0
5,36692391,20401,0
5,34971352,14680,0
5,34808249,16896,0
5,35226232,13850,0
5,35529465,16040,0
5,39746798,29700,0
5,41105204,33677,0
5,34864661,12836,0
5,34773985,13336,0
5,36166117,17310,0
5,36157654,19145,0
5,35443095,16260,0
5,35190448,15439,0
5,40733633,36455,0
5,35631704,16850,0
5,35131030,13823,0
5,39312483,30077,0
5,35234823,15416,0
5,38772215,26805,0
5,34818281,13146,0
5,35047607,13717,0
5,35069829,12855,0
5,38000113,26969,0
5,36124394,16774,0
5,36239144,19089,0
5,35975202,17937,0
5,35388435,14729,0
5,34510604,13225,0
5,36454531,19118,0
5,36874321,21498,0
5,36796846,22276,0
5,40963175,32307,0
5,41708236,34718,0
5,38830482,25855,0
5,41433876,35771,0
5,35996459,21766,0
5,42633546,36759,0
5,43194571,37297,0
5,47551114,39838,0
5,39478932,27552,0
5,43404690,38832,0
5,41526259,36129,0
5,37083643,22315,0
5,37070577,22315,0
5,35392399,15490,0
5,35173819,15427,0
5,36209267,17230,0
5,37195780,23282,0
5,35738401,19026,0
5,37299318,22923,0
5,44872205,39324,0
5,45734640,39532,0
5,39014868,27496,0
5,36673556,21037,0
5,36253103,18822,0
5,45689376,39454,0
5,41037541,32392,0
5,42982989,38490,0
5,35647180,17323,0
5,42561072,36880,0
5,38018656,24135,0
5,43134194,37281,0
5,42950400,36475,0
5,47421667,40005,0
5,43716687,37297,0
5,35464376,15929,0
5,42845183,37769,0
5,36854180,22161,0
5,38752651,27485,0
5,44736286,39210,0
5,43916235,38953,0
5,36806122,18780,0
5,38223624,26085,0
5,41443317,36622,0
5,44716468,39793,0
5,39771911,30463,0
5,44208385,38345,0
5,43038221,37928,0
5,46023385,39472,0
5,43507081,37491,0
5,44074558,37852,0
5,43653333,38017,0
5,43062201,37273,0
5,38609539,24238,0
5,43601996,38285,0
5,42482290,36456,0
5,39749868,29705,0
5,45982885,39701,0
5,35248938,16477,0
5,39751124,29773,0
5,48181661,40004,0
5,48333766,39944,0
5,40082397,29961,0
5,42000433,34180,0
5,35461561,16635,0
5,38424453,27208,0
5,43901030,38568,0
5,42347624,36143,0
5,40154493,29687,0
5,40882947,35141,0
5,37282865,22888,0
5,38635313,26085,0
5,35942889,19268,0
5,45262734,39459,0
5,38161710,25806,0
5,35779954,18801,0
5,36909053,20072,0
5,36830979,20953,0
5,45511108,39772,0
5,44068708,38191,0
5,35235979,16948,0
5,39076628,26488,0
5,35586174,17734,0
5,36579797,18460,0
5,37202260,21243,0
5,36171116,19786,0
5,37432395,23295,0
5,46080355,39705,0
5,35298038,17317,0
5,35722675,19324,0
5,36247346,19824,0
5,43354944,37811,0
5,43717421,39070,0
5,41518644,35408,0
5,36539861,19889,0
5,37008632,20953,0
5,34935217,16424,0
5,37669250,21638,0
5,36122839,19034,0
5,36584041,20072,0
5,45497332,39412,0
5,51225671,40109,0
5,36909191,21504,0
5,36795853,18460,0
5,50632872,40109,0
5,41463929,32928,0
5,36455862,19510,0
5,37268034,20901,0
5,42972073,38358,0
5,43204740,36759,0
5,39098562,26473,0
5,36136585,19034,0
5,38433168,24157,0
5,36976290,22826,0
5,35961683,16180,0
5,45551874,39755,0
5,35787375,18267,0
5,36122077,18138,0
5,40950888,32813,0
5,37231622,21756,0
5,37814453,22187,0
5,47341414,39943,0
5,37588051,23282,0
5,48013428,39931,0
5,48795612,40042,0
5,38893532,25215,0
5,37400457,21144,0
5,37563632,21831,0
5,38051907,23101,0
5,37638441,22674,0
5,34820038,13988,0
5,37397221,21043,0
5,36596167,20715,0
5,36708049,17425,0
5,37052975,21399,0
5,36584915,19353,0
5,36678987,17755,0
5,38478654,23720,0
5,35388632,15751,0
5,37261173,21392,0
5,37092839,21836,0
5,38659926,23411,0
5,38075999,23284,0
5,36460638,17841,0
