KDTREE,EUCLIDEAN,SELECTION,2,4490,434499
k,time,count,disk
5,40360341,38796,0
5,41076961,37913,0
5,45529824,39829,0
5,41299081,38698,0
5,48902482,40108,0
5,36341797,28766,0
5,42121046,39239,0
5,35839145,27770,0
5,44661231,39719,0
5,40289137,37311,0
5,35233591,23850,0
5,36839181,21907,0
5,39418517,36733,0
5,42957944,39476,0
5,35491818,24018,0
5,35578522,25513,0
5,35169230,25513,0
5,35703320,25876,0
5,35239350,24240,0
5,38066886,34271,0
5,35971760,25197,0
5,35798559,25259,0
5,40520967,38373,0
5,42328240,39420,0
5,35657210,27102,0
5,37209806,28950,0
5,36108615,27469,0
5,35140314,26208,0
5,42887787,39412,0
5,37390497,29508,0
5,36242465,26790,0
5,34938424,25519,0
5,36126504,27130,0
5,46317322,39910,0
5,35904268,24624,0
5,43477774,39687,0
5,35211766,24896,0
5,38896874,33926,0
5,42005513,38134,0
5,38996145,33943,0
5,35749018,27949,0
5,43072777,39646,0
5,38643755,35175,0
5,41262310,38285,0
5,36373797,27653,0
5,35851042,18957,0
5,36120808,20225,0
5,37932690,31954,0
5,38826375,33600,0
5,46916043,39960,0
5,35770505,25519,0
5,41056937,38254,0
5,35951021,28548,0
5,36810800,29425,0
5,37368541,21557,0
5,40195968,36618,0
5,38800287,34857,0
5,40379089,37726,0
5,32474676,11553,0
5,39927754,36207,0
5,38021745,32719,0
5,34674752,17265,0
5,33474323,14914,0
5,42262742,39011,0
5,36455797,20435,0
5,40897483,38312,0
5,39816143,36738,0
5,40208144,37997,0
5,40226360,36821,0
5,43347118,39332,0
5,39052464,33288,0
5,33395682,13454,0
5,36319653,21020,0
5,32597885,11850,0
5,36110470,19945,0
5,39127637,35103,0
5,41521898,38682,0
5,31186606,9623,0
5,33490628,13799,0
5,35925487,27996,0
5,34384643,15981,0
5,39739509,35759,0
5,38660205,34515,0
5,40448504,36890,0
5,39980390,35541,0
5,42764840,39084,0
5,41216276,36722,0
5,39421604,35078,0
5,33253333,13831,0
5,37908381,31865,0
5,41534745,38275,0
5,33848382,15395,0
5,35974110,19385,0
5,31103603,9030,0
5,35575647,19300,0
5,31551422,10451,0
5,31084102,8873,0
5,39890070,37049,0
5,37797695,32668,0
5,37166550,21785,0
5,33990383,15276,0
5,31682977,10331,0
5,37077582,22024,0
5,32293020,11431,0
5,37315447,28894,0
5,33834273,15446,0
5,34530622,15638,0
5,38875144,35404,0
5,39420776,37090,0
5,37443100,31096,0
5,35467421,23876,0
5,35945846,28310,0
5,36240198,19780,0
5,36391972,19399,0
5,39268542,37923,0
5,47432627,40107,0
5,45427709,39874,0
5,39400825,37245,0
5,38650786,35339,0
5,33674062,14147,0
5,35850829,27417,0
5,31471979,10662,0
5,42894502,39225,0
5,38152510,30561,0
5,38175110,31029,0
5,40477368,37969,0
5,39351427,34388,0
5,46772034,40012,0
5,34979331,24240,0
5,42574228,39311,0
5,45116509,39749,0
5,42172150,38773,0
5,35111936,23168,0
5,47332852,40036,0
5,35010332,23850,0
5,37656510,30911,0
5,34981238,23596,0
5,35884112,24896,0
5,35317423,24950,0
5,36545527,27469,0
5,37897290,31554,0
5,35654510,26220,0
5,35736392,24610,0
5,36094141,26833,0
5,42411346,39105,0
5,39135676,35989,0
5,44101199,39630,0
5,40818707,37217,0
5,35291181,24240,0
5,35692724,25259,0
5,40692249,38058,0
5,33881569,16040,0
5,41984732,38825,0
5,36383758,27469,0
5,37201087,29818,0
5,35877780,26276,0
5,43661836,39579,0
5,36112779,26838,0
5,39015557,36317,0
5,42631429,39421,0
5,36932318,29314,0
5,35539550,23863,0
5,36035651,26516,0
5,35226810,25869,0
5,38153913,22823,0
5,39970236,35346,0
5,39369234,36034,0
5,34998144,24225,0
5,36259859,25257,0
5,42401070,38639,0
5,41614034,38196,0
5,44047732,39635,0
5,36536815,28012,0
5,36719370,30646,0
5,41047761,36952,0
5,41803812,38687,0
5,40715394,35939,0
5,35464184,24581,0
5,36587934,27659,0
5,35729556,23143,0
5,42040347,38292,0
5,41148165,38265,0
5,42589667,39257,0
5,35792679,26358,0
5,40936381,37132,0
5,35897702,23717,0
5,40065290,36888,0
5,34527549,23872,0
5,40628082,35775,0
5,41664988,37147,0
5,41698748,36571,0
5,41745784,37630,0
5,41561886,38268,0
5,35740316,27130,0
5,40664119,36467,0
5,42169075,38112,0
5,40181391,34410,0
5,38031866,29046,0
5,41867788,39124,0
5,40303625,35796,0
5,42451738,38980,0
5,38639108,33649,0
5,35857449,27794,0
5,35748960,26311,0
5,37415142,21697,0
5,41865372,38164,0
5,33500899,14441,0
5,32641189,11912,0
5,33265946,12712,0
5,36060804,25531,0
5,38361775,31978,0
5,35595567,25502,0
5,33485963,13606,0
5,38529680,22768,0
5,32730177,11818,0
5,33689828,13832,0
5,37439094,28805,0
5,38764738,32356,0
5,38875708,32883,0
5,40226907,36246,0
5,35852723,19024,0
5,32111179,11084,0
5,32599789,12494,0
5,33278782,13653,0
5,32878839,11893,0
5,41292075,37386,0
5,34501584,15141,0
5,35558360,19099,0
5,33622519,14339,0
5,37756190,30890,0
5,41351817,38439,0
5,38776313,33638,0
5,33075721,12916,0
5,38543329,32370,0
5,35070822,17701,0
5,34505973,15376,0
5,39710501,33967,0
5,37313894,28100,0
5,35764426,18217,0
5,31429182,10028,0
5,36311415,19028,0
5,32345371,12377,0
5,40846078,36745,0
5,37941538,30311,0
5,31645409,10543,0
5,35662081,16574,0
5,35882178,18902,0
5,34174948,14781,0
5,38954071,33807,0
5,34213676,15542,0
5,39701576,35282,0
5,47705969,40103,0
5,38916994,33880,0
5,42679105,39104,0
5,33438697,14384,0
5,32862966,12899,0
5,35948824,24741,0
5,37139278,22079,0
5,42792887,39384,0
5,35154998,24150,0
5,48963828,40099,0
5,37255181,31073,0
5,39315823,32432,0
5,35779788,24156,0
5,36868675,20974,0
5,32010592,10946,0
5,34293609,15421,0
5,32695325,12136,0
5,35726153,23966,0
5,39062442,35786,0
5,38047611,31894,0
5,35813453,24223,0
5,33169822,12205,0
5,32066671,10941,0
5,41588809,38855,0
5,35621560,24164,0
