LAESA,EUCLIDEAN,CONVEX,2,4490,356376
k,time,count,disk
5,2467789,39147,0
5,2479165,38302,0
5,2444844,39804,0
5,2446080,39075,0
5,2439977,39919,0
5,2533117,31290,0
5,2479901,39491,0
5,2547289,30350,0
5,2444181,39767,0
5,2459763,38422,0
5,2564491,31355,0
5,2531694,31664,0
5,2467044,37913,0
5,2458142,39645,0
5,2561000,31136,0
5,2527963,30856,0
5,2551341,30856,0
5,2589521,30726,0
5,2540297,31267,0
5,2489412,36239,0
5,2527062,30922,0
5,2565174,31014,0
5,2469628,38757,0
5,2444948,39625,0
5,2530089,30383,0
5,2563941,31473,0
5,2559696,30445,0
5,2542431,30795,0
5,2451239,39606,0
5,2563770,32022,0
5,2553698,30508,0
5,2564701,30967,0
5,2535583,30519,0
5,2475400,39854,0
5,2573871,31103,0
5,2450727,39732,0
5,2582329,31081,0
5,2534036,35842,0
5,2476894,38527,0
5,2494214,36034,0
5,2543197,30525,0
5,2513219,39721,0
5,2494633,36816,0
5,2455472,38683,0
5,2528704,30613,0
5,2574390,31705,0
5,2551904,31529,0
5,2494183,34472,0
5,2499648,35749,0
5,2481549,39865,0
5,2534065,30967,0
5,2519707,38659,0
5,2528957,31050,0
5,2582783,31972,0
5,2524378,31348,0
5,2472012,37810,0
5,2490717,36608,0
5,2515278,38232,0
5,2533266,32386,0
5,2477756,37514,0
5,2495953,34988,0
5,2567934,31962,0
5,2520838,33211,0
5,2452034,39322,0
5,2531044,31470,0
5,2498854,38688,0
5,2480904,37875,0
5,2457533,38372,0
5,2464716,37963,0
5,2495566,39551,0
5,2511924,35446,0
5,2529749,32199,0
5,2528706,31286,0
5,2561744,32378,0
5,2528654,31527,0
5,2492187,36724,0
5,2459475,39056,0
5,2557654,32813,0
5,2527365,32276,0
5,2546296,30430,0
5,2530140,32009,0
5,2526260,37202,0
5,2482709,36335,0
5,2471023,38033,0
5,2481023,37033,0
5,2499125,39369,0
5,2471013,37881,0
5,2471638,36739,0
5,2518726,32263,0
5,2554915,34339,0
5,2486891,38647,0
5,2525175,32256,0
5,2527185,31708,0
5,2568191,32576,0
5,2512495,33731,0
5,2531395,32925,0
5,2510402,32840,0
5,2511052,38175,0
5,2513951,34659,0
5,2539529,31198,0
5,2519971,32141,0
5,2570393,32507,0
5,2521704,31080,0
5,2511614,32392,0
5,2534342,31463,0
5,2565918,32113,0
5,2518351,32084,0
5,2473896,36948,0
5,2462225,38188,0
5,2538383,33613,0
5,2554900,31402,0
5,2538065,30976,0
5,2527514,31661,0
5,2565755,31992,0
5,2464731,38299,0
5,2448303,39910,0
5,2454991,39829,0
5,2516130,38394,0
5,2484427,36899,0
5,2516590,32246,0
5,2527239,30320,0
5,2560140,32531,0
5,2458134,39477,0
5,2568051,33085,0
5,2514242,33526,0
5,2509796,38333,0
5,2487505,36271,0
5,2430106,39904,0
5,2529386,31267,0
5,2501637,39526,0
5,2456119,39778,0
5,2453782,39162,0
5,2529530,31464,0
5,2475753,39906,0
5,2535673,31355,0
5,2524657,33364,0
5,2528202,31249,0
5,2565096,31081,0
5,2528157,31142,0
5,2551128,30445,0
5,2505272,34048,0
5,2579518,30830,0
5,2525763,31143,0
5,2535969,30628,0
5,2448379,39404,0
5,2519196,37470,0
5,2457122,39723,0
5,2462878,38291,0
5,2524665,31267,0
5,2573484,31014,0
5,2461481,38428,0
5,2509663,33021,0
5,2446182,39147,0
5,2577650,30445,0
5,2529534,32321,0
5,2536272,30383,0
5,2447930,39690,0
5,2622791,30607,0
5,2474747,37644,0
5,2442674,39625,0
5,2553454,31866,0
5,2543103,31291,0
5,2533363,30625,0
5,2539971,30808,0
5,2564354,31450,0
5,2504013,36902,0
5,2484895,37368,0
5,2529898,31294,0
5,2552024,31071,0
5,2535763,39021,0
5,2466523,38562,0
5,2454815,39718,0
5,2561351,30413,0
5,2535152,33177,0
5,2700599,38077,0
5,2441623,39061,0
5,2510176,37339,0
5,2546134,31205,0
5,2542056,30108,0
5,2538088,31559,0
5,2494488,38679,0
5,2469584,38664,0
5,2450055,39508,0
5,2527253,30330,0
5,2497250,38225,0
5,2537447,30991,0
5,2474320,38022,0
5,2543689,31383,0
5,2506954,37198,0
5,2481605,38223,0
5,2477491,37748,0
5,2470642,38274,0
5,2495675,38638,0
5,2580395,30519,0
5,2505160,37685,0
5,2481945,38497,0
5,2542023,36273,0
5,2573486,31540,0
5,2476447,39426,0
5,2486699,37213,0
5,2507973,39301,0
5,2534815,35688,0
5,2548427,30366,0
5,2572765,30758,0
5,2599414,31296,0
5,2500583,38528,0
5,2530873,33215,0
5,2531441,32442,0
5,2595439,32349,0
5,2550541,30618,0
5,2528205,34315,0
5,2545697,30635,0
5,2575094,32253,0
5,2567664,31138,0
5,2549972,32475,0
5,2552099,32235,0
5,2617593,31326,0
5,2539923,34723,0
5,2583660,35094,0
5,2503029,37554,0
5,2583903,31791,0
5,2549927,32489,0
5,2574455,32630,0
5,2532376,33170,0
5,2575591,32404,0
5,2486583,38308,0
5,2542030,32149,0
5,2536892,31669,0
5,2622512,33202,0
5,2541058,33349,0
5,2467123,38836,0
5,2514782,35706,0
5,2552700,33106,0
5,2642626,34750,0
5,2551476,31937,0
5,2575527,32144,0
5,2524089,35940,0
5,2563722,30570,0
5,2541710,31882,0
5,2583350,32780,0
5,2550157,31808,0
5,2539147,33072,0
5,2496329,37901,0
5,2575168,32807,0
5,2562101,32561,0
5,2555880,32038,0
5,2556233,31764,0
5,2592076,32170,0
5,2501922,35827,0
5,2541686,32048,0
5,2500187,36856,0
5,2525408,39920,0
5,2518388,36014,0
5,2477116,39435,0
5,2536299,32829,0
5,2572864,32296,0
5,2551688,30752,0
5,2551255,31233,0
5,2457239,39610,0
5,2583522,30937,0
5,2461575,39921,0
5,2538255,33538,0
5,2504563,34802,0
5,2594781,30748,0
5,2543282,31409,0
5,2536370,32925,0
5,2536026,32125,0
5,2583971,32566,0
5,2560000,30939,0
5,2487638,37076,0
5,2526282,34297,0
5,2641622,30928,0
5,2553773,32404,0
5,2542031,32663,0
5,2488294,39122,0
5,2614418,30738,0
5,2530509,31169,0
5,2551347,30304,0
5,2526559,35587,0
5,2595538,32163,0
5,2478861,38353,0
5,2547764,34479,0
5,2481994,38213,0
5,2527912,38117,0
5,2554093,32284,0
5,2488321,37143,0
5,2475194,38278,0
5,2603093,32915,0
5,2537920,31392,0
5,2511759,35393,0
5,2510667,38416,0
5,2485651,38598,0
5,2613040,30927,0
5,2546120,32198,0
5,2574926,31615,0
5,2573673,30453,0
5,2526525,32209,0
5,2500142,37451,0
5,2583785,33098,0
5,2570421,30640,0
5,2477094,38346,0
5,2466522,39736,0
5,2565756,31590,0
5,2559398,31262,0
5,2538253,31517,0
5,2585469,30429,0
5,2583949,32515,0
5,2599130,30612,0
5,2572809,31283,0
5,2540370,31623,0
5,2579837,32077,0
5,2557285,31186,0
5,2544334,31243,0
5,2599669,31647,0
5,2602606,31527,0
5,2511315,35398,0
5,2581073,30859,0
5,2557873,30744,0
5,2572130,32406,0
5,2562794,30818,0
5,2534273,34435,0
5,2564239,31217,0
5,2608075,31022,0
5,2550733,30806,0
5,2560527,31037,0
5,2543361,31197,0
5,2597803,30788,0
5,2560435,31237,0
5,2527814,31700,0
5,2569948,31112,0
5,2577523,33041,0
5,2529501,32147,0
5,2462660,39547,0
5,2485426,39223,0
5,2506222,38375,0
5,2470370,39900,0
5,2556887,30550,0
5,2579954,31596,0
5,2483100,38625,0
5,2480593,38366,0
5,2475080,39603,0
5,2555154,35263,0
5,2508478,36894,0
5,2483835,38611,0
5,2545150,32341,0
5,2589974,31112,0
5,2566882,32962,0
5,2523783,32805,0
5,2569191,30048,0
5,2511814,38831,0
5,2522104,36439,0
5,2568143,30895,0
5,2568380,31173,0
5,2556838,34347,0
5,2560367,30239,0
5,2470713,38815,0
5,2548672,32212,0
5,2594304,31196,0
5,2560015,31134,0
5,2535994,32827,0
5,2536866,31766,0
5,2587836,32269,0
5,2555063,31641,0
5,2562324,30429,0
5,2559457,30804,0
5,2596437,30650,0
5,2588929,30534,0
5,2499961,38236,0
5,2525456,32466,0
5,2585998,32083,0
5,2529134,32764,0
5,2539228,33052,0
5,2505362,36518,0
5,2583137,32263,0
5,2504602,35612,0
5,2546622,31836,0
5,2568332,30229,0
5,2532550,37249,0
5,2540212,31045,0
5,2542897,31941,0
5,2538342,31683,0
5,2586750,32119,0
5,2543814,32555,0
5,2539018,33453,0
5,2506054,36306,0
5,2590471,32198,0
5,2541797,32071,0
5,2543716,31705,0
5,2539580,31438,0
5,2594078,31782,0
5,2552662,31879,0
5,2491942,38003,0
5,2574060,32591,0
5,2565146,32266,0
5,2538395,33467,0
5,2536575,32479,0
5,2648422,30848,0
5,2547317,32199,0
5,2558750,32373,0
5,2552197,32262,0
5,2596990,30936,0
5,2557310,32526,0
5,2539448,32840,0
5,2550449,32721,0
5,2598300,31946,0
5,2555323,32139,0
5,2544568,32858,0
5,2526602,33103,0
5,2583827,33205,0
5,2528739,35310,0
5,2497758,37024,0
5,2558242,30089,0
5,2539920,37633,0
5,2590619,31141,0
5,2480358,38222,0
5,2493069,38323,0
5,2497563,39832,0
5,2543530,31290,0
5,2476190,39308,0
5,2489446,37718,0
5,2571810,33080,0
5,2527979,33080,0
5,2545489,32236,0
5,2567758,32393,0
5,2564982,32430,0
5,2562612,33214,0
5,2528494,31301,0
5,2539717,30722,0
5,2519682,39615,0
5,2453805,39709,0
5,2679952,31416,0
5,2557290,30852,0
5,2587499,31562,0
5,2469397,39678,0
5,2515559,35505,0
5,2478455,39065,0
5,2591031,31472,0
5,2477705,38285,0
5,2542605,30500,0
5,2485784,38290,0
5,2527329,38017,0
5,2458790,39905,0
5,2494855,38281,0
5,2541503,31907,0
5,2518203,38350,0
5,2551840,31031,0
5,2557672,31626,0
5,2471567,39532,0
5,2510489,39387,0
5,2563941,31581,0
5,2557153,29985,0
5,2479245,38009,0
5,2489129,39798,0
5,2503725,34227,0
5,2462357,38951,0
5,2496709,38478,0
5,2455087,39695,0
5,2459325,38233,0
5,2456547,38476,0
5,2496934,38636,0
5,2482936,38293,0
5,2540520,30291,0
5,2449376,38890,0
5,2503608,37946,0
5,2524272,33256,0
5,2461353,39791,0
5,2518877,32526,0
5,2539912,33611,0
5,2465366,39905,0
5,2443706,39874,0
5,2501609,33702,0
5,2555926,36648,0
5,2523351,32235,0
5,2528494,30914,0
5,2454793,39110,0
5,2505392,37777,0
5,2518320,33151,0
5,2484021,36956,0
5,2528947,30492,0
5,2561507,30209,0
5,2566609,31304,0
5,2445821,39676,0
5,2549586,30056,0
5,2562626,31366,0
5,2576904,31108,0
5,2526794,30944,0
5,2447010,39799,0
5,2491828,38802,0
5,2550950,31598,0
5,2622199,30403,0
5,2539420,31562,0
5,2564236,31361,0
5,2544069,30974,0
5,2532973,31241,0
5,2543594,30419,0
5,2492757,39781,0
5,2539550,31565,0
5,2543270,31289,0
5,2532384,31212,0
5,2517056,38428,0
5,2457603,39476,0
5,2488484,37371,0
5,2531374,31169,0
5,2582536,30944,0
5,2543417,31690,0
5,2524051,31014,0
5,2542662,31274,0
5,2587578,31108,0
5,2449205,39655,0
5,2435805,39921,0
5,2537678,30797,0
5,2570733,31361,0
5,2440358,39923,0
5,2506136,35899,0
5,2538135,31211,0
5,2622103,30826,0
5,2449095,38914,0
5,2460789,38206,0
5,2544120,30292,0
5,2582787,31274,0
5,2553528,30473,0
