LAESA,EUCLIDEAN,GNAT,2,4490,6753
k,time,count,disk
5,2498873,38830,0
5,2472540,37862,0
5,2439005,39748,0
5,2502277,38709,0
5,2448904,39926,0
5,2562330,29589,0
5,2466507,39247,0
5,2623437,28573,0
5,2457936,39682,0
5,2485593,37856,0
5,2559713,29232,0
5,2600669,29480,0
5,2498724,37344,0
5,2468759,39509,0
5,2560094,29185,0
5,2604847,28922,0
5,2565551,28922,0
5,2585928,28882,0
5,2602481,29167,0
5,2529178,35227,0
5,2569759,28965,0
5,2569274,28986,0
5,2511058,38375,0
5,2478490,39458,0
5,2591505,28660,0
5,2550702,29841,0
5,2596363,28639,0
5,2589151,28841,0
5,2468493,39449,0
5,2560096,30319,0
5,2613947,28725,0
5,2568803,28951,0
5,2583476,28700,0
5,2479315,39811,0
5,2609946,29079,0
5,2468756,39636,0
5,2604579,29054,0
5,2512960,35106,0
5,2532720,38078,0
5,2519592,34960,0
5,2563983,28697,0
5,2480075,39627,0
5,2548991,36082,0
5,2473003,38251,0
5,2591307,28464,0
5,2557434,29814,0
5,2619651,29669,0
5,2555812,32925,0
5,2511818,34635,0
5,2458030,39833,0
5,2617596,28951,0
5,2486327,38183,0
5,2560060,29510,0
5,2574631,30485,0
5,2608009,29498,0
5,2494293,37279,0
5,2499983,35801,0
5,2486218,37810,0
5,2593608,30373,0
5,2508934,37001,0
5,2531130,34012,0
5,2584869,29907,0
5,2584052,30742,0
5,2476060,39056,0
5,2608368,29709,0
5,2482962,38298,0
5,2541858,37414,0
5,2473632,37953,0
5,2489148,37492,0
5,2476014,39365,0
5,2557047,34616,0
5,2543047,30349,0
5,2556493,29780,0
5,2557113,30298,0
5,2590573,29751,0
5,2507788,36059,0
5,2480352,38700,0
5,2583061,30677,0
5,2591246,30170,0
5,2578568,28882,0
5,2550916,30092,0
5,2547265,36610,0
5,2519261,35556,0
5,2496773,37569,0
5,2517722,36492,0
5,2517415,39118,0
5,2511733,37387,0
5,2497260,35916,0
5,2551088,30177,0
5,2572393,32988,0
5,2501040,38240,0
5,2553565,30379,0
5,2559077,29684,0
5,2598136,30559,0
5,2546781,31412,0
5,2555427,30856,0
5,2542927,30739,0
5,2530306,37670,0
5,2533791,34030,0
5,2560484,29883,0
5,2558012,30139,0
5,2601108,30504,0
5,2544651,29715,0
5,2547577,30384,0
5,2559394,29988,0
5,2593301,30072,0
5,2554639,30058,0
5,2496465,36360,0
5,2484031,37708,0
5,2569316,32290,0
5,2558440,29026,0
5,2574825,28879,0
5,2563678,29663,0
5,2608418,29691,0
5,2476514,37847,0
5,2464903,39919,0
5,2467100,39782,0
5,2531433,37816,0
5,2501673,36236,0
5,2549949,30150,0
5,2552455,28626,0
5,2588132,30702,0
5,2463077,39230,0
5,2567021,31829,0
5,2541463,32264,0
5,2529908,37891,0
5,2503219,35475,0
5,2446713,39886,0
5,2554835,29167,0
5,2517704,39328,0
5,2460951,39702,0
5,2479889,38806,0
5,2569422,29304,0
5,2492613,39901,0
5,2557151,29232,0
5,2544456,32221,0
5,2563358,29246,0
5,2590848,29054,0
5,2568059,29051,0
5,2572432,28639,0
5,2548390,32610,0
5,2588148,28861,0
5,2570290,29100,0
5,2571006,28749,0
5,2497892,39133,0
5,2510994,36747,0
5,2474264,39606,0
5,2483365,37814,0
