LAESA,EUCLIDEAN,MAXSEPARETED,2,4490,227464
k,time,count,disk
5,2411508,39147,0
5,2397336,38302,0
5,2370991,39804,0
5,2407144,39075,0
5,2393100,39919,0
5,2435230,31290,0
5,2368503,39491,0
5,2495883,30350,0
5,2384983,39767,0
5,2383625,38422,0
5,2428036,31355,0
5,2457894,31664,0
5,2402880,37913,0
5,2370727,39645,0
5,2438993,31136,0
5,2436308,30856,0
5,2473327,30856,0
5,2444063,30726,0
5,2434652,31267,0
5,2403914,36239,0
5,2484203,30922,0
5,2455005,31014,0
5,2383977,38757,0
5,2383437,39625,0
5,2530511,30383,0
5,2460290,31473,0
5,2451467,30445,0
5,2451276,30795,0
5,2413640,39606,0
5,2450261,32022,0
5,2503854,30508,0
5,2445550,30967,0
5,2494632,30519,0
5,2378813,39854,0
5,2471290,31103,0
5,2375728,39732,0
5,2521668,31081,0
5,2427529,35842,0
5,2390889,38527,0
5,2416033,36034,0
5,2471240,30525,0
5,2436224,39721,0
5,2411054,36816,0
5,2390781,38683,0
5,2482387,30613,0
5,2463988,31705,0
5,2440482,31529,0
5,2427563,34472,0
5,2444712,35749,0
5,2382388,39865,0
5,2431573,30967,0
5,2379281,38659,0
5,2471451,31050,0
5,2455350,31972,0
5,2461557,31348,0
5,2391595,37810,0
5,2409396,36608,0
5,2426023,38232,0
5,2440598,32386,0
5,2400452,37514,0
5,2421753,34988,0
5,2517421,31962,0
5,2438720,33211,0
5,2381462,39322,0
5,2435320,31470,0
5,2432918,38688,0
5,2395007,37875,0
5,2384666,38372,0
5,2391422,37963,0
5,2414103,39551,0
5,2426871,35446,0
5,2449429,32199,0
5,2447509,31286,0
5,2476934,32378,0
5,2451234,31527,0
5,2395518,36724,0
5,2370560,39056,0
5,2449316,32813,0
5,2445757,32276,0
5,2486491,30430,0
5,2428211,32009,0
5,2437299,37202,0
5,2433750,36335,0
5,2389038,38033,0
5,2406294,37033,0
5,2415831,39369,0
5,2412703,37881,0
5,2405139,36739,0
5,2441557,32263,0
5,2462493,34339,0
5,2399839,38647,0
5,2440690,32256,0
5,2450453,31708,0
5,2428016,32576,0
5,2458599,33731,0
5,2450983,32925,0
5,2433241,32840,0
5,2393501,38175,0
5,2460392,34659,0
5,2440791,31198,0
5,2468352,32141,0
5,2438361,32507,0
5,2483694,31080,0
5,2433910,32392,0
5,2444550,31463,0
5,2436427,32113,0
5,2497950,32084,0
5,2407628,36948,0
5,2397864,38188,0
5,2450041,33613,0
5,2490058,31402,0
5,2455513,30976,0
5,2442080,31661,0
5,2444532,31992,0
5,2436350,38299,0
5,2373964,39910,0
5,2366489,39829,0
5,2391869,38394,0
5,2435215,36899,0
5,2444393,32246,0
5,2479747,30320,0
5,2435438,32531,0
5,2396400,39477,0
5,2440304,33085,0
5,2423558,33526,0
5,2385961,38333,0
5,2437479,36271,0
5,2386679,39904,0
5,2438194,31267,0
5,2377220,39526,0
5,2366693,39778,0
5,2409479,39162,0
5,2438904,31464,0
5,2369668,39906,0
5,2439648,31355,0
5,2468792,33364,0
5,2440617,31249,0
5,2439193,31081,0
5,2439078,31142,0
5,2480218,30445,0
5,2433451,34048,0
