LAESA,EUCLIDEAN,PCA,2,4490,392664
k,time,count,disk
5,2567399,16314,0
5,1578489,4373,0
5,2341031,8754,0
5,2418600,14442,0
5,2440587,10221,0
5,1026994,1267,0
5,2360058,6967,0
5,1172773,1965,0
5,2279348,8278,0
5,1751280,6302,0
5,2529726,16702,0
5,2646338,23261,0
5,2119330,9630,0
5,2262017,7548,0
5,2437413,15280,0
5,2301208,11547,0
5,2256997,11547,0
5,2150008,10452,0
5,2475949,15993,0
5,2605694,27965,0
5,2349216,12768,0
5,2301366,12266,0
5,2175643,10277,0
5,2302398,7393,0
5,1767632,6114,0
5,1136207,1777,0
5,970029,2262,0
5,1904035,8253,0
5,2273685,7313,0
5,721845,441,0
5,1694155,6168,0
5,2201236,11035,0
5,1369869,3390,0
5,2333272,9324,0
5,2406122,14574,0
5,2360410,8343,0
5,2360524,13564,0
5,2533063,28385,0
5,1864641,6915,0
5,2608801,27555,0
5,1711136,5569,0
5,2308964,8248,0
5,2526034,16883,0
5,2051383,9056,0
5,1186895,1780,0
5,2590786,24951,0
5,2582257,25556,0
5,2429527,14583,0
5,2655826,24825,0
5,2380097,9454,0
5,2207969,11035,0
5,2034810,8752,0
5,2039129,8803,0
5,2133157,9775,0
5,2578734,26031,0
5,1979259,8255,0
5,2533427,29493,0
5,1165321,1595,0
5,2524964,28954,0
5,2214619,10603,0
5,2601547,25118,0
5,2610638,27024,0
5,3008054,16406,0
5,2592389,6258,0
5,2564579,25860,0
5,2033046,8471,0
5,1937482,7691,0
5,1599209,4965,0
5,1785075,6602,0
5,2301899,7153,0
5,2634862,27437,0
5,2554507,28563,0
5,2566631,26315,0
5,2525294,28982,0
5,2623094,25615,0
5,2539715,16779,0
5,2394775,14106,0
5,2989228,15976,0
5,2599420,28375,0
5,2083349,9170,0
5,2555499,27339,0
5,2340722,12932,0
5,2577855,29522,0
5,1805264,6391,0
5,2405949,14519,0
5,2549956,6363,0
5,1934177,7752,0
5,2570960,29934,0
5,2540625,28424,0
5,2547365,17426,0
5,1951971,7911,0
5,2597139,28238,0
5,2585158,25228,0
5,3003911,15946,0
5,2975936,16227,0
5,3007786,15978,0
5,2996831,15984,0
5,1844645,6795,0
5,2630223,25495,0
5,2574501,26145,0
5,2550834,27769,0
5,3020661,15981,0
5,2618904,26084,0
5,2536269,29008,0
5,2394215,13762,0
5,2561449,27663,0
5,2600361,27509,0
5,2461330,14958,0
5,1581660,4484,0
5,2394709,14331,0
5,2508576,16371,0
5,1586102,4682,0
5,2616813,25349,0
5,2595198,25260,0
5,1845407,6736,0
5,2472734,10108,0
5,2362294,8998,0
5,1712964,5873,0
5,2450097,15504,0
5,2586633,28360,0
5,2176166,9971,0
5,3007284,15857,0
5,2428980,6945,0
5,2525718,16181,0
5,2563909,17799,0
5,1550780,4152,0
5,2527090,29310,0
5,2433383,9700,0
5,2521342,15993,0
5,2329742,6999,0
5,2301913,8455,0
5,2529312,16299,0
5,2582047,17915,0
5,2411701,9822,0
5,2499013,16702,0
5,2623344,19069,0
5,2518323,16430,0
5,2351394,13564,0
5,2351327,13463,0
5,1247297,2262,0
5,2269346,12185,0
5,1950983,7831,0
5,2410730,14501,0
5,1576442,4620,0
5,2532277,6473,0
5,2391302,13357,0
5,2297158,8037,0
5,1393430,2970,0
5,2447386,15993,0
5,2329347,12266,0
5,1674191,5315,0
5,3021938,16809,0
5,2531592,16983,0
5,1274760,2262,0
5,1083246,2599,0
5,2123525,10619,0
5,2300109,7987,0
5,1545120,4261,0
5,2271227,12110,0
5,2308126,7453,0
5,2448169,15362,0
5,2483241,16286,0
5,1907887,7386,0
5,2126276,10006,0
5,2631813,20857,0
5,2482062,15580,0
5,2227725,11524,0
5,2470996,16038,0
5,2329848,12275,0
5,2348627,13289,0
5,1869827,7283,0
5,2311290,8183,0
5,1148631,1817,0
5,1798869,6679,0
5,1702215,5575,0
5,2445372,15304,0
5,2278356,11805,0
5,2451541,14619,0
