LAESA,EUCLIDEAN,RANDOM,2,4490,226497
k,time,count,disk
5,954857,2315,0
5,1387956,6765,0
5,2671211,17748,0
5,819032,1569,0
5,2652361,20065,0
5,2868959,22439,0
5,1823297,9268,0
5,2746718,24746,0
5,2367236,7367,0
5,2592860,7866,0
5,2769650,26291,0
5,2794010,26613,0
5,2378289,14207,0
5,2225150,4371,0
5,2810183,26110,0
5,2811474,26091,0
5,2838614,26091,0
5,2828913,26078,0
5,2805067,26175,0
5,2268905,12244,0
5,2925010,26082,0
5,2885681,26111,0
5,1493228,3551,0
5,2220766,4143,0
5,2952686,25490,0
5,3010287,21801,0
5,2916164,25315,0
5,2925846,26120,0
5,2261867,4132,0
5,3055498,20980,0
5,2908734,25870,0
5,2944382,26122,0
5,2976817,25724,0
5,2934528,18922,0
5,2932171,26092,0
5,2445731,5090,0
5,2920206,26102,0
5,2115846,9060,0
5,1631586,4760,0
5,2283992,10752,0
5,2962626,23987,0
5,2474967,4856,0
5,1910536,7082,0
5,1555517,3629,0
5,2949194,25002,0
5,2904450,26730,0
5,2878919,26581,0
5,3174507,12698,0
5,2460229,13981,0
5,2953459,19276,0
5,2949478,26122,0
5,1646537,4663,0
5,2987235,23058,0
5,3077117,19734,0
5,2953658,26385,0
5,2172805,9738,0
5,2256779,10877,0
5,2027748,8252,0
5,2914478,27266,0
5,1987969,7699,0
5,2449027,14248,0
5,2885721,26902,0
5,2903774,27781,0
5,1738123,5590,0
5,2893662,26593,0
5,1374216,2554,0
5,2278592,11463,0
5,1878554,6242,0
5,2330093,12046,0
5,2114711,3815,0
5,2312011,11937,0
5,2931343,27249,0
5,2900479,26549,0
5,2875651,27282,0
5,2873715,26643,0
5,1669485,4564,0
5,1032628,1291,0
5,2853813,27612,0
5,2876172,27147,0
5,3001473,24285,0
5,2883646,27030,0
5,1586824,4222,0
5,1842799,6786,0
5,2343555,12389,0
5,1548611,3741,0
5,1866634,6743,0
5,2263166,11249,0
5,2145569,9628,0
5,2917000,27151,0
5,2686041,19831,0
