LAESA,EUCLIDEAN,SSS,2,4490,184624
k,time,count,disk
5,2436797,39801,0
5,2381013,39565,0
5,2374608,39902,0
5,2365698,39778,0
5,2370544,39924,0
5,2454713,34579,0
5,2365788,39879,0
5,2438457,33744,0
5,2404263,39921,0
5,2474977,39526,0
5,2489372,35273,0
5,2462976,35844,0
5,2431190,39272,0
5,2482120,39909,0
5,2487034,35509,0
5,2492597,34853,0
5,2500385,34853,0
5,2547130,34758,0
5,2500536,35188,0
5,2501833,38037,0
5,2557398,35006,0
5,2549274,34783,0
5,2454229,39697,0
5,2447341,39908,0
5,2507369,34329,0
5,2542781,34854,0
5,2510286,33856,0
5,2522871,34363,0
5,2450637,39907,0
5,2589562,34939,0
5,2508424,34330,0
5,2488063,34630,0
5,2510642,34068,0
5,2484626,39920,0
5,2495099,35161,0
5,2444789,39908,0
5,2561028,34982,0
5,2502579,38283,0
5,2467745,39618,0
5,2462625,38064,0
5,2498331,34518,0
5,2498932,39912,0
5,2452140,38704,0
5,2444726,39649,0
5,2511050,33840,0
5,2533083,36749,0
5,2491754,36613,0
5,2494005,36875,0
5,2471293,37739,0
5,2490641,39907,0
5,2502307,34630,0
5,2441922,39615,0
5,2496577,35187,0
5,2541306,35845,0
5,2484658,36418,0
5,2453810,39386,0
5,2465256,38411,0
5,2500182,39539,0
5,2477291,37314,0
5,2460766,39240,0
5,2487642,37789,0
5,2519694,36924,0
5,2486003,37351,0
5,2454781,39838,0
5,2485617,36664,0
5,2489317,39680,0
5,2446290,39445,0
5,2451493,39573,0
5,2446064,39475,0
5,2503423,39892,0
5,2477417,38049,0
5,2474913,37304,0
5,2493790,36594,0
5,2521282,37335,0
5,2480294,36691,0
5,2466292,38785,0
5,2445889,39779,0
5,2527309,37641,0
5,2486351,37194,0
5,2526647,34746,0
5,2471601,37111,0
5,2495757,39075,0
5,2462611,38535,0
5,2453311,39497,0
5,2458784,38996,0
5,2486363,39857,0
5,2453716,39436,0
5,2463408,38498,0
5,2465629,37191,0
5,2538933,37125,0
5,2450552,39665,0
5,2492865,37188,0
5,2491771,36723,0
5,2525276,37467,0
5,2467099,37840,0
5,2497749,37737,0
5,2465089,37664,0
5,2504522,39482,0
5,2469568,37731,0
5,2527473,36494,0
5,2472210,37101,0
5,2532028,37403,0
5,2492271,36420,0
5,2477251,37302,0
5,2492944,35830,0
5,2521685,37079,0
5,2477032,37077,0
5,2451190,38921,0
5,2440388,39573,0
5,2521469,36806,0
5,2503424,35648,0
5,2502814,34669,0
5,2488929,36688,0
5,2535122,36522,0
5,2450105,39486,0
5,2449846,39917,0
5,2452609,39908,0
5,2502952,39540,0
5,2455003,38913,0
5,2476609,37175,0
5,2500316,34616,0
5,2503025,37560,0
5,2455418,39867,0
5,2477303,36739,0
5,2487660,36943,0
5,2483488,39550,0
5,2486223,38479,0
5,2447515,39925,0
5,2501996,35188,0
5,2486479,39886,0
5,2447906,39913,0
5,2447010,39810,0
5,2493788,35510,0
5,2482659,39920,0
5,2506698,35273,0
5,2479440,36951,0
5,2486709,35560,0
5,2549444,34982,0
5,2525727,34899,0
5,2502704,33856,0
5,2488901,36591,0
5,2554376,34310,0
5,2499121,35116,0
5,2521445,34141,0
5,2437254,39862,0
5,2499989,39036,0
5,2441880,39918,0
5,2443893,39590,0
5,2493467,35188,0
5,2541278,34783,0
5,2445815,39578,0
5,2487056,37056,0
5,2453450,39802,0
5,2536571,33856,0
5,2517737,35422,0
5,2501022,34938,0
5,2443913,39909,0
5,2545240,34109,0
5,2529324,39108,0
5,2452116,39907,0
5,2474045,36109,0
5,2537263,35316,0
5,2526349,34423,0
5,2504897,34632,0
5,2479528,35701,0
5,2485032,38903,0
5,2465074,39187,0
5,2506347,35142,0
5,2510314,34743,0
5,2473888,39763,0
5,2465480,39638,0
5,2449472,39912,0
5,2506400,33896,0
5,2518651,36092,0
5,2712835,39514,0
5,2449789,39728,0
5,2468347,39137,0
5,2553977,35053,0
5,2526583,34975,0
5,2506329,35458,0
5,2441122,39673,0
5,2481766,39568,0
5,2456889,39881,0
5,2497269,35214,0
5,2447852,39574,0
5,2524156,36114,0
5,2462929,39493,0
5,2495922,35208,0
5,2448627,39088,0
5,2486449,39572,0
5,2465582,39367,0
5,2445472,39544,0
5,2461558,39660,0
5,2561547,34068,0
5,2467814,39329,0
5,2452326,39611,0
5,2458103,38494,0
5,2533381,35970,0
5,2462078,39813,0
5,2464466,39099,0
5,2447610,39839,0
5,2508411,37783,0
5,2534301,33649,0
5,2520633,34365,0
5,2489818,36518,0
5,2491840,39646,0
5,2508427,37908,0
5,2509426,37412,0
5,2483261,37245,0
5,2552822,35578,0
5,2523303,37455,0
5,2524244,35583,0
5,2488482,37195,0
5,2532471,36234,0
5,2504269,37344,0
5,2500235,37179,0
5,2522275,35776,0
5,2586231,37615,0
5,2502906,37828,0
5,2472008,39248,0
5,2495400,36900,0
5,2543526,37392,0
5,2504302,37629,0
5,2488955,37873,0
5,2490043,37308,0
5,2513642,39585,0
5,2549757,37095,0
5,2516599,36857,0
5,2492680,37916,0
5,2557684,36914,0
5,2487973,39717,0
5,2512778,38183,0
5,2497018,37823,0
5,2694647,37620,0
5,2507004,36895,0
5,2483600,37087,0
5,2486835,38287,0
5,2553566,35199,0
5,2503548,36859,0
5,2494501,37561,0
5,2499212,36797,0
5,2536647,37794,0
5,2488612,39451,0
5,2503580,36612,0
5,2498568,37439,0
5,2536491,37001,0
5,2491645,36772,0
5,2490799,37130,0
5,2482018,38225,0
5,2536607,37112,0
5,2470899,38883,0
5,2469708,39930,0
5,2487720,38045,0
5,2509052,39853,0
5,2483039,37582,0
5,2494209,37271,0
5,2521736,35446,0
5,2558376,36205,0
5,2480885,39891,0
5,2524747,35577,0
5,2464916,39932,0
5,2553494,36678,0
5,2477026,37642,0
5,2497567,36051,0
5,2505074,36568,0
5,2547521,37703,0
5,2506894,37091,0
5,2503783,37422,0
5,2510656,36126,0
5,2522667,39111,0
5,2489855,37425,0
5,2514526,35933,0
5,2486152,37313,0
5,2524119,37467,0
5,2456444,39821,0
5,2510704,36072,0
5,2544566,35655,0
5,2568537,35136,0
5,2490825,38291,0
5,2543897,35409,0
5,2465849,39612,0
5,2531786,37473,0
5,2480771,39580,0
5,2460629,39569,0
5,2496944,37188,0
5,2522765,39125,0
5,2466984,39641,0
5,2495660,37666,0
5,2524248,35751,0
5,2528787,38010,0
5,2473524,39625,0
5,2465039,39596,0
5,2601654,35178,0
5,2558671,36401,0
5,2505262,36616,0
5,2514913,34350,0
5,2509714,37122,0
5,2519250,39114,0
5,2501138,37787,0
5,2494284,35892,0
5,2446856,39560,0
5,2500506,39911,0
5,2505162,36675,0
5,2509928,36371,0
5,2508738,36559,0
5,2559071,35449,0
5,2493249,37397,0
5,2525830,35730,0
5,2500186,36382,0
5,2556796,36624,0
5,2503690,37018,0
5,2526098,35334,0
5,2520089,35450,0
5,2537021,36693,0
5,2505366,35848,0
5,2508023,37633,0
5,2499130,35967,0
5,2560978,35819,0
5,2515886,35385,0
5,2512108,35901,0
5,2492762,37544,0
5,2567997,35439,0
5,2519590,35249,0
5,2504841,35930,0
5,2512881,35771,0
5,2562443,35448,0
5,2510196,35847,0
5,2512650,35411,0
5,2499777,36084,0
5,2558199,35035,0
5,2502778,36759,0
5,2501078,37156,0
5,2465348,39888,0
5,2496193,39794,0
5,2458270,39601,0
5,2521915,39914,0
5,2504999,35614,0
5,2547688,36651,0
5,2461874,39663,0
5,2475618,39577,0
5,2453016,39888,0
5,2543628,37947,0
5,2475266,38958,0
5,2445474,39610,0
5,2497343,37242,0
5,2558067,36193,0
5,2482369,37876,0
5,2487228,37760,0
5,2525332,34770,0
5,2499548,39729,0
5,2489015,38478,0
5,2528472,36292,0
5,2506972,36482,0
5,2528059,37457,0
5,2551062,35299,0
5,2534199,39748,0
5,2525371,37210,0
5,2516937,35550,0
5,2504993,36142,0
5,2508413,36712,0
5,2528428,36872,0
5,2509155,37225,0
5,2503095,36084,0
5,2516616,35312,0
5,2565350,36024,0
5,2532848,35660,0
5,2514274,35204,0
5,2471327,39604,0
5,2515278,37332,0
5,2510849,37036,0
5,2480983,37615,0
5,2514482,37808,0
5,2510166,38485,0
5,2512500,37179,0
5,2481337,38289,0
5,2495206,36776,0
5,2551398,35284,0
5,2492521,39137,0
5,2505005,36289,0
5,2505821,37018,0
5,2539452,36690,0
5,2535527,36996,0
5,2521132,37370,0
5,2497275,36913,0
5,2517185,38543,0
5,2510864,37108,0
5,2501601,36990,0
5,2496576,36662,0
5,2528033,36571,0
5,2516910,36835,0
5,2507096,37032,0
5,2466473,39499,0
5,2529719,37414,0
5,2513660,37227,0
5,2509480,37193,0
5,2489353,37360,0
5,2545334,35276,0
5,2499067,37106,0
5,2491561,37244,0
5,2484101,37170,0
5,2526080,35697,0
5,2508293,37442,0
5,2486668,37617,0
5,2483229,37513,0
5,2510260,36884,0
5,2518279,37087,0
5,2493031,37627,0
5,2483073,37832,0
5,2517423,37904,0
5,2509150,37971,0
5,2478494,38737,0
5,2525094,34353,0
5,2557995,39192,0
5,2517553,35672,0
5,2538667,39506,0
5,2473967,39562,0
5,2535282,39909,0
5,2530894,35188,0
5,2465234,39836,0
5,2479143,39341,0
5,2537722,37910,0
5,2500755,37910,0
5,2505663,37322,0
5,2479419,37339,0
5,2533278,37441,0
5,2502014,38006,0
5,2503770,36524,0
5,2511030,35708,0
5,2509170,39906,0
5,2462505,39913,0
5,2707687,35759,0
5,2507381,36327,0
5,2549102,36524,0
5,2462970,39903,0
5,2499354,38083,0
5,2465127,39783,0
