OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,4015,221411
k,time,count,disk
5,24132061,32123,113
5,26853704,35536,125
5,26254313,35244,124
5,20141306,27010,95
5,26099854,34972,123
5,19378932,25881,91
5,23252805,31557,111
5,23471597,30998,109
5,23267334,31271,110
5,26419590,35252,124
5,25133490,33546,118
5,10668972,14230,50
5,27433099,36388,128
5,25564693,34114,120
5,26885562,35820,126
5,27552444,36383,128
5,25053099,33543,118
5,25643011,34111,120
5,27143517,35821,126
5,25598949,34115,120
5,24625349,32978,116
5,26988045,35537,125
5,22697009,30144,106
5,26201909,35252,124
5,27008826,35820,126
5,23324760,31267,110
5,27040211,35820,126
5,27074583,35821,126
5,18728427,25011,88
5,25083939,33827,119
5,26607079,35253,124
5,27361170,35820,126
5,25830366,34677,122
5,22888279,30144,106
5,27530389,36387,128
5,23394917,31550,111
5,22863850,30147,106
5,26964765,35821,126
5,20567377,27591,97
5,23339477,31279,110
5,17436711,23323,82
5,26764129,35820,126
5,26421062,35252,124
5,27383760,36385,128
5,21576313,28713,101
5,26464092,35536,125
5,26970497,35811,126
5,24429632,32691,115
5,7928860,10828,38
5,23447373,31554,111
5,21067047,28430,100
5,27283589,36387,128
5,25832501,34114,120
5,26543891,35252,124
5,25487622,33830,119
5,26823000,35821,126
5,27266717,36386,128
5,12722352,17357,61
5,27291735,36388,128
5,26661604,35821,126
5,22488752,30415,107
5,23305600,31271,110
5,27627605,36386,128
5,22497826,30416,107
5,27293982,36386,128
5,26810821,35820,126
5,24840883,33546,118
5,16464764,22461,79
5,27011758,36386,128
5,23305079,30699,108
5,6186732,8549,30
5,25076628,33830,119
5,25583749,34118,120
5,21152592,28430,100
5,25373374,33827,119
5,27378059,36383,128
5,25378602,34114,120
5,23105395,31267,110
5,26746432,35821,126
5,24128627,31845,112
5,18475752,24739,87
5,24762300,33546,118
5,25285989,33830,119
5,23472700,31562,111
5,26273094,34972,123
5,25200494,34114,120
5,24139103,32410,114
5,26389492,35252,124
5,25642875,34393,121
5,27458388,36385,128
5,22556806,30147,106
5,20185828,27002,95
5,26558533,35539,125
5,23734036,31841,112
5,26649812,35811,126
5,23046346,30430,107
5,9575992,13095,46
5,24944847,33830,119
5,24673318,33259,117
5,27203634,36384,128
5,26587893,35536,125
5,23244724,31277,110
5,17251093,23322,82
5,26674901,35537,125
5,27207299,35820,126
5,23376212,31268,110
5,23358010,31271,110
5,21949482,29562,104
5,16189280,21605,76
5,26905254,35821,126
5,25122741,33546,118
5,18301321,24465,86
5,23978085,31845,112
5,23209749,31270,110
5,25639792,34114,120
5,27470663,36383,128
5,26840860,35820,126
5,23831713,31278,110
5,23049043,30419,107
5,27715535,36384,128
5,25441069,33551,118
5,20643873,27303,96
5,26848562,35538,125
