OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,4015,61377
k,time,count,disk
5,26773716,35806,126
5,26093324,36373,128
5,26150028,36384,128
5,25647290,35821,126
5,26002674,36383,128
5,22703638,32114,113
5,25646816,36383,128
5,26129515,36383,128
5,25884424,36382,128
5,23334742,32974,116
5,25242450,35813,126
5,19379720,27024,95
5,26672859,36382,128
5,25849905,36368,128
5,26731861,36382,128
5,26650952,36379,128
5,26472780,36100,127
5,26405767,36375,128
5,26893500,36383,128
5,26889404,36380,128
5,26544436,36382,128
5,26927822,36378,128
5,26781392,36385,128
5,26651596,36377,128
5,26788806,36375,128
5,26708603,36384,128
5,26609176,36375,128
5,27086221,36386,128
5,25707823,35248,124
5,26808127,36377,128
5,26652761,36380,128
5,26709919,36377,128
5,26663515,36375,128
5,26893742,36379,128
5,26294247,36377,128
5,24964488,34100,120
5,26638856,36379,128
5,26462806,36376,128
5,26137191,35238,124
5,26814321,36382,128
5,24881895,33831,119
5,26365663,36375,128
5,26574354,36378,128
5,26849889,36374,128
5,25003652,34111,120
5,26397177,36382,128
5,26871277,36374,128
5,25550132,35245,124
5,10576308,14514,51
5,26336024,36378,128
5,23119091,31559,111
5,26731911,36378,128
5,26439638,36375,128
5,25787383,35245,124
5,26686909,36383,128
5,27332150,36384,128
5,26737474,36383,128
5,16143945,21898,77
5,26297743,36377,128
5,26752065,36383,128
5,26222985,36368,128
5,26168218,35820,126
5,26513383,36378,128
5,26639508,36378,128
5,26307076,36376,128
5,26290648,36098,127
5,26801536,36385,128
5,25696384,35242,124
5,26558533,36378,128
5,26707202,36373,128
5,8175255,11395,40
5,26247583,36385,128
5,24890312,33550,118
5,26751126,36381,128
5,26714085,36384,128
5,26600233,36382,128
5,26538456,36376,128
5,25120012,34680,122
5,26661191,36380,128
5,26952876,36383,128
5,25832757,34972,123
5,26243096,35816,126
5,26214266,36097,127
5,26052145,35523,125
5,26482323,36375,128
5,26814696,36375,128
5,26657759,36387,128
5,26467051,36369,128
5,26888538,36384,128
5,26316036,36098,127
5,26773004,36379,128
5,25608709,35252,124
5,26390535,36375,128
5,26252020,35536,125
5,26679850,36384,128
5,26578421,36376,128
5,25355251,34120,120
5,26600802,36373,128
5,25669660,35247,124
5,26602218,36377,128
5,26561345,36375,128
5,26339672,35816,126
5,20676135,28146,99
5,26800819,36385,128
5,26381736,36375,128
5,26742665,36378,128
5,25779052,35248,124
5,26689060,36383,128
5,25053406,34110,120
5,26982931,36382,128
5,26461504,36376,128
5,26190471,35252,124
5,25528550,35248,124
5,26659185,36377,128
5,26594517,34972,123
5,26679513,36382,128
5,26586126,36372,128
5,26825977,36382,128
5,27009865,36377,128
5,26811595,36380,128
5,26522522,36381,128
5,26202553,35816,126
5,26493752,36383,128
5,18285305,24742,87
5,26380731,36377,128
5,25056748,34110,120
5,26618576,36386,128
5,26490447,36095,127
5,26778836,36382,128
5,26649878,36379,128
5,26951147,36385,128
5,9002671,11962,42
5,25683427,35252,124
5,26821037,36384,128
5,26637809,36386,128
5,26613412,36386,128
5,26809123,36381,128
5,26761134,36382,128
5,26426527,36369,128
5,25734469,35248,124
5,6186132,8267,29
5,26311120,36379,128
5,8097582,11113,39
5,26583186,36381,128
5,26472931,36369,128
5,26453570,36374,128
5,26723206,36375,128
5,23240405,31846,112
5,26462425,36377,128
5,26536332,36387,128
5,25631169,35245,124
5,27021890,36384,128
5,26605122,36373,128
5,26781509,36381,128
5,26837510,36379,128
5,25444661,34685,122
5,26406128,36378,128
5,26684634,36378,128
5,26514226,36380,128
5,27194957,36383,128
5,26606544,36375,128
5,27227733,36384,128
5,26404084,36377,128
5,26555288,35821,126
5,26396509,34972,123
5,26246148,35255,124
5,27491028,36385,128
5,27422010,36386,128
5,26574783,36368,128
5,21422603,28718,101
5,27416579,36385,128
5,23659130,32122,113
5,21500677,29286,103
5,26773076,36381,128
5,27880469,36382,128
5,26547729,35813,126
5,27068780,36385,128
5,27177303,36380,128
5,27057887,36375,128
5,26795300,36375,128
5,27095014,36378,128
5,27125811,36375,128
5,26931705,36375,128
5,26854364,36375,128
5,26078037,35247,124
5,26777180,36375,128
5,26994324,36375,128
5,26715423,36097,127
5,26807882,36376,128
5,27105734,36382,128
5,26993299,36375,128
5,27000217,36377,128
5,26751188,35821,126
5,27088341,36381,128
5,27156180,36376,128
5,9303862,12507,44
5,26714182,36378,128
5,25295610,34110,120
5,27544742,36368,128
5,26355937,35806,126
5,26847972,36375,128
5,27234672,36386,128
5,27190570,36384,128
5,27149373,36383,128
5,27158242,36383,128
5,27465259,36385,128
5,26770727,36377,128
5,26987470,36381,128
5,27110953,36386,128
5,25626401,34109,120
5,27069962,36377,128
5,26941184,36095,127
5,26991521,36383,128
5,27249118,36369,128
5,27455042,36383,128
5,27227108,36384,128
5,27284048,36383,128
5,26966301,36375,128
5,27553871,36386,128
5,27078240,36383,128
5,27260241,36386,128
5,20345482,27017,95
5,27077209,36378,128
5,27174374,36376,128
5,26894362,36381,128
5,27442529,36382,128
5,23261117,31270,110
5,27526697,36388,128
5,27399596,36384,128
5,27155269,36372,128
5,27203733,36383,128
5,28111655,36385,128
5,27117190,36374,128
5,23499749,31279,110
5,27091312,36383,128
5,27453594,36382,128
5,26687849,35536,125
5,27747394,36388,128
5,27658764,36383,128
5,26718156,35820,126
5,27245865,36383,128
5,27068855,36369,128
5,27539296,36382,128
5,18685657,24737,87
5,27216963,36384,128
