OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,4015,150193
k,time,count,disk
5,17749769,23601,83
5,16846974,23031,81
5,19673961,26724,94
5,11939452,16497,58
5,16391042,22469,79
5,8781195,12243,43
5,14901173,20761,73
5,12595381,17643,62
5,13333326,18486,65
5,18035203,24741,87
5,13571843,18487,65
5,7928691,11103,39
5,16680189,23036,81
5,16803390,22747,80
5,18164446,24734,87
5,18000060,24455,86
5,17170433,23316,82
5,17860248,24451,86
5,17210091,23320,82
5,13364724,18203,64
5,17020884,23314,82
5,16438695,22463,79
5,11751735,16212,57
5,18484740,25306,89
5,19012202,25873,91
5,15455457,21045,74
5,17796113,24170,85
5,16652914,22466,79
5,14122434,19339,68
5,16533718,22749,80
5,13072492,17925,63
5,15231285,20763,73
5,20754130,28429,100
5,11612060,15929,56
5,18587368,25593,90
5,17002288,23317,82
5,13435693,17920,63
5,14255116,19910,70
5,10173671,13942,49
5,15763003,21903,77
5,8354050,11384,40
5,18260813,25592,90
5,17528806,23883,84
5,23039286,31272,110
5,14390619,19339,68
5,20007251,27291,96
5,20556589,27862,98
5,15770284,21614,76
5,5211854,7127,25
5,16555266,22746,80
5,13523039,18488,65
5,19724947,27008,95
5,17361474,23316,82
5,15835330,21615,76
5,15481999,20758,73
5,16537157,22750,80
5,16786018,22749,80
5,11993650,16508,58
5,18008046,25022,88
5,15290676,20765,73
5,16827165,23031,81
5,13500261,18486,65
5,18663130,25599,90
5,15820312,21614,76
5,16362039,22185,78
5,17564343,24166,85
5,14795905,20190,71
5,13589315,18486,65
5,20940836,28711,101
5,15885513,21608,76
5,4855934,6844,24
5,15025644,20474,72
5,12227711,16791,59
5,12955816,17635,62
5,17486865,23883,84
5,19761463,26725,94
5,13347635,17920,63
5,15487430,21325,75
5,16232427,22185,78
5,13249370,17927,63
5,10483068,14512,51
5,15083775,20761,73
5,17798610,23884,84
5,10591456,14516,51
5,15914080,21902,77
5,16989337,23032,81
5,15339201,20757,73
5,17845931,24451,86
5,15660618,21328,75
5,17719372,24172,85
5,13704379,18780,66
5,13821386,18771,66
5,16104007,22186,78
5,13523733,18487,65
5,22169386,30133,106
5,14078568,19346,68
5,13163598,18207,64
5,18536242,25308,89
5,16383797,22181,78
5,20510081,27863,98
5,20969724,28150,99
5,12946395,17640,62
5,11987696,16501,58
5,14932636,20190,71
5,20562375,28144,99
5,15733365,21329,75
5,13214435,17919,63
5,13464555,18203,64
5,10639334,14794,52
5,19598816,26728,94
5,14618798,19906,70
5,10100190,13658,48
5,10751991,15083,53
5,17078741,23317,82
5,12241045,16787,59
5,21591108,29285,103
5,20156413,27291,96
5,12918937,17640,62
5,14111851,19055,67
5,19977325,27011,95
5,12401372,16786,59
5,10174555,13940,49
5,14836437,20198,71
5,8689609,11951,42
5,16527489,22750,80
5,14308915,19621,69
5,12295547,16784,59
5,15024389,20473,72
5,20063309,27292,96
5,15467277,20761,73
5,18614157,25309,89
5,5222021,7127,25
5,10844973,15080,53
5,17533333,23893,84
5,13542685,18496,65
5,14989275,20760,73
5,16481917,22464,79
5,19688327,26725,94
5,17295772,23314,82
5,15131793,20473,72
5,4894523,6843,24
5,18123067,25597,90
5,5274867,7127,25
5,13912167,19055,67
5,16533485,22464,79
5,14505630,19627,69
5,15548539,21049,74
5,8377747,11387,40
5,17098271,23314,82
5,14244713,19342,68
5,13099170,17636,62
5,17360319,23317,82
5,16451997,22179,78
5,19506656,26157,92
5,12677535,17069,60
5,9536085,12806,45
5,14180099,19626,69
5,16490712,22463,79
5,15520531,20756,73
5,16574829,22465,79
5,16545688,22186,78
5,16996843,23033,81
5,20187404,27008,95
5,11879189,15933,56
5,15939006,21618,76
5,12555735,16785,59
5,13798062,18775,66
5,17208572,23043,81
5,20073890,27576,97
5,8829868,11670,41
5,18246826,25025,88
5,11834077,15930,56
5,10674006,14798,52
5,15458439,20760,73
5,17028838,23033,81
5,13064374,17635,62
5,13351280,17920,63
5,16876544,22749,80
5,21657739,28995,102
5,20573810,27580,97
5,18593085,25021,88
5,17068519,22747,80
5,16910203,22750,80
5,16297630,21898,77
5,13312032,17635,62
5,16606402,22465,79
5,16976799,23037,81
5,18725060,25025,88
5,17475592,23316,82
5,18838751,25305,89
5,20007784,26444,93
5,15799279,21333,75
5,12070771,16216,57
5,11756450,16220,57
5,15362027,20758,73
5,8236376,11101,39
5,13593439,18781,66
5,13599098,18487,65
5,20825644,27864,98
5,16519928,22180,78
5,16631525,22464,79
5,13836873,18487,65
5,16970712,22747,80
5,13937774,18770,66
5,13203797,17925,63
5,14742656,19910,70
5,13969278,18775,66
5,15383140,20762,73
5,13261561,17922,63
5,13737431,18490,65
5,16749972,22466,79
5,14132788,19055,67
5,16585313,22179,78
5,14959691,20476,72
5,16650386,22475,79
5,16742233,22475,79
5,17970004,24166,85
5,16858029,22749,80
5,19302486,25876,91
5,15032258,20193,71
5,12233160,16503,58
