OMNIKDTREE,EUCLIDEAN,RANDOM,2,4015,344618
k,time,count,disk
5,22701134,30129,106
5,27138611,36375,128
5,26961075,36378,128
5,24110238,32691,115
5,26960314,36382,128
5,21022760,28140,99
5,25403033,34392,121
5,26068787,34685,122
5,25323185,34108,120
5,27203506,36379,128
5,24859715,33541,118
5,11418316,15366,54
5,27244596,36383,128
5,22530527,30697,108
5,26917307,36378,128
5,27306041,36378,128
5,25858076,34962,123
5,26078047,35245,124
5,27137925,36105,127
5,25834827,34677,122
5,25108442,33537,118
5,24037580,32691,115
5,23759742,31841,112
5,26644036,35528,125
5,26161676,35245,124
5,25948504,34962,123
5,27195500,36377,128
5,25901110,34679,122
5,23604433,31837,112
5,27027965,36379,128
5,26304776,35247,124
5,25985770,34962,123
5,27460349,36377,128
5,24638989,32984,116
5,26351013,35530,125
5,23040370,31267,110
5,22456382,29856,105
5,27231130,36384,128
5,22099717,29574,104
5,27161386,36105,127
5,20604254,27300,96
5,26593451,35529,125
5,25172250,34111,120
5,27304241,36384,128
5,23545947,31551,111
5,27030738,36377,128
5,27169721,36376,128
5,24070599,32691,115
5,7750994,10253,36
5,20752234,28424,100
5,22515346,30416,107
5,27255983,36377,128
5,26176173,35245,124
5,26526987,35528,125
5,26165943,35244,124
5,27072077,36381,128
5,27173934,36384,128
5,16960682,23045,81
5,26699289,35813,126
5,27381730,36383,128
5,26032532,35245,124
5,25495673,34393,121
5,27304331,36387,128
5,26167635,35246,124
5,26589693,35812,126
5,26014244,35245,124
5,26393742,35529,125
5,21951322,29561,104
5,26941630,36377,128
5,25533418,34393,121
5,6375054,8551,30
5,26354139,35814,126
5,15465092,21042,74
5,25689626,34392,121
5,25657140,34390,121
5,27251953,36374,128
5,26617091,35247,124
5,22753629,30697,108
5,27149250,36105,127
5,26218082,34686,122
5,21810012,29001,102
5,23578149,31550,111
5,27176590,35813,126
5,24355760,32413,114
5,27478478,36105,127
5,26643926,35813,126
5,25972668,34676,122
5,26754838,35529,125
5,27042695,36378,128
5,27345314,36384,128
5,26437700,35252,124
5,19340046,26147,92
5,26766450,35812,126
5,23272199,31268,110
5,27115028,36376,128
5,27519690,36386,128
5,19061039,25592,90
5,27140371,36377,128
5,26332170,34962,123
5,27264602,36384,128
5,27111315,36379,128
5,26571371,35537,125
5,14079042,19042,67
5,26741771,35812,126
5,26482397,35811,126
5,26009496,34960,123
5,24930172,33257,117
5,26366771,35244,124
5,23092089,30417,107
5,27369911,36376,128
5,26162410,34962,123
5,22347735,29859,105
5,25316567,33542,118
5,23230638,31265,110
5,14244670,19339,68
5,27278930,36382,128
5,26801367,35527,125
5,26264039,34685,122
5,26342488,34962,123
5,26115619,34679,122
5,26425625,35252,124
5,23071878,30705,108
5,27107975,36104,127
5,17747229,23035,81
5,26797738,35813,126
5,20424624,27288,96
5,26568719,35245,124
5,20267386,27290,96
5,26261154,35245,124
5,26071174,34676,122
5,26614680,35528,125
5,7061619,9400,33
5,25098188,33257,117
5,27239977,36385,128
5,26431405,34969,123
5,25712171,34109,120
5,25943065,34675,122
5,27461977,36377,128
5,24407527,32691,115
5,26087996,34676,122
5,5296506,7128,25
5,27224877,35822,126
5,6869736,9117,32
5,26989809,36098,127
5,25752541,34393,121
5,27466914,36104,127
5,27278979,35822,126
5,13421407,17920,63
5,26158077,34674,122
5,26823522,35528,125
5,24394460,32689,115
5,24948235,33255,117
5,24372031,32401,114
5,27335416,36377,128
5,26704776,35531,125
5,18857578,25034,88
5,26456614,35245,124
5,25108497,33539,118
5,24379237,32686,115
5,27645784,36384,128
5,27550233,36380,128
5,27436987,36383,128
5,27678972,36383,128
5,25406365,33541,118
5,26082205,34679,122
5,26193470,34685,122
5,26375839,34114,120
5,26888916,35252,124
5,26164439,34962,123
5,12028663,16501,58
5,27141073,36379,128
5,20657604,27858,98
5,21969024,29005,102
5,25037277,33540,118
5,26737547,35528,125
5,25737246,33825,119
5,26492466,34963,123
5,27017436,35528,125
5,26753070,35813,126
5,27367741,36376,128
5,25231781,33542,118
5,25272605,33541,118
5,26935549,35813,126
5,26499284,35246,124
5,23592293,31270,110
5,26525786,35244,124
5,27622246,36386,128
5,27529202,36376,128
5,27618028,36376,128
5,27408114,36379,128
5,27776993,36378,128
5,27084924,35814,126
5,25071568,33258,117
5,26190453,34681,122
5,25185509,33824,119
5,15458741,20755,73
5,26568346,35252,124
5,21474744,28712,101
5,27445996,36380,128
5,23964830,32405,114
5,26503008,35245,124
5,26637607,35530,125
5,26373451,35244,124
5,27527029,36384,128
5,27202230,35820,126
5,27099511,35537,125
5,27099150,35532,125
5,25733036,34393,121
5,26123799,34963,123
5,26056909,34393,121
5,26580753,35528,125
5,26422035,34962,123
5,26537437,35530,125
5,27540299,35821,126
5,24244874,31841,112
5,27344609,35539,125
5,27908669,36375,128
5,24600932,32691,115
5,27710996,36380,128
5,26563072,34960,123
5,26442223,34678,122
5,18381976,24457,86
5,27481261,36104,127
5,27953584,36378,128
5,26634008,35245,124
5,26059240,34679,122
5,23263654,30703,108
5,23304302,30709,108
5,27673489,36098,127
5,23469942,30697,108
5,27879795,36381,128
5,24041800,31275,110
5,27670832,36375,128
5,22057268,28718,101
5,27006598,35811,126
5,28028719,36381,128
5,26280981,34115,120
5,26890446,34969,123
5,25990393,34111,120
5,25638473,33542,118
5,27116418,35530,125
5,27910641,36105,127
5,26966058,35531,125
5,17660889,23325,82
5,27514944,36104,127
5,25304048,32970,116
5,26721920,34962,123
5,27726818,36382,128
5,27730438,36380,128
5,15960598,21046,74
5,26224437,34393,121
5,27365302,35812,126
5,27838036,36375,128
5,26534440,34674,122
5,26069799,34109,120
5,27914753,36383,128
5,21597076,28711,101
5,27913190,36383,128
5,27536915,36376,128
5,26817104,35246,124
5,26330536,34396,121
5,27344731,35813,126
5,27742771,36379,128
5,27064658,35244,124
5,27063915,35530,125
5,27609182,35528,125
5,27285648,35813,126
5,27794626,36385,128
5,27480752,35815,126
5,26073028,34679,122
5,24622893,32119,113
5,27730558,36104,127
5,27512365,35820,126
5,27651911,35820,126
5,27860778,36379,128
5,22960398,30130,106
5,15980606,21048,74
5,26884205,35530,125
5,20467687,27289,96
5,28087565,36377,128
5,28196546,36385,128
5,26954203,35246,124
5,27768459,36098,127
5,27514142,35821,126
5,23009689,29846,105
5,25860167,34111,120
5,17949970,23599,83
5,26912628,34686,122
5,28273873,36377,128
5,28141196,36385,128
5,27325185,35252,124
5,22498780,29565,104
5,27555611,35820,126
5,28069944,36387,128
5,27944136,36105,127
5,27349256,35528,125
5,27875454,36377,128
5,28249432,36376,128
5,24508574,32409,114
5,12220791,15930,56
5,28008478,36376,128
5,28033314,36378,128
5,28010902,36375,128
5,28040384,36382,128
5,26791446,34962,123
5,25686667,33823,119
5,9473183,12523,44
5,28333131,36384,128
5,27216327,35529,125
5,27858967,36379,128
5,26092943,33826,119
5,27400259,35529,125
5,27722778,35822,126
5,26437347,34393,121
5,28174488,36380,128
5,25770805,33258,117
5,27918881,36379,128
5,28220749,36382,128
5,27741256,36377,128
5,27547803,35812,126
5,27963652,36380,128
5,25936389,33825,119
5,27415954,35812,126
5,28593603,36381,128
5,28308337,36382,128
5,26319247,34393,121
5,28080034,36378,128
5,26381553,34392,121
5,23575120,31272,110
5,27070784,34966,123
5,27740735,36379,128
5,26143413,34109,120
5,25787469,34111,120
5,24773479,32689,115
5,18192311,23893,84
5,27245897,35814,126
5,27055407,35245,124
5,5008186,6561,23
5,4685272,6844,24
5,26948873,35528,125
5,24430912,32122,113
5,28102486,36378,128
5,25568124,33540,118
5,26639061,34961,123
5,5042581,6561,23
5,22150739,29001,102
5,27977798,36379,128
5,27983699,36105,127
5,27448875,35811,126
5,27883680,36381,128
5,27827555,36379,128
5,25803886,33552,118
5,27724654,36375,128
5,27284516,35246,124
5,28134451,36383,128
5,26865408,34968,123
5,21696618,28427,100
5,27393005,35528,125
5,28435291,36380,128
5,25951824,34108,120
5,28021289,36378,128
5,26347435,34119,120
5,27669261,36097,127
5,24697165,32403,114
5,28056680,36380,128
5,25617909,33543,118
5,27876610,35822,126
5,27413702,35813,126
5,26382613,34676,122
5,26163420,34109,120
5,26557714,34677,122
5,9526972,12807,45
5,27496055,35812,126
5,27622093,35528,125
5,28043173,36377,128
5,27192950,35529,125
5,27058589,35245,124
5,27088774,35529,125
5,27430385,35820,126
5,27712569,36375,128
5,27682605,36384,128
5,27168735,35251,124
5,26645317,34962,123
5,27684568,36377,128
5,26452466,34116,120
5,24550235,32122,113
5,28015483,36379,128
5,28263852,36381,128
5,28665331,36383,128
5,18306217,24166,85
5,27512025,35818,126
5,27825106,36380,128
5,27483747,35812,126
5,21401915,27858,98
5,23412306,30701,108
5,28120620,36386,128
5,27033681,34685,122
5,23870943,31555,111
5,27889847,36383,128
5,27234893,35529,125
5,28010882,36377,128
5,27504645,35811,126
5,27413450,35530,125
5,27847000,35812,126
5,26611971,34676,122
5,23582445,30989,109
5,27944235,36375,128
5,27008446,34962,123
5,28065719,36380,128
5,27365916,35528,125
5,27880500,36101,127
5,19108061,24728,87
5,26454148,34961,123
5,27334773,35528,125
5,28012502,36380,128
5,24259718,31551,111
5,28167873,36104,127
5,27968616,36382,128
5,27852936,36377,128
5,27809762,35812,126
5,24699372,32402,114
5,28235846,36379,128
5,26573216,34392,121
5,27341695,35529,125
5,17484854,22751,80
5,28205326,36384,128
5,18606759,24444,86
5,26755330,34962,123
5,26936325,34968,123
5,28138298,36379,128
5,27962315,35812,126
5,26789249,35244,124
5,20516370,26722,94
5,27089419,35252,124
5,28033944,36383,128
5,24198528,31839,112
5,22811887,29857,105
5,25742775,33826,119
5,28137228,36384,128
5,26611590,34400,121
5,25499207,33257,117
5,27420410,35812,126
5,28424075,36386,128
5,28191192,36377,128
5,27508616,35820,126
5,27584694,36376,128
5,9940011,13089,46
5,27174953,35246,124
5,27290134,35528,125
5,24620377,32123,113
5,27244500,35529,125
5,27231625,35530,125
5,26368185,34393,121
5,28108068,36381,128
5,26510425,34676,122
5,27799817,36378,128
5,13816729,18205,64
5,27931603,36382,128
5,27927636,36382,128
5,11822501,15366,54
5,27050850,34965,123
5,25229698,32974,116
5,27025960,34962,123
5,27287914,35813,126
5,27407764,35529,125
5,28010184,36381,128
5,27805065,36105,127
5,28189303,36383,128
5,23269938,30704,108
5,28039613,36383,128
5,22876366,30137,106
5,27620889,35820,126
5,26269716,34675,122
5,27315280,35812,126
5,27448975,35813,126
5,26221065,33825,119
5,27409184,35814,126
5,28550967,36384,128
5,25887421,33542,118
5,27192589,35244,124
5,28339298,36379,128
5,28443024,36381,128
5,28569942,36384,128
5,22882918,29849,105
5,25860785,33538,118
5,26334061,34109,120
5,28101314,36379,128
5,28085086,36384,128
5,26251609,34108,120
5,28152160,36382,128
5,27428424,35252,124
5,27292274,35529,125
5,19356328,25318,89
5,24476001,32125,113
5,8764341,11665,41
5,27380675,35532,125
5,27472894,35813,126
5,27871719,36376,128
5,27418604,35528,125
5,27258121,35812,126
5,25679090,33541,118
5,27982072,36104,127
5,28006964,36377,128
5,27938793,36378,128
5,28131534,36104,127
5,27975814,36383,128
5,26661260,34963,123
5,27561628,35813,126
5,19327444,25027,88
5,18758751,24733,87
5,27767660,36379,128
5,23961126,31268,110
5,24428938,31839,112
5,26485799,34392,121
5,28265113,36385,128
5,28066652,36383,128
5,27880913,36104,127
5,20508048,26447,93
5,26575583,34677,122
5,25171398,32688,115
5,25988674,33549,118
5,27828470,36379,128
5,28229010,36379,128
5,27933795,36377,128
5,25561552,33261,117
5,28003069,36381,128
5,27023372,34961,123
5,26328986,34678,122
5,27787935,36379,128
5,28116991,35818,126
5,26294089,34111,120
5,7305660,9675,34
5,26630784,34677,122
5,28181458,36374,128
5,17224703,22747,80
5,27523915,35812,126
5,27499595,34969,123
5,27539010,35813,126
5,23619743,30702,108
5,27926780,36104,127
5,28389627,36381,128
5,27318578,35245,124
5,25211291,32690,115
5,11524178,15356,54
5,28261639,36387,128
5,27384378,35811,126
5,19846763,26153,92
5,27325494,35532,125
5,27919975,36380,128
5,27677313,35813,126
5,28092544,36381,128
5,28195903,36378,128
5,26278934,33552,118
5,27967967,36376,128
5,25841505,33542,118
5,28520373,36382,128
5,27926346,36097,127
5,27984916,36380,128
5,23262336,30130,106
5,25631975,33540,118
5,27858107,35822,126
5,28358181,36378,128
5,28075163,36385,128
5,27976968,36383,128
5,28697795,36384,128
5,26168441,34394,121
5,27515798,35813,126
5,28055583,36384,128
5,21960189,28712,101
5,27134260,35245,124
5,27641617,35813,126
5,28055978,36381,128
5,27354464,35530,125
5,28181533,36383,128
5,26679381,34394,121
5,28405062,36382,128
5,28039722,36376,128
5,28190073,36381,128
5,26767085,34402,121
5,27379114,35244,124
5,25675678,33266,117
5,25466916,32974,116
5,28374907,36374,128
5,25813884,33538,118
5,15348406,19911,70
5,26613719,34678,122
5,25752884,33258,117
5,27030584,34962,123
5,27688170,35813,126
5,27944361,35821,126
5,17753574,22750,80
5,25737675,33544,118
5,25994918,33826,119
5,28041850,36105,127
5,28089428,36376,128
5,25625753,33540,118
5,27616185,35812,126
5,26669495,34676,122
5,27135319,35256,124
5,26852974,34962,123
5,24527760,31553,111
5,26212300,34109,120
5,17913004,23030,81
5,27270392,35252,124
5,27264397,35244,124
5,26362491,33833,119
5,28264447,36383,128
5,27249578,35530,125
5,26026044,33542,118
5,27825222,36382,128
5,28400872,36379,128
5,27203653,35813,126
5,27549948,35813,126
5,27336804,35813,126
5,28207118,36380,128
5,27873001,35812,126
5,28291087,36381,128
5,26963008,34960,123
5,28136544,36376,128
5,28076129,36376,128
5,21429981,27859,98
5,28336019,36377,128
5,22373098,29004,102
5,27346565,35530,125
5,27953450,36374,128
5,27985445,36380,128
5,28006519,35820,126
5,26764018,34962,123
5,27382264,35247,124
5,26239850,34111,120
5,26967582,34962,123
5,27555211,35249,124
5,25676003,33257,117
5,25981646,33824,119
5,27412008,35528,125
5,24810241,32128,113
5,28568611,36384,128
5,28032071,36104,127
5,24312553,31272,110
5,28221158,36384,128
5,28597822,36385,128
5,26986291,34962,123
5,28195861,36375,128
5,28355302,36378,128
5,26529055,34113,120
5,28373103,36378,128
5,28189678,36376,128
5,28407144,36379,128
5,21224240,27572,97
5,28026971,36104,127
5,28409889,36378,128
5,19381899,25309,89
5,23134266,29847,105
5,26224640,34111,120
5,27124578,34685,122
5,25711620,33539,118
5,27517051,35528,125
5,26684555,34393,121
5,27431245,35528,125
5,24617243,31849,112
5,27795386,35532,125
5,28221659,36380,128
5,27767938,35813,126
5,17033547,22170,78
5,28264348,36382,128
5,28230234,36380,128
5,28514138,36381,128
