OMNIKDTREE,EUCLIDEAN,SSS,2,4015,1841
k,time,count,disk
5,22635351,30422,107
5,25700275,34404,121
5,25242677,34402,121
5,24331811,32976,116
5,26190718,35253,124
5,20804403,28155,99
5,24153220,32978,116
5,25212146,34118,120
5,24807569,33547,118
5,25469063,34685,122
5,24918416,33547,118
5,12513612,17078,60
5,25834840,35253,124
5,24527087,33264,117
5,25571441,34685,122
5,25808995,34685,122
5,25006469,34115,120
5,25536321,34685,122
5,25894075,34686,122
5,20559027,28154,99
5,23929463,32696,115
5,25312114,34117,120
5,25116076,33552,118
5,25677551,34685,122
5,25794897,34685,122
5,25162588,34114,120
5,25760001,34686,122
5,25989775,34686,122
5,24359612,32975,116
5,25636608,34685,122
5,25816566,34686,122
5,25718800,34686,122
5,26427950,35538,125
5,25140073,33552,118
5,26063077,34970,123
5,23726482,32408,114
5,25899192,34119,120
5,26060793,34970,123
5,21996749,29572,104
5,26490346,35253,124
5,21148015,28153,99
5,25683469,34685,122
5,25279255,34115,120
5,26412988,35252,124
5,23011974,31273,110
5,26271542,35538,125
5,26080403,34970,123
5,24819774,33547,118
5,6880237,9408,33
5,23844625,32411,114
5,21774813,29570,104
5,26129513,35253,124
5,25886892,34685,122
5,25636501,34685,122
5,24966654,33547,118
5,25440534,34115,120
5,26268082,35253,124
5,17154604,22753,80
5,25792725,34686,122
5,25830478,34685,122
5,25064982,34115,120
5,24643095,33547,118
5,27014709,36106,127
5,24824201,33544,118
5,25889879,34970,123
5,25623358,34685,122
5,25499239,34115,120
5,17185195,23610,83
5,25409915,34685,122
5,24873996,33536,118
5,6495847,8840,31
5,24007565,32979,116
5,14921427,20474,72
5,24213282,32979,116
5,25103005,34114,120
5,25843545,34970,123
5,24818824,33545,118
5,24196592,32978,116
5,25724165,34686,122
5,26252290,34969,123
5,23592671,31563,111
5,23035988,31274,110
5,25184326,34115,120
5,24118685,32413,114
5,26213197,34970,123
5,25236063,34115,120
5,22617818,30709,108
5,26175155,35538,125
5,18648415,25597,90
5,26158064,35253,124
5,25755640,34686,122
5,18285386,24745,87
5,25920172,35253,124
5,21572033,29571,104
5,26042917,35538,125
5,26293806,35253,124
5,16279079,22179,78
5,25422235,34685,122
5,25054174,34115,120
5,26123376,35253,124
5,26188342,35253,124
5,25634744,34686,122
5,14052807,19347,68
5,24999844,34115,120
5,25553005,34685,122
5,24766606,33546,118
5,24202436,32979,116
5,24346278,32979,116
5,22012612,29855,105
5,25867686,34685,122
5,25658956,34115,120
5,21664167,29006,102
5,24830943,32980,116
5,21850993,29571,104
5,13095734,17919,63
5,26790033,35822,126
5,26403789,35539,125
5,25875871,34118,120
5,25573501,34115,120
5,26267522,34970,123
5,25656656,34118,120
5,23467347,31283,110
5,26020810,34686,122
5,16876154,22755,80
5,25863199,34685,122
5,20198795,27569,97
5,22507856,30139,106
5,22030937,29563,104
5,25953349,34685,122
5,23655497,31843,112
5,27182997,35822,126
5,7074158,9408,33
5,24544968,32980,116
5,26748277,35822,126
5,26780356,35253,124
5,24471154,32978,116
5,25406044,34114,120
5,26216821,34970,123
5,25856730,34685,122
5,24864790,32978,116
5,5315616,7129,25
5,26787068,35822,126
5,7014780,9408,33
5,24995139,33547,118
5,25789662,34115,120
5,26167436,34686,122
5,26612492,35253,124
5,14850796,19915,70
5,25884015,34686,122
5,26065160,34115,120
5,25441721,33832,119
5,26025547,34685,122
5,25239397,33547,118
5,26528240,35253,124
5,25913835,34686,122
5,20994871,27871,98
5,26002151,34685,122
5,24568185,32978,116
5,23471635,31557,111
5,25560547,34117,120
5,26390211,34970,123
5,26064501,34686,122
5,26465312,34970,123
5,23721147,31844,112
5,26175251,34689,122
5,23791731,31562,111
5,26044021,34686,122
5,26790255,35539,125
5,26357621,35538,125
5,9333114,12520,44
5,26294273,34686,122
5,24123874,32408,114
5,16520847,22179,78
5,25927505,34110,120
5,25595874,34114,120
5,24734572,32979,116
5,25290603,33548,118
5,26262663,34970,123
5,26912095,35822,126
5,26988666,35822,126
5,26611791,35250,124
5,25918366,34686,122
5,26173184,34686,122
5,26174323,34685,122
5,25176652,33547,118
5,26080203,34686,122
5,26427351,35253,124
5,26249323,34685,122
5,25971491,34686,122
5,23994100,32414,114
5,26468321,34970,123
5,26333670,34686,122
5,24651195,32979,116
5,25349489,33548,118
5,25485794,34115,120
5,14291557,19061,67
5,26190801,34686,122
5,20084728,27300,96
5,26625660,35253,124
5,24515049,32968,116
5,24958634,33547,118
5,25223304,33832,119
5,25262695,34110,120
5,25828658,34115,120
5,25381050,33547,118
5,26165227,34686,122
5,26122664,34686,122
5,25644749,34111,120
5,25670822,34115,120
5,25697250,33832,119
5,26212398,34685,122
5,25446453,33543,118
5,22343565,30140,106
5,27425214,36106,127
5,27407144,36106,127
5,26618324,34972,123
5,26147410,34971,123
5,25093569,33547,118
5,27812443,36106,127
5,25549637,33547,118
5,23080923,30421,107
5,15132982,20191,71
5,26175814,34686,122
5,26915853,35253,124
5,25748374,34115,120
5,17021269,22470,79
5,18939888,25023,88
5,23599326,31282,110
5,25882503,34115,120
5,25275919,33536,118
5,27629648,36386,128
5,26863776,35253,124
5,26572029,34970,123
5,21163089,27585,97
5,26195125,34685,122
5,27522963,36106,127
5,24653054,32129,113
5,24205957,31846,112
5,20462982,27298,96
5,24842924,32976,116
5,22314940,29572,104
5,26783185,34970,123
5,18837921,25031,88
5,15861309,20768,73
5,25731767,33832,119
5,23260686,30709,108
5,25857571,34115,120
5,26735157,34970,123
5,26794023,34685,122
5,13605494,17923,63
5,26202840,34685,122
5,26022287,34115,120
5,23075362,30142,106
5,26615760,34685,122
5,24976716,32975,116
5,27977829,36388,128
5,25328339,33547,118
5,27436572,35822,126
5,27714202,36106,127
5,25754213,34111,120
5,25312952,33264,117
5,25868714,34115,120
5,23813046,31560,111
5,26480717,34686,122
5,27597777,35822,126
5,25879057,34115,120
