OMNIKDTREE,EUCLIDEAN,CONVEX,4,4015,121676
k,time,count,disk
5,28439030,36368,128
5,26704267,36368,128
5,27467578,36369,128
5,27457185,36377,128
5,27443234,36368,128
5,27116980,35800,126
5,27487034,36368,128
5,28077913,36362,128
5,27407089,36367,128
5,27795005,36373,128
5,27488226,36368,128
5,27082106,35235,124
5,27969718,36368,128
5,27646898,36368,128
5,27819185,36362,128
5,27774049,36362,128
5,27574216,36368,128
5,27584912,36368,128
5,27909313,36368,128
5,27775529,36377,128
5,27631312,36368,128
5,27838795,36362,128
5,27874294,36362,128
5,27853035,36368,128
5,28025203,36362,128
5,27867420,36368,128
5,27838935,36362,128
5,28085062,36362,128
5,27630909,36369,128
5,27903320,36367,128
5,27741376,36370,128
5,27628994,36369,128
5,28169752,36367,128
5,27850866,36362,128
5,27835535,36362,128
5,27862201,36362,128
5,27599385,36362,128
5,27242299,36367,128
5,27382223,36364,128
5,27330904,36362,128
5,27168726,35800,126
5,27236283,36377,128
5,27398462,36362,128
5,27344778,36377,128
5,27228042,36371,128
5,27061419,36368,128
5,27217416,36368,128
5,27295137,36369,128
5,23840771,31835,112
5,27151006,36368,128
5,27019334,36090,127
5,27287035,36368,128
5,27381260,36368,128
5,27476324,36362,128
5,27334227,36367,128
5,27421786,36363,128
5,27434494,36368,128
5,24311343,32402,114
5,27150731,36368,128
5,27408806,36362,128
5,27107581,36368,128
5,27434145,36367,128
5,27501794,36368,128
5,27285359,36377,128
5,27316967,36368,128
5,27205503,36368,128
5,27336002,36370,128
5,27115093,36373,128
5,27361478,36377,128
5,27276465,36368,128
5,21778115,28709,101
5,27330984,36368,128
5,27477284,36368,128
5,27524894,36368,128
5,27232189,36377,128
5,27096576,36368,128
5,27335564,36362,128
5,27168814,36368,128
5,27496565,36367,128
5,27297217,36368,128
5,27168793,36367,128
5,27259994,36372,128
5,27321079,36362,128
5,27502582,36362,128
5,27526333,36362,128
5,27228023,36377,128
5,27451268,36372,128
5,27322827,36368,128
5,27581038,36362,128
5,27416687,36374,128
5,27386319,36368,128
5,27490765,36363,128
5,27350839,36368,128
5,27324412,36368,128
5,27405781,36362,128
5,27503318,36368,128
5,27456909,36373,128
5,27484653,36368,128
5,27521363,36372,128
5,27285396,36373,128
5,27668087,36377,128
5,27420484,36364,128
5,27713432,36368,128
5,27598866,36362,128
5,27647299,36362,128
5,27525347,36368,128
5,27652529,36373,128
5,27940876,36369,128
5,27716359,36377,128
5,27583604,36368,128
5,27924361,36362,128
5,27742657,36362,128
5,27691701,36366,128
5,27493030,36368,128
5,28001365,36371,128
5,27499568,36368,128
5,27673437,36368,128
5,27658926,36363,128
5,27726750,36367,128
5,27559028,36362,128
5,27549543,36368,128
5,28049932,36362,128
5,27714461,36363,128
5,27916215,36379,128
5,27866479,36362,128
5,27611667,36368,128
5,27753857,36378,128
5,27773109,36368,128
5,27850355,36362,128
5,27979048,36368,128
5,27845340,36368,128
5,22482846,29276,103
5,27720344,36371,128
5,27953103,36368,128
5,27735373,36368,128
5,27871797,36367,128
5,27788345,36368,128
5,27820844,36362,128
5,27675588,36368,128
5,27720507,36370,128
5,21912929,28709,101
5,28088793,36365,128
5,21758169,28709,101
5,27924155,36370,128
5,27617969,36368,128
5,28209765,36367,128
5,27964762,36368,128
5,26648302,34951,123
5,27631994,36368,128
5,27917166,36372,128
5,27530398,36368,128
5,27775850,36369,128
5,27703217,36368,128
5,28129963,36362,128
5,27712969,36369,128
5,27950589,36364,128
5,28099833,36363,128
5,27714637,36368,128
5,28043654,36367,128
5,27852300,36377,128
5,27940672,36362,128
5,27759481,36377,128
5,27651312,36373,128
5,27813999,36377,128
5,28034732,36365,128
5,28024642,36376,128
5,27990365,36377,128
5,28274595,36368,128
5,27799523,36362,128
5,28232959,36382,128
5,27995345,36378,128
5,27875279,36377,128
5,27846345,36369,128
5,27888627,36368,128
5,27818434,36377,128
5,28047303,36368,128
5,28083040,36368,128
5,27857398,36362,128
5,27737995,36368,128
5,27987631,36377,128
