OMNIKDTREE,EUCLIDEAN,GNAT,4,4015,247057
k,time,count,disk
5,28244318,36368,128
5,26928513,36368,128
5,26931069,36369,128
5,26572974,36368,128
5,26933877,36368,128
5,25822859,35231,124
5,26846510,36368,128
5,26687914,36362,128
5,27226622,36368,128
5,26962856,36373,128
5,26668833,36370,128
5,26947420,36085,127
5,27241404,36367,128
5,26779374,36368,128
5,26961141,36362,128
5,26887447,36362,128
5,26972782,36369,128
5,26680261,36368,128
5,27188047,36368,128
5,27024386,36370,128
5,26934143,36368,128
5,26900736,36362,128
5,26917263,36362,128
5,27056046,36368,128
5,26805702,36362,128
5,27105963,36368,128
5,26820639,36377,128
5,27012718,36362,128
5,26954539,36373,128
5,26882720,36368,128
5,27064437,36370,128
5,26883304,36369,128
5,27173123,36367,128
5,26877687,36362,128
5,27121232,36362,128
5,27180073,36362,128
5,27285134,36362,128
5,26789868,36377,128
5,27016280,36364,128
5,26923294,36362,128
5,27222849,36364,128
5,26962966,36377,128
5,27236032,36362,128
5,27068962,36367,128
5,26866109,36090,127
5,26889996,36368,128
5,27168612,36368,128
5,26940568,36371,128
5,23597401,31831,112
5,27180269,36368,128
5,26782570,36090,127
5,27212207,36368,128
5,26991102,36368,128
5,26989772,36377,128
5,27317125,36368,128
5,27190518,36363,128
5,27263546,36368,128
5,23339819,31269,110
5,27237443,36367,128
5,27088317,36362,128
5,27292997,36368,128
5,27415309,36364,128
5,27291357,36368,128
5,27563830,36368,128
5,26954513,36377,128
5,27412067,36368,128
5,27189598,36370,128
5,26969473,36090,127
5,27394200,36367,128
5,27330062,36368,128
5,22124711,29841,105
5,27190206,36368,128
5,27289266,36370,128
5,27641602,36368,128
5,27256741,36364,128
5,27045983,36368,128
5,27203336,36362,128
5,27206720,36090,127
5,27310231,36377,128
5,27166519,36368,128
5,27175880,36367,128
5,27197206,36373,128
5,27231710,36362,128
5,27301902,36363,128
5,27277414,36362,128
5,27447736,36365,128
5,27473222,36371,128
5,27216909,36368,128
5,27478664,36362,128
5,27268549,36373,128
5,27386017,36368,128
5,27500678,36366,128
5,27224646,36368,128
5,27346687,36371,128
5,27604227,36362,128
5,27158124,36377,128
5,27509643,36373,128
5,27409649,36369,128
5,27308599,36373,128
5,27359373,36373,128
5,27319116,36377,128
5,27151491,36366,128
5,26848874,35806,126
5,27377688,36364,128
5,27047785,36377,128
5,27405632,36368,128
5,27402207,36373,128
5,27291752,36371,128
5,27074301,35806,126
5,27361712,36365,128
5,27033981,36377,128
5,27536899,36362,128
5,27285703,36366,128
5,27201437,36368,128
5,27591711,36373,128
5,27255482,36368,128
5,27252768,36368,128
5,27239005,36363,128
5,27650877,36369,128
5,27322781,36362,128
5,27329172,36368,128
5,27416566,36362,128
5,27434515,36364,128
5,25571597,33822,119
5,27295099,36377,128
5,27192731,36090,127
5,27333712,36369,128
5,27367482,36369,128
5,27361543,36362,128
5,27428946,36368,128
5,27339204,36370,128
5,22395048,29841,105
5,27459684,36372,128
5,27577717,36368,128
5,27425094,36368,128
5,27490812,36371,128
5,27516906,36369,128
5,27337294,36362,128
5,27415682,36369,128
5,27274956,36371,128
5,22159414,29558,104
5,27527540,36369,128
5,22519248,29841,105
5,27580211,36370,128
5,27426634,36368,128
5,27496183,36368,128
5,27341403,36377,128
5,27238069,35802,126
5,27459024,36368,128
5,27823111,36371,128
5,27208948,36372,128
5,27470916,36369,128
5,27448098,36368,128
5,27439519,36362,128
5,27269355,36370,128
5,27472787,36364,128
5,27121072,36378,128
5,27397140,36368,128
5,27701234,36368,128
5,27613851,36365,128
5,27215683,36377,128
5,27546538,36368,128
5,27186540,36373,128
5,27554157,36370,128
5,27394766,36365,128
5,27434965,36370,128
5,27701074,36369,128
5,27551918,36368,128
5,27094372,36362,128
5,27458585,36373,128
5,27647962,36370,128
5,26635174,35237,124
5,27099572,36378,128
5,27508900,36369,128
5,27545351,36362,128
5,27430015,36368,128
5,27613500,36369,128
5,27263757,36362,128
5,27327089,36368,128
5,27162121,36377,128
5,27184767,36362,128
5,27390265,36362,128
5,27194775,36368,128
5,27060989,36362,128
5,27442215,36373,128
5,27328380,36377,128
5,27542313,36377,128
5,27321603,36364,128
5,27427440,36368,128
5,27451355,36362,128
5,27284274,36368,128
5,27476589,36369,128
5,27506221,36367,128
5,27321880,36368,128
5,27432266,36362,128
5,24791795,32959,116
5,27423316,36368,128
5,26913966,35800,126
5,27219231,36377,128
5,27383149,36362,128
5,27315399,36369,128
5,27361111,36371,128
5,27301406,36369,128
5,27445272,36368,128
5,27749777,36365,128
5,27527236,36368,128
5,27224731,36377,128
5,27467722,36370,128
5,27573810,36371,128
5,27261139,36090,127
5,27340736,36368,128
5,27644109,36363,128
5,27306614,36369,128
5,27567373,36368,128
5,27334898,36378,128
5,27301041,36362,128
5,27442335,36368,128
5,27295490,36368,128
5,27410165,36368,128
5,27578372,36368,128
5,27622665,36371,128
5,25834160,34388,121
5,27363702,36368,128
5,27289239,36377,128
5,27944353,36367,128
5,27476899,36369,128
5,27093842,35805,126
5,27303522,36363,128
5,27677445,36363,128
5,27487129,36365,128
5,27286464,36368,128
5,27546633,36362,128
5,27570133,36368,128
5,26647893,35238,124
5,27416211,36369,128
5,27601046,36363,128
5,27504295,36373,128
5,27648591,36370,128
5,27649793,36368,128
5,27551805,36369,128
5,27530786,36368,128
5,27393328,36368,128
5,27683425,36368,128
5,25346760,33821,119
5,27837572,36363,128
5,27448978,36372,128
5,27584517,36379,128
5,27546264,36362,128
5,27506574,36364,128
5,25316526,33538,118
