OMNIKDTREE,EUCLIDEAN,PCA,4,4015,43388
k,time,count,disk
5,28198038,36085,127
5,27061324,36362,128
5,26928324,36379,128
5,26644537,35812,126
5,27144782,36368,128
5,25412810,34390,121
5,26621575,35812,126
5,26778799,36090,127
5,26739412,35811,126
5,26953729,36369,128
5,26159353,35231,124
5,25141021,33821,119
5,27071736,36371,128
5,27028328,36366,128
5,26999636,36362,128
5,26992218,36374,128
5,26504025,36095,127
5,27196009,36368,128
5,27047178,36369,128
5,26967660,36373,128
5,26455345,35811,126
5,26719016,36362,128
5,27041221,36369,128
5,26946589,36368,128
5,27423941,36369,128
5,26595589,35800,126
5,27312261,36368,128
5,26926498,36364,128
5,26406324,35811,126
5,27154166,36368,128
5,26636040,35812,126
5,26681177,35806,126
5,27273546,36362,128
5,26875299,36373,128
5,27178513,36369,128
5,26479616,35811,126
5,26399429,35238,124
5,27120057,36366,128
5,26952266,36090,127
5,26935737,36378,128
5,26493890,35806,126
5,27150451,36377,128
5,26962656,36085,127
5,26984454,36363,128
5,27109905,36089,127
5,26934463,36376,128
5,26924590,36374,128
5,26767689,36090,127
5,23666269,31833,112
5,25924498,35243,124
5,26919653,35805,126
5,27098407,36362,128
5,27059368,36362,128
5,26981103,36087,127
5,27074626,36364,128
5,26808743,36095,127
5,27049999,36362,128
5,27198810,36362,128
5,27244372,36362,128
5,26846138,36095,127
5,27064618,36368,128
5,26843423,35812,126
5,27525082,36368,128
5,26783583,35806,126
5,27310822,36368,128
5,26856311,36363,128
5,26754032,35805,126
5,25057299,34105,120
5,27296978,36368,128
5,26110381,35242,124
5,21146832,28712,101
5,26635862,35800,126
5,25802173,34676,122
5,26433050,35812,126
5,26419237,35811,126
5,27065762,36362,128
5,26291882,35528,125
5,26740603,35801,126
5,27241635,36371,128
5,27097828,36367,128
5,26873538,36085,127
5,26281117,35806,126
5,26714913,36371,128
5,26710521,36090,127
5,27045055,36374,128
5,27176920,36374,128
5,26520691,35800,126
5,27033097,36364,128
5,27209191,36379,128
5,27213491,36369,128
5,26904841,36090,127
