OMNIKDTREE,EUCLIDEAN,SELECTION,4,4015,402648
k,time,count,disk
5,25978255,34102,120
5,24750874,34386,121
5,25259376,35233,124
5,22997157,32393,114
5,24246993,34104,120
5,22521855,31841,112
5,24173057,33529,118
5,23680092,33538,118
5,22824172,32393,114
5,24466952,34681,122
5,23517609,32683,115
5,20988474,29851,105
5,24543094,34388,121
5,24062678,33818,119
5,24228700,34102,120
5,24192761,34105,120
5,23963887,33818,119
5,25021481,35239,124
5,24232339,34098,120
5,23594530,32967,116
5,24464449,34386,121
5,24333851,33818,119
5,23467427,33255,117
5,24901655,34955,123
5,24992265,34955,123
5,23885663,33534,118
5,24591044,34397,121
5,24134670,33819,119
5,24114962,33812,119
5,24032043,33828,119
5,24197707,33531,118
5,23997913,33821,119
5,24664128,34678,122
5,23244301,32971,116
5,24539536,34388,121
5,24041452,34102,120
5,23679790,33539,118
5,23816407,33538,118
5,23186703,32971,116
5,23981266,33821,119
5,22595432,32118,113
5,24974610,34955,123
5,23730349,33818,119
5,25379887,35807,126
5,23713549,33812,119
5,25063050,35233,124
5,24953020,35239,124
5,23588927,33544,118
5,20920494,29851,105
5,23989185,34102,120
5,23450965,33528,118
5,24912456,35239,124
5,24382764,34102,120
5,24098168,33821,119
5,24007243,33818,119
5,24042107,33814,119
5,24157851,33820,119
5,21763695,30701,108
5,24636903,34955,123
5,23870049,33814,119
5,23902622,34102,120
5,22922240,32683,115
5,24166895,34673,122
5,24057960,33828,119
5,24019383,33821,119
5,24238767,34386,121
5,24028618,33820,119
5,23975343,33534,118
5,24909117,35239,124
5,23997965,33818,119
5,20369128,28715,101
5,23864918,33818,119
5,23707452,33253,117
5,22938999,32393,114
5,24259140,34380,121
5,24817966,34955,123
5,23331191,32683,115
5,23961390,33818,119
5,24247961,33815,119
5,24027224,33538,118
5,22958745,32116,113
5,23752100,33535,118
5,24223014,34111,120
5,23309912,32409,114
5,24312149,33821,119
5,24394748,34102,120
5,24222547,33818,119
5,24460118,34395,121
5,24198385,33819,119
5,24582632,34388,121
5,23906632,33255,117
5,23694115,33251,117
5,23999159,33822,119
5,23724179,33250,117
5,25748434,35807,126
5,24100469,33539,118
5,22230161,31269,110
5,25025497,34964,123
5,23951651,33827,119
5,25536209,35523,125
5,24947083,35249,124
5,23567992,32971,116
5,23606399,32967,116
5,24710516,33819,119
5,25440512,35239,124
5,23999374,33812,119
5,22937185,32393,114
5,23064731,32692,115
5,22584510,32124,113
5,24719171,35233,124
5,24355891,33819,119
5,23313730,32971,116
5,22730355,32401,114
5,24581977,34102,120
5,23137757,32400,114
5,25464503,35523,125
5,25032945,35239,124
5,23396533,32971,116
5,22967711,32692,115
5,24863481,34955,123
5,23095681,32394,114
5,23243963,32971,116
5,23988634,33537,118
5,21694871,30694,108
5,23976089,33814,119
5,23629020,33534,118
5,23496056,32684,115
5,23933458,33534,118
5,24807807,35233,124
5,24072921,33535,118
5,24901198,34950,123
5,20497256,28715,101
5,22471223,32110,113
5,24062212,33822,119
5,24021441,33538,118
5,24086151,33818,119
5,24207962,33812,119
5,25005324,35239,124
5,24293345,34102,120
5,24302637,33818,119
5,20232630,28715,101
5,24407658,34673,122
5,20054381,28715,101
5,23301182,32976,116
5,23961676,33818,119
5,24035245,33538,118
5,24206037,34105,120
5,21079193,29851,105
5,24312620,34102,120
5,23897637,32967,116
5,23313388,32683,115
5,24399824,33818,119
5,24161321,33818,119
5,24679865,34387,121
5,23238242,32400,114
5,23253522,32971,116
5,23375723,32976,116
5,24283094,33818,119
5,23917307,33534,118
5,25056946,34672,122
5,24168171,34105,120
5,24328781,34098,120
5,25039133,35239,124
5,22993119,32116,113
5,24046816,33829,119
5,23586213,33531,118
5,23909889,33254,117
5,22763643,31835,112
5,25162567,35239,124
5,23338391,31832,112
5,24636749,34104,120
5,23866126,32115,113
5,22332012,30703,108
5,24276761,33818,119
5,25937917,34955,123
5,23878700,32692,115
5,23961419,32961,116
5,24887020,33819,119
5,26758157,35523,125
5,26167275,35240,124
5,25379167,34386,121
5,25343842,34102,120
5,25176187,33829,119
5,24958047,33829,119
5,24163431,32399,114
5,25120923,33819,119
5,25377706,34105,120
5,26013308,34964,123
5,25908762,34955,123
5,25612726,34386,121
5,25826591,34964,123
5,24894634,33537,118
5,24057653,32399,114
5,24480777,32684,115
5,25137528,33818,119
5,21776234,29568,104
5,24645100,33255,117
5,24891900,33251,117
5,25699543,34673,122
5,25242763,33818,119
5,25443952,34111,120
5,24671416,32967,116
5,25281762,34102,120
5,24238880,32961,116
5,24923158,33531,118
5,25114632,33537,118
5,24767976,33253,117
5,24934985,33535,118
5,24204088,32678,115
5,24818828,33814,119
5,26121657,34672,122
5,24702906,32967,116
5,25115852,33818,119
5,23109144,31270,110
5,25193794,34106,120
5,24915394,33823,119
5,25562804,34386,121
5,25205533,34102,120
5,26126641,34957,123
5,24875059,33535,118
5,24287659,32684,115
5,23738458,31826,112
5,25212565,33822,119
5,26161945,35532,125
5,25122964,33818,119
5,24656623,33251,117
5,23562777,32110,113
5,24584807,33255,117
5,25053270,33821,119
5,25322795,34101,120
5,26368332,35523,125
5,23341137,31269,110
5,26190430,35239,124
5,22410916,30694,108
5,26099206,35239,124
5,26424586,35523,125
5,23519935,32110,113
5,24681987,33531,118
5,25215127,33813,119
5,23880859,32393,114
5,25094201,33818,119
5,25102615,33538,118
5,24823263,33535,118
5,21527773,29273,103
5,25122556,33537,118
5,25467367,33818,119
5,24245317,32683,115
