OMNIKDTREE,EUCLIDEAN,CONVEX,2,1000,332100
k,time,count,disk
5,22205583,30185,95
5,25577621,35902,113
5,28198488,39706,125
5,28863692,40656,128
5,27097402,38747,122
5,5783303,8266,26
5,28255123,40023,126
5,7879191,11439,36
5,15124056,22250,70
5,20438638,29859,94
5,7371928,10813,34
5,8531417,13036,41
5,14906624,22238,70
5,25539119,36214,114
5,8935588,13026,41
5,7645430,11755,37
5,7398072,11446,36
5,8647025,13036,41
5,7043665,10813,34
5,20538371,31127,98
5,8032477,11755,37
5,8655181,13036,41
5,23845366,33680,106
5,22556763,32091,101
5,5143550,7631,24
5,6475340,10492,33
5,6116911,9541,30
5,7064099,10813,34
5,26759683,38439,121
5,10799186,15566,49
5,7645097,11439,36
5,8657574,13036,41
5,9056831,13665,43
5,14429019,21605,68
5,8252485,12077,38
5,28413784,40023,126
5,7036798,10179,32
5,19421033,28279,89
5,25326553,36218,114
5,18861346,26691,84
5,11063024,15892,50
5,17737132,25735,81
5,14162903,20341,64
5,24628310,35264,111
5,24303362,34301,108
5,23894817,34000,107
5,21147742,29867,94
5,10744406,15566,49
5,6142040,8903,28
5,26676925,37487,118
5,7692828,11130,35
5,15241823,22238,70
5,9799928,13985,44
5,8533041,12395,39
5,17403221,24784,78
5,24326729,34317,108
5,28319899,40015,126
5,26983829,37801,119
5,13857040,19389,61
5,21670148,30821,97
5,23067109,32409,102
5,19990121,28277,89
5,27466111,38754,122
5,26309478,36534,115
5,7302245,10179,32
5,19664968,27962,88
5,21144855,29870,94
5,23229045,32093,101
5,13508269,19068,60
5,28571277,40023,126
5,27808208,38438,121
5,6788832,9228,29
5,13890288,20021,63
5,11232383,16203,51
5,8224415,11767,37
5,22924715,32724,103
5,28754452,40023,126
5,7337054,10181,32
5,14970921,21924,69
5,8851851,12715,40
5,7607438,11132,35
5,26195215,37169,117
5,21941633,31138,98
5,28029780,39071,123
5,28002964,39071,123
5,28157990,39071,123
5,25046983,34942,110
5,28925557,40017,126
5,14829579,20664,65
5,16046911,22874,72
5,28209684,39388,124
5,21711029,30183,95
5,21046476,29553,93
5,15120386,20979,66
5,29193439,40655,128
5,16558352,23200,73
5,16346527,22881,72
5,16522673,23504,74
5,13001142,18113,57
5,14597285,20976,66
5,15770661,22558,71
5,15177558,21296,67
5,23424076,32726,103
5,15845483,22251,70
5,28057457,39704,125
5,22093255,30505,96
5,12509133,17795,56
5,26052127,36851,116
5,28280286,39071,123
5,15291288,21605,68
5,11297487,16220,51
5,13329030,19389,61
5,15585585,22253,70
5,13210916,19070,60
5,14594992,20969,66
5,20541461,29226,92
5,26216360,36219,114
5,22664943,32082,101
5,24854087,34632,109
5,14715686,20667,65
5,13920185,20016,63
5,22798060,32089,101
5,26685138,37169,117
5,20359938,28280,89
5,18570981,26060,82
5,25778194,35900,113
5,12334707,17169,54
5,18759148,26380,83
5,8939796,13036,41
5,23085511,32409,102
5,17720709,24788,78
5,24241305,33991,107
5,8678222,12402,39
5,25659124,35900,113
5,7704047,10813,34
5,25498021,35898,113
5,7687563,10813,34
5,6840437,10179,32
5,8618129,13034,41
5,6451016,9541,30
5,8301973,13036,41
5,8168025,12080,38
5,8405430,12402,39
5,7642961,11130,35
5,28149714,39388,124
5,19819063,27324,86
5,25622763,36217,114
5,28866876,39706,125
5,7642941,10813,34
5,7157524,10813,34
5,23855115,33670,106
5,26895241,37804,119
5,26291494,36848,116
5,7617566,10492,33
5,7990126,11761,37
5,25905775,36841,116
5,25283264,35259,111
5,7427798,10485,33
5,10273580,15256,48
5,21658006,30501,96
5,20091986,27964,88
5,9208097,13036,41
5,6653695,9541,30
5,6095890,9541,30
5,8207945,12402,39
5,27410069,38435,121
5,20679492,28909,91
5,9503365,13668,43
5,9243998,13668,43
5,26831870,37486,118
5,26746395,37169,117
5,22185041,30821,97
5,7872675,11127,35
5,9247121,13987,44
5,25325660,35584,112
5,13450748,19061,60
5,23308556,32723,103
5,8950097,12402,39
5,23006556,32092,101
5,11483666,16525,52
5,25859009,36207,114
5,20811991,29539,93
5,21485800,30184,95
5,21666229,30504,96
5,26855810,37484,118
5,23235824,32406,102
5,25505057,35584,112
5,11345883,16206,51
5,26458162,36853,116
5,18358594,25415,80
5,12154993,17160,54
5,25414570,35584,112
5,11629885,16218,51
5,7120555,10492,33
5,12163341,17166,54
5,8746419,12717,40
5,17252561,24792,78
5,18823341,26380,83
5,29051423,40643,128
5,18886836,26379,83
5,23356756,32407,102
5,12537227,17792,56
5,7935085,11439,36
5,9428075,13989,44
5,6991281,10179,32
5,23294317,32408,102
5,12068885,17166,54
5,6414027,9226,29
5,13750482,20335,64
5,20531533,28599,90
5,10871977,15254,48
5,26183255,35896,113
5,22519601,31138,98
5,15063863,20977,66
5,10222750,14623,46
5,21068084,29232,92
5,25589394,35259,111
5,22021987,30183,95
5,27833553,38120,120
5,26196932,36214,114
5,9252650,12722,40
5,23678669,33042,104
5,22987470,32082,101
5,12409608,17163,54
5,18902539,26692,84
5,23378311,32086,101
5,9024190,12403,39
5,11111350,16212,51
5,8968359,12719,40
5,28832273,40023,126
5,21460465,29231,92
5,26988204,37172,117
5,11337579,15895,50
5,23039124,32401,102
5,19609068,27013,85
5,13923471,19391,61
5,26605622,36853,116
5,19708934,27006,85
5,18113751,25103,79
5,12204962,17165,54
5,10110172,14306,45
5,9380244,13674,43
5,22850175,31772,100
5,25976015,35585,112
5,12546197,17482,55
5,18904101,26375,83
