OMNIKDTREE,EUCLIDEAN,GNAT,2,1000,383119
k,time,count,disk
5,21568970,29219,92
5,21226900,30486,96
5,25123639,35573,112
5,25488098,36207,114
5,13947628,20329,64
5,5814725,8272,26
5,24474065,35573,112
5,6098747,8586,27
5,6902637,10490,33
5,8973987,13348,42
5,5657774,8272,26
5,5420753,8586,27
5,6935316,10805,34
5,16514480,24459,77
5,5728045,8270,26
5,5300805,7952,25
5,5097109,8589,27
5,5357149,8270,26
5,5126645,8272,26
5,8971241,13985,44
5,5149064,7952,25
5,5332406,8584,27
5,24369399,34941,110
5,18749388,26682,84
5,5276844,7636,24
5,4898257,8270,26
5,5182822,8272,26
5,5104729,8272,26
5,20139669,29218,92
5,5852558,8587,27
5,5430925,8586,27
5,5176030,8272,26
5,5061346,8586,27
5,6837100,10805,34
5,5269622,8270,26
5,26463302,37475,118
5,5684038,8272,26
5,20452591,29233,92
5,25828686,36848,116
5,18547964,26055,82
5,9963569,14614,46
5,12664428,18428,58
5,12723200,18422,58
5,25299537,36213,114
5,10755262,15252,48
5,25259064,34941,110
5,20325639,28585,90
5,5732651,8269,26
5,4733578,7319,23
5,26565594,37477,118
5,5890200,8272,26
5,10144124,14935,47
5,7458931,10806,34
5,8052403,11765,37
5,15589244,22245,70
5,24966906,34941,110
5,26469030,36839,116
5,26708865,37475,118
5,12323408,17169,54
5,24772360,34941,110
5,22160571,31131,98
5,16022880,22554,71
5,26655129,37477,118
5,26513689,37162,117
5,6418351,8904,28
5,20587443,29218,92
5,22037193,30813,97
5,15014604,20966,66
5,12403887,17475,55
5,25685420,36207,114
5,21432764,29853,94
5,7280826,10171,32
5,12773361,18744,59
5,9628047,13662,43
5,6939023,9855,31
5,24033953,33986,107
5,26796839,37475,118
5,7047351,9856,31
5,13096381,19060,60
5,6541777,9224,29
5,7385881,10489,33
5,26809611,37474,118
5,22546248,31761,100
5,26887847,37477,118
5,26260529,36531,115
5,25613206,36207,114
5,25610381,35895,113
5,26756723,37475,118
5,12913445,18107,57
5,12390349,17474,55
5,26685706,37475,118
5,22336371,31450,99
5,19657404,27637,87
5,17107946,24146,76
5,26966560,37479,118
5,14395125,20027,63
5,15222333,21612,68
5,15045703,21280,67
5,11905144,16839,53
5,16013840,22877,72
5,13748635,19376,61
5,12131711,17163,54
5,23943345,33989,107
5,16780933,23500,74
5,25550987,36206,114
5,19347791,27004,85
5,9771285,13663,43
5,26006616,36532,115
5,26140649,36208,114
5,9618397,13667,43
5,9848206,14295,45
5,12507752,17785,56
5,15465851,22568,71
5,9875317,14301,45
5,15050478,21281,67
5,12560534,17787,56
5,25867095,36207,114
5,17092643,24146,76
5,24092538,33354,105
5,12707102,17790,56
5,9199799,13030,41
5,20047470,28587,90
5,26613555,37159,117
5,21770919,30498,96
5,20206052,27963,88
5,25640977,36208,114
5,16058557,22233,70
5,7322180,10490,33
5,6068098,8589,27
5,12033047,17475,55
5,10650209,15249,48
5,24382759,34301,108
5,6549087,8272,26
5,26075293,35891,113
5,5841869,8272,26
5,24250622,34305,108
5,5995787,8272,26
5,5385901,8272,26
5,5312624,8589,27
5,5442033,8272,26
5,5736629,8586,27
5,5528005,8589,27
5,5510398,8589,27
5,5448678,8272,26
5,26852935,37475,118
5,15950126,22235,70
5,26095455,36207,114
5,25695638,35573,112
5,6025307,8272,26
5,5581711,8272,26
5,23617845,33356,105
5,26933678,37481,118
5,25329249,34941,110
5,6273932,8589,27
5,5449180,8270,26
5,25672046,36521,115
5,24750670,34301,108
5,6269199,8589,27
5,5618122,8586,27
5,21793165,30486,96
5,21958643,30819,97
5,5747629,7952,25
5,5023036,7636,24
5,5321723,8272,26
5,4883839,7952,25
5,26282767,36847,116
5,17794763,24782,78
5,6631282,9223,29
5,5518872,8586,27
5,27035719,37475,118
5,27139635,37159,117
5,22077237,30486,96
5,5952347,8270,26
5,5998527,9222,29
5,25723946,35573,112
5,6677302,9223,29
5,24131901,33669,106
5,6021722,8272,26
5,20292107,28273,89
5,6664117,9223,29
5,26177197,36845,116
5,9534777,13348,42
5,21909470,30487,96
5,22597224,31133,98
5,24411855,33674,106
5,22530694,31130,98
5,24720925,34301,108
5,6655295,9223,29
5,25388621,35258,111
5,18579333,26044,82
5,10708720,14934,47
5,25806994,36207,114
5,15771036,21924,69
5,5847916,8272,26
5,8493753,12075,38
5,10829150,15582,49
5,18164611,26045,82
5,21648502,30506,96
5,29253349,40333,127
5,19854926,27634,87
5,23930986,32718,103
5,6685833,9540,30
5,5738268,8589,27
5,5895473,9223,29
5,6273040,9221,29
5,22153023,31135,98
5,10523318,14618,46
5,6784306,9538,30
5,12769188,18111,57
5,19072941,26690,84
5,9837059,13667,43
5,22804923,31767,100
5,20318788,28278,89
5,12630567,17789,56
5,9457204,13347,42
5,19666024,27637,87
5,25537392,35261,111
5,20554734,28275,89
5,23893594,32721,103
5,25034006,34943,110
5,9114004,12712,40
5,21886997,30807,97
5,20992096,29223,92
5,9929667,13668,43
5,15445201,22233,70
5,21644194,29852,94
5,9042037,12712,40
5,8919628,12711,40
5,8869756,12712,40
5,26944325,37483,118
