OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,1000,248978
k,time,count,disk
5,22024771,30818,97
5,13262916,19710,62
5,22818929,34309,108
5,20268888,29866,94
5,11971409,18431,58
5,6571700,10504,33
5,21803126,33356,105
5,8065442,12089,38
5,6385069,10186,32
5,6950859,11774,37
5,6834314,11138,35
5,6310422,10814,34
5,8835076,14312,45
5,11949168,19710,62
5,8024476,12407,39
5,6110958,10824,34
5,7255862,11773,37
5,7342514,12409,39
5,6328917,10820,34
5,12463416,20026,63
5,7211401,11139,35
5,7179939,11766,37
5,9552338,14940,47
5,16877435,25745,81
5,6878919,10504,33
5,7844253,12409,39
5,6498898,10504,33
5,5859506,10821,34
5,15875111,26379,83
5,5728653,9551,30
5,6226220,11141,35
5,7320680,12724,40
5,6753168,12089,38
5,9336238,16853,53
5,5687724,10507,33
5,24785092,40022,126
5,5395399,8912,28
5,13757225,22243,70
5,13276721,22237,70
5,8502516,14627,46
5,6156813,11137,35
5,18480691,29866,94
5,7264004,12724,40
5,17488893,28592,90
5,8091587,13044,41
5,12603382,20970,66
5,12818758,21601,68
5,4921006,8283,26
5,4086295,7649,24
5,22920975,36847,116
5,6500000,10820,34
5,14284026,24475,77
5,5655776,9551,30
5,11647767,19393,61
5,10721902,17799,56
5,17719727,29864,94
5,21051207,33673,106
5,22271163,35895,113
5,8262708,13994,44
5,13309713,21599,68
5,13584071,22562,71
5,11174925,18122,57
5,23576921,38430,121
5,21672846,34309,108
5,5573766,9218,29
5,16815033,27324,86
5,17991651,29542,93
5,6472833,10501,33
5,15982386,26060,82
5,15875591,25745,81
5,9522968,15895,50
5,4980285,8582,27
5,7233720,12393,39
5,7980336,13987,44
5,5061669,9218,29
5,21303029,34624,109
5,22725353,36853,116
5,5184181,8582,27
5,6816713,12074,38
5,5844997,9551,30
5,5220766,9218,29
5,18253435,29542,93
5,22981888,36844,116
5,20809812,33040,104
5,21741557,33993,107
5,24217649,38119,120
5,26571715,31447,99
5,27207124,38431,121
5,5524946,10493,33
5,13842949,25425,80
5,19793114,35579,112
5,10722990,20024,63
5,10409196,18118,57
5,19016388,15889,50
5,21841486,33678,106
5,8299038,15259,48
5,9734073,17799,56
5,14116860,25106,79
5,6172605,11449,36
5,6378211,12079,38
5,6567138,12391,39
5,8348989,15578,49
5,6990571,13354,42
5,10552793,19389,61
5,13189526,24462,77
5,6833663,13034,41
5,5628940,10804,34
5,18710975,33674,106
5,20322233,35895,113
5,8398227,15576,49
5,5415198,10185,32
5,6473583,12092,38
5,5196652,9859,31
5,7365122,13671,43
5,4067878,7649,24
5,13912826,25423,80
5,17474814,31453,99
5,17259161,31453,99
5,11986365,21920,69
5,5357111,10177,32
5,10419738,19074,60
5,6268220,11754,37
5,20575259,36846,116
5,10067857,18423,58
5,9466177,17474,55
5,15831724,28901,91
5,10509090,19392,61
5,5086960,9551,30
5,6357362,11773,37
5,10258921,19075,60
5,7511654,13997,44
5,17891412,32404,102
5,6359398,11771,37
5,18656207,33355,105
5,5595416,10504,33
5,13558079,24787,78
5,5762348,10819,34
5,5830293,10820,34
5,6649773,12409,39
5,6279851,11773,37
5,5600859,10498,33
5,6111947,11449,36
5,6302940,11773,37
5,6316673,11773,37
5,20911117,37165,117
5,8502100,15582,49
5,21517204,38114,120
5,17396509,31452,99
5,5652757,10504,33
5,5577789,10503,33
5,11126557,20653,65
5,16810114,30498,96
5,12043669,22240,70
5,6676055,12409,39
5,10529365,11132,35
5,20317925,22878,72
5,15465565,26371,83
5,5893569,10819,34
5,7742737,14307,45
5,17831315,31453,99
5,6467260,12082,38
5,5439982,10180,32
5,5826160,10821,34
5,5596164,10504,33
5,5623916,10500,33
5,20202262,35578,112
5,7682245,14296,45
5,6224910,11450,36
5,6738730,12406,39
5,20410176,35896,113
5,20245165,35576,112
5,17090401,30494,96
5,6059812,11132,35
5,7398205,13676,43
5,18365536,32724,103
5,8873307,16219,51
5,12789258,23186,73
5,6015832,11137,35
5,14529074,26055,82
5,8337572,15267,48
5,12717710,23193,73
5,10722946,19393,61
5,15864782,28591,90
5,12068591,21920,69
5,17690395,31450,99
5,13555452,24455,77
5,18412245,32721,103
5,6983333,12722,40
5,12573446,22878,72
5,14343191,25740,81
5,11973296,21613,68
5,22665371,36532,115
5,16376767,15892,50
5,6770731,11773,37
5,12835999,22571,71
5,7117947,13034,41
5,10768674,19699,62
5,8451774,15569,49
5,23099176,40340,127
5,11888958,21597,68
5,14038061,25415,80
5,6886657,12727,40
5,6676536,12403,39
5,7073161,13044,41
5,4931572,9218,29
5,13914295,25103,79
5,6581225,12401,39
5,4869895,9218,29
5,8125859,15257,48
5,15748713,28275,89
5,7073611,13353,42
5,11580283,20976,66
5,7568144,13988,44
5,7298937,13357,42
5,6421247,12081,38
5,6256525,11761,37
5,16440441,29541,93
5,14927262,27011,85
5,13655463,24785,78
5,16252338,29224,92
5,5060959,9535,30
5,9105225,16841,53
5,11025867,20339,64
5,7089543,13353,42
5,9026383,16531,52
5,20048830,35576,112
5,4931654,9218,29
5,5182700,9855,31
5,5086829,9535,30
5,19870040,35259,111
5,18439608,32726,103
5,10556755,19386,61
5,7333944,13670,43
5,12639220,22880,72
5,6340434,11761,37
5,6272161,11768,37
5,9888189,18113,57
5,8244541,15256,48
5,9081518,16844,53
5,7301203,13668,43
5,4841956,9217,29
5,5057579,9535,30
5,17831248,31768,100
5,15700190,28273,89
5,5652473,10488,33
5,6827638,12711,40
5,10617754,19390,61
5,7840052,14620,46
5,14078984,25407,80
5,4919773,9218,29
5,12871439,23511,74
5,18508714,32721,103
5,14528886,26376,83
5,18074180,32406,102
5,7702603,13996,44
5,5128569,9534,30
5,8102362,14950,47
5,7404870,13674,43
5,4285797,7967,25
5,4076575,7650,24
5,19622030,34626,109
5,4116593,7649,24
5,9711349,17799,56
5,7986897,14932,47
5,5441889,10169,32
5,4871185,9218,29
5,10187222,18751,59
5,8042786,14938,47
5,6439029,12081,38
5,8798019,16212,51
5,9807522,17785,56
5,14155185,25416,80
5,7863297,14623,46
5,15110561,27330,86
5,6982211,12717,40
5,7941848,14939,47
5,20865882,36849,116
5,10342716,18749,59
5,7543081,13983,44
5,11576420,20975,66
5,7064168,13033,41
5,12872374,23199,73
5,6668672,12399,39
5,12302218,22240,70
5,9404465,16850,53
5,8317004,15251,48
5,10004313,18429,58
5,9676556,17489,55
5,6751899,12409,39
5,16070590,28908,91
5,9584637,17471,55
5,18021808,31771,100
5,6221938,11453,36
5,11037550,20022,63
5,5086571,9536,30
5,7601545,13994,44
5,5123123,9536,30
5,14291064,25746,81
5,6182641,11441,36
5,5671242,10498,33
5,19054858,33668,106
5,10766834,19393,61
5,10749342,19703,62
5,14750284,26372,83
5,15618844,27958,88
5,17108537,30495,96
5,5120791,9534,30
5,10061323,18435,58
5,15637412,27955,88
5,6011971,11133,35
5,7563612,13987,44
5,6757399,12409,39
5,8690539,15901,50
5,20604526,36217,114
5,5971609,10824,34
5,12275288,21926,69
5,9335734,17160,54
5,17178294,30816,97
5,6645551,12092,38
5,15900631,28596,90
5,19996855,35260,111
5,5297836,9553,30
5,5674179,10507,33
5,13121879,23513,74
5,7803555,14305,45
5,6456468,11776,37
5,12007741,21613,68
5,6247025,11456,36
5,13778605,24788,78
5,5229987,9551,30
5,12276621,22243,70
5,10694264,19387,61
5,22210753,38752,122
5,9547023,17170,54
5,20075474,35260,111
5,15722213,27646,87
5,14149250,25422,80
5,7308076,13355,42
5,21047605,36846,116
5,19768821,34626,109
5,13070799,23208,73
5,9378450,17159,54
5,8493265,15570,49
5,8070338,14632,46
5,5661160,10488,33
5,9772301,17477,55
5,6550239,12079,38
5,5628537,10492,33
5,5366241,9863,31
5,17439121,30819,97
5,9567635,17176,54
5,5462310,10178,32
5,5155952,9535,30
5,4541447,8583,27
5,4738295,8900,28
5,7538861,13679,43
5,4913771,9218,29
5,6261280,11448,36
5,12111795,21925,69
5,7335917,13668,43
5,4592974,8582,27
5,4759557,8900,28
5,10058689,18429,58
5,8194313,14951,47
5,5112328,9535,30
5,10895611,19704,62
5,15781537,28274,89
5,12357179,22239,70
5,5388049,10169,32
5,5101260,9535,30
5,5076384,9535,30
5,5109968,9535,30
5,9827905,17807,56
5,8338668,15577,49
5,16962528,30186,95
5,6941272,12713,40
5,8976222,16524,52
5,12132938,22234,70
5,10655360,19700,62
5,6597293,12401,39
5,5998775,11126,35
5,10016428,18111,57
5,7934029,14625,46
5,8608241,15577,49
5,9990157,18433,58
5,7435794,13666,43
5,7868506,14624,46
5,13448179,24153,76
5,4933531,9218,29
5,4886037,9218,29
5,5607220,10491,33
5,11312774,20970,66
5,7907471,14311,45
5,4908030,9218,29
5,6184459,11443,36
5,5080577,9535,30
5,10226498,18443,58
5,9838550,17795,56
5,4987712,9218,29
5,8784425,16207,51
5,7761270,14623,46
5,4897223,9218,29
5,10213662,18437,58
5,7237603,13350,42
5,5971287,11132,35
5,5087793,9534,30
5,6468524,12082,38
5,4913290,9218,29
5,4546232,8583,27
5,9716365,17474,55
5,11420128,20658,65
5,8660697,15894,50
5,9218819,16853,53
5,8320214,15260,48
5,8130767,14944,47
5,11982209,21611,68
5,20625886,36218,114
5,8505363,15262,48
5,6664146,12093,38
5,9988200,18111,57
5,4998265,9218,29
5,4923233,9218,29
5,4555542,8587,27
5,6184826,11449,36
5,6327436,11760,37
5,6361463,11763,37
5,5269202,9855,31
5,15502451,27645,87
5,16468771,29233,92
5,17757884,31441,99
5,11349586,20649,65
5,5130887,9544,30
5,11764083,21283,67
5,16071430,28597,90
5,6572809,12078,38
5,14843122,26694,84
5,6448376,11764,37
5,12379788,22558,71
5,5865610,10805,34
5,13147795,23827,75
5,14943108,26682,84
5,21638886,37484,118
5,12274207,21919,69
5,12652178,22868,72
5,10356501,18744,59
5,11262291,20336,64
5,11012949,20016,63
5,9252945,16536,52
5,14017010,25093,79
5,11367957,20651,65
5,7871043,14618,46
5,12514818,22560,71
5,18312761,32401,102
5,7767192,14295,45
5,12063645,21602,68
5,8687884,15896,50
5,14312847,25408,80
