OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,1000,100682
k,time,count,disk
5,22632884,31761,100
5,21863011,33033,104
5,23646606,36207,114
5,23540726,36207,114
5,11726815,18431,58
5,5298907,8589,27
5,23283546,36207,114
5,5467069,8586,27
5,5789438,9222,29
5,6199090,9857,31
5,4620923,8270,26
5,4372256,7953,25
5,5471864,9857,31
5,16313262,25727,81
5,5182931,8270,26
5,4047496,7319,23
5,4782785,8586,27
5,4417591,7953,25
5,4485749,8270,26
5,6571430,11438,36
5,4118436,7319,23
5,4799754,8589,27
5,22890200,34941,110
5,17445277,26999,85
5,4940292,7636,24
5,4571358,8270,26
5,4369136,7952,25
5,4568062,8269,26
5,19534390,30486,96
5,5394834,8587,27
5,4517348,8270,26
5,5359928,9540,30
5,4786655,8586,27
5,5386626,9857,31
5,4580541,7953,25
5,25232619,38749,122
5,4891003,7952,25
5,21354099,33037,104
5,24241029,37155,117
5,16672982,25418,80
5,9726778,15568,49
5,13785947,20332,64
5,13493812,20334,64
5,25033368,37476,118
5,7677824,11438,36
5,23870921,34943,110
5,21177952,31128,98
5,5110640,7636,24
5,4041630,7319,23
5,25562954,37482,118
5,5622017,7952,25
5,10888789,17158,54
5,8764054,13350,42
5,7510709,11766,37
5,17253245,25736,81
5,23846994,35260,111
5,26702642,39063,123
5,25566269,37475,118
5,15194177,22247,70
5,22988446,33674,106
5,22054429,32402,102
5,16502677,24140,76
5,25283665,37795,119
5,25187224,36847,116
5,7035510,10178,32
5,22870719,33671,106
5,23529011,34306,108
5,13384615,20015,63
5,19221579,28585,90
5,24545124,36207,114
5,22219151,32717,103
5,5892901,8901,28
5,13322936,20655,65
5,9483010,14299,45
5,7083222,10812,34
5,25498120,37801,119
5,25149707,36841,116
5,6305099,9535,30
5,13029310,20016,63
5,6572826,9855,31
5,7220371,10812,34
5,26287995,38116,120
5,26335653,38119,120
5,25372712,36843,116
5,25605150,36843,116
5,24929452,36207,114
5,24185397,35253,111
5,26533602,38110,120
5,14150104,20649,65
5,12743268,18743,59
5,25622020,37475,118
5,19634847,28909,91
5,19157681,27638,87
5,17523909,25737,81
5,26319841,38110,120
5,16414616,23837,75
5,16384114,23835,75
5,14685886,21921,69
5,10166505,14619,46
5,14635677,21922,69
5,13103660,19699,62
5,13096317,19386,61
5,22958796,33673,106
5,17584452,25420,80
5,25334990,37476,118
5,20410929,29545,93
5,10479687,15570,49
5,25949081,37794,119
5,25251741,36207,114
5,9484680,13667,43
5,9018808,13660,43
5,13573359,20331,64
5,14176710,21931,69
5,9590725,14300,45
5,13056123,19381,61
5,13265642,19692,62
5,24840324,36207,114
5,17559740,26050,82
5,24660438,35576,112
5,12779867,18425,58
5,10016958,15250,48
5,21284468,31449,99
5,25832696,37158,117
5,21796634,31450,99
5,21066165,30820,97
5,24782479,36211,114
5,18320260,26373,83
5,7738917,11758,37
5,5709476,8586,27
5,11635692,17789,56
5,9956494,15253,48
5,24408765,36214,114
5,5809405,8589,27
5,25138980,36532,115
5,5969779,8586,27
5,21768870,32402,102
5,5462411,7952,25
5,4287915,7636,24
5,5217764,8903,28
5,4874316,7952,25
5,4798410,8269,26
5,4889398,8586,27
5,5247625,8586,27
5,4901442,8586,27
5,25701841,36841,116
5,15619205,22869,72
5,25268573,36528,115
5,25016100,36207,114
5,5729443,8586,27
5,4469929,7635,24
5,21910164,32401,102
5,26366257,38435,121
5,23994060,34942,110
5,6162860,8903,28
5,5135192,8270,26
5,23950248,35570,112
5,23703882,34301,108
5,5994016,8903,28
5,4977995,8269,26
5,21865401,31760,100
5,19179445,28275,89
5,5532554,8269,26
5,5007586,8270,26
5,4890522,8269,26
5,5212404,8589,27
5,24947416,36840,116
5,19803683,28593,90
5,5387109,7953,25
5,4668109,7953,25
5,25401958,36841,116
5,25893826,37160,117
5,21750976,31762,100
5,5726673,8270,26
5,5747818,9540,30
5,24867717,36208,114
5,6221128,8903,28
5,23288721,33990,107
5,5742484,8269,26
5,21727174,31771,100
5,5595701,8270,26
5,23432718,34304,108
5,6800067,9857,31
5,23803195,34941,110
5,23763105,34308,108
5,24930033,35575,112
5,23924693,34627,109
5,24617893,35574,112
5,6076358,8903,28
5,24594172,35580,112
5,21440253,30817,97
5,17536284,25420,80
5,24908770,36207,114
5,15529134,22566,71
5,6040508,8906,28
5,15627244,22554,71
5,9224188,13354,42
5,20735212,30818,97
5,20104412,29231,92
5,27140110,38748,122
5,21348779,30816,97
5,23327960,33676,106
5,5631934,8270,26
5,6123492,9540,30
5,4755954,7953,25
5,6561935,10178,32
5,23007911,33674,106
5,10917131,15887,50
5,6821108,10180,32
5,14733175,22556,71
5,18890687,27006,85
5,9244414,13666,43
5,23314827,33673,106
5,22231070,32088,101
5,11869025,17154,54
5,9737946,14300,45
5,18776703,27950,88
5,25244006,36215,114
5,22242479,31770,100
5,24095890,34308,108
5,25227009,36206,114
5,8760953,12712,40
5,22968823,33351,105
5,22222746,32079,101
5,12032911,17483,55
5,16214467,23505,74
5,22267981,32076,101
5,8608773,12716,40
5,9756223,14944,47
5,8400376,12712,40
5,26728242,38753,122
5,22102577,31444,99
5,24486666,35575,112
5,11650739,16849,53
5,20809924,30177,95
5,18619473,26683,84
5,14568394,21294,67
5,24447644,35577,112
5,17015689,24458,77
5,17127555,25093,79
5,11718170,16841,53
5,8782491,13033,41
5,8458293,13033,41
5,24040364,34941,110
5,24386209,34946,110
5,10929945,15887,50
5,16565630,24453,77
5,23031064,33671,106
5,19603061,28274,89
5,24286283,34945,110
5,7048743,10497,33
5,24438904,35570,112
5,21342290,30815,97
5,23407216,33987,107
5,26779137,38432,121
5,18347492,26374,83
5,8697117,12716,40
5,7708858,11440,36
5,6452351,9852,31
5,27285511,40015,126
5,6749436,9538,30
5,25532153,36840,116
5,10318691,14937,47
5,20006310,29226,92
5,19028605,27317,86
5,9850524,14300,45
5,8142742,12400,39
5,16309560,24458,77
5,18457484,26685,84
5,9637579,13666,43
5,24460008,34941,110
5,24617238,35262,111
5,17258152,24786,78
5,15038957,21604,68
5,20753157,29864,94
5,14585816,20974,66
5,21202723,31138,98
5,25441167,36532,115
5,24160959,34306,108
5,22259220,32084,101
5,10064028,14617,46
5,14349885,20972,66
5,23167301,32407,102
5,20196907,28583,90
5,20856041,29546,93
5,18691526,26369,83
5,24057743,33988,107
5,24265319,34311,108
5,10786955,15254,48
5,6207862,8586,27
5,22739798,32398,102
5,20312429,28586,90
5,29115733,40644,128
5,5762418,7952,25
5,22793071,32084,101
5,10231978,14619,46
5,8905543,12717,40
5,9090617,13350,42
5,12241505,17797,56
5,16084713,23188,73
5,13782947,19704,62
5,25927571,36531,115
5,11039859,15568,49
5,21071166,30176,95
5,25342548,35578,112
5,20752557,28916,91
5,21753368,30486,96
5,9489790,13350,42
5,19675981,28273,89
5,21609377,30182,95
