OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,1000,213390
k,time,count,disk
5,14584106,19708,62
5,7860606,11457,36
5,14836973,21927,69
5,11163780,16217,51
5,9060460,13359,42
5,5635254,8593,27
5,14811515,22244,70
5,6702617,9865,31
5,6073325,9235,29
5,6665430,10184,32
5,6656150,10501,33
5,6305634,9865,31
5,8152748,12407,39
5,7075343,11457,36
5,6743145,10502,33
5,5655846,8917,28
5,7462698,11453,36
5,7401827,11453,36
5,6802992,10501,33
5,8804039,13675,43
5,6169217,9234,29
5,6429530,9861,31
5,8010480,11759,37
5,6844051,10184,32
5,6989818,10500,33
5,7100827,11135,35
5,7062480,10817,34
5,6602729,10501,33
5,8095457,12407,39
5,6448609,9868,31
5,5842788,9231,29
5,7686347,11770,37
5,6445112,9865,31
5,7486574,11454,36
5,6038339,9232,29
5,19447346,29237,92
5,6006576,8593,27
5,10950966,16220,51
5,12203403,17795,56
5,6925415,10183,32
5,6853141,10504,33
5,14431931,21617,68
5,7381380,10819,34
5,16878623,24154,76
5,6974903,10184,32
5,6437386,9537,30
5,5771072,9218,29
5,6298535,9234,29
5,4911203,7648,24
5,18096523,27016,85
5,7305255,10501,33
5,11565253,17170,54
5,6470479,9550,30
5,8114034,12096,38
5,9230349,13985,44
5,10731890,15892,50
5,16954937,24477,77
5,18947100,27645,87
5,7479913,10808,34
5,11545045,16852,53
5,10890614,15895,50
5,9442345,13988,44
5,20426198,29868,94
5,17247283,24791,78
5,5759916,8276,26
5,13035755,19390,61
5,13261490,19395,61
5,6705935,9867,31
5,13802463,20344,64
5,12543870,18118,57
5,8246191,12088,38
5,5713265,8594,27
5,7284975,10820,34
5,8070344,12086,38
5,6281444,9548,30
5,19391483,28598,90
5,18387470,26061,82
5,5957548,8594,27
5,8518070,12721,40
5,6236764,9233,29
5,5380287,8276,26
5,12324624,18108,57
5,19161612,27962,88
5,16488846,23523,74
5,16671459,23833,75
5,19338589,27966,88
5,14526080,20977,66
5,20867872,29867,94
5,7418624,10820,34
5,12070150,17804,56
5,17816104,25741,81
5,10173239,14624,46
5,10315612,15262,48
5,6754429,9854,31
5,18878491,27331,86
5,8474363,12395,39
5,9216773,13666,43
5,10833684,15896,50
5,6764792,9854,31
5,5705182,8582,27
5,8655810,12723,40
5,8055045,12079,38
5,6173724,9217,29
5,6722124,10175,32
5,16622560,24475,77
5,9436820,13675,43
5,7572779,11452,36
5,17798673,25422,80
5,19123527,27328,86
5,8430276,12091,38
5,6759809,10185,32
5,7075516,10819,34
5,5940182,9232,29
5,9168560,13680,43
5,5217208,7649,24
5,15105694,22254,70
5,13342014,19072,60
5,16010741,23203,73
5,11005374,16215,51
5,6956982,10504,33
5,10612762,15897,50
5,6505608,9535,30
5,19419360,28282,89
5,8300285,12079,38
5,7240207,10808,34
5,9596890,14298,45
5,8878523,13352,42
5,6245774,9235,29
5,7063278,10503,33
5,7308515,11141,35
5,6176931,9551,30
5,15816975,23198,73
5,7607725,11135,35
5,17133727,25109,79
5,7204323,10503,33
5,12034918,17797,56
5,6623316,9545,30
5,6173218,10183,32
5,6491605,9865,31
5,6974593,10502,33
5,6051866,9231,29
5,6049617,9865,31
5,6595315,10503,33
5,7063897,10819,34
5,17600090,25743,81
5,7318110,10504,33
5,18627603,27015,85
5,16527123,23207,73
5,7323251,10503,33
5,6721485,10183,32
5,13638157,19713,62
5,12637173,18121,57
5,15612498,22571,71
5,7408420,10819,34
5,7658763,11453,36
5,11149576,16216,51
5,13371052,19072,60
5,6424971,9231,29
5,6805419,11136,35
5,16646251,24160,76
5,8879569,12723,40
5,5958547,8913,28
5,7281989,10817,34
5,7534460,11135,35
5,6273108,9545,30
5,17973971,25740,81
5,10249747,14631,46
5,6501517,9548,30
5,6694968,10502,33
5,18679672,26698,84
5,19066874,27009,85
5,14348549,20344,64
5,7709208,11135,35
5,8852424,12722,40
5,15280870,21930,69
5,8106601,11771,37
5,9764156,13987,44
5,7099265,10502,33
5,13272897,19075,60
5,7340119,10502,33
5,16479844,23519,74
5,8972070,12723,40
5,13841622,20025,63
5,9123499,13030,41
5,15620649,22562,71
5,9976873,13987,44
5,15242736,21929,69
5,7388255,10502,33
5,14735586,21296,67
5,13189411,18436,58
5,12378521,17804,56
5,15945403,22881,72
5,8606884,12399,39
5,7412728,10819,34
5,14715932,21299,67
5,7266522,10495,33
5,8170082,12395,39
5,5306062,7949,25
5,22027352,31138,98
5,8112091,11760,37
5,9062036,13347,42
5,7788687,11137,35
5,8139334,12406,39
5,6465292,9548,30
5,6226595,9228,29
5,9674179,14314,45
5,7841717,11134,35
5,5294156,8276,26
5,8646772,13038,41
5,12491471,18433,58
5,7936712,11451,36
5,14052572,20348,64
5,8700771,12724,40
5,8512291,12400,39
5,7549356,11134,35
5,8865772,13041,41
5,14356415,20344,64
5,14552423,20982,66
5,15313496,21615,68
5,13787758,19708,62
5,6507895,9548,30
5,11001843,16214,51
5,11689475,16851,53
5,8508392,12403,39
5,9642032,13991,44
5,18147045,25744,81
5,7244676,10184,32
5,5453564,7960,25
5,6459541,9866,31
5,18589246,27012,85
5,16551160,23524,74
5,12911504,18116,57
5,8340563,12086,38
5,11768375,16853,53
5,8638815,12406,39
5,6232456,9232,29
5,13029300,18756,59
5,10567032,14945,47
5,9122886,13354,42
5,8119582,12096,38
5,6793620,10190,32
5,6566814,9866,31
5,13306442,19390,61
5,10495359,14940,47
5,7739561,11135,35
5,8647507,12722,40
5,12030182,17166,54
5,9210274,13356,42
5,8974824,13033,41
5,5432086,7960,25
5,15497327,22885,72
5,19506864,27647,87
5,11785970,16531,52
5,16043620,22890,72
5,6909704,9551,30
5,6362969,9228,29
5,8642893,12724,40
5,8175557,12090,38
5,5198808,7649,24
5,4988758,7650,24
5,18221713,26060,82
5,5484589,7649,24
5,12633948,18123,57
5,9832424,13998,44
5,7631283,11452,36
5,6390765,9548,30
5,8973928,13349,42
5,10536555,15579,49
5,7781669,11134,35
5,6688132,9535,30
5,8915971,13347,42
5,9026972,13037,41
5,8801748,13037,41
5,13367214,18757,59
5,8204070,11761,37
5,8252236,11768,37
5,17763486,25427,80
5,10598380,14620,46
5,6588410,9536,30
5,10846306,15580,49
5,5785379,8269,26
5,13607730,19715,62
5,6525114,9218,29
5,9917122,14301,45
5,9978368,14314,45
5,8260415,11759,37
5,6169714,9220,29
5,6744226,9855,31
5,8089032,11771,37
5,14486499,20660,65
5,10018659,13991,44
5,14828253,20976,66
5,6579864,9228,29
5,12693838,18121,57
5,7619241,10818,34
5,9035579,12725,40
5,6629074,9866,31
5,12596256,18120,57
5,8096153,11770,37
5,7078185,10175,32
5,17456005,25105,79
5,11138184,15582,49
5,13000023,18433,58
5,16445782,23202,73
5,11851983,16536,52
5,13704709,19384,61
5,7461878,10817,34
5,12245418,17481,55
5,11372921,16217,51
5,6309675,9232,29
5,9257096,13673,43
5,7695219,11455,36
5,9142189,13357,42
5,16657111,23523,74
5,7291543,10186,32
5,12062874,17164,54
5,9342390,13665,43
5,11517160,16523,52
5,6626897,9552,30
5,11364356,15888,50
5,19686309,27960,88
5,6383153,8915,28
5,5930408,9234,29
5,16151116,23196,73
5,8775261,12400,39
5,7468998,10819,34
5,12675102,18123,57
5,7381867,10503,33
5,14789760,21299,67
5,6511939,9232,29
5,13042607,18749,59
5,9468908,13664,43
5,18941535,27016,85
5,6853634,9552,30
5,17796064,25425,80
5,9427304,13358,42
5,14496136,20653,65
5,7677720,10808,34
5,20840809,29235,92
5,19197865,26693,84
5,8568490,12091,38
5,11531725,16538,52
5,11500524,16215,51
5,7492296,10821,34
