OMNIKDTREE,EUCLIDEAN,PCA,2,1000,354560
k,time,count,disk
5,14335969,19386,61
5,15945580,23832,75
5,13255311,19703,62
5,17348893,26056,82
5,23785829,34942,110
5,10212548,15576,49
5,11491459,17167,54
5,12186660,18431,58
5,5295563,7967,25
5,14367254,22562,71
5,8544826,12713,40
5,12366377,19703,62
5,21279681,32089,101
5,10038149,14943,47
5,12416499,18748,59
5,13310845,20339,64
5,12443909,19070,60
5,12595410,19070,60
5,8244334,13029,41
5,25739283,38755,122
5,11612351,17166,54
5,9079727,13668,43
5,16856762,25420,80
5,9046495,13358,42
5,10642466,16213,51
5,11395239,17798,56
5,10247866,15578,49
5,10283609,16212,51
5,14630359,21610,68
5,11533420,17797,56
5,10506322,15890,50
5,12608132,19066,60
5,13527646,20966,66
5,21916498,33039,104
5,11351599,16845,53
5,16431291,24146,76
5,7319177,11446,36
5,17450531,26374,83
5,19928397,29216,92
5,11185035,16841,53
5,10126767,15254,48
5,15498286,24137,76
5,8593223,13031,41
5,22292511,33665,106
5,20927450,29870,94
5,21285495,31768,100
5,20682595,30818,97
5,9221184,13674,43
5,5474221,8916,28
5,25239558,37482,118
5,7036929,10494,33
5,20187850,30500,96
5,11607333,17168,54
5,11006927,16526,52
5,9284228,13674,43
5,15335418,22877,72
5,26117649,38438,121
5,26956906,38753,122
5,10226040,14943,47
5,17414388,25732,81
5,17903557,27009,85
5,14277538,20974,66
5,25890861,38122,120
5,23355311,33989,107
5,6695689,9861,31
5,13828374,20339,64
5,18906074,27961,88
5,12963471,19070,60
5,8061409,12086,38
5,25425720,37165,117
5,20559096,29549,93
5,6100212,9225,29
5,12200701,18433,58
5,11171065,16524,52
5,7711087,11762,37
5,14213045,20974,66
5,26401974,38437,121
5,6273401,9225,29
5,13098031,19389,61
5,10713405,15899,50
5,6400178,9858,31
5,25605806,37482,118
5,16498300,23829,75
5,26139292,37803,119
5,24443450,35260,111
5,16821046,24146,76
5,19326733,27952,88
5,26939222,38754,122
5,12136914,17483,55
5,18949559,27955,88
5,26691449,38754,122
5,17266973,25100,79
5,16475136,24473,77
5,14236180,20979,66
5,22819008,33359,105
5,10668171,15262,48
5,10422639,15898,50
5,9511351,14298,45
5,13085861,19392,61
5,13885251,20662,65
5,14836962,21924,69
5,9913985,14629,46
5,19479188,28600,90
5,12319724,18120,57
5,24593976,35893,113
5,15339653,22567,71
5,12192639,18428,58
5,24602632,35576,112
5,24895916,35897,113
5,15066038,21924,69
5,6892404,10171,32
5,7437185,12393,39
5,12567350,18442,58
5,5211314,7948,25
5,4914893,8269,26
5,4984544,8265,26
5,24335007,35259,111
5,14932178,22233,70
5,20869167,30503,96
5,10718826,15265,48
5,20169088,30500,96
5,16535910,24143,76
5,24981769,36212,114
5,15498984,22563,71
5,10787882,15581,49
5,21609363,31772,100
5,8088446,11769,37
5,5522229,8600,27
5,10868029,16525,52
5,6692574,9868,31
5,6256940,9868,31
5,19132255,28275,89
5,10753061,15892,50
5,18695422,27640,87
5,9350757,13667,43
5,20154081,29866,94
5,6701541,9858,31
5,6801168,10809,34
5,13453707,20654,65
5,11586279,17166,54
5,12389940,19069,60
5,12179609,18112,57
5,10981897,16525,52
5,11651347,18117,57
5,24715317,35899,113
5,15270407,22239,70
5,24678573,35900,113
5,16392249,23512,74
5,9620729,14618,46
5,7452261,11129,35
5,20122786,29863,94
5,18448650,27312,86
5,22198361,32085,101
5,12875955,18751,59
5,12697041,19067,60
5,17912298,26686,84
5,14991323,21923,69
5,11664093,17482,55
5,17378429,26055,82
5,13993397,20342,64
5,17154855,25106,79
5,11231477,16848,53
5,9882849,14940,47
5,11043220,16848,53
5,7934286,12399,39
5,22854837,33037,104
5,15857242,22872,72
5,15096636,22562,71
5,13530387,20020,63
5,25731531,37165,117
5,26139516,37482,118
5,13870474,20020,63
5,12098739,18432,58
5,16627279,25105,79
5,19779413,28592,90
5,19725201,29229,92
5,16744235,23835,75
5,8771871,12716,40
5,9513292,14309,45
5,15928109,24151,76
5,22744037,33039,104
5,24812127,35900,113
5,17623089,25421,80
5,15396562,22243,70
5,21821844,31768,100
5,14654050,21605,68
