OMNIKDTREE,EUCLIDEAN,SELECTION,2,1000,286143
k,time,count,disk
5,14219506,19708,62
5,6635125,11139,35
5,13264196,21926,69
5,10489878,16216,51
5,8426585,13358,42
5,6518525,10502,33
5,13726631,22243,70
5,6346423,9866,31
5,5571522,9234,29
5,5805974,10185,32
5,6265869,10185,32
5,5776453,9550,30
5,7334842,12408,39
5,6730201,11457,36
5,5906602,9867,31
5,5496047,9236,29
5,6605695,11138,35
5,7207334,12090,38
5,6093430,10503,33
5,8334330,13676,43
5,5628012,9235,29
5,7489294,12088,38
5,6300563,9535,30
5,6255744,10184,32
5,6197226,10186,32
5,6243638,10821,34
5,5765562,10186,32
5,5942700,10503,33
5,6950747,11455,36
5,5965024,9869,31
5,5527195,9550,30
5,7101660,12090,38
5,5841038,9866,31
5,6784334,11773,37
5,5293875,9233,29
5,18439261,29236,92
5,6677651,10186,32
5,9760412,14947,47
5,11680054,18108,57
5,6136671,9866,31
5,6175104,10503,33
5,13409753,21933,69
5,7524206,11771,37
5,14357063,22238,70
5,6322476,10185,32
5,6056105,9537,30
5,5444669,9536,30
5,5586434,9235,29
5,4327693,7649,24
5,16686284,26059,82
5,6659510,10503,33
5,10650824,17486,55
5,5958985,9549,30
5,7759625,12412,39
5,8759629,14308,45
5,10426687,15892,50
5,16122491,24792,78
5,17903265,27638,87
5,7473031,10495,33
5,11564542,17478,55
5,10785046,16213,51
5,9519465,14313,45
5,19739136,30177,95
5,17278403,24789,78
5,5586179,8273,26
5,13512757,20344,64
5,12351314,18439,58
5,6498052,9867,31
5,13893403,20662,65
5,12407479,18118,57
5,7961421,12088,38
5,5790554,8909,28
5,7305897,11128,35
5,7892630,12086,38
5,6264362,9866,31
5,19973797,29550,93
5,17889389,26061,82
5,6120865,8911,28
5,8096391,12721,40
5,6388824,9237,29
5,5206123,8273,26
5,12560708,18743,59
5,19608166,28594,90
5,16296375,23523,74
5,17049281,24787,78
5,19386203,27964,88
5,14354516,20977,66
5,20572533,29859,94
5,7732276,11456,36
5,11415367,17166,54
5,17867514,26058,82
5,9989500,14624,46
5,9752414,14627,46
5,6286578,9542,30
5,18996446,27646,87
5,7744906,11765,37
5,9128837,13987,44
5,11035513,16222,51
5,6528474,9855,31
5,5536406,8582,27
5,8547950,12722,40
5,7876577,11765,37
5,5851422,9217,29
5,7077165,10818,34
5,16668047,24792,78
5,8650569,12723,40
5,8941428,13676,43
5,18634182,27330,86
5,19202035,27322,86
5,8257726,12407,39
5,6777427,10186,32
5,7683402,11771,37
5,5652593,9233,29
5,9274717,13998,44
5,5010873,7649,24
5,14814394,22254,70
5,13378968,19071,60
5,16682323,23521,74
5,10892673,16215,51
5,7005991,10504,33
5,10300726,16214,51
5,6446064,9535,30
5,19538954,28276,89
5,8153218,12079,38
5,7110032,10808,34
5,9447944,14616,46
5,8749715,13670,43
5,6106345,9234,29
5,6102779,9231,29
5,7045174,11140,35
5,5891223,9550,30
5,15389936,22556,71
5,7325927,10821,34
5,16950224,24785,78
5,5575725,8279,26
5,11992830,18115,57
5,5689237,8278,26
5,6505907,10503,33
5,5834616,9548,30
5,6863329,10503,33
5,6274350,9550,30
5,5704995,9548,30
5,6345501,10504,33
5,6853667,10820,34
5,17151980,26059,82
5,7182687,10504,33
5,18452012,26694,84
5,16132249,23207,73
5,7254796,10504,33
5,6624542,10503,33
5,13458586,20022,63
5,12930192,18438,58
5,15211828,22564,71
5,7457293,11138,35
5,7023589,11138,35
5,11517213,17168,54
5,13173901,19066,60
5,6334919,9550,30
5,6968855,11137,35
5,14777618,21925,69
5,8634010,12723,40
5,6071570,9232,29
5,7008911,10502,33
5,6173028,10503,33
5,6606488,10502,33
5,17635573,25732,81
5,9985508,14306,45
5,6310547,9549,30
5,5638700,9233,29
5,17904119,26377,83
5,18800058,27003,85
5,13510936,19385,61
5,7335656,10821,34
5,7779671,12407,39
5,15155937,21930,69
5,7919840,11454,36
5,9365251,13987,44
5,7043591,10503,33
5,12885955,19067,60
5,7630033,11138,35
5,15986017,23513,74
5,8730933,12724,40
5,13763384,20019,63
5,8676269,13030,41
5,15725248,22886,72
5,9804501,14304,45
5,16525091,24146,76
5,7382216,10821,34
5,14779597,21606,68
5,13393957,19392,61
5,12104839,18123,57
5,15824969,22564,71
5,7989407,12082,38
5,7660533,11138,35
5,14012873,20982,66
5,7153254,10495,33
5,7552921,12078,38
5,5262378,7949,25
5,21549159,30821,97
5,8195602,12078,38
5,8471226,13347,42
5,7572674,11138,35
5,7661352,11773,37
5,6457982,9867,31
5,6118851,9225,29
5,7780875,12088,38
5,7383972,11134,35
5,5322999,8273,26
5,8556700,13350,42
5,12379003,18751,59
5,7592925,11131,35
5,13272191,19713,62
5,8502564,12724,40
5,8695884,12725,40
5,7603825,11451,36
5,8223117,12725,40
5,13846841,20344,64
5,14191926,20982,66
5,14768967,21615,68
5,14365806,20660,65
5,6572721,9862,31
5,11231288,16533,52
5,11230388,16525,52
5,8390017,12397,39
5,8396033,13046,41
5,17342233,25420,80
5,6919115,10181,32
5,5335929,8269,26
5,6364999,9862,31
