OMNIKDTREE,EUCLIDEAN,SSS,2,1000,473520
k,time,count,disk
5,24381865,33034,104
5,13899251,20329,64
5,20899660,30176,95
5,22597466,32395,102
5,10683595,15567,49
5,8247863,12089,38
5,22764869,33029,104
5,13497347,19391,61
5,8093715,12076,38
5,7943622,11763,37
5,6978687,10497,33
5,14650341,21296,67
5,8481760,12395,39
5,11175795,16527,52
5,13920344,20346,64
5,13777274,20022,63
5,10164672,14945,47
5,14048265,20657,65
5,8222949,11769,37
5,11728027,17471,55
5,14326861,20979,66
5,9886259,14633,46
5,20777981,30174,95
5,11200099,16210,51
5,8477028,12408,39
5,11648918,17805,56
5,6729828,9862,31
5,7271622,11132,35
5,17740338,25418,80
5,23716163,34310,108
5,12918724,18755,59
5,10908655,15904,50
5,15121389,21928,69
5,7517348,10809,34
5,10520880,16214,51
5,27895025,40014,126
5,6513720,9228,29
5,20244357,29232,92
5,25075543,35265,111
5,6815136,9854,31
5,5398485,8903,28
5,11403521,17154,54
5,6678447,9854,31
5,21950349,31774,100
5,9610310,13663,43
5,23352343,33674,106
5,23592777,33354,105
5,6976680,9859,31
5,10098241,15261,48
5,26422547,37796,119
5,7126210,9862,31
5,10014117,14932,47
5,6329196,9537,30
5,6907443,10172,32
5,11499504,16531,52
5,22121939,31767,100
5,19663227,28272,89
5,26137662,36845,116
5,9922817,13679,43
5,20543518,29230,92
5,17624275,25419,80
5,18718870,26691,84
5,27157010,38120,120
5,25039139,35257,111
5,6766725,9544,30
5,24457395,34939,110
5,23090083,32720,103
5,22390828,31441,99
5,21476771,30183,95
5,25482912,35890,113
5,23596827,32396,102
5,7379069,10492,33
5,10470636,15255,48
5,10950942,16204,51
5,9398424,13349,42
5,27380633,38437,121
5,25318883,35568,112
5,7448512,10492,33
5,14356694,20342,64
5,6435921,9537,30
5,6431325,9224,29
5,26418474,37482,118
5,28511714,39387,124
5,27135747,37478,118
5,27267689,37799,119
5,22360193,31127,98
5,23683792,33029,104
5,24755614,34622,109
5,12945653,18120,57
5,11241817,16204,51
5,26387834,36527,115
5,17386743,24460,77
5,18646893,26374,83
5,12075546,17169,54
5,26814899,37476,118
5,11590729,16216,51
5,11677557,16531,52
5,9689762,14298,45
5,12390640,17492,55
5,16712625,23836,75
5,16341093,23206,73
5,8956119,12722,40
5,21651133,30487,96
5,14708318,20653,65
5,25295865,35582,112
5,17026574,23519,74
5,13701992,19703,62
5,27040145,37801,119
5,27183262,37795,119
5,8128371,11442,36
5,6000168,9220,29
5,6572219,9854,31
5,13009254,18750,59
5,7785920,11126,35
5,10386827,15260,48
5,11672974,16839,53
5,24853110,34936,110
5,20664897,29225,92
5,24127843,33361,105
5,10834101,15261,48
5,9712075,13980,44
5,19782932,28267,89
5,26176564,36209,114
5,17543137,24794,78
5,13495487,19062,60
5,25524423,35894,113
5,15858190,22251,70
5,11261321,15887,50
5,8134623,11452,36
5,9245111,13348,42
5,7051593,10169,32
5,25875004,36209,114
5,8110973,11451,36
5,25460736,35889,113
5,8426052,11452,36
5,19582159,27636,87
5,7627845,10817,34
5,6616744,9862,31
5,9161309,13361,42
5,8073520,11449,36
5,11941955,17803,56
5,9870442,13995,44
5,8532996,12086,38
5,8338333,12091,38
5,25069879,35252,111
5,7911700,11124,35
5,27355294,37796,119
5,24805333,34303,108
5,8291332,11452,36
5,6452674,9546,30
5,20386823,29217,92
5,11305655,15887,50
5,21053764,29856,94
5,9168051,12718,40
5,12957509,18755,59
5,11048321,15567,49
5,21411825,29855,94
5,9056155,12718,40
5,17708217,25109,79
5,25500929,35573,112
5,16632091,23508,74
5,10311090,14313,45
5,9754723,13993,44
5,7798646,11133,35
5,7420413,10824,34
5,25081705,35251,111
5,12879551,18108,57
5,13435274,19069,60
5,13261479,18752,59
5,26100091,35888,113
5,25958802,35574,112
5,22465992,31129,98
5,12118144,16852,53
5,12125875,17169,54
5,24123255,33668,106
5,13454686,18428,58
5,21580331,30185,95
5,7812026,10814,34
5,22829645,31774,100
5,18073077,24788,78
5,22143997,31133,98
5,19334627,27003,85
5,25548047,35577,112
5,17857638,24784,78
5,24806751,34307,108
5,23188169,32407,102
5,23157345,32079,101
5,15496798,21616,68
5,24546955,34620,109
5,22675171,31759,100
5,19038895,26690,84
5,24557609,33984,107
5,17502652,24463,77
5,8919920,12721,40
