OMNIKDTREE,EUCLIDEAN,CONVEX,2,4490,82627
k,time,count,disk
5,53180694,40656,0
5,54278272,40656,0
5,55035992,40656,0
5,52742162,40656,0
5,56225356,40656,0
5,53902227,40656,0
5,53168034,40656,0
5,53586664,40656,0
5,54239210,40656,0
5,52426149,40656,0
5,54115598,40656,0
5,54839014,40656,0
5,52524366,40656,0
5,53648723,40656,0
5,54826959,40656,0
5,54234503,40656,0
5,54661263,40656,0
5,54211529,40656,0
5,54042298,40656,0
5,51650522,40656,0
5,54012341,40656,0
5,54652590,40656,0
5,51191654,40656,0
5,52574639,40656,0
5,53341110,40656,0
5,52841657,40656,0
5,53246687,40656,0
5,53695684,40656,0
5,52518926,40656,0
5,52550662,40656,0
5,53254900,40656,0
5,53717136,40656,0
5,53392734,40656,0
5,54557776,40656,0
5,53363842,40656,0
5,53478234,40656,0
5,54045008,40656,0
5,51456383,40656,0
5,52049494,40656,0
5,51933320,40656,0
5,53547718,40656,0
5,53329912,40656,0
5,51194236,40656,0
5,51652310,40656,0
5,53335488,40656,0
5,53856080,40656,0
5,54519365,40656,0
5,52401033,40656,0
5,51855563,40656,0
5,55317986,40656,0
5,54041076,40656,0
5,52449872,40656,0
5,53430084,40656,0
5,52763554,40656,0
5,53535628,40656,0
5,51459287,40656,0
5,50843130,40656,0
5,51070545,40656,0
5,53100851,40656,0
5,51355805,40656,0
5,51369460,40656,0
5,53606638,40656,0
5,52689883,40656,0
5,52039727,40656,0
5,53573971,40656,0
5,51632657,40656,0
5,51579858,40656,0
5,51391058,40656,0
5,51607723,40656,0
5,53165180,40656,0
5,51607272,40656,0
5,53047884,40656,0
5,53709302,40656,0
5,53096683,40656,0
5,53713313,40656,0
5,51314163,40656,0
5,51799032,40656,0
5,52356828,40656,0
5,53139142,40656,0
5,52845820,40656,0
5,53221897,40656,0
5,52041227,40656,0
5,51516608,40656,0
5,51804963,40656,0
5,51399897,40656,0
5,52419800,40656,0
5,52088967,40656,0
5,51436226,40656,0
5,53377604,40656,0
5,52368354,40656,0
5,51218581,40656,0
5,52690434,40656,0
5,53766936,40656,0
5,53279259,40656,0
5,51997045,40656,0
5,52547727,40656,0
5,52541402,40656,0
5,52213957,40656,0
5,52301062,40656,0
5,54095014,40656,0
5,53715815,40656,0
5,53488362,40656,0
5,54430099,40656,0
5,53382566,40656,0
5,53219880,40656,0
5,53985616,40656,0
5,53776858,40656,0
5,51915731,40656,0
5,51670598,40656,0
5,53438843,40656,0
5,54178979,40656,0
5,53193955,40656,0
5,53796817,40656,0
5,56181629,40656,0
5,51504585,40656,0
5,55609984,40656,0
5,54966701,40656,0
5,52531087,40656,0
5,52216934,40656,0
5,54240787,40656,0
5,54133616,40656,0
5,53305745,40656,0
5,52859119,40656,0
5,52973720,40656,0
5,53315648,40656,0
5,52273278,40656,0
5,51589168,40656,0
5,54930444,40656,0
5,53732320,40656,0
5,52819858,40656,0
5,53996959,40656,0
5,51996063,40656,0
5,53935045,40656,0
5,55691453,40656,0
5,54339762,40656,0
5,52966767,40656,0
5,54025814,40656,0
5,53795591,40656,0
5,54007067,40656,0
5,54133361,40656,0
5,53522141,40656,0
5,54219398,40656,0
5,53981534,40656,0
5,53760043,40656,0
5,52880618,40656,0
5,52166792,40656,0
5,54512832,40656,0
5,52069786,40656,0
5,54537364,40656,0
5,54564166,40656,0
5,51841728,40656,0
5,52797066,40656,0
5,51500495,40656,0
5,53698503,40656,0
5,53311989,40656,0
5,53633612,40656,0
5,53734758,40656,0
5,53749730,40656,0
5,51587756,40656,0
5,52750530,40656,0
5,52779194,40656,0
5,54238681,40656,0
5,53849802,40656,0
5,54056043,40656,0
5,54524572,40656,0
5,52021680,40656,0
5,51810033,40656,0
5,54224184,40656,0
5,54140659,40656,0
5,52153081,40656,0
5,52085756,40656,0
5,53566319,40656,0
5,53142394,40656,0
5,52916679,40656,0
5,51509166,40656,0
5,52087876,40656,0
5,51209614,40656,0
5,53791092,40656,0
5,53518113,40656,0
5,54378906,40656,0
5,52120621,40656,0
5,52266371,40656,0
5,53434893,40656,0
5,53798812,40656,0
5,52228912,40656,0
5,54171880,40656,0
5,51997615,40656,0
5,54369313,40656,0
5,52029112,40656,0
5,51719208,40656,0
5,51589334,40656,0
5,52021989,40656,0
5,51926785,40656,0
5,53472323,40656,0
5,51462494,40656,0
5,52156681,40656,0
5,51128099,40656,0
5,52772148,40656,0
5,52605037,40656,0
5,51887634,40656,0
5,52246072,40656,0
5,51675064,40656,0
5,53507137,40656,0
5,53441834,40656,0
5,54114468,40656,0
5,51420591,40656,0
5,52788163,40656,0
5,53257246,40656,0
5,53501023,40656,0
5,53885568,40656,0
5,52998821,40656,0
5,54144793,40656,0
5,53809366,40656,0
5,54311735,40656,0
5,53435350,40656,0
5,53692984,40656,0
5,52687720,40656,0
5,52169887,40656,0
5,51773229,40656,0
5,52080885,40656,0
5,54346296,40656,0
5,53173731,40656,0
5,53081063,40656,0
5,53277393,40656,0
5,53576197,40656,0
5,52508124,40656,0
5,54019281,40656,0
5,54163211,40656,0
5,53363618,40656,0
5,52857852,40656,0
5,52242611,40656,0
5,51982175,40656,0
5,53367065,40656,0
5,53040580,40656,0
5,54279103,40656,0
5,54085849,40656,0
5,51961017,40656,0
5,53905623,40656,0
5,54072242,40656,0
5,53031427,40656,0
5,53943249,40656,0
5,53523278,40656,0
5,51773333,40656,0
5,53115952,40656,0
5,53473887,40656,0
5,54363354,40656,0
5,54625252,40656,0
5,53936392,40656,0
5,52034116,40656,0
5,54030080,40656,0
5,52347328,40656,0
5,55622928,40656,0
5,52261168,40656,0
5,52950400,40656,0
5,52680934,40656,0
5,52839975,40656,0
5,53108701,40656,0
5,54027206,40656,0
