OMNIKDTREE,EUCLIDEAN,GNAT,2,4490,145233
k,time,count,disk
5,55231575,40656,0
5,56397222,40656,0
5,57948862,40656,0
5,53947986,40656,0
5,51687964,40656,0
5,53317736,40656,0
5,55411844,40656,0
5,53787760,40656,0
5,57099594,40656,0
5,52214941,40656,0
5,53362378,40656,0
5,54058682,40656,0
5,53353426,40656,0
5,57082219,40656,0
5,53876260,40656,0
5,53827001,40656,0
5,54062764,40656,0
5,54025440,40656,0
5,53946337,40656,0
5,53080531,40656,0
5,53929890,40656,0
5,53764590,40656,0
5,53851236,40656,0
5,56960341,40656,0
5,54130384,40656,0
5,53701475,40656,0
5,53335195,40656,0
5,53485032,40656,0
5,57082579,40656,0
5,54089935,40656,0
5,54196440,40656,0
5,54154319,40656,0
5,53929944,40656,0
5,55198416,40656,0
5,54065773,40656,0
5,57328111,40656,0
5,54174472,40656,0
5,53948457,40656,0
5,53408596,40656,0
5,53920113,40656,0
5,54265051,40656,0
5,57890609,40656,0
5,54091388,40656,0
5,54372946,40656,0
5,53268234,40656,0
5,54878909,40656,0
5,54754176,40656,0
5,53736913,40656,0
5,53743749,40656,0
5,54547024,40656,0
5,53736348,40656,0
5,53784277,40656,0
5,54828656,40656,0
5,55035817,40656,0
5,54144566,40656,0
5,54157018,40656,0
5,53805390,40656,0
5,55159176,40656,0
5,54879323,40656,0
5,55071028,40656,0
5,54465724,40656,0
5,55012614,40656,0
5,54173319,40656,0
5,55512023,40656,0
5,54579568,40656,0
5,54781588,40656,0
5,54076608,40656,0
5,54816058,40656,0
5,54111097,40656,0
5,55957053,40656,0
5,53325743,40656,0
5,56737761,40656,0
5,54422290,40656,0
5,54705131,40656,0
5,54075189,40656,0
5,54524033,40656,0
5,55431778,40656,0
5,54890439,40656,0
5,56793949,40656,0
5,54470680,40656,0
5,55028406,40656,0
5,54426661,40656,0
5,54307140,40656,0
5,54853802,40656,0
5,54980842,40656,0
5,56376071,40656,0
5,55068386,40656,0
5,53415695,40656,0
5,57309195,40656,0
5,54596223,40656,0
5,55172171,40656,0
5,56244054,40656,0
5,54119636,40656,0
5,54022763,40656,0
5,54046789,40656,0
5,54522265,40656,0
5,55221613,40656,0
5,52733510,40656,0
5,53100138,40656,0
5,53999238,40656,0
5,56397749,40656,0
5,54779381,40656,0
5,53741013,40656,0
5,54891493,40656,0
5,54534486,40656,0
5,56050775,40656,0
5,55840461,40656,0
5,54419335,40656,0
5,53908047,40656,0
5,54468100,40656,0
5,54328694,40656,0
5,54012513,40656,0
5,54228993,40656,0
5,54585495,40656,0
5,52571851,40656,0
5,54210853,40656,0
5,59052865,40656,0
5,53386590,40656,0
5,53954643,40656,0
5,57334300,40656,0
5,54805031,40656,0
5,54991289,40656,0
5,56501795,40656,0
5,55053131,40656,0
5,54467427,40656,0
5,54302603,40656,0
5,55172316,40656,0
5,55104507,40656,0
5,54215233,40656,0
5,55914445,40656,0
5,57612631,40656,0
5,53798913,40656,0
5,54305390,40656,0
5,52964912,40656,0
5,54140146,40656,0
5,54271041,40656,0
5,54363131,40656,0
5,54080610,40656,0
5,54103070,40656,0
5,53867752,40656,0
5,54055455,40656,0
5,54288782,40656,0
5,54649659,40656,0
5,53875437,40656,0
5,55139449,40656,0
5,53701070,40656,0
5,58212058,40656,0
5,53643323,40656,0
5,53800170,40656,0
5,53310853,40656,0
5,53660273,40656,0
