OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,4490,182154
k,time,count,disk
5,52180813,30787,0
5,52863128,38507,0
5,51569765,39598,0
5,51835204,35653,0
5,53597176,40105,0
5,47440366,27999,0
5,50345746,38551,0
5,48077499,26747,0
5,51936763,39361,0
5,51985552,38554,0
5,46282618,23703,0
5,46313498,23698,0
5,51739838,38552,0
5,50309770,38968,0
5,45962110,22052,0
5,46644703,24422,0
5,46586385,24422,0
5,46639350,24656,0
5,46264580,23696,0
5,50627106,37345,0
5,46359500,24018,0
5,46372642,24470,0
5,51482790,38447,0
5,50672321,38870,0
5,47257300,25866,0
5,47741488,28249,0
5,47373504,26520,0
5,47137635,25339,0
5,51007525,38855,0
5,48444202,29122,0
5,47070350,25638,0
5,46682345,24787,0
5,47483373,26115,0
5,50870241,39740,0
5,46578619,23463,0
5,52503742,39306,0
5,46662616,24074,0
5,50825817,36506,0
5,52146266,38502,0
5,51843971,36499,0
5,48619339,26694,0
5,52011459,39262,0
5,53109218,38508,0
5,52279305,38533,0
5,48369529,26751,0
5,46817197,23595,0
5,46542549,21717,0
5,49830558,32660,0
5,50814726,35701,0
5,51921306,39829,0
5,47030611,24787,0
5,50906091,38566,0
5,48328721,27577,0
5,48417919,28720,0
5,45480717,19759,0
5,52189520,38499,0
5,51621145,38509,0
5,51540605,38502,0
5,49020597,27492,0
5,52923060,38502,0
5,51218871,33882,0
5,47874019,24832,0
5,49420302,30482,0
5,48890517,34834,0
5,46463148,22228,0
5,52534877,38483,0
5,52046318,38502,0
5,51400326,38512,0
5,51656270,38499,0
5,50611561,38724,0
5,51400306,35063,0
5,49507925,27297,0
5,46161136,22359,0
5,48997856,27501,0
5,46663396,22912,0
5,51847330,38499,0
5,52562157,37604,0
5,49203813,29667,0
5,49609070,26533,0
5,47918278,26877,0
5,48380132,25998,0
5,51867510,38499,0
5,51120855,38029,0
5,51690340,38502,0
5,52154069,38502,0
5,50082561,36058,0
5,51985506,38502,0
5,52432370,38534,0
5,49712658,26533,0
5,49339897,32447,0
5,51909922,38490,0
5,49695378,26510,0
5,46861759,22873,0
5,49066132,28650,0
5,50028670,33204,0
5,48930993,30395,0
5,48949802,29833,0
5,51922514,38532,0
5,49702362,33750,0
5,46097188,22233,0
5,48735376,25893,0
5,48974606,28096,0
5,45846798,20766,0
5,49161335,27546,0
5,48828158,27886,0
5,48078012,25761,0
5,48062318,25640,0
5,51529021,38500,0
5,51605487,38502,0
5,48653441,31201,0
5,46050004,22482,0
5,47471695,27285,0
5,47098007,22258,0
5,47202538,24282,0
5,51462168,38567,0
5,53484380,40095,0
5,51265391,39676,0
5,52067360,38534,0
5,52568259,38502,0
5,50304894,26443,0
5,47518260,26227,0
5,48815710,29146,0
5,50740676,38510,0
5,49299610,30295,0
5,49469041,31012,0
5,51863103,38499,0
5,52682015,37766,0
5,51245213,39925,0
5,46250268,23696,0
5,49311709,38674,0
5,53968705,39423,0
5,50574877,33953,0
5,46466912,23249,0
5,52335713,39970,0
5,46545432,23703,0
5,49513633,30773,0
5,45758888,22160,0
5,46449325,24074,0
5,46603373,24393,0
5,47222255,26520,0
5,49154118,32046,0
5,47135904,25441,0
5,46749202,23725,0
5,47024423,25903,0
5,49500639,36106,0
5,51785071,38538,0
5,50143870,39211,0
5,51764702,38497,0
5,46434561,23696,0
5,46443534,24470,0
5,51190574,38502,0
5,48588712,28566,0
5,49346496,33826,0
5,47362866,26520,0
5,48128467,29401,0
5,46584289,24832,0
5,51205736,39128,0
5,47157835,25958,0
5,51623913,38557,0
5,50115058,38870,0
5,48334059,28407,0
5,46074493,23281,0
5,47156325,25408,0
5,47170884,24817,0
5,46103451,22686,0
5,52017102,38502,0
5,51682174,38502,0
5,46393130,23978,0
5,46728519,24625,0
5,52494454,38167,0
5,51677782,38502,0
5,50251627,39226,0
5,47677370,26993,0
5,49089613,30647,0
5,52318802,38501,0
5,51103105,38408,0
5,52509400,38498,0
5,46719557,24004,0
5,47628153,26132,0
5,46626268,23848,0
5,52509058,38490,0
5,51463347,38597,0
5,50674219,38584,0
5,47403616,24515,0
5,52296165,38502,0
5,45604846,17423,0
5,51919819,38502,0
5,46435966,23991,0
5,52423250,38502,0
5,52459525,38502,0
5,52682918,38499,0
5,52120669,38501,0
5,51670801,38490,0
5,47116114,26115,0
5,52571118,38499,0
5,52298897,38506,0
5,51691071,37815,0
5,48981276,28079,0
5,50298861,38612,0
5,52877605,38501,0
5,49504040,32484,0
5,50249968,35784,0
5,47485619,26846,0
5,46914453,25471,0
5,45832721,20423,0
5,52781670,38503,0
5,49932565,31653,0
5,48983004,27812,0
5,49201379,27107,0
5,46890195,23225,0
5,49492141,32544,0
5,46907440,23319,0
5,49658834,26579,0
5,45365612,15507,0
5,48906259,27569,0
5,49786996,26480,0
5,49128983,27754,0
5,50362780,33246,0
5,51889893,34227,0
5,52079782,38498,0
5,46854022,24400,0
5,48998936,27889,0
5,49040564,29564,0
5,49405508,31404,0
5,49360639,27331,0
5,51996321,38498,0
5,48172726,25902,0
5,46394124,23886,0
5,49173797,31665,0
5,49001287,30776,0
5,52187207,38352,0
5,51771205,35833,0
5,49745430,31111,0
5,49883271,33267,0
5,47475276,24673,0
5,48614035,25927,0
5,50866992,36630,0
5,48360375,26716,0
5,47338403,24239,0
5,49095880,29281,0
5,47498747,23464,0
5,49813897,30852,0
5,52288393,38498,0
5,49175728,29881,0
5,49151329,28280,0
5,48067975,25194,0
5,47235183,23443,0
5,47593620,26073,0
5,51653430,36266,0
5,47669769,25977,0
5,52119834,38502,0
5,52518416,40082,0
5,49915857,36340,0
5,49537913,38444,0
5,49758826,30381,0
5,49006516,27111,0
5,46563252,22653,0
5,46083045,20961,0
5,49949574,38866,0
5,45871257,22707,0
5,52908085,40071,0
5,49001159,31208,0
5,49967061,33352,0
5,45746625,19392,0
5,45936210,20791,0
5,49367200,30234,0
5,48285753,25808,0
5,49273930,28232,0
5,45806952,20237,0
5,51352551,38559,0
5,49399372,32419,0
5,46149529,19515,0
5,49883827,27315,0
5,49170238,28597,0
5,50638187,38631,0
5,45546177,21832,0
5,48633727,27459,0
5,47673387,25764,0
5,50906083,36167,0
5,48589584,28874,0
5,50979369,38657,0
5,49540472,32760,0
5,51212422,38574,0
5,51407399,38674,0
5,49790857,26550,0
5,52773522,38546,0
5,51861547,38607,0
5,49512350,29935,0
5,46243107,22228,0
5,51230775,34902,0
5,50542745,38667,0
5,51142722,38559,0
5,46389182,23422,0
5,49073276,29096,0
5,46786547,21151,0
5,47732952,26994,0
5,48067579,25997,0
5,52644817,38525,0
5,49936696,30822,0
5,46469661,21216,0
5,51672400,38502,0
5,51222640,39277,0
5,46164922,22150,0
5,45469426,17932,0
5,46189496,20615,0
5,46986051,24525,0
5,48710774,28013,0
5,46328306,23598,0
5,45679756,19738,0
5,47014549,21307,0
5,47912014,25333,0
5,45969793,22907,0
5,46050846,22599,0
5,46807311,22297,0
5,46187509,22525,0
5,49734929,34768,0
5,46069367,21939,0
5,46093480,22254,0
5,48128777,29285,0
5,45759832,21370,0
5,49966989,32980,0
5,46247000,22664,0
5,46280717,23176,0
5,46215130,19607,0
5,47744716,27806,0
5,45954764,22441,0
5,46148941,19783,0
5,45953928,22714,0
5,48115607,28447,0
5,46505194,24073,0
5,48686389,30208,0
5,47234058,26039,0
5,50452032,38734,0
5,49981065,38301,0
5,51355584,38520,0
5,50865582,39961,0
5,46469127,23314,0
5,45862965,22532,0
5,51222084,38570,0
5,51583861,38564,0
5,50487821,38863,0
5,50278779,34530,0
5,51986429,38507,0
5,50657694,38564,0
5,48864762,26791,0
5,44916086,19415,0
5,49117497,31308,0
5,49381091,30454,0
5,47408449,26494,0
5,51574084,38442,0
5,50866325,37946,0
5,45630554,21027,0
5,46084928,21876,0
5,49274256,32599,0
5,47081756,25433,0
5,51290591,38665,0
5,49315236,26482,0
5,48236050,27827,0
5,45234953,17108,0
5,48145743,30087,0
5,46060989,24099,0
5,49714672,26601,0
5,48272593,28668,0
5,46388184,24278,0
5,45551447,22769,0
5,46524325,22550,0
5,47348501,27031,0
5,51405410,38604,0
5,48447514,27485,0
5,47158091,25443,0
5,48702042,29447,0
5,49086375,30873,0
5,52315455,38423,0
5,49558719,26468,0
5,50310438,36542,0
5,47420905,23676,0
5,47741001,25385,0
5,52063711,38502,0
5,45335056,19484,0
5,47197779,25394,0
5,46735073,22193,0
5,47990455,25286,0
5,49294798,27867,0
5,48942474,31118,0
5,50779535,38009,0
5,47850108,26026,0
5,47707086,25213,0
5,46695801,22146,0
5,45864000,21950,0
5,46619378,23928,0
5,47375541,25521,0
5,52025204,38503,0
5,48952412,28201,0
5,49395269,26646,0
5,48597503,31499,0
5,48765493,27628,0
5,47963438,27371,0
5,48134138,26024,0
5,49132276,26846,0
5,49371127,26437,0
5,47420545,27717,0
5,48238842,28244,0
5,49068632,29574,0
5,49250325,28942,0
5,47579984,24316,0
5,47484688,25879,0
5,49501230,29594,0
5,49487195,31112,0
5,49605407,31637,0
5,50919582,35107,0
5,52496511,38534,0
5,47434628,26437,0
5,52288124,38523,0
5,46024853,23101,0
5,51647975,38538,0
5,50994725,38532,0
5,50456839,39681,0
5,48141116,28422,0
5,50927882,38370,0
5,52764440,38511,0
5,49204564,31588,0
5,49129849,31588,0
5,49141562,27256,0
5,48512008,27441,0
5,48668712,28259,0
5,49853199,32268,0
5,45742074,18869,0
5,46285576,20980,0
5,50512725,38869,0
5,50803579,39185,0
5,48213403,28018,0
5,45301436,19266,0
5,45646117,20681,0
5,49711488,39083,0
5,49788536,35237,0
5,52141083,37089,0
5,46546286,23163,0
5,52504806,38502,0
5,47156875,23563,0
5,51844617,38502,0
5,52327919,38502,0
5,50766289,39931,0
5,51372796,38502,0
5,47465074,23842,0
5,52164335,38502,0
5,46017378,19231,0
5,48661801,28069,0
5,50573869,38705,0
5,49851237,38430,0
5,45978532,20066,0
5,47888933,26321,0
5,51991245,38520,0
5,51001110,39626,0
5,49487330,32192,0
5,52293279,38276,0
5,50916813,38552,0
5,50464669,39114,0
5,51807345,38509,0
5,52304989,38502,0
5,51974846,38501,0
5,51882646,38502,0
5,46824983,24102,0
5,51640201,38356,0
5,51693962,38502,0
5,48882747,31032,0
5,53395113,39432,0
5,50522665,26479,0
5,49127133,31236,0
5,51847564,39930,0
5,50616543,39844,0
5,49108640,31484,0
5,52774185,38507,0
5,49437917,27770,0
5,47573019,27669,0
5,50840832,34281,0
5,52547537,38502,0
5,49032222,30978,0
5,52312985,38569,0
5,46299992,23305,0
5,47650631,26301,0
5,45474245,19288,0
5,50755413,39101,0
5,47756069,25997,0
5,46088883,21836,0
5,45709381,20325,0
5,45546844,20086,0
5,51613475,39590,0
5,52681898,38402,0
5,46892466,23710,0
5,47690767,27004,0
5,46574007,23257,0
5,46490249,22198,0
5,45713997,20429,0
5,45909985,21004,0
5,46269782,23474,0
5,52451649,39432,0
5,46766172,23526,0
5,45710758,21169,0
5,45725896,20853,0
5,51368989,38498,0
5,50241976,38494,0
5,52597136,38502,0
5,45720575,20627,0
5,45626346,20086,0
5,47039349,24292,0
5,45398314,19966,0
5,45925772,21204,0
5,45601665,20325,0
5,50307517,39014,0
5,54871978,40109,0
5,45430835,21062,0
5,46205676,22198,0
5,54681554,40109,0
5,50967285,36444,0
5,45886943,20803,0
5,45450936,19917,0
5,50244198,38355,0
5,51251765,38499,0
5,48094503,26999,0
5,46025547,21204,0
5,46486792,24524,0
5,45984905,22696,0
5,47469847,24230,0
5,51670384,39540,0
5,46070766,20207,0
5,46693584,22770,0
5,50699061,36135,0
5,45876225,20561,0
5,46125001,21008,0
5,51012481,39844,0
5,46429822,23209,0
5,51288738,39828,0
5,51842293,39997,0
5,47193412,25742,0
5,50208955,30840,0
5,49695802,31320,0
5,50014525,32172,0
5,49396015,31864,0
5,47151209,25455,0
5,49334722,30725,0
5,49567337,30492,0
5,49038600,28551,0
5,49365707,30999,0
5,49918215,29713,0
5,49012582,28791,0
5,50386909,32616,0
5,47160008,24107,0
5,49427024,30997,0
5,49258573,31304,0
5,50053182,32396,0
5,49686206,32311,0
5,49005504,28723,0
5,48325781,26033,0
5,49213921,28554,0
5,49899159,31348,0
5,49226181,31333,0
5,49325889,32076,0
5,49376541,32050,0
5,49434809,31532,0
5,49423405,30778,0
5,47592981,24511,0
5,48915651,27566,0
5,50285463,32821,0
5,49209990,31807,0
5,50325000,32377,0
5,49331061,29482,0
5,48452160,26078,0
5,49466389,26668,0
5,49131100,29470,0
5,47148627,24874,0
5,47573952,25606,0
5,46592844,22419,0
5,46251012,21561,0
5,49106527,27929,0
5,49954214,30877,0
5,48889268,29145,0
5,47780284,26345,0
5,45474127,19430,0
5,49812089,31870,0
5,49053550,27129,0
5,48516919,28112,0
5,49510068,27331,0
5,49488038,31596,0
5,48467188,29195,0
5,49464374,30305,0
5,49661311,30648,0
5,49410747,26982,0
5,49021004,29407,0
5,49806740,31207,0
5,49469167,30097,0
5,46509290,23104,0
5,47360661,25208,0
5,45169860,17013,0
5,46172071,19869,0
5,45989359,19111,0
5,45433801,17343,0
5,45592607,18148,0
5,45703456,17348,0
5,49020871,28810,0
5,49187728,31502,0
5,48853761,30063,0
5,47209850,25829,0
5,47364584,23816,0
5,48094851,25948,0
5,48956813,29410,0
5,50635458,39898,0
5,49287674,27084,0
5,49205493,30077,0
5,50431089,32821,0
5,49480920,31502,0
5,46174134,21351,0
5,45305363,16942,0
5,49556566,27051,0
5,48931522,28846,0
5,48150410,25976,0
5,46145532,22890,0
5,45635016,20370,0
5,46638887,22157,0
5,47225869,22987,0
5,47705829,25973,0
5,49869313,32377,0
5,50007654,32382,0
5,50114600,26649,0
