OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,4490,224872
k,time,count,disk
5,53797212,40656,0
5,55071883,40656,0
5,55222020,40656,0
5,52576493,40656,0
5,55978925,40656,0
5,53565536,40656,0
5,52786858,40656,0
5,54517500,40656,0
5,55374250,40656,0
5,53276882,40656,0
5,54864889,40656,0
5,55368602,40656,0
5,52930935,40656,0
5,54266517,40656,0
5,54996285,40656,0
5,54654222,40656,0
5,54935843,40656,0
5,55148787,40656,0
5,55343946,40656,0
5,53408956,40656,0
5,55341160,40656,0
5,55155143,40656,0
5,52526137,40656,0
5,54719650,40656,0
5,55201032,40656,0
5,54156308,40656,0
5,54367382,40656,0
5,54719902,40656,0
5,54257460,40656,0
5,55178891,40656,0
5,55112533,40656,0
5,55248222,40656,0
5,54812691,40656,0
5,56317669,40656,0
5,55417728,40656,0
5,55088101,40656,0
5,55108295,40656,0
5,52441671,40656,0
5,53335528,40656,0
5,53380657,40656,0
5,54664728,40656,0
5,55143772,40656,0
5,53357694,40656,0
5,53486728,40656,0
5,54766752,40656,0
5,55350290,40656,0
5,56103678,40656,0
5,54253197,40656,0
5,53480832,40656,0
5,56125127,40656,0
5,55250450,40656,0
5,53742975,40656,0
5,54972762,40656,0
5,54555611,40656,0
5,55169321,40656,0
5,52851176,40656,0
5,53089076,40656,0
5,53445313,40656,0
5,54587714,40656,0
5,53318030,40656,0
5,53451124,40656,0
5,55393763,40656,0
5,54115512,40656,0
5,53429074,40656,0
5,54906734,40656,0
5,53325560,40656,0
5,52730973,40656,0
5,52835173,40656,0
5,52755330,40656,0
5,53857422,40656,0
5,52418701,40656,0
5,54305113,40656,0
5,54438228,40656,0
5,54247155,40656,0
5,55111568,40656,0
5,52432239,40656,0
5,53775833,40656,0
5,54483514,40656,0
5,54461649,40656,0
5,54356587,40656,0
5,54890806,40656,0
5,53213778,40656,0
5,52753360,40656,0
5,53193842,40656,0
5,52915588,40656,0
5,53291980,40656,0
5,53023839,40656,0
5,52848377,40656,0
5,54861865,40656,0
5,53844335,40656,0
5,52833453,40656,0
5,54661844,40656,0
5,55174984,40656,0
5,53693175,40656,0
5,53369153,40656,0
5,54308461,40656,0
5,53798156,40656,0
5,52747524,40656,0
5,52311766,40656,0
5,55273722,40656,0
5,54846486,40656,0
5,53726449,40656,0
5,55266843,40656,0
5,54161032,40656,0
5,53150424,40656,0
5,53979576,40656,0
5,54532044,40656,0
5,53025849,40656,0
5,52617608,40656,0
5,53888362,40656,0
5,55222279,40656,0
5,54500653,40656,0
5,54747508,40656,0
5,57300065,40656,0
5,53160232,40656,0
5,56567821,40656,0
5,55440854,40656,0
5,53139048,40656,0
5,53064513,40656,0
