OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,2,4490,251925
k,time,count,disk
5,44999190,15286,0
5,44944060,11726,0
5,49599602,39145,0
5,43548374,13768,0
5,54346124,40093,0
5,51148242,39175,0
5,46738900,27129,0
5,50676816,39259,0
5,50134045,38754,0
5,44720217,18008,0
5,51143226,39462,0
5,51749188,39555,0
5,46709538,25223,0
5,51463339,37575,0
5,51723153,39449,0
5,50891165,39372,0
5,50628185,39372,0
5,50735046,39353,0
5,50947978,39449,0
5,51858161,38368,0
5,51388527,39396,0
5,50998412,39401,0
5,43093362,10985,0
5,48666581,35603,0
5,50219440,39287,0
5,50176081,39157,0
5,50537814,39276,0
5,50883710,39347,0
5,48692466,35120,0
5,51109175,39128,0
5,51264064,39308,0
5,50709910,39380,0
5,50797245,39295,0
5,50568713,39397,0
5,51365061,39423,0
5,50264863,38660,0
5,51192444,39415,0
5,53333624,38419,0
5,43312229,9913,0
5,52212312,38435,0
5,51807379,39230,0
5,50184466,38537,0
5,53635371,36996,0
5,43151202,10605,0
5,51075298,39265,0
5,53015342,39622,0
5,52554417,39588,0
5,50323600,38834,0
5,51089785,38558,0
5,50846093,39594,0
5,50436426,39380,0
5,42817539,10949,0
5,51562772,39183,0
5,51135464,39104,0
5,51791372,39545,0
5,48324505,24755,0
5,52545382,38202,0
5,44143894,12884,0
5,52449003,39731,0
5,48987270,28754,0
5,51848095,38688,0
5,53606077,39659,0
5,52870639,39797,0
5,45668409,19769,0
5,52221221,39597,0
5,42641538,9888,0
5,47169787,23373,0
5,43508818,11652,0
5,47308879,22049,0
5,47891904,31508,0
5,51580572,38591,0
5,52458567,39722,0
5,51927199,39580,0
5,52618064,39731,0
5,52297516,39605,0
5,55115127,37184,0
5,43570632,13627,0
5,53521988,39784,0
5,53359960,39709,0
5,51256176,39230,0
5,52177626,39694,0
5,51564446,32684,0
5,54600087,38267,0
5,46923567,21687,0
5,50408844,35068,0
5,45787212,21684,0
5,47697562,23527,0
5,52884961,37912,0
5,53255076,39709,0
5,51275719,38830,0
5,43370373,10150,0
5,52277602,39705,0
5,52468415,39617,0
5,52701086,39755,0
5,53766587,39871,0
5,53661162,39814,0
5,53606817,39790,0
5,45888197,20360,0
5,51685337,38717,0
5,51883023,39555,0
5,52685061,39694,0
5,53500324,39744,0
5,52204282,39540,0
5,53098055,39731,0
5,52933310,39134,0
5,52929757,39688,0
5,52794190,39687,0
5,51843966,35524,0
5,45859870,19151,0
5,51695966,38911,0
5,50831108,39456,0
5,50868982,39208,0
5,53000931,39605,0
5,52383997,39626,0
5,43650548,12658,0
5,54103822,40063,0
5,50935773,39277,0
5,45005685,18386,0
5,52248029,36203,0
5,53180186,39708,0
5,51340557,39267,0
5,53962463,39761,0
5,47385887,26510,0
5,53485505,38963,0
5,53485322,38914,0
5,43711743,10610,0
5,55146506,38296,0
5,52097160,39758,0
5,51992216,39449,0
5,47605876,30153,0
5,50398635,38869,0
5,44412942,15216,0
5,52259174,39491,0
5,52404237,39848,0
5,52065676,39462,0
5,52180258,38939,0
5,51949948,39462,0
5,51467798,39415,0
5,51226093,39415,0
5,50664658,39276,0
5,50571653,38889,0
5,51318569,39348,0
5,51388378,39427,0
5,51167710,39318,0
5,46139489,22275,0
5,48537234,32069,0
5,50679630,38465,0
5,45657887,17672,0
5,51438718,39449,0
5,51150399,39401,0
5,43383980,10522,0
5,52483815,39737,0
5,44819645,16032,0
5,50452458,39276,0
5,50595438,39091,0
5,51810405,39322,0
5,51150697,38331,0
5,51224353,39318,0
5,48126635,29689,0
5,49755591,35646,0
5,52364146,39104,0
5,51523867,39460,0
5,51378348,39324,0
5,51519518,39359,0
5,51709716,39502,0
5,51377395,35944,0
5,49417229,30925,0
5,51273090,39453,0
5,51497701,39404,0
5,43868169,12866,0
5,43131111,9754,0
5,50768483,38483,0
5,51532034,39236,0
5,51341177,38999,0
5,47156603,20534,0
5,44074483,14751,0
5,50592657,31065,0
5,51169552,39433,0
5,52613975,39243,0
5,51799867,39498,0
5,43282203,9876,0
5,43550278,11974,0
5,47588250,27794,0
5,53157808,39318,0
5,46239915,18674,0
5,52133064,39452,0
5,46470287,21359,0
5,51735546,39463,0
5,50117956,32934,0
5,45530579,18451,0
5,48658883,25318,0
5,44918266,13602,0
5,43077938,9536,0
5,51417386,39295,0
5,48845872,26428,0
5,43130074,10240,0
5,55010948,38292,0
5,53801369,39128,0
5,46672802,24532,0
5,50835912,32406,0
5,45053848,18820,0
5,50837804,38557,0
5,50829323,39261,0
5,51365238,39339,0
5,52141950,39551,0
5,43385951,10041,0
5,54474670,39838,0
5,53148588,39739,0
5,53028012,39720,0
5,51027594,39365,0
5,50364056,38829,0
5,51090170,39367,0
5,52181841,39711,0
5,52064919,39487,0
5,53058722,39733,0
5,52321255,39708,0
5,52423381,39145,0
5,53257517,38731,0
5,53237182,38661,0
5,49412704,28534,0
