OMNIKDTREE,EUCLIDEAN,PCA,2,4490,316591
k,time,count,disk
5,53345845,37717,0
5,53907129,36284,0
5,53487813,39540,0
5,52984644,37571,0
5,58153780,40103,0
5,52984989,36389,0
5,52722819,38388,0
5,51692822,36560,0
5,52395281,39295,0
5,50972060,34283,0
5,50694873,36582,0
5,50396030,36580,0
5,48645992,27560,0
5,52620799,38863,0
5,51535559,36540,0
5,52082172,36554,0
5,51895168,36554,0
5,51656272,36548,0
5,51568117,36572,0
5,49429589,28039,0
5,51011020,36552,0
5,51345021,36568,0
5,52840991,37081,0
5,52737238,38748,0
5,51697516,36540,0
5,52425805,36307,0
5,51875623,36566,0
5,51538267,36572,0
5,51535275,38733,0
5,51749127,36218,0
5,51251398,36549,0
5,51568439,36575,0
5,51813861,36561,0
5,54133989,39705,0
5,51806912,36556,0
5,53253828,39231,0
5,51795064,36566,0
5,49375059,25263,0
5,52220213,36684,0
5,49157052,27771,0
5,52701727,36446,0
5,53449452,39157,0
5,46953930,17921,0
5,52605949,36930,0
5,52022572,36568,0
5,50773338,33347,0
5,51115587,35098,0
5,51937627,35281,0
5,51150407,34200,0
5,54217171,39808,0
5,51370791,36575,0
5,52377558,36891,0
5,53011355,36393,0
5,53115866,36104,0
5,51889110,36432,0
5,48194610,22688,0
5,47837385,22857,0
5,53131161,35843,0
5,48961816,29570,0
5,47678059,18791,0
5,52199642,34375,0
5,50073056,31504,0
5,49719553,33609,0
5,52719737,38055,0
5,51066680,34386,0
5,52900114,36961,0
5,48558487,24834,0
5,52600406,36441,0
5,48884738,25647,0
5,52689031,38599,0
5,51248844,33122,0
5,49401362,28232,0
5,51075254,35159,0
5,49390881,29224,0
5,50558598,33579,0
5,46469250,14926,0
5,53234966,37539,0
5,49669281,31897,0
5,49602265,29472,0
5,52960152,36487,0
5,50267187,28551,0
5,45782053,14630,0
5,47619101,18860,0
5,49232823,26784,0
5,46277456,14908,0
5,52698306,38154,0
5,48187605,24531,0
5,47185038,21415,0
5,49464926,29550,0
5,52386600,35204,0
5,53069401,36886,0
5,49337388,30632,0
5,51295211,33597,0
5,49222079,30658,0
5,50565807,36599,0
5,49163807,32703,0
5,49109830,32027,0
5,50664798,30863,0
5,52700547,34552,0
5,51098867,36312,0
5,49854506,29917,0
5,49192432,30201,0
5,51207189,36389,0
5,48666346,29696,0
5,51545070,36089,0
5,50168958,29908,0
5,50446383,29574,0
5,45967909,12659,0
5,49571098,29375,0
5,52981081,35387,0
5,50933699,36550,0
5,52614067,36448,0
5,51491263,34121,0
5,50556476,33837,0
5,51865548,36381,0
5,57407127,40095,0
5,54400483,39630,0
5,51624387,33417,0
5,45867338,13080,0
5,49000362,29731,0
5,52188049,36538,0
5,49861092,30738,0
5,53358303,38364,0
5,53318504,35509,0
5,52408461,35280,0
5,52821400,36373,0
5,47613915,19719,0
5,55199926,39910,0
5,51752140,36572,0
5,52230905,38537,0
5,53008209,39360,0
5,52317427,37697,0
5,51163627,36576,0
5,55505488,39955,0
5,51716035,36582,0
5,52111731,35406,0
5,51816099,36550,0
5,51347436,36566,0
5,50932998,36580,0
5,51289087,36566,0
5,51727880,35460,0
5,51189521,36576,0
5,51690416,36564,0
5,52335337,36567,0
5,53108636,38195,0
5,47535242,21688,0
5,52925627,39116,0
5,50706489,31516,0
5,51588731,36572,0
5,51046399,36568,0
5,52028144,36537,0
5,49644407,33661,0
5,52245862,37759,0
5,52012187,36566,0
5,52719732,36071,0
5,51819626,36498,0
5,52857188,39022,0
5,52111677,36568,0
5,48494468,24700,0
5,52525703,38749,0
5,52012135,36018,0
5,51297479,36567,0
5,52381539,36554,0
5,52301509,36559,0
5,51341828,36564,0
5,46516999,15774,0
5,46732760,16705,0
5,51178517,36585,0
5,51225882,36578,0
5,52552791,37449,0
5,52609011,36762,0
5,53191726,39130,0
5,52172086,36512,0
5,52804969,35812,0
5,49179013,27563,0
5,51691549,37581,0
5,46855798,15311,0
5,51701229,36576,0
5,52682123,36418,0
5,51625657,36602,0
5,53277525,36925,0
5,52491520,36931,0
5,52807667,38422,0
5,52077009,36444,0
5,49988753,30538,0
5,51201762,36455,0
5,48731315,26970,0
5,51195740,36599,0
5,45801412,13974,0
5,50393404,31042,0
5,47422009,22057,0
5,53040219,35661,0
5,51607108,36870,0
5,51485441,36561,0
5,47263655,20938,0
5,52318477,36648,0
5,47833349,19601,0
5,52309040,36067,0
5,52451877,38259,0
5,46168391,15071,0
5,52127032,37998,0
5,51468797,34239,0
5,52106472,36566,0
5,51525518,36567,0
5,51386122,36282,0
5,53442475,36731,0
5,50056381,34336,0
5,49026544,29893,0
5,48931101,29711,0
5,51506177,36463,0
5,52055694,35019,0
5,51771089,36466,0
5,49356791,29398,0
5,51177434,36454,0
5,48650390,30058,0
5,49342929,29347,0
5,52512870,36116,0
5,53159665,34532,0
5,52078715,34145,0
5,47533859,17863,0
5,49880750,32472,0
5,49095302,30211,0
5,49194651,31737,0
5,50512972,33986,0
5,49281325,29922,0
5,50964656,33733,0
5,49514248,29624,0
5,50133561,32223,0
5,50048278,34289,0
5,52102988,35387,0
5,52299172,37168,0
5,50038353,27380,0
5,49802146,33680,0
5,52929082,34520,0
5,50031351,31723,0
5,50148906,30174,0
5,48998013,23662,0
5,52739576,36372,0
5,50167284,32059,0
5,49172957,31742,0
5,50918345,32789,0
5,49448427,33394,0
5,48358346,24139,0
5,53004903,35608,0
5,48916320,30590,0
5,49679652,30694,0
5,51197025,32901,0
5,49939316,29763,0
5,49501665,24886,0
5,49989059,28405,0
5,45616256,14107,0
5,56268854,40073,0
5,49876203,28287,0
5,52936224,38205,0
5,49433938,32926,0
5,48979743,28522,0
5,51653694,36509,0
5,50349119,36511,0
5,51891215,38697,0
5,51208266,36530,0
5,56718828,40061,0
5,52204489,35477,0
5,51856453,34501,0
5,51191806,36441,0
5,51352750,35483,0
5,49550629,32645,0
5,49434300,29942,0
5,49164150,30970,0
5,51550820,36483,0
5,46897001,20559,0
5,53081164,34888,0
5,51492830,36488,0
5,49431294,29746,0
5,49507707,31205,0
5,51926092,37853,0
5,51173526,36485,0
5,52824644,36196,0
5,52416345,36465,0
5,49817461,30299,0
5,52142872,36171,0
5,51637482,36728,0
5,51258084,34730,0
5,52250146,35725,0
5,51596994,36500,0
5,49000571,29558,0
5,47034017,19418,0
5,50932084,34948,0
5,49723492,32443,0
5,51509880,36555,0
5,51851168,32857,0
5,52505730,36765,0
5,52010060,36829,0
5,51764460,36540,0
5,51853745,35832,0
5,50750541,35447,0
5,51567588,36537,0
5,49627456,30332,0
5,47610089,21770,0
5,49843923,33541,0
5,51897029,36449,0
5,52845002,36411,0
