OMNIKDTREE,EUCLIDEAN,RANDOM,2,4490,12590
k,time,count,disk
5,54092439,38584,0
5,54366326,37612,0
5,56632605,39772,0
5,53886297,38471,0
5,59625761,40107,0
5,48359568,26788,0
5,53692602,39083,0
5,47707104,25697,0
5,55698283,39646,0
5,51197504,36898,0
5,48027758,23678,0
5,49192620,23441,0
5,51307864,36147,0
5,54609372,39368,0
5,47962415,23200,0
5,48386210,23923,0
5,48034260,23923,0
5,48064270,24043,0
5,48948629,23674,0
5,50222539,33106,0
5,48733785,23700,0
5,49093486,24045,0
5,52714745,38147,0
5,54012514,39306,0
5,47876677,24942,0
5,49075120,26997,0
5,48191418,25490,0
5,48750673,24591,0
5,54287957,39295,0
5,48770112,27729,0
5,48099415,24790,0
5,48642239,24242,0
5,48229045,25158,0
5,56021420,39870,0
5,48230294,23571,0
5,55097993,39604,0
5,47901152,23826,0
5,51915372,32737,0
5,53664480,37865,0
5,51542021,32742,0
5,48556990,25908,0
5,54875036,39552,0
5,52009752,34248,0
5,53016866,38001,0
5,47901469,25622,0
5,49416009,23024,0
5,50961948,23144,0
5,50317308,30319,0
5,50490736,32313,0
5,58620760,39930,0
5,48604247,24242,0
5,52546189,37938,0
5,49316561,26393,0
5,49057600,27386,0
5,49114310,23443,0
5,53609522,36037,0
5,51162737,33803,0
5,53546991,37395,0
5,44231280,8580,0
5,52960458,35578,0
5,51605397,31395,0
5,48694264,20100,0
5,47008855,18983,0
5,54300458,38820,0
5,49507044,23495,0
5,54047435,38047,0
5,53024000,36177,0
5,53263310,37704,0
5,53264377,36336,0
5,55145875,39206,0
5,51549611,32084,0
5,44619567,12240,0
5,49419764,23713,0
5,43905094,7767,0
5,49201686,23451,0
5,52338931,34191,0
5,54111406,38441,0
5,45224894,11654,0
5,45131352,10383,0
5,49107487,25766,0
5,46649310,16551,0
5,52510929,35075,0
5,52307702,33482,0
5,52431156,36444,0
5,51868536,34814,0
5,54062616,38896,0
5,52995523,36153,0
5,51023227,34089,0
5,45082058,10272,0
5,50315705,30182,0
5,53718019,37999,0
5,46079203,14467,0
5,49147219,23151,0
5,44040272,8075,0
5,48530275,26665,0
5,45947357,15027,0
5,45628815,12789,0
5,51978410,36613,0
5,51410378,31430,0
5,49296653,23639,0
5,46846076,14271,0
5,43563938,6856,0
5,49443181,23671,0
5,44313634,8318,0
5,48863208,27259,0
5,46877386,14671,0
5,46449864,15254,0
5,52253426,34638,0
5,52799565,36701,0
5,50476915,29405,0
5,48390930,23575,0
5,48533210,26304,0
5,49762732,23190,0
5,49429005,23139,0
5,52571685,37621,0
5,60279813,40104,0
5,57348057,39828,0
5,51869690,36828,0
5,51946678,34559,0
5,45135646,10935,0
5,48985691,25156,0
5,44809180,11900,0
5,54570619,39058,0
5,51660982,28838,0
5,51448511,29418,0
5,53555952,37673,0
5,52073196,33334,0
5,59131939,39995,0
5,49293936,23674,0
5,54556918,39171,0
5,56265056,39691,0
5,54320259,38566,0
5,49106492,23500,0
5,58788053,40019,0
5,48782266,23678,0
5,50877757,29361,0
5,48285729,23233,0
5,48544993,23826,0
5,48284121,24005,0
5,48353951,25490,0
5,50570831,29904,0
5,48483070,24672,0
5,48524864,23680,0
5,49111493,24982,0
5,54161932,38923,0
5,52044511,35304,0
5,55121646,39530,0
5,52842493,36820,0
5,48923002,23674,0
5,48914026,24045,0
5,53733234,37778,0
5,46580889,18885,0
5,53903599,38617,0
5,48042049,25490,0
5,49233433,27938,0
5,48786867,24409,0
5,54962876,39459,0
5,48598762,25024,0
5,51583819,35672,0
5,55106907,39309,0
5,49430435,27610,0
5,48847417,23556,0
5,48776140,24589,0
5,48770211,24195,0
5,49003251,23330,0
5,52730854,34508,0
5,52677041,35376,0
5,49387947,23794,0
5,48925454,24150,0
5,53695959,38380,0
5,53391218,37909,0
5,55646394,39539,0
5,48316836,25948,0
5,49852954,28817,0
5,53625656,36516,0
5,52547345,38435,0
5,52914348,35272,0
5,48347942,23802,0
5,48400922,25992,0
5,49026926,23645,0
5,53852821,38020,0
5,52358992,37963,0
5,54848425,39102,0
5,49419200,24829,0
5,53491081,36739,0
5,48515157,23688,0
5,53163657,36416,0
5,48638215,23810,0
5,52502348,35111,0
5,53409031,36739,0
5,53301404,35976,0
5,53500834,37289,0
5,53890350,37989,0
5,48087288,25158,0
5,53185684,35852,0
5,53525473,37825,0
5,51753115,33358,0
5,49144591,27385,0
5,52881003,38934,0
5,52862285,35113,0
5,53894301,38784,0
5,49583483,32361,0
5,48630723,25805,0
5,47754827,24615,0
5,49385795,23572,0
5,53799548,37889,0
5,47462101,19609,0
5,44105082,7662,0
5,43834159,7718,0
5,48746814,24863,0
5,50968321,30741,0
5,48106590,24921,0
5,44715887,10162,0
5,49271677,23456,0
5,43518333,5009,0
5,44907811,10757,0
5,49556766,27264,0
5,51694361,30972,0
5,51806203,31559,0
