OMNIKDTREE,EUCLIDEAN,SELECTION,2,4490,360620
k,time,count,disk
5,53423198,38956,0
5,52419173,38163,0
5,56084877,39870,0
5,52526986,38874,0
5,60001976,40109,0
5,46948778,30228,0
5,53143511,39343,0
5,46171767,29244,0
5,54378888,39761,0
5,49954017,37596,0
5,44813537,25558,0
5,47046411,23935,0
5,49130953,37071,0
5,53180624,39580,0
5,45044097,25744,0
5,45563957,27253,0
5,46040844,27253,0
5,45296337,27576,0
5,44707207,25933,0
5,48863666,35061,0
5,45974932,26887,0
5,45469687,26937,0
5,50670093,38607,0
5,53459048,39516,0
5,46131598,28653,0
5,46707890,30404,0
5,45866028,28944,0
5,45728539,27865,0
5,53367896,39499,0
5,46937044,30862,0
5,45971605,28390,0
5,45238370,27254,0
5,45967273,28666,0
5,56228619,39931,0
5,45691861,26319,0
5,54880438,39737,0
5,45759059,26570,0
5,48758403,34770,0
5,50864822,38354,0
5,47809468,34786,0
5,46699434,29511,0
5,54378825,39708,0
5,49239771,35773,0
5,51139634,38481,0
5,46846668,29184,0
5,46769919,21824,0
5,47394859,22861,0
5,47533885,33012,0
5,48329322,34469,0
5,57275046,39982,0
5,45782949,27254,0
5,51085570,38441,0
5,46494900,30007,0
5,47076970,30805,0
5,47017471,23947,0
5,51028496,36979,0
5,49045733,35493,0
5,51294683,37976,0
5,43689267,16298,0
5,50272606,36684,0
5,48542944,33710,0
5,46236772,20405,0
5,42439675,14280,0
5,52931964,39157,0
5,47473961,22853,0
5,52368276,38507,0
5,50771469,37077,0
5,50834601,38234,0
5,51243716,37169,0
5,54069523,39431,0
5,48768941,34219,0
5,44293728,17112,0
5,47464145,23330,0
5,43833773,16074,0
5,46764567,22452,0
5,50274163,35704,0
5,52616126,38855,0
5,42471756,10785,0
5,45066986,17724,0
5,46456263,29511,0
5,45287446,19362,0
5,50679463,36290,0
5,49993665,35245,0
5,50628688,37229,0
5,49692803,36088,0
5,52657296,39222,0
5,50688299,37069,0
5,48922572,35660,0
5,45404798,17706,0
5,48633632,32953,0
5,52629300,38471,0
5,45207761,18602,0
5,47198460,22107,0
5,42627761,13802,0
5,43399746,15520,0
5,41224608,9556,0
5,41685982,10936,0
5,50808137,37364,0
5,48635604,33660,0
5,47804725,23863,0
5,45618747,18937,0
5,43452312,14866,0
5,45410684,24176,0
5,43955958,16201,0
5,47831721,30465,0
5,46004618,19107,0
5,45908013,19230,0
5,50431514,35992,0
5,51291674,37409,0
5,48067934,32340,0
5,45854703,25652,0
5,46989970,29806,0
5,47688950,22378,0
5,46547337,21855,0
5,50999447,38177,0
5,59308683,40107,0
5,56783529,39904,0
5,50390565,37548,0
5,50020993,35924,0
5,45500894,17922,0
5,47189212,28913,0
5,42949838,13099,0
5,53659427,39326,0
5,48529157,31891,0
5,49121744,32301,0
5,51855568,38214,0
5,50064941,35162,0
5,57964942,40023,0
5,46028480,25933,0
5,53388654,39409,0
5,55915513,39799,0
5,52757269,38945,0
5,45357416,24975,0
5,58509580,40049,0
5,45529695,25558,0
5,48358412,32169,0
5,45678714,25359,0
5,46426903,26570,0
5,46224304,26626,0
5,46428326,28944,0
5,48133710,32692,0
5,46503580,27875,0
5,46283108,26300,0
5,46817623,28417,0
5,53614667,39244,0
5,49886600,36512,0
5,55182579,39697,0
5,51514579,37521,0
5,45988947,25933,0
5,46360433,26937,0
5,51754265,38288,0
5,44965739,18572,0
5,52491175,38988,0
5,46755072,28944,0
5,47709169,31160,0
5,46329982,28022,0
5,54458439,39655,0
5,46939018,28431,0
5,50120694,36745,0
5,54395565,39517,0
5,48336429,30766,0
5,45570625,25585,0
5,46289993,28133,0
5,46293034,27563,0
5,45556301,24706,0
5,50778446,35917,0
5,50626836,36543,0
5,45748091,25915,0
5,46342234,26927,0
5,52990691,38814,0
5,52540382,38393,0
5,55249728,39701,0
5,47080381,29514,0
5,47988294,31896,0
5,51516120,37279,0
5,51785310,38857,0
5,51076411,36469,0
5,46183634,26264,0
5,47750307,29279,0
5,45198837,24951,0
5,52197691,38490,0
5,51055698,38454,0
5,53401353,39353,0
5,47459915,28152,0
5,51787762,37437,0
5,46426877,25633,0
5,51678372,37223,0
5,45727891,25578,0
5,50560171,36311,0
5,51519703,37445,0
5,51214160,36937,0
5,51821680,37896,0
5,52292546,38460,0
5,46543090,28666,0
5,51507502,36857,0
5,52582233,38328,0
5,50683627,35175,0
5,48411685,30568,0
5,51888743,39257,0
5,50653949,36327,0
5,53174635,39134,0
5,49132947,34504,0
5,46661870,29279,0
5,46189299,27977,0
5,48225321,23862,0
5,52947859,38367,0
5,40765232,8593,0
5,43867280,15477,0
5,45164191,16668,0
5,46656407,27465,0
5,48716014,33077,0
5,46991899,27451,0
5,45407645,17654,0
5,46030934,24824,0
5,44637240,15763,0
5,45655419,17821,0
5,48088142,30394,0
5,49326623,33409,0
5,49461864,33883,0
5,50888910,36718,0
5,46785176,21481,0
5,44640931,15053,0
5,42588583,12728,0
5,40498626,7745,0
5,44812440,16308,0
5,51977263,37668,0
5,46135816,18830,0
5,47089554,21738,0
5,40885148,8534,0
5,48939560,32200,0
5,52938366,38659,0
5,49712341,34533,0
5,41468391,7374,0
5,49705892,33420,0
5,46913287,20620,0
5,46187146,18841,0
5,50103350,34819,0
5,47934743,29680,0
5,46961460,21045,0
5,42893659,11897,0
5,47440208,21680,0
5,41209444,7913,0
5,51190585,37101,0
5,48493997,31674,0
5,43948110,14186,0
5,46490828,19867,0
5,47683326,21715,0
5,46170490,18566,0
5,50319677,34698,0
5,45497305,19080,0
5,49676237,35872,0
5,58544806,40104,0
5,48764171,34723,0
5,52968175,39240,0
5,43305496,15190,0
5,44613662,16972,0
5,46342648,26538,0
5,45586519,24251,0
5,53849671,39478,0
5,46317285,26008,0
5,59800242,40100,0
5,47989337,32320,0
5,49518385,33475,0
5,46257535,25979,0
5,47806844,23333,0
5,42240147,9244,0
5,46163354,19012,0
5,43575162,14657,0
5,46358517,25758,0
5,50123076,36324,0
5,48841194,33034,0
5,46369344,26046,0
5,44653046,16260,0
5,43656413,13784,0
5,51441613,39019,0
5,45861661,25910,0
5,48086695,30190,0
5,47255547,28952,0
5,49781039,34707,0
5,47779117,30800,0
5,50795917,38326,0
5,49304899,33181,0
5,50882397,37894,0
5,50778627,38166,0
5,45642820,17679,0
5,49779734,36391,0
5,50143615,37634,0
5,42046383,10444,0
5,45755593,24776,0
5,49805683,34166,0
5,50524738,38356,0
5,51478322,38411,0
5,46227792,26657,0
5,48105578,31226,0
5,48230962,22986,0
5,47160571,29434,0
5,45708614,18756,0
5,50494412,36579,0
5,41041345,8725,0
5,46580837,26753,0
5,51754295,38234,0
5,55021281,39718,0
5,47745540,22949,0
5,46176427,24506,0
5,48276409,23179,0
5,46953048,28012,0
5,44129023,14809,0
5,46495508,27370,0
5,45985091,24424,0
5,47906840,22869,0
5,46277369,19724,0
5,46055343,25997,0
5,46001477,25664,0
5,48042095,22478,0
5,45441926,24410,0
5,48372125,34080,0
5,46116616,26499,0
5,46452930,26787,0
5,47495198,31018,0
5,46421664,26422,0
5,48495459,33279,0
5,45855468,25649,0
5,46130772,26327,0
5,47194521,26242,0
5,47259533,30387,0
5,45945815,25651,0
5,46810371,26423,0
5,45791612,25661,0
5,47721098,30783,0
5,46223120,26662,0
5,48527304,31861,0
5,45616328,19242,0
5,53824450,39437,0
5,52370533,38999,0
5,51026116,37589,0
5,58716570,40047,0
5,46722589,27463,0
5,47783261,22665,0
5,52223650,38468,0
5,52095645,38255,0
5,53485371,39475,0
5,48887130,34020,0
5,49970219,35987,0
5,52138296,38405,0
5,45151852,17291,0
5,45900966,25202,0
5,41584889,10408,0
5,41718739,10819,0
5,46893551,29352,0
5,52123040,38655,0
5,49684702,35240,0
5,45645213,24914,0
5,46371031,23974,0
5,48084781,33088,0
5,46646908,28663,0
5,51363172,38726,0
5,45686193,17961,0
5,47760639,30294,0
5,46022703,25321,0
5,47966060,31784,0
5,47047884,21715,0
5,45449684,17953,0
5,46972280,30692,0
5,46275471,27667,0
5,46302444,26374,0
5,46969015,27283,0
5,46948194,29767,0
5,50283069,37808,0
5,44639299,15929,0
5,46232210,19837,0
5,41976631,11497,0
5,40844406,8067,0
5,49726650,35396,0
5,45262382,17973,0
5,48818766,34833,0
5,47349996,21561,0
5,47096847,28674,0
5,51161622,36411,0
5,45907604,24710,0
5,46227484,19978,0
5,47780318,22416,0
5,46484352,19902,0
5,44240973,15137,0
5,48543168,32311,0
5,50387667,35268,0
5,46202397,18698,0
5,46546167,19864,0
5,47871362,22513,0
5,48169113,23680,0
5,47413017,21740,0
5,46325257,20065,0
5,50102101,37185,0
5,43713410,14485,0
5,45409656,17727,0
5,48730692,32575,0
5,44437721,15782,0
5,47080049,29968,0
5,46162747,18704,0
5,45373359,17231,0
5,45592570,17967,0
5,47301784,30092,0
5,44121243,14295,0
5,42644618,11227,0
5,43378042,12896,0
5,47333468,21036,0
5,46092416,19081,0
5,42517906,11122,0
5,41735365,7210,0
5,40832645,8420,0
5,49805512,34259,0
5,49872171,35921,0
5,46813480,29097,0
5,49802321,36740,0
5,45585820,25401,0
5,50873250,37409,0
5,51522839,37858,0
5,57792736,39906,0
5,47664244,30496,0
5,53167446,39143,0
5,50927349,36976,0
5,41553860,10077,0
5,41496438,10077,0
5,44683078,16903,0
5,44746681,16136,0
5,43637378,14921,0
5,41683414,11295,0
5,48676519,23792,0
