OMNIKDTREE,EUCLIDEAN,SSS,2,4490,443717
k,time,count,disk
5,50876125,40656,0
5,51487893,40656,0
5,52710834,40656,0
5,49859869,40656,0
5,54963382,40656,0
5,51435661,40656,0
5,50262347,40656,0
5,51561205,40656,0
5,51511261,40656,0
5,50348208,40656,0
5,52281227,40656,0
5,51909069,40656,0
5,50382304,40656,0
5,51016122,40656,0
5,52206992,40656,0
5,52582357,40656,0
5,52001708,40656,0
5,52191180,40656,0
5,52396314,40656,0
5,50593193,40656,0
5,52224773,40656,0
5,52466452,40656,0
5,49672248,40656,0
5,50752125,40656,0
5,51492504,40656,0
5,51965980,40656,0
5,52225397,40656,0
5,52569209,40656,0
5,50718169,40656,0
5,52295862,40656,0
5,52516970,40656,0
5,52807817,40656,0
5,52387077,40656,0
5,54773491,40656,0
5,52903498,40656,0
5,52569798,40656,0
5,52374256,40656,0
5,50492016,40656,0
5,49382371,40656,0
5,50831282,40656,0
5,51168087,40656,0
5,53382472,40656,0
5,51329055,40656,0
5,49770017,40656,0
5,51041475,40656,0
5,51375616,40656,0
5,50818262,40656,0
5,49890240,40656,0
5,51202907,40656,0
5,53380918,40656,0
5,52707011,40656,0
5,50368055,40656,0
5,51512849,40656,0
5,51363192,40656,0
5,52953432,40656,0
5,49767693,40656,0
5,50358498,40656,0
5,49586132,40656,0
5,51189994,40656,0
5,50037797,40656,0
5,50518479,40656,0
5,52080177,40656,0
5,51416719,40656,0
5,50412416,40656,0
5,51987671,40656,0
5,50424025,40656,0
5,50561254,40656,0
5,50220196,40656,0
5,49833424,40656,0
5,50790142,40656,0
5,50629618,40656,0
5,51611171,40656,0
5,52810836,40656,0
5,51794473,40656,0
5,51479316,40656,0
5,50194805,40656,0
5,49697304,40656,0
5,49970407,40656,0
5,51036151,40656,0
5,50762555,40656,0
5,51461892,40656,0
5,50296203,40656,0
5,50717269,40656,0
5,50577748,40656,0
5,51315714,40656,0
5,51083604,40656,0
5,50344430,40656,0
5,50296973,40656,0
5,52172672,40656,0
5,49951559,40656,0
5,50250137,40656,0
5,51515407,40656,0
5,51674149,40656,0
5,51754876,40656,0
5,50115146,40656,0
5,50031903,40656,0
5,50440118,40656,0
5,50687467,40656,0
5,51549452,40656,0
5,53085147,40656,0
5,52421546,40656,0
5,52368059,40656,0
5,53322195,40656,0
5,52468183,40656,0
5,51829877,40656,0
5,52394928,40656,0
5,52810373,40656,0
5,51112181,40656,0
5,50267279,40656,0
5,50997191,40656,0
5,52563404,40656,0
5,51661843,40656,0
5,52554061,40656,0
5,52211852,40656,0
5,51336593,40656,0
5,55904307,40656,0
5,53932987,40656,0
5,49938691,40656,0
5,50456687,40656,0
5,51750921,40656,0
5,52341097,40656,0
5,52697781,40656,0
5,51395910,40656,0
5,51013067,40656,0
5,50853639,40656,0
5,50641723,40656,0
5,50639746,40656,0
5,53626256,40656,0
5,52925193,40656,0
5,51211366,40656,0
5,53030927,40656,0
5,50200426,40656,0
5,53228402,40656,0
5,54622805,40656,0
5,53038800,40656,0
5,50845884,40656,0
5,53130112,40656,0
5,52926984,40656,0
5,53292226,40656,0
5,52841316,40656,0
5,51635614,40656,0
5,53298716,40656,0
5,53579927,40656,0
5,53375747,40656,0
5,51338102,40656,0
5,52117807,40656,0
5,53755091,40656,0
5,50731718,40656,0
5,53463167,40656,0
5,53363418,40656,0
5,50573516,40656,0
5,52069166,40656,0
5,50843079,40656,0
5,52669747,40656,0
5,51410551,40656,0
5,53448334,40656,0
5,52019704,40656,0
5,52409343,40656,0
5,51050766,40656,0
5,51552841,40656,0
5,51341115,40656,0
5,52659085,40656,0
5,52438098,40656,0
5,52770092,40656,0
5,53044665,40656,0
5,50958313,40656,0
5,50742598,40656,0
5,53342137,40656,0
5,53618765,40656,0
5,50931889,40656,0
5,50987491,40656,0
5,52513378,40656,0
5,52701991,40656,0
5,50832418,40656,0
5,50190661,40656,0
5,51805790,40656,0
5,50568838,40656,0
5,53167333,40656,0
5,51954517,40656,0
5,53184066,40656,0
5,50170781,40656,0
5,51478159,40656,0
5,51272242,40656,0
5,52264387,40656,0
5,50602660,40656,0
5,53076840,40656,0
5,50828459,40656,0
5,53293571,40656,0
5,50433392,40656,0
5,50288698,40656,0
5,50369549,40656,0
5,50245970,40656,0
5,50809439,40656,0
5,52963255,40656,0
5,51097618,40656,0
5,50618371,40656,0
5,51087309,40656,0
5,51970473,40656,0
5,52674517,40656,0
5,51451393,40656,0
5,50768541,40656,0
5,51894332,40656,0
5,52783029,40656,0
5,53306590,40656,0
5,53516993,40656,0
5,50494347,40656,0
5,50984508,40656,0
5,52214961,40656,0
5,52086659,40656,0
5,51948962,40656,0
5,50447651,40656,0
5,52546139,40656,0
5,52087039,40656,0
5,52419844,40656,0
5,51778702,40656,0
5,52647341,40656,0
5,52201579,40656,0
5,51149286,40656,0
5,51385709,40656,0
5,50568642,40656,0
5,52318136,40656,0
5,51986392,40656,0
5,52130014,40656,0
5,51021290,40656,0
5,51960583,40656,0
5,50042007,40656,0
5,51940689,40656,0
5,52311644,40656,0
5,50693868,40656,0
5,51256366,40656,0
5,51016172,40656,0
5,51590011,40656,0
5,51928812,40656,0
5,50977151,40656,0
5,52413785,40656,0
5,52186108,40656,0
5,51272302,40656,0
5,52289697,40656,0
5,52599045,40656,0
5,52549157,40656,0
5,52450201,40656,0
5,51048987,40656,0
5,49837930,40656,0
5,50454254,40656,0
5,51431107,40656,0
5,52008224,40656,0
5,52260730,40656,0
5,52357120,40656,0
5,51540837,40656,0
5,52453432,40656,0
5,50677422,40656,0
5,55673211,40656,0
5,51327441,40656,0
5,51124468,40656,0
5,51534830,40656,0
5,52152952,40656,0
5,52956023,40656,0
5,53715397,40656,0
5,51738441,40656,0
5,53016755,40656,0
5,54979506,40656,0
5,52006974,40656,0
5,50805049,40656,0
5,52714601,40656,0
5,51850929,40656,0
5,51022491,40656,0
5,51710955,40656,0
5,52629079,40656,0
5,53424827,40656,0
5,51402503,40656,0
5,50897615,40656,0
5,53049711,40656,0
5,52039792,40656,0
5,52119931,40656,0
5,50981331,40656,0
5,52882518,40656,0
5,51693525,40656,0
5,52112220,40656,0
5,50762271,40656,0
5,51894469,40656,0
5,50224037,40656,0
5,50031638,40656,0
5,50026656,40656,0
5,50529976,40656,0
5,52236507,40656,0
5,51395685,40656,0
5,50705316,40656,0
5,50879604,40656,0
5,53459363,40656,0
5,51056116,40656,0
5,49876613,40656,0
5,51326910,40656,0
5,52649516,40656,0
5,51494956,40656,0
5,52635130,40656,0
5,52024208,40656,0
5,52120807,40656,0
5,51118107,40656,0
5,51411749,40656,0
5,52447839,40656,0
5,49905726,40656,0
5,53832229,40656,0
5,51998324,40656,0
5,53369204,40656,0
5,51829224,40656,0
5,52459589,40656,0
5,52599488,40656,0
5,52459130,40656,0
5,53098918,40656,0
5,52496220,40656,0
5,52454750,40656,0
5,53183892,40656,0
5,53253992,40656,0
5,52110688,40656,0
5,53646340,40656,0
5,51428647,40656,0
5,52702502,40656,0
5,53106976,40656,0
5,51627025,40656,0
5,52752450,40656,0
5,50718899,40656,0
5,53241406,40656,0
5,52831357,40656,0
5,52393449,40656,0
5,51456780,40656,0
5,53195255,40656,0
5,52541415,40656,0
5,53156844,40656,0
5,52160727,40656,0
5,52932617,40656,0
5,50612066,40656,0
5,52474055,40656,0
5,51503197,40656,0
5,51312948,40656,0
5,49934541,40656,0
5,54909552,40656,0
5,52206272,40656,0
5,52043466,40656,0
5,51049298,40656,0
5,51276860,40656,0
5,52442968,40656,0
5,51150373,40656,0
5,51229545,40656,0
5,51193817,40656,0
5,52478902,40656,0
5,53418755,40656,0
5,51777801,40656,0
5,51589914,40656,0
5,51887395,40656,0
5,50220043,40656,0
5,51002189,40656,0
5,53251224,40656,0
5,52839443,40656,0
5,50139207,40656,0
5,52136286,40656,0
5,51212018,40656,0
5,52311190,40656,0
5,51877489,40656,0
5,52816617,40656,0
5,50198012,40656,0
5,52077758,40656,0
5,52265739,40656,0
5,51981453,40656,0
5,52475390,40656,0
5,52940803,40656,0
5,52561040,40656,0
5,52694334,40656,0
5,51439073,40656,0
5,52669795,40656,0
5,52743382,40656,0
5,52072124,40656,0
5,51091268,40656,0
5,50575661,40656,0
5,51724405,40656,0
5,51837424,40656,0
5,51714317,40656,0
5,52312951,40656,0
5,50562808,40656,0
5,53296645,40656,0
5,52261026,40656,0
5,52454713,40656,0
5,52265324,40656,0
5,52166266,40656,0
5,50496039,40656,0
5,51231385,40656,0
5,52486873,40656,0
5,52596978,40656,0
5,52237924,40656,0
5,53786274,40656,0
5,52596132,40656,0
5,51949200,40656,0
5,50418882,40656,0
5,52069335,40656,0
5,52280377,40656,0
5,50534145,40656,0
5,52116619,40656,0
5,51990925,40656,0
5,52597344,40656,0
5,52588658,40656,0
5,52061698,40656,0
5,51619228,40656,0
5,51734710,40656,0
5,50395892,40656,0
5,51824482,40656,0
5,52169332,40656,0
5,52372980,40656,0
5,51362627,40656,0
5,51569768,40656,0
5,51693553,40656,0
5,52356010,40656,0
5,50924733,40656,0
5,52755404,40656,0
5,50638043,40656,0
5,53279503,40656,0
5,50259043,40656,0
5,50500388,40656,0
5,53032554,40656,0
5,52274108,40656,0
5,50865331,40656,0
5,51559477,40656,0
5,51847606,40656,0
5,51761765,40656,0
5,52744857,40656,0
5,52667365,40656,0
5,52685030,40656,0
5,51424386,40656,0
5,53819721,40656,0
5,53103735,40656,0
5,51531639,40656,0
5,52091467,40656,0
5,51321122,40656,0
5,52583044,40656,0
5,51578122,40656,0
5,52042843,40656,0
5,51305964,40656,0
5,50770600,40656,0
5,52195122,40656,0
5,50795517,40656,0
5,53075454,40656,0
5,50807439,40656,0
5,50903439,40656,0
5,55348825,40656,0
5,50320293,40656,0
5,52048047,40656,0
5,50348660,40656,0
5,52531798,40656,0
5,51088596,40656,0
5,51194521,40656,0
5,50996659,40656,0
5,52055232,40656,0
5,52336872,40656,0
5,50954664,40656,0
5,54548506,40656,0
5,51114758,40656,0
5,50702687,40656,0
5,50948441,40656,0
5,52213488,40656,0
5,50652628,40656,0
5,50124944,40656,0
5,50423879,40656,0
5,51062215,40656,0
5,53237339,40656,0
5,51152664,40656,0
5,50762615,40656,0
5,50659589,40656,0
5,52362486,40656,0
5,51564617,40656,0
5,50362775,40656,0
5,53562223,40656,0
5,53409891,40656,0
5,50813143,40656,0
5,50162006,40656,0
5,52037972,40656,0
5,51649355,40656,0
5,50413729,40656,0
5,50878879,40656,0
5,51246375,40656,0
5,51915277,40656,0
5,53849745,40656,0
5,52331221,40656,0
5,53548866,40656,0
5,52218866,40656,0
5,51755687,40656,0
5,53253862,40656,0
5,52788698,40656,0
5,53153516,40656,0
5,52873636,40656,0
5,50090299,40656,0
5,53769440,40656,0
5,52293078,40656,0
5,53750596,40656,0
5,53442314,40656,0
5,53288402,40656,0
5,53651017,40656,0
5,53250484,40656,0
5,52851171,40656,0
5,53814935,40656,0
5,53725099,40656,0
5,53878888,40656,0
5,51170117,40656,0
5,50988259,40656,0
5,50582679,40656,0
5,53205283,40656,0
5,53104043,40656,0
5,52739603,40656,0
5,53029406,40656,0
5,53195080,40656,0
5,52941385,40656,0
5,51565753,40656,0
5,55243283,40656,0
5,53257218,40656,0
5,53170413,40656,0
5,54816342,40656,0
5,51383008,40656,0
5,53191081,40656,0
5,53232507,40656,0
5,50624215,40656,0
5,50828122,40656,0
5,53172292,40656,0
5,53819248,40656,0
5,53806050,40656,0
5,53290424,40656,0
5,52589058,40656,0
5,53054476,40656,0
5,51730362,40656,0
5,52866518,40656,0
5,50346652,40656,0
5,53348514,40656,0
5,53662139,40656,0
5,54441811,40656,0
5,53150062,40656,0
5,53633535,40656,0
5,54566900,40656,0
5,52923740,40656,0
5,51700961,40656,0
5,51251476,40656,0
5,51271898,40656,0
5,50652652,40656,0
5,52115236,40656,0
5,51446797,40656,0
5,50871933,40656,0
5,51910875,40656,0
5,51025991,40656,0
5,51352425,40656,0
5,52217291,40656,0
5,51413768,40656,0
5,52697538,40656,0
5,51084119,40656,0
5,50739046,40656,0
5,50666907,40656,0
5,51225852,40656,0
5,52245333,40656,0
5,52726580,40656,0
5,52346432,40656,0
5,52075895,40656,0
5,51771717,40656,0
5,51658108,40656,0
5,52024339,40656,0
5,51815456,40656,0
5,51940934,40656,0
5,53283278,40656,0
5,52423559,40656,0
5,52104361,40656,0
5,51805585,40656,0
5,52312069,40656,0
5,53388486,40656,0
5,53765608,40656,0
5,53415920,40656,0
5,53673080,40656,0
5,53739201,40656,0
5,52885095,40656,0
5,53454564,40656,0
5,55262309,40656,0
5,52046719,40656,0
5,51106989,40656,0
5,51698923,40656,0
5,52763788,40656,0
5,54104927,40656,0
5,52712060,40656,0
5,53642277,40656,0
5,53964812,40656,0
5,53489102,40656,0
5,52451512,40656,0
5,53403562,40656,0
5,52193654,40656,0
5,52323112,40656,0
5,53381563,40656,0
5,53362591,40656,0
