OMNIKDTREE,EUCLIDEAN,GNAT,2,10950,81089
k,time,count,disk
5,3558265,4637,6
5,2007123,3094,4
5,758082,1549,2
5,1280893,2324,3
5,757565,1553,2
5,1453457,2323,3
5,831246,1549,2
5,905056,1549,2
5,1197332,2322,3
5,1730732,3095,4
5,3094740,4635,6
5,3170687,5410,7
5,2865111,4640,6
5,2701554,4637,6
5,2255435,3867,5
5,1581213,3096,4
5,5486957,8505,11
5,3215652,5415,7
5,3260737,5417,7
5,2058567,3094,4
5,3660053,5410,7
5,3916243,6183,8
5,3245836,4637,6
5,1887665,3092,4
5,2694937,3869,5
5,1495496,2323,3
5,1217469,2323,3
5,1201476,2323,3
5,923410,1549,2
5,801719,1551,2
5,1842992,3094,4
5,1277277,2323,3
5,856980,1549,2
5,3271784,4637,6
5,2023669,3098,4
5,1751708,3098,4
5,2195596,3868,5
5,1679316,3095,4
5,2091400,3868,5
5,2147373,3869,5
5,1228584,2322,3
5,1196916,2322,3
5,1203385,2322,3
5,2282386,3868,5
5,3256411,4637,6
5,8854155,12363,16
5,1497800,2326,3
5,2879509,4640,6
5,2757929,4638,6
5,2935575,4642,6
5,6016656,8502,11
5,5362042,7729,10
5,5347469,7728,10
5,2963203,4639,6
5,905280,1553,2
5,1205603,2329,3
5,1422204,2322,3
5,1197752,2322,3
5,3985750,6179,8
5,2158263,3092,4
5,1323452,2324,3
5,6477056,9272,12
5,3260115,4639,6
5,6249923,9281,12
5,7349377,10812,14
5,4979230,7727,10
5,3211285,4640,6
5,3208880,5411,7
5,2797338,4640,6
5,2151543,3092,4
5,1488218,2325,3
5,1459949,2325,3
5,1162339,2325,3
5,1318609,2324,3
5,1210930,2325,3
5,2331732,3868,5
5,1281928,2324,3
5,776963,1554,2
5,358930,778,1
5,3796949,5413,7
5,1914863,3098,4
5,3854681,6185,8
5,1351295,2325,3
5,1175979,2325,3
5,769321,1554,2
5,1067041,1550,2
5,1863824,3092,4
5,857710,1550,2
5,1487773,2323,3
5,1315492,2321,3
5,1507385,2325,3
5,3759864,5415,7
5,3790622,5413,7
5,3205033,4637,6
5,4324172,6178,8
5,3229496,4641,6
5,2144528,3096,4
5,2833067,4639,6
5,1752052,3092,4
5,1415706,2324,3
5,2781993,4640,6
5,1297928,2324,3
5,2841504,4637,6
5,2722085,3868,5
5,4846499,6956,9
5,2884157,4640,6
5,5304917,7726,10
5,6532408,9273,12
5,3690211,5410,7
5,1299804,2322,3
5,2685842,4642,6
5,2171266,3095,4
5,3870024,6183,8
5,5683856,8502,11
5,4928601,7730,10
5,2387123,3869,5
5,2894197,4640,6
5,3862201,6181,8
5,3150464,5410,7
5,2141255,3097,4
5,974127,1549,2
5,5785416,8502,11
5,4880168,6954,9
5,1622614,2325,3
5,5408934,7725,10
5,3289921,4637,6
5,5131018,7730,10
5,5058909,7733,10
5,8004652,11587,15
5,1083250,1551,2
5,1454175,2325,3
5,1598139,2322,3
5,1961018,3095,4
5,796279,1551,2
5,2656428,4637,6
5,3366137,5413,7
5,4337514,6185,8
5,4806376,6955,9
5,1049673,1551,2
5,1755998,3095,4
5,3615883,6184,8
5,1053943,1553,2
5,2553062,3867,5
5,3230464,4640,6
5,870342,1549,2
5,931854,1551,2
5,884889,1553,2
5,1733780,3094,4
5,806312,1553,2
5,1231146,2323,3
5,3241223,4645,6
5,5150304,7726,10
5,8173147,12357,16
5,6168048,9275,12
5,3805949,5412,7
5,9194977,13132,17
5,2405198,3873,5
5,4757747,7729,10
5,2699497,4636,6
5,2344268,3873,5
5,1723241,3095,4
5,3179259,5414,7
5,3708055,6189,8
5,2843796,4637,6
5,2764477,4645,6
5,2613049,4643,6
5,2310008,3870,5
5,4007342,6184,8
5,1590788,2321,3
5,3460979,5412,7
5,3975358,6178,8
5,891106,1549,2
5,358513,778,1
5,1705985,3094,4
5,1613610,2322,3
5,1480574,2323,3
5,1754662,3092,4
5,1229140,2323,3
5,1183522,2323,3
5,763831,1549,2
5,1169853,2323,3
5,1793770,3096,4
5,4288985,6184,8
5,1597220,2325,3
5,3009763,4638,6
5,4096548,6185,8
5,4217949,6955,9
5,4852646,7731,10
5,3403597,5412,7
5,3572140,6183,8
5,5348645,7727,10
5,2313025,3864,5
5,2596478,3870,5
5,754281,1551,2
5,1360968,2323,3
5,1171361,2323,3
5,772269,1552,2
5,764704,1552,2
5,800714,1549,2
5,763134,1549,2
5,1173784,2323,3
5,791242,1549,2
5,760591,1549,2
5,1180115,2323,3
5,3085199,4639,6
5,2466446,4639,6
5,3000168,4640,6
5,2903514,4637,6
5,2615497,3870,5
5,1606205,2321,3
5,366357,778,1
5,2120635,3094,4
5,3422208,5415,7
5,1558066,2322,3
5,974259,1549,2
5,873157,1549,2
5,2602110,3867,5
5,4144834,6182,8
5,3895595,6183,8
5,3350522,5410,7
5,2140438,3867,5
5,1053368,1551,2
5,754949,1551,2
5,1765233,3092,4
5,775313,1549,2
5,2140716,3096,4
5,2657603,3870,5
5,3762275,6178,8
5,2283560,3867,5
5,1804744,3093,4
5,3550473,5413,7
5,2890989,5413,7
5,4315930,5413,7
5,2376928,3865,5
5,1577483,3091,4
5,507447,778,1
5,811153,1549,2
5,770333,1549,2
5,757801,1549,2
5,1624964,2321,3
5,5051971,7728,10
5,4815982,6958,9
5,2643151,3871,5
5,2627931,4640,6
5,3731215,5415,7
5,2044693,3097,4
5,774670,1553,2
5,3579906,5414,7
5,2429348,3869,5
5,2720536,4640,6
5,979447,1549,2
5,751589,1549,2
5,1817439,3094,4
5,2868019,4638,6
5,1733077,3094,4
5,1192828,2324,3
5,1562343,2320,3
5,1468551,2323,3
5,1390869,2324,3
5,1584251,2323,3
5,1453224,2323,3
5,925000,1550,2
5,6302249,9271,12
5,1802379,3096,4
5,1772049,3095,4
5,3350301,5410,7
5,2138854,3868,5
5,1983640,3868,5
5,1977649,3868,5
5,1957482,3868,5
5,1539303,2325,3
5,1166623,2325,3
5,1638757,3092,4
5,3209067,4640,6
5,1783441,3097,4
5,1452669,2323,3
5,1160162,2323,3
5,1590547,3095,4
5,353649,778,1
5,1454283,2321,3
5,1209794,2323,3
5,2159396,3097,4
5,1166879,2325,3
5,2123809,3092,4
5,2772111,4639,6
5,3735010,5413,7
5,7338902,10815,14
5,6972004,10048,13
5,13929345,20082,26
5,1954568,3095,4
5,3910360,6182,8
5,5349471,7732,10
5,3326754,5413,7
5,1386244,2324,3
5,1379178,2322,3
5,2799233,4640,6
5,1871485,3098,4
5,1549011,3098,4
5,2203876,3869,5
5,2019298,3869,5
5,2990896,5416,7
5,2048318,3869,5
5,1981712,3867,5
5,1998895,3869,5
5,1959945,3869,5
5,1071975,1549,2
5,917289,1551,2
5,1704842,3094,4
5,1831907,3096,4
5,1545998,3096,4
5,1567672,3098,4
5,766137,1549,2
5,1154223,2322,3
5,1318801,2323,3
5,1250728,2323,3
5,772393,1551,2
5,769345,1549,2
5,758683,1549,2
5,1152534,2323,3
5,1622159,2323,3
5,2267559,3867,5
5,1152853,2321,3
5,2266106,3867,5
5,1976163,3867,5
5,1161030,2323,3
5,1549533,3096,4
5,2664174,3865,5
5,8215786,12363,16
5,2886499,4640,6
5,3895952,6179,8
5,4283940,6187,8
5,4763733,6958,9
5,5430952,9271,12
5,5188371,7726,10
5,3835276,6182,8
5,1974428,3868,5
5,1277289,2322,3
5,2942897,4636,6
5,3013314,5411,7
5,1653958,3097,4
5,2154702,3868,5
5,2930222,5413,7
5,1582228,3094,4
5,2722035,4637,6
5,2651343,4637,6
5,8332633,12364,16
5,6028582,9271,12
5,2727327,4637,6
5,2187419,3869,5
5,1729761,3094,4
5,1965193,3869,5
5,1547659,3092,4
5,2844063,5410,7
5,768280,1550,2
5,1159973,2323,3
5,1649721,3098,4
5,1545719,3098,4
5,1785371,3095,4
5,1648001,3095,4
5,2084659,3096,4
5,1961247,3091,4
5,3091969,5408,7
5,767619,1552,2
5,1172119,2323,3
5,759626,1552,2
5,355435,778,1
5,787984,1548,2
5,759973,1552,2
5,393732,778,1
5,910128,1553,2
5,1606488,3096,4
5,1040913,1549,2
5,916177,1549,2
5,759339,1549,2
5,1194247,2325,3
5,759874,1549,2
5,767876,1549,2
5,784656,1549,2
5,974735,1549,2
5,771625,1549,2
5,850553,1553,2
5,838135,1549,2
5,781997,1549,2
5,1119910,1553,2
5,1332065,2325,3
5,773936,1553,2
5,1724487,3096,4
5,1369212,2324,3
5,4413408,6183,8
5,4799879,6957,9
5,2033994,3094,4
5,3213696,4637,6
5,2703332,4640,6
5,1037319,1549,2
5,758631,1549,2
5,758295,1549,2
5,765310,1549,2
5,358188,778,1
5,376544,778,1
5,1480837,2321,3
5,1698290,3096,4
5,1168072,2322,3
5,357853,778,1
5,788532,1551,2
5,761737,1551,2
5,769658,1549,2
5,4421837,6962,9
5,365774,778,1
5,2048114,3870,5
5,4216295,6184,8
5,1301744,2326,3
5,358759,778,1
5,4816461,6955,9
5,2857856,4640,6
5,4790630,6959,9
5,1445167,2324,3
5,2682265,4641,6
5,3074639,4640,6
5,3797077,5417,7
5,3553195,6188,8
5,1052218,1549,2
5,357392,778,1
5,782382,1549,2
5,358561,778,1
5,376690,778,1
5,779561,1549,2
5,769983,1549,2
5,359208,778,1
5,376710,778,1
5,376129,778,1
5,5985942,8502,11
5,1407006,2321,3
5,2956731,4637,6
5,1040756,1549,2
5,2029262,3865,5
5,4576546,7728,10
5,888394,1551,2
5,1199955,2322,3
5,3227335,4640,6
5,2253516,3865,5
5,1230806,2322,3
5,2915816,4642,6
5,5301280,7727,10
5,2956400,4640,6
5,1684910,3097,4
5,2619585,4639,6
5,2613095,3865,5
5,2815041,4637,6
5,2668295,3872,5
5,3196719,4637,6
5,3229067,4637,6
5,922651,1551,2
5,2823091,4639,6
5,2359042,3869,5
5,1071875,1549,2
5,914015,1553,2
5,784845,1549,2
5,2543395,3868,5
5,4387749,6956,9
5,1327468,2327,3
5,1180937,2327,3
5,784724,1553,2
5,776658,1553,2
5,1189197,2327,3
5,1337139,2325,3
5,809489,1553,2
5,1607744,2325,3
5,1732778,3098,4
5,1211982,2325,3
5,2176340,3097,4
5,2097203,3092,4
5,1284336,2325,3
5,3090769,5412,7
5,2380580,3867,5
5,2221377,3869,5
5,1747244,3098,4
5,2050741,3094,4
5,3015028,5414,7
5,2630835,4643,6
5,1286533,2323,3
5,1700445,3094,4
5,1733841,3098,4
5,2471090,4643,6
5,2108210,3869,5
5,3197553,5415,7
5,525587,778,1
5,382911,778,1
5,382051,778,1
5,377815,778,1
5,379593,778,1
5,3444759,5413,7
5,3314434,5412,7
5,837670,1548,2
5,782218,1548,2
5,855394,1554,2
5,1186597,2325,3
5,1324398,2322,3
5,1216106,2321,3
5,3885266,5413,7
5,5761254,8499,11
5,5017997,6961,9
5,1435311,2326,3
5,1485428,2321,3
5,2744178,3866,5
5,2526438,3867,5
5,1948768,3092,4
5,2825644,4640,6
5,2743828,3867,5
5,5275881,7731,10
5,5163046,7725,10
5,4459157,6188,8
5,5441159,7730,10
5,6142123,8501,11
5,1051918,1549,2
5,796941,1549,2
5,1350119,2322,3
5,1367105,2323,3
5,2305182,3866,5
5,2090917,3099,4
5,1690995,3099,4
5,3746835,6186,8
5,7355058,10816,14
5,3109445,4643,6
5,1347867,2323,3
5,1763537,3099,4
5,1708910,3099,4
5,853553,1548,2
5,801051,1548,2
5,1800452,3095,4
5,1711296,3099,4
5,2164133,3870,5
5,1092250,1549,2
5,2490924,3869,5
5,1961223,3101,4
5,5214264,7734,10
5,1980529,3101,4
5,1771778,3101,4
5,1295466,2324,3
5,7889257,10816,14
5,2246389,3092,4
5,1704640,3092,4
5,1959138,3094,4
5,1536144,2321,3
5,397945,778,1
5,386319,778,1
5,988344,1549,2
5,1443305,2323,3
5,1296102,2323,3
5,1112354,1549,2
5,4578335,6183,8
5,1615457,2322,3
5,3291900,4643,6
5,2793955,3864,5
5,2137378,3091,4
5,893584,1549,2
5,940892,1551,2
5,809160,1549,2
5,816015,1549,2
5,1419759,2322,3
5,3407534,4642,6
5,3937489,5411,7
5,1889414,3094,4
5,5911467,8502,11
5,4551138,6185,8
5,3349896,4642,6
5,3603895,5411,7
5,2864189,4640,6
5,3106468,4637,6
5,1399230,2322,3
5,1293276,2322,3
5,1852800,3095,4
5,1736155,3095,4
5,1664604,2322,3
5,860586,1549,2
5,827479,1549,2
5,1984645,3092,4
5,1380245,2322,3
5,844604,1549,2
5,817673,1549,2
5,2244772,3096,4
5,2375044,3866,5
5,3475889,5417,7
5,2386909,3866,5
5,1349547,2322,3
5,1770973,3096,4
5,1890655,3094,4
5,1501944,2321,3
5,950485,1549,2
5,1297530,2322,3
