OMNIKDTREE,EUCLIDEAN,KMEDOIDS,2,10950,2089
k,time,count,disk
5,2351751,3094,4
5,1057683,1548,2
5,1498804,3091,4
5,1570400,3094,4
5,751444,1549,2
5,1586692,2323,3
5,877202,1548,2
5,1641027,3093,4
5,742496,1548,2
5,865671,1549,2
5,7049729,10049,13
5,4918513,7728,10
5,6807057,10047,13
5,2574945,3871,5
5,2585328,3871,5
5,1019699,1549,2
5,4683641,6956,9
5,4690097,6956,9
5,4072225,6182,8
5,4138671,6186,8
5,4689017,6954,9
5,4810592,7726,10
5,3098613,4639,6
5,2300216,3866,5
5,3632076,5414,7
5,1391680,2325,3
5,1114635,2325,3
5,747176,1552,2
5,850513,1549,2
5,1612183,3094,4
5,1482825,3094,4
5,1495212,3094,4
5,1187285,2325,3
5,4322510,6181,8
5,1929578,3096,4
5,345165,778,1
5,1221679,2322,3
5,343153,778,1
5,1149676,2322,3
5,2120427,3867,5
5,1643316,3091,4
5,1517549,3091,4
5,1107145,2320,3
5,1598444,3096,4
5,4755200,6954,9
5,7963917,11586,15
5,798132,1549,2
5,2320528,3868,5
5,2203613,3868,5
5,2496442,4640,6
5,5186151,7725,10
5,5676131,9271,12
5,5456348,8504,11
5,2064733,3868,5
5,735240,1549,2
5,727995,1549,2
5,1651495,3092,4
5,1476929,3092,4
5,5153376,8496,11
5,3113692,4638,6
5,3130522,5409,7
5,7955359,11594,15
5,5292412,7726,10
5,5788385,8500,11
5,6382470,10045,13
5,4242463,6956,9
5,3130769,4635,6
5,3404418,6178,8
5,4702973,7727,10
5,2654356,3868,5
5,2435424,3865,5
5,1658526,3094,4
5,2040441,3869,5
5,746176,1553,2
5,2028520,3867,5
5,2066540,3869,5
5,1120712,2324,3
5,735236,1549,2
5,742459,1553,2
5,4979897,7729,10
5,2468708,3869,5
5,3893855,6185,8
5,1871856,3094,4
5,1207663,2326,3
5,741193,1549,2
5,1017482,1549,2
5,2305623,3865,5
5,745453,1549,2
5,1803547,3096,4
5,2177531,3865,5
5,2745189,4640,6
5,3157582,4643,6
5,3996144,6185,8
5,5214779,7730,10
5,4208508,6184,8
5,3043934,4638,6
5,3096116,4635,6
5,2612977,4636,6
5,1551011,3091,4
5,1912558,3099,4
5,4130071,6956,9
5,1639935,3099,4
5,2445182,3865,5
5,2691762,3866,5
5,7285505,10815,14
5,1942686,3098,4
5,3608851,5419,7
5,6719165,10041,13
5,2981094,4640,6
5,746677,1549,2
5,1947002,3869,5
5,2638839,3865,5
5,4622983,7730,10
5,4997442,7730,10
5,5961847,9266,12
5,2225112,3870,5
5,1921216,3870,5
5,3117628,5412,7
5,1571565,3091,4
5,2129232,3095,4
5,2216865,3866,5
5,7440724,10815,14
5,4213139,6178,8
5,2802867,5407,7
5,3686315,5413,7
5,2086764,3092,4
5,3400091,5411,7
5,4177630,6182,8
5,7923987,11587,15
5,2092117,3094,4
5,2768841,4640,6
5,3732372,5411,7
5,2891437,4638,6
5,758600,1549,2
5,2826368,4640,6
5,4005416,6181,8
5,4207561,6178,8
5,6084309,9267,12
5,1013765,1549,2
5,3412125,5412,7
5,3884423,6181,8
5,1038361,1549,2
5,2332725,3865,5
5,3306129,5412,7
5,868445,1549,2
5,1432917,2322,3
5,752372,1549,2
5,1659284,3094,4
5,754329,1549,2
5,1154287,2322,3
5,3732133,5413,7
5,3372600,5416,7
5,4258158,6957,9
5,3395201,6188,8
5,1909107,3091,4
5,9351601,13907,18
5,939104,1549,2
5,2334420,3872,5
5,2070165,3874,5
5,1701546,3095,4
5,1588625,3102,4
5,1598309,3100,4
5,3289538,5413,7
5,2175753,3874,5
5,1151061,2329,3
5,2666491,3866,5
5,2986442,4637,6
5,3300318,5410,7
5,3175332,4637,6
5,2776538,4639,6
5,4415578,6958,9
5,1859590,3096,4
5,1314635,2324,3
5,3408680,5415,7
5,3173888,4642,6
5,2214823,3865,5
5,2106857,3871,5
5,2864811,4642,6
5,846733,1551,2
5,754016,1551,2
5,877718,1549,2
5,1152872,2322,3
5,4877019,6954,9
5,2641806,3872,5
5,4065031,6181,8
5,2460659,3875,5
5,5197531,8504,11
5,6106875,10047,13
5,3700713,6182,8
5,3250583,5410,7
5,5369746,7727,10
5,3509124,5414,7
5,4300411,6185,8
5,1041554,1550,2
5,1782107,3095,4
5,1552604,3095,4
5,1317332,2327,3
5,1614564,3095,4
5,363751,778,1
5,376745,778,1
5,376724,778,1
5,376137,778,1
5,375305,778,1
5,797611,1549,2
5,6589936,9268,12
5,5838007,9268,12
5,2660257,3868,5
5,4861169,7731,10
5,4250676,6186,8
5,1601212,2321,3
5,795377,1549,2
5,3173698,4638,6
5,1859772,3096,4
5,4296261,6191,8
5,1036361,1550,2
5,883600,1549,2
5,3122183,4640,6
5,3676092,5410,7
5,2581518,3866,5
5,2469048,3864,5
5,2319513,3870,5
5,2120315,3094,4
5,1543969,3094,4
5,1907399,3094,4
5,787028,1549,2
5,4307748,6189,8
5,3720402,5410,7
5,4502998,6956,9
5,3435141,5411,7
5,3172220,4636,6
5,5121699,7724,10
5,4342169,7724,10
5,3787183,5414,7
5,2108950,3869,5
5,2113284,3869,5
5,1620495,2322,3
5,2314351,3869,5
5,1558201,3092,4
5,1591030,3098,4
5,2705955,3868,5
5,4862463,7731,10
5,4292389,6186,8
5,2604011,3871,5
5,2525049,4644,6
5,2101764,3095,4
5,2091136,3098,4
5,2101350,3868,5
5,2483471,3873,5
5,4057511,6180,8
5,2930551,4644,6
5,1054284,1551,2
5,356299,777,1
5,1463603,2320,3
5,1966219,3094,4
5,816973,1549,2
5,1561012,3091,4
5,2680745,3867,5
5,1782404,3094,4
5,819676,1549,2
5,2121831,3094,4
5,759834,1549,2
5,2255711,3867,5
5,4709485,6958,9
5,2884227,4639,6
5,3040707,4637,6
5,2290470,3865,5
5,1839716,3094,4
