OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,2,10950,256598
k,time,count,disk
5,2389331,3092,4
5,1947227,3100,4
5,912487,1549,2
5,903071,1551,2
5,360502,778,1
5,1984099,3095,4
5,1735784,3092,4
5,1396253,2325,3
5,1684000,3092,4
5,1208640,2321,3
5,6066950,8502,11
5,5293128,7733,10
5,5244503,7725,10
5,1982910,3101,4
5,1428749,2322,3
5,1571198,2324,3
5,5777022,8501,11
5,4765145,6955,9
5,4859071,6954,9
5,2107767,3092,4
5,6508027,9274,12
5,4103008,6192,8
5,3163165,4638,6
5,1920875,3091,4
5,4254402,6182,8
5,1529031,2321,3
5,1704525,3095,4
5,1229917,2321,3
5,1861835,3094,4
5,1285214,2321,3
5,1761496,3094,4
5,1609707,3094,4
5,2203149,3866,5
5,4878018,6957,9
5,1913819,3098,4
5,782537,1551,2
5,769205,1551,2
5,359890,778,1
5,1303685,2322,3
5,1688635,3098,4
5,1932827,3094,4
5,2238197,3871,5
5,1663566,3094,4
5,906314,1551,2
5,3716964,5410,7
5,8206266,11588,15
5,991343,1552,2
5,2750504,4639,6
5,2846873,4639,6
5,2582160,4639,6
5,6530599,9277,12
5,4228247,6182,8
5,5908249,8504,11
5,2894223,4641,6
5,886061,1551,2
5,362394,778,1
5,2023728,3097,4
5,1622915,3097,4
5,4996530,7731,10
5,3763138,5411,7
5,1512381,2325,3
5,11565935,16222,21
5,3736896,5416,7
5,6510475,9271,12
5,7221314,10818,14
5,5587560,8503,11
5,4289355,6182,8
5,3715928,6182,8
5,2878767,4645,6
5,2108054,3092,4
5,1982783,3098,4
5,2199353,3867,5
5,1255992,2325,3
5,774621,1553,2
5,1642854,3092,4
5,1629341,3092,4
5,1248975,2325,3
5,1197063,2325,3
5,353113,778,1
5,4927011,6956,9
5,1539863,2321,3
5,2209554,3866,5
5,790291,1549,2
5,1213199,2323,3
5,781879,1549,2
5,2116333,3099,4
5,2159499,3870,5
5,1679166,3099,4
5,2307256,3870,5
5,2556124,3870,5
5,504193,778,1
5,4882942,6960,9
5,3767745,5414,7
5,3697062,5411,7
5,5978619,8496,11
5,4232156,6189,8
5,2670782,3872,5
5,2608970,4643,6
5,1710269,3101,4
5,3139520,4637,6
5,3904358,6184,8
5,2635902,4641,6
5,3447223,5414,7
5,2111059,3094,4
5,4790431,6962,9
5,1836377,3095,4
5,3914683,6188,8
5,4155721,6184,8
5,2783998,4637,6
5,841525,1551,2
5,1186021,2322,3
5,2142919,3097,4
5,4575164,6958,9
5,5481873,8502,11
5,4191003,6958,9
5,3362252,5415,7
5,3721937,6188,8
5,3784546,6188,8
5,1790906,3092,4
5,3781928,5415,7
5,3436138,5415,7
5,8100408,11591,15
5,5997324,8501,11
5,2686645,3865,5
5,5359828,7726,10
5,3198315,4640,6
5,4464804,6959,9
5,5216520,8506,11
5,8034012,11589,15
5,1050077,1549,2
5,1975096,3095,4
5,2021364,3095,4
5,1739087,3098,4
5,779586,1549,2
5,1805119,3095,4
5,2814713,4638,6
5,4864020,6956,9
5,4612990,6955,9
5,1028102,1549,2
5,2545769,3868,5
5,3600033,6186,8
5,1567629,2323,3
5,1756637,3092,4
5,5971405,8501,11
5,911360,1550,2
5,1053246,1549,2
5,1847839,3095,4
5,1305833,2325,3
5,1245554,2323,3
5,866094,1549,2
5,4293340,6186,8
5,4895767,7733,10
5,6299481,10047,13
5,7835971,11591,15
5,2669547,3865,5
5,9272603,13902,18
5,1447172,2327,3
5,3336433,5413,7
5,4589587,7734,10
5,2334278,3870,5
5,1736102,3098,4
5,3141844,5413,7
5,4424203,6960,9
5,3160778,5415,7
5,1867350,3098,4
5,3467869,5413,7
5,2974446,4637,6
5,4996293,7731,10
5,2117303,3096,4
5,2822415,4639,6
5,3809700,6186,8
5,2271078,3868,5
5,787787,1550,2
5,2591683,4638,6
5,1073262,1550,2
5,907367,1554,2
5,1852445,3095,4
5,1854661,3092,4
5,394529,778,1
5,781966,1550,2
5,759478,1550,2
5,1360675,2326,3
5,4772759,6186,8
5,3778887,5414,7
5,3096339,4637,6
5,3177804,4643,6
5,3555314,6183,8
5,4156082,6962,9
5,2667724,4641,6
5,2421713,4641,6
5,1575045,2322,3
5,3888389,6193,8
5,3692978,5413,7
5,393536,778,1
5,372398,778,1
5,373374,778,1
5,378378,778,1
5,803489,1553,2
5,375736,778,1
5,371888,778,1
5,759148,1553,2
5,375602,778,1
5,372165,778,1
5,372879,778,1
5,3622209,5419,7
5,2942281,5419,7
5,3666572,6187,8
5,2369557,3866,5
5,2046015,3092,4
5,1047617,1549,2
5,762915,1549,2
5,2646166,3870,5
5,1981624,3095,4
5,3103114,4648,6
5,489658,778,1
5,373768,778,1
5,3146865,4638,6
5,4127398,6183,8
5,3137623,4639,6
5,2479683,3868,5
5,2173304,3867,5
5,1364692,2321,3
5,1171162,2321,3
5,1668090,3096,4
5,1986113,3866,5
5,2084934,3093,4
5,4033467,6184,8
5,2845264,4637,6
5,1635357,3094,4
5,3047420,4648,6
5,3283766,5416,7
5,4460365,7733,10
5,2114451,3096,4
5,1474245,2323,3
5,1184857,2323,3
5,1314677,2322,3
5,769164,1551,2
5,760909,1551,2
5,766077,1551,2
5,1072316,1552,2
5,2966100,4636,6
5,3246816,4637,6
5,1983607,3092,4
5,1144985,2321,3
5,3151877,4642,6
5,1430906,2325,3
5,1170941,2325,3
5,2963552,4637,6
5,2918212,4642,6
5,1743046,3092,4
5,1129104,1549,2
5,757779,1549,2
5,2454968,3868,5
5,2770486,4637,6
5,3274227,5413,7
5,2039104,3870,5
5,2103944,3091,4
5,2183522,3867,5
5,2310018,3870,5
5,1583459,2321,3
5,764790,1549,2
5,755901,1549,2
5,5294372,7729,10
5,2330389,3866,5
5,2442263,3864,5
5,3680679,6181,8
5,800851,1549,2
5,1605501,3094,4
5,1624428,3094,4
5,1581868,3094,4
5,2688372,4643,6
5,1972033,3868,5
5,1180430,2321,3
5,6878789,10040,13
5,4290686,6956,9
5,1828439,3094,4
5,2086468,3864,5
5,1954825,3864,5
5,812263,1550,2
5,386377,778,1
5,1554628,3094,4
5,2079353,3096,4
5,2692618,4640,6
5,2505995,3870,5
5,4081412,6961,9
5,3219078,5411,7
5,5345183,7725,10
5,5728695,8501,11
5,15446030,21618,28
5,3629571,5413,7
5,5424425,8504,11
5,4691259,6963,9
5,5502812,9268,12
5,1928385,3092,4
5,2014112,3097,4
5,2588189,4641,6
5,1359064,2324,3
5,1162060,2324,3
5,1728816,3092,4
5,1547756,3092,4
5,1579113,3092,4
5,1555484,3092,4
5,1572792,3092,4
5,2603320,4637,6
5,2397804,4637,6
5,526153,778,1
5,387675,778,1
5,376309,778,1
5,908530,1550,2
5,763308,1550,2
5,378168,778,1
5,375374,778,1
5,375431,778,1
5,769515,1550,2
5,763876,1550,2
5,1304803,2321,3
