OMNIKDTREE,EUCLIDEAN,PCA,2,10950,484813
k,time,count,disk
5,2381558,3098,4
5,1457118,2324,3
5,1030276,1551,2
5,1415135,2320,3
5,727897,1548,2
5,1555055,2325,3
5,860015,1549,2
5,2770540,4638,6
5,1785887,3096,4
5,865198,1553,2
5,5903726,8499,11
5,6531309,10044,13
5,8435732,12363,16
5,2034333,3095,4
5,2022205,3097,4
5,1372091,2327,3
5,5490327,8503,11
5,3003157,4637,6
5,4029027,6183,8
5,6274102,9275,12
5,4154975,6179,8
5,6019990,10044,13
5,1026003,1549,2
5,1561080,2324,3
5,2047983,3095,4
5,385706,778,1
5,784630,1549,2
5,724351,1549,2
5,726540,1549,2
5,725634,1549,2
5,1718517,3092,4
5,733290,1549,2
5,339878,778,1
5,5339116,7725,10
5,3033970,4638,6
5,1508622,3092,4
5,1959862,3865,5
5,1503354,3094,4
5,1912577,3865,5
5,3567639,6181,8
5,2697289,4637,6
5,2352313,4637,6
5,1534464,3092,4
5,2685915,4639,6
5,2598326,3870,5
5,7862453,11585,15
5,1870340,3092,4
5,2600169,4639,6
5,2575571,4639,6
5,2353439,4639,6
5,4097884,6181,8
5,6100234,10043,13
5,7764918,11585,15
5,3656916,6185,8
5,1639945,3091,4
5,1101214,2320,3
5,2769479,4639,6
5,1514454,3095,4
5,4795194,8500,11
5,3120200,4636,6
5,3276664,5412,7
5,8404745,12357,16
5,4635079,6954,9
5,6583771,10044,13
5,7343031,11585,15
5,6283555,10040,13
5,4746564,6955,9
5,4958403,8499,11
5,5715646,10042,13
5,2569603,3871,5
5,2027055,3091,4
5,1675521,3095,4
5,1507651,3095,4
5,1771676,3092,4
5,1531773,3095,4
5,2167162,3866,5
5,756478,1549,2
5,732659,1549,2
5,1326880,2323,3
5,2597630,3867,5
5,2225497,3866,5
5,2078892,3865,5
5,1154480,2323,3
5,1127647,2323,3
5,1111291,2323,3
5,1049319,1553,2
5,1257457,2324,3
5,731534,1549,2
5,1665591,3098,4
5,2593594,4641,6
5,836962,1551,2
5,5841080,8498,11
5,4595247,6957,9
5,6796974,10042,13
5,4661399,6955,9
5,3596762,5409,7
5,2561289,3866,5
5,2958504,5413,7
5,2372795,4642,6
5,2907551,4635,6
5,4351260,7727,10
5,2461966,4635,6
5,2944158,4639,6
5,2022881,3093,4
5,6865790,10046,13
5,3366967,5412,7
5,6327692,9269,12
5,7923560,11585,15
5,4098981,6183,8
5,1214927,2326,3
5,2998633,5414,7
5,3140186,4638,6
5,5773490,9274,12
5,5989937,9270,12
5,5785684,10043,13
5,3604869,6183,8
5,4230399,7725,10
5,3963758,7725,10
5,2318403,4637,6
5,2088068,3096,4
5,1422090,2325,3
5,4611382,6956,9
5,5096657,7725,10
5,5110501,8496,11
5,6218821,9274,12
5,4179062,6180,8
5,4003438,6184,8
5,5147701,7726,10
5,8020818,11585,15
5,1569129,2324,3
5,2334469,3866,5
5,3720273,6185,8
5,3070030,5414,7
5,1591952,3096,4
5,2206896,3866,5
5,2563556,4636,6
5,7466487,10812,14
5,5673430,8499,11
5,1034435,1553,2
5,4055378,6180,8
5,3710369,6181,8
5,2074642,3092,4
5,2032192,3865,5
5,6342668,9271,12
5,2526229,3870,5
5,1550871,2320,3
5,1737187,3092,4
5,1684396,3093,4
5,2397657,3865,5
5,1351478,2320,3
5,2656331,3865,5
5,5819406,9265,12
5,7229815,11581,15
5,4935145,7724,10
5,3727772,5407,7
5,8083489,12352,16
5,2276310,3866,5
5,2929650,5410,7
5,3944543,6959,9
5,3737160,6184,8
5,1617165,3091,4
5,3404015,6184,8
5,3094260,5410,7
5,1940739,3867,5
5,2609212,4639,6
5,2075622,3867,5
5,2884199,4637,6
5,5016492,8500,11
5,3175828,4639,6
5,2242028,3869,5
5,2128307,3869,5
5,2871322,4637,6
5,2422973,4637,6
5,1663855,3094,4
5,1047340,1551,2
5,1585489,2324,3
5,1153031,2322,3
5,2776590,4637,6
5,380793,778,1
5,372140,778,1
5,370802,778,1
5,1325848,2324,3
5,3693887,5414,7
5,4770587,6958,9
5,3670967,5415,7
5,4621754,6953,9
5,4182392,7725,10
5,4607645,8496,11
5,2501480,4636,6
5,4046356,6955,9
5,6548418,9268,12
5,3081220,4642,6
5,5296926,7723,10
5,967054,1549,2
5,1264011,2322,3
5,1145643,2322,3
5,752272,1551,2
5,1142362,2322,3
5,746893,1549,2
5,1183241,2324,3
5,746524,1549,2
5,744730,1549,2
5,1161937,2324,3
5,2103078,3871,5
5,6419989,9273,12
5,6033460,10044,13
5,6992278,10045,13
5,8329152,12357,16
5,4229483,6180,8
5,1039925,1550,2
5,850754,1554,2
5,3684751,5411,7
5,2924832,4635,6
5,4777376,6953,9
5,1010267,1552,2
5,760203,1552,2
5,2066868,3093,4
5,3480229,5407,7
5,1847607,3095,4
5,1726498,3093,4
5,748569,1548,2
5,919099,1549,2
5,751735,1549,2
5,766478,1551,2
5,752609,1549,2
5,3736637,5413,7
5,4276556,6183,8
5,5524254,8497,11
5,3155875,5414,7
5,3196396,4644,6
5,5192076,7729,10
5,6877266,11586,15
5,3099072,4636,6
5,762414,1549,2
5,349389,777,1
5,2133659,3093,4
5,1765010,3091,4
5,1537632,3091,4
5,753790,1548,2
5,2129977,3094,4
5,4425607,6952,9
5,3187164,4636,6
5,2538407,3867,5
5,1671201,3095,4
5,4258756,6183,8
5,2095446,3095,4
5,753132,1549,2
5,3100732,4638,6
5,3517982,5411,7
5,3484702,5412,7
5,1541926,2322,3
5,1783412,3094,4
5,1725981,3093,4
5,1864381,3091,4
5,2472943,4635,6
5,2316991,4635,6
5,2387691,3867,5
5,1154339,2320,3
5,2216635,3865,5
5,1044056,1549,2
5,2090463,3094,4
5,2357155,3866,5
5,4106291,6184,8
5,1507517,2323,3
5,2005373,3097,4
5,1245596,2321,3
5,1825642,3092,4
5,1540970,3092,4
5,1526008,3092,4
5,1527241,3092,4
5,3175502,4639,6
5,2467894,4639,6
5,3819108,6184,8
5,7985406,11587,15
5,5018408,7736,10
5,2057815,3094,4
5,1551879,3094,4
5,1647000,3092,4
5,1382424,2323,3
5,784020,1550,2
5,1576377,3094,4
5,3193199,4639,6
5,1704612,3091,4
5,3141963,4636,6
5,3304637,5411,7
5,4496839,6956,9
5,9175651,13132,17
5,4922431,7730,10
5,15575503,21623,28
5,5938028,8502,11
5,8444355,12359,16
5,4811849,6958,9
5,5480229,8500,11
5,1944195,3100,4
5,2105438,3094,4
5,2122828,3873,5
5,3457370,5412,7
5,2406340,4641,6
5,2273366,3867,5
5,1937637,3867,5
