OMNIKDTREE,EUCLIDEAN,RANDOM,2,10950,118678
k,time,count,disk
5,2384565,3097,4
5,773409,1554,2
5,1971326,3092,4
5,2097291,3095,4
5,1345621,2323,3
5,533618,778,1
5,1657443,2321,3
5,2714399,3866,5
5,1570753,2321,3
5,1471554,2325,3
5,3951648,5411,7
5,1617999,2322,3
5,2496332,3868,5
5,4158963,6185,8
5,2358192,3866,5
5,3335974,4639,6
5,2705850,3870,5
5,4742809,6954,9
5,3266837,4637,6
5,3766235,5412,7
5,2588151,3864,5
5,1541237,2325,3
5,1612648,2322,3
5,2563239,3868,5
5,2191717,3098,4
5,1025038,1549,2
5,750390,1549,2
5,830648,1549,2
5,1328220,2322,3
5,781285,1551,2
5,2382525,3866,5
5,1673777,3095,4
5,1051025,1553,2
5,5477390,7725,10
5,2082462,3094,4
5,1494473,2323,3
5,1427185,2321,3
5,1138342,2321,3
5,1683194,3092,4
5,1533373,2323,3
5,2030989,3091,4
5,1567425,3091,4
5,1824843,3091,4
5,1364433,2323,3
5,7242047,10045,13
5,4961339,6952,9
5,1649714,2327,3
5,1851012,3097,4
5,868931,1548,2
5,1593308,3097,4
5,4938059,6956,9
5,3789423,5408,7
5,4344569,6187,8
5,3079861,5412,7
5,355409,778,1
5,367067,778,1
5,1637367,2323,3
5,1144734,2323,3
5,4608275,6956,9
5,3227588,4637,6
5,3042160,4639,6
5,6986863,10042,13
5,3220831,4637,6
5,5433409,7725,10
5,4644286,6956,9
5,4680242,6952,9
5,4412670,6186,8
5,3575869,5416,7
5,5670100,8503,11
5,3317447,4642,6
5,2169545,3092,4
5,1919881,3097,4
5,1241763,2325,3
5,870414,1551,2
5,1250548,2323,3
5,2210785,3868,5
5,1221676,2325,3
5,1180346,2325,3
5,892351,1551,2
5,3125271,4640,6
5,3288121,4635,6
5,4104422,6182,8
5,2556211,3869,5
5,1391793,2321,3
5,1165170,2321,3
5,1554159,2323,3
5,1702819,3094,4
5,1201140,2323,3
5,2859000,4640,6
5,1365534,2321,3
5,2077580,3097,4
5,2734008,3868,5
5,3264747,4637,6
5,1013983,1548,2
5,3262644,4644,6
5,4389503,6181,8
5,2168223,3092,4
5,2740802,4637,6
5,2361562,3865,5
5,3052876,4641,6
5,2412789,3866,5
5,1808046,3099,4
5,2709153,3865,5
5,2188699,3099,4
5,4394426,6182,8
5,2148747,3100,4
5,4324070,6179,8
5,4975334,6956,9
5,2555356,3871,5
5,406233,778,1
5,1722940,3094,4
5,3291962,4639,6
5,4119261,6184,8
5,5884589,8506,11
5,4426385,6957,9
5,2187912,3095,4
5,1645710,3095,4
5,2924235,4641,6
5,879887,1549,2
5,2753886,3864,5
5,2388382,3866,5
5,4336108,6178,8
5,4924675,6955,9
5,4377687,6183,8
5,4008688,5409,7
5,1628147,2326,3
5,2996353,4637,6
5,4364296,6178,8
5,4946018,6955,9
5,1648799,2325,3
5,2940100,4640,6
5,1636158,2322,3
5,2995151,4640,6
5,883387,1552,2
5,3089705,4640,6
5,5816525,8501,11
5,4425103,6186,8
5,5431753,7727,10
5,1073631,1552,2
5,4216749,6185,8
5,3137041,4641,6
5,1087717,1554,2
5,3047656,4642,6
5,3324385,4637,6
5,3155077,4641,6
5,2715112,3866,5
5,2030543,3098,4
5,2644771,3867,5
5,1998250,3096,4
5,2561994,3866,5
5,3314218,4645,6
5,3134929,4642,6
5,4056734,6182,8
5,4651477,6960,9
5,2736200,3874,5
5,10140061,13904,18
5,2068088,3101,4
5,2936433,4643,6
5,2294749,3872,5
5,1779797,3096,4
5,1825655,3101,4
5,3306739,5412,7
5,5354211,7734,10
5,3132823,4646,6
5,3023999,4639,6
5,2187311,3095,4
5,941273,1549,2
5,3307802,4635,6
5,1082603,1549,2
5,1494891,2324,3
5,2299907,3869,5
5,3326013,5411,7
5,3475098,5412,7
5,1521087,2324,3
5,2739919,3868,5
5,1869817,3094,4
5,1739476,3094,4
5,2582023,3866,5
5,1528134,2323,3
5,1387049,2322,3
5,780420,1549,2
5,1648151,3094,4
5,4418501,6182,8
5,6692109,9274,12
5,3325299,4641,6
5,1640886,2322,3
5,3791913,5411,7
5,3938278,6182,8
5,1451414,2322,3
5,2729705,3869,5
5,2159271,3092,4
5,1622846,3092,4
5,2604512,3868,5
5,389657,778,1
5,812409,1552,2
5,764114,1552,2
5,758161,1552,2
5,1284425,2323,3
5,784124,1552,2
5,757966,1552,2
5,764555,1552,2
5,757779,1552,2
5,756139,1552,2
5,754624,1552,2
5,2212628,3098,4
5,1695583,3098,4
5,3310999,4641,6
5,7440587,10816,14
5,2209093,3095,4
5,1638290,2322,3
5,790522,1549,2
5,6308724,8501,11
5,6109484,8502,11
5,3353709,4637,6
