OMNIKDTREE,EUCLIDEAN,SSS,2,10950,280580
k,time,count,disk
5,1822221,2324,3
5,1074505,1553,2
5,1457625,2321,3
5,1694517,3092,4
5,1521711,3092,4
5,1520767,2325,3
5,2080687,3094,4
5,1640064,3092,4
5,1633338,3094,4
5,903494,1553,2
5,2665349,3868,5
5,2012374,3093,4
5,3159235,4636,6
5,1692556,3096,4
5,2013697,3092,4
5,2068693,3869,5
5,2970335,4640,6
5,2609756,3865,5
5,1782841,3094,4
5,3140199,4637,6
5,3717626,5411,7
5,3231241,5411,7
5,2113691,3092,4
5,2706139,4638,6
5,2129836,3092,4
5,440401,778,1
5,356710,778,1
5,1360008,2321,3
5,823715,1551,2
5,1137745,2321,3
5,1261685,2323,3
5,1147732,2323,3
5,396467,778,1
5,3269073,4637,6
5,916714,1549,2
5,1273218,2323,3
5,1140883,2323,3
5,759700,1551,2
5,1661425,3095,4
5,762286,1550,2
5,1777206,3092,4
5,1599282,3092,4
5,1179261,2321,3
5,1277802,2323,3
5,3236356,4644,6
5,7760066,10820,14
5,1382769,2324,3
5,2023220,3091,4
5,1556395,3091,4
5,2878512,4642,6
5,4724291,6955,9
5,4227666,6187,8
5,4280298,6182,8
5,1938203,3094,4
5,852868,1551,2
5,1114610,2325,3
5,1402725,2321,3
5,773950,1550,2
5,4815645,6957,9
5,2154337,3092,4
5,3168990,4644,6
5,6506664,9266,12
5,4321256,6185,8
5,5467938,7730,10
5,7459649,10816,14
5,4192449,6178,8
5,3273776,4636,6
5,1679158,3091,4
5,5039890,7732,10
5,2940781,3869,5
5,2716997,3867,5
5,879780,1552,2
5,1489607,2324,3
5,775351,1550,2
5,805111,1552,2
5,778195,1550,2
5,792994,1552,2
5,747484,1552,2
5,748030,1552,2
5,1654565,2321,3
5,790546,1551,2
5,1770769,3092,4
5,804785,1551,2
5,754149,1551,2
5,752124,1551,2
5,1654551,2323,3
5,1364805,2323,3
5,797091,1551,2
5,2440145,3865,5
5,1347141,2323,3
5,1053389,1551,2
5,4205503,5412,7
5,4268645,6189,8
5,2909823,3869,5
5,5501125,7726,10
5,3441607,4641,6
5,2170741,3097,4
5,3375720,5416,7
5,2010619,3097,4
5,4043732,6184,8
5,3098481,4641,6
5,2724984,4639,6
5,1889505,3092,4
5,2710179,3869,5
5,4569409,6181,8
5,3178080,4636,6
5,5658456,7729,10
5,5674896,7730,10
5,2503223,3864,5
5,1315166,2323,3
5,1287065,2323,3
5,1823692,2325,3
5,3880830,6188,8
5,7199224,10050,13
5,6037229,8502,11
5,2736843,3869,5
5,1691716,3098,4
5,3482623,5412,7
5,2401031,3868,5
5,1076814,1549,2
5,1534429,2323,3
5,3046838,4641,6
5,2493932,3871,5
5,3183459,4641,6
5,4966975,6958,9
5,3609271,4637,6
5,4046974,6184,8
5,2689155,3870,5
5,5493708,7730,10
5,1651864,2327,3
5,1330972,2326,3
5,2182094,3091,4
5,3045642,4640,6
5,2188537,3869,5
5,2337464,3871,5
5,3608151,5410,7
5,3242857,4636,6
5,4664744,6957,9
5,1637395,2327,3
5,2385674,3866,5
5,2696655,4637,6
5,1630568,2323,3
5,1952430,3095,4
5,3804900,5410,7
5,1574552,2323,3
5,2094076,3095,4
5,1805077,3094,4
5,1502265,2325,3
5,1742976,3096,4
5,943428,1550,2
5,3805557,5413,7
5,3168103,4637,6
5,5144152,7729,10
5,6531006,9268,12
5,3258067,4636,6
5,7741118,10814,14
5,2083741,3097,4
5,1739566,3098,4
5,3366531,5413,7
5,2375775,3869,5
5,1770520,3098,4
5,1726989,3096,4
5,4532188,6955,9
5,2306481,3867,5
5,1701209,3098,4
5,1911234,3092,4
5,1843680,3095,4
5,4929470,6957,9
5,2176560,3092,4
5,2174892,3091,4
5,2435669,3870,5
5,2321095,3870,5
5,783140,1550,2
5,1181043,2327,3
5,2186940,3091,4
5,1514691,2322,3
5,803150,1548,2
5,1765365,3093,4
5,804356,1551,2
5,747430,1551,2
5,755869,1551,2
5,1272806,2322,3
5,4417802,6187,8
5,1631439,2324,3
5,3112743,4639,6
5,3762619,5411,7
5,6205438,9271,12
5,4832231,6958,9
5,2734717,3868,5
5,5272697,7731,10
5,6076801,7727,10
5,2600196,3867,5
5,3277217,4639,6
5,433413,778,1
5,1376268,2328,3
5,1749820,3099,4
5,798257,1548,2
5,1606106,3099,4
5,764810,1554,2
5,741180,1554,2
5,1178532,2328,3
5,770614,1554,2
5,748809,1554,2
5,1720004,3099,4
5,2186178,3095,4
5,2147842,3868,5
5,4825266,6955,9
5,4994676,7726,10
5,3837753,5412,7
5,1629660,2324,3
5,775089,1550,2
5,4397717,6183,8
5,3938819,6185,8
5,2741498,3869,5
5,1079336,1550,2
5,751422,1550,2
5,3276326,4641,6
5,3268592,4641,6
5,1942430,3091,4
5,3206104,4639,6
5,1922542,3096,4
5,961229,1550,2
5,757627,1550,2
5,1437214,2323,3
5,392020,778,1
5,2745722,3866,5
5,2165139,3092,4
5,4151854,6187,8
5,2525458,3872,5
5,2556765,3866,5
5,4099468,6185,8
5,3822499,6185,8
5,3846946,5407,7
5,1381215,2322,3
5,1167152,2322,3
5,540865,778,1
5,1234369,2322,3
5,766348,1551,2
5,752849,1551,2
5,2201298,3094,4
5,4930990,7731,10
5,4999858,6962,9
5,3306203,4642,6
5,1905825,3094,4
5,2753610,3872,5
5,1076518,1550,2
5,919165,1554,2
5,3248407,4640,6
5,3774448,5414,7
5,2661501,3867,5
5,1624918,2321,3
5,775957,1550,2
5,2010293,3098,4
5,1610743,3098,4
5,2644168,4642,6
5,2344980,3869,5
5,2144526,3096,4
5,2368401,3869,5
5,2046426,3094,4
5,1078709,1552,2
5,907984,1550,2
5,2564112,3871,5
5,5932258,8504,11
5,3164348,4639,6
5,1850536,3098,4
5,2347713,3868,5
5,1365704,2323,3
5,1671174,3095,4
5,1572139,3095,4
5,1583117,3095,4
5,1070888,1552,2
5,746646,1552,2
5,2346640,3871,5
5,3795139,5407,7
5,1447425,2324,3
5,1042412,1550,2
5,897357,1554,2
5,1225222,2326,3
5,770530,1550,2
5,1356377,2326,3
5,790283,1550,2
5,2189041,3092,4
5,2025397,3101,4
5,2749535,3870,5
5,2046077,3097,4
5,3009964,4640,6
5,6629619,9278,12
5,5389057,7725,10
5,11087467,15448,20
5,3792074,5410,7
5,4822614,6956,9
5,3270778,4642,6
5,2985171,4642,6
5,2148311,3098,4
5,2142639,3098,4
5,1498030,2321,3
5,899272,1549,2
5,760091,1549,2
5,1403092,2322,3
5,761173,1551,2
5,1319000,2323,3
5,771446,1551,2
5,747584,1551,2
5,2428401,3869,5
5,841864,1551,2
5,1084794,1549,2
5,913820,1551,2
5,3433350,5412,7
5,2893415,4638,6
5,2350154,3869,5
5,1753098,3094,4
5,1296301,2325,3
5,1207316,2323,3
5,1617903,3098,4
5,2160486,3869,5
5,1660074,3096,4
5,1577457,3096,4
5,1199775,2325,3
5,1207848,2324,3
5,1083292,1554,2
5,4273924,6187,8
5,815953,1554,2
5,745552,1554,2
5,1844784,3096,4
5,403593,778,1
5,1182682,2325,3
5,3296961,4639,6
5,7535762,10819,14
5,2515049,3867,5
5,4776027,6958,9
5,4916995,6954,9
5,3264620,4637,6
5,4390798,6955,9
5,3861822,5408,7
5,5446955,7732,10
5,1567263,2324,3
5,1845719,3098,4
5,933007,1548,2
5,753389,1548,2
5,755407,1548,2
5,2859327,4641,6
5,2626233,4641,6
5,2191019,3870,5
5,2443630,3870,5
5,2883492,4637,6
5,7353020,10811,14
5,4950858,6955,9
5,1978138,3092,4
5,1082355,1549,2
5,2166295,3092,4
5,2051725,3092,4
5,1408785,2321,3
5,1777853,3094,4
5,774981,1549,2
5,1711582,3096,4
5,1867362,3092,4
5,809391,1549,2
5,1641006,3092,4
5,2113289,3092,4
5,2733663,3867,5
5,1770387,3098,4
5,3021238,4640,6
5,403435,777,1
5,834844,1553,2
5,367893,777,1
5,365466,777,1
5,894482,1549,2
5,377035,777,1
5,905917,1551,2
5,1345467,2323,3
5,2858173,4640,6
5,472533,778,1
5,372163,778,1
5,367765,778,1
5,850875,1549,2
5,378753,778,1
5,369187,778,1
5,371004,778,1
5,1001870,1549,2
5,1192653,2322,3
5,1230957,2323,3
5,1168386,2323,3
5,1161665,2323,3
5,2777336,3867,5
5,454568,778,1
5,388587,778,1
5,1400103,2323,3
5,857916,1549,2
5,3216934,4636,6
5,2703046,3867,5
5,2200093,3095,4
5,3284245,4639,6
5,2648490,3864,5
5,2749229,3867,5
5,2330479,3867,5
5,2205178,3867,5
5,2060259,3867,5
5,772735,1552,2
5,753447,1552,2
5,1652289,2325,3
5,1162739,2325,3
5,1739417,3092,4
5,855185,1552,2
5,1758841,3098,4
5,1218469,2321,3
5,1320240,2323,3
5,5332134,7727,10
5,1091691,1549,2
5,1826104,3094,4
5,2725596,3869,5
5,2008932,3096,4
5,402206,778,1
5,3818086,5410,7
5,1382619,2322,3
5,3337370,4637,6
5,1973471,3101,4
5,1643566,3101,4
5,2138804,3100,4
5,2181230,3092,4
5,3973771,6190,8
5,1094708,1552,2
5,1318354,2323,3
5,2287718,3867,5
5,834582,1548,2
5,765273,1548,2
5,1783202,3094,4
5,1232962,2323,3
5,782133,1552,2
5,1164427,2323,3
5,764541,1548,2
5,5564537,7730,10
5,1381175,2321,3
5,1446016,2327,3
5,1631356,2325,3
5,1900314,3095,4
5,2414243,3868,5
5,1282422,2327,3
5,1401868,2321,3
5,1637067,2322,3
5,3424397,5411,7
5,2034577,3094,4
5,4370200,6185,8
5,2752689,3873,5
5,3775391,5415,7
5,3460132,5410,7
5,3501375,5419,7
5,3309340,4641,6
5,3125848,4637,6
5,2170290,3092,4
5,3844764,5415,7
5,3336792,4640,6
5,2166903,3092,4
5,2641255,3866,5
5,1832624,3092,4
5,1618538,2321,3
5,793493,1549,2
5,1894395,3097,4
5,3244303,4636,6
5,5697457,8499,11
5,992065,1549,2
5,756775,1549,2
5,755450,1549,2
5,759363,1549,2
5,1872922,3092,4
5,1625940,3092,4
5,766735,1549,2
5,1117721,1551,2
5,768703,1551,2
5,763775,1551,2
5,1654414,2324,3
5,2131504,3094,4
5,1325633,2321,3
5,2205941,3867,5
5,1884261,3096,4
5,1853856,3096,4
5,784081,1551,2
5,931200,1549,2
5,756640,1549,2
5,759824,1549,2
5,761603,1549,2
5,378291,778,1
5,849219,1551,2
5,1162992,2322,3
5,1259075,2322,3
5,1181086,2322,3
5,554899,778,1
5,1490909,2327,3
5,791823,1554,2
5,768463,1554,2
5,1201343,2327,3
5,2075967,3092,4
5,1600837,3092,4
5,393774,778,1
5,373569,778,1
5,372986,778,1
5,371396,778,1
5,804488,1549,2
5,761284,1549,2
5,2780626,3873,5
5,3165153,4636,6
5,3237542,4639,6
5,1055102,1549,2
5,2958306,4639,6
5,2214665,3101,4
5,2653745,3869,5
5,1352592,2325,3
5,1830432,3094,4
5,1639716,2324,3
5,6697040,9273,12
5,4349896,6189,8
5,3919414,5415,7
5,5011848,6959,9
5,5587036,7730,10
5,1080257,1549,2
5,763134,1549,2
5,766114,1549,2
5,1864029,3092,4
5,2070333,3098,4
5,375243,778,1
5,372440,778,1
5,2867573,4640,6
5,4943904,7726,10
5,2002499,3094,4
5,405728,778,1
5,372865,778,1
5,373609,778,1
5,1374902,2321,3
5,1158119,2321,3
5,1182411,2321,3
5,787619,1550,2
5,773222,1549,2
5,552080,778,1
5,2211699,3096,4
5,1347366,2320,3
5,5365702,7724,10
5,1044483,1552,2
5,1736053,3091,4
5,1657266,3091,4
5,5559090,7726,10
5,546529,778,1
5,2036638,3097,4
5,1903513,3092,4
5,1964266,3096,4
5,1665612,3096,4
5,1671941,3096,4
5,916645,1550,2
5,1194569,2323,3
5,1153405,2323,3
5,1666201,2322,3
5,4488828,6185,8
5,1614233,2324,3
5,3159329,4641,6
5,2114233,3095,4
5,920019,1549,2
5,772306,1549,2
5,934590,1553,2
5,1192463,2324,3
5,769108,1549,2
5,933937,1549,2
5,3352508,4642,6
5,3884105,5416,7
5,1399437,2322,3
5,3702858,5410,7
5,4543874,6187,8
5,2736270,3869,5
5,4004681,6189,8
