OMNIKDTREE,EUCLIDEAN,CONVEX,3,2995,201094
k,time,count,disk
5,2891351,3626,17
5,2757541,4048,19
5,20376152,26780,126
5,1962398,2988,14
5,5144829,7659,36
5,2612385,3624,17
5,1546228,2141,10
5,2275218,3409,16
5,1502741,2136,10
5,3822427,5746,27
5,1803609,2556,12
5,1234861,1927,9
5,1603578,2352,11
5,6946018,9787,46
5,6867392,9785,46
5,8633136,11911,56
5,5155881,7235,34
5,3650540,5751,27
5,8394433,11906,56
5,12472014,17012,80
5,4315941,5955,28
5,11563098,15731,74
5,2960906,4048,19
5,7531046,10429,49
5,5722072,8084,38
5,6416759,8736,41
5,3086821,4259,20
5,7863273,11063,52
5,2479057,3623,17
5,5056089,7025,33
5,7434149,10428,49
5,2776895,3834,18
5,2742673,3836,18
5,2864209,4046,19
5,5010113,7031,33
5,2630912,3834,18
5,3212676,4478,21
5,6408149,8938,42
5,4806155,7024,33
5,9194693,12761,60
5,3474220,4895,23
5,4839703,6813,32
5,6039287,8088,38
5,2994092,4272,20
5,1514041,2130,10
5,5707386,8306,39
5,2224275,3195,15
5,4915879,6815,32
5,13000366,17862,84
5,926948,1288,6
5,9650143,13403,63
5,2917322,4051,19
5,2782646,3837,18
5,2344649,3404,16
5,5506834,7663,36
5,5262879,7448,35
5,3384203,4691,22
5,18412850,25083,118
5,1584226,2137,10
5,11665325,15946,75
5,875905,1280,6
5,1565534,2135,10
5,3030585,4258,20
5,1154698,1707,8
5,302769,433,2
5,4522282,6175,29
5,4596941,6388,30
5,5971446,8721,41
5,4197439,6176,29
5,1557267,2132,10
5,3984685,5534,26
5,1512151,2344,11
5,11754508,16374,77
5,2768072,3831,18
5,7887529,10853,51
5,1045357,1497,7
5,1228435,1707,8
5,1475109,2132,10
5,1830939,2556,12
5,6943841,9788,46
5,2699203,3407,16
5,8417186,11911,56
5,6707923,9147,43
5,1857942,2563,12
5,5541413,7659,36
5,1783520,2566,12
5,1605687,2343,11
5,2326295,3208,15
5,5675104,8092,38
5,1570872,2351,11
5,6167794,8513,40
5,618564,860,4
5,8643005,11913,56
5,5306822,7238,34
5,10322124,14681,69
5,8804050,12130,57
5,10573899,14039,66
5,8650143,11907,56
5,956646,1290,6
5,9760450,13185,62
5,11385697,15307,72
5,7726150,10641,50
5,4656420,6389,30
5,5140376,7030,33
5,9254729,12764,60
5,9889062,13608,64
5,9403493,12765,60
5,7323204,10002,47
5,9134285,12337,58
5,8759706,11913,56
5,6409892,8505,40
5,11361159,15731,74
5,8007408,10639,50
5,2758783,3837,18
5,2260537,3192,15
5,19057185,25932,122
5,5283218,7026,33
5,1484697,2136,10
5,19758845,26356,124
5,6579569,8935,42
5,8345560,11482,54
5,8668952,11910,56
5,18992184,25508,120
5,6225390,8299,39
5,4089000,5965,28
5,4676884,6388,30
5,8697387,11906,56
5,2915551,4050,19
5,10712990,14247,67
5,1326904,1921,9
5,7365921,10219,48
5,4966291,7031,33
5,10613103,14671,69
5,7192935,10000,47
5,6671799,9362,44
5,10527147,14461,68
5,3621531,5119,24
5,2542301,3626,17
5,2942107,4258,20
5,7872178,10853,51
5,2008771,2985,14
5,1395568,1926,9
5,5533877,7873,37
5,1556851,2136,10
5,4748078,6610,31
5,621084,856,4
5,5559059,7660,36
5,5426518,7450,35
5,1405935,1925,9
5,2341275,3192,15
5,2430275,3412,16
5,7490076,9998,47
5,10140546,13608,64
5,6891746,9362,44
5,5057543,7233,34
5,307706,431,2
5,2480490,3411,16
5,3358326,4686,22
5,10066428,14244,67
5,6381342,8722,41
5,7364563,10217,48
5,1277095,1922,9
5,5000647,6813,32
5,1586495,2348,11
5,2018721,2768,13
5,9607011,13185,62
5,1528582,2132,10
5,2737579,3833,18
5,1381167,1920,9
5,1738084,2772,13
5,8936144,12126,57
5,2043986,2777,13
5,12376689,16803,79
5,963825,1283,6
5,3511358,4691,22
5,7972416,11065,52
5,3736270,5108,24
5,1019754,1705,8
5,3055194,4684,22
5,1576244,2132,10
5,2064507,2988,14
5,7528187,9790,46
5,2813870,3836,18
5,10321726,14033,66
5,16427608,22109,104
5,8708647,11699,55
5,1658931,2345,11
5,10843155,14693,69
5,2057611,2777,13
5,2020894,2773,13
5,3906333,5318,25
5,10860828,14885,70
5,1757392,2343,11
5,7991844,10853,51
5,8151663,11065,52
5,9734211,13186,62
5,1062097,1500,7
5,10962339,14881,70
5,11623463,15102,71
5,5694060,7873,37
5,8955184,12130,57
5,3640932,4908,23
5,7066881,9580,45
5,630459,856,4
5,6681031,9152,43
5,13783365,18710,88
5,2054922,2777,13
5,8946321,12554,59
5,3423637,4690,22
5,11276272,15307,72
5,1691719,2346,11
5,1439626,1927,9
5,7683315,10641,50
5,17437684,23386,110
5,3256614,4471,21
5,1750113,2347,11
5,3044148,4266,20
5,8287623,11274,53
5,2187324,2982,14
5,4845186,6809,32
5,5021733,6812,32
5,1921504,2984,14
5,6913027,9358,44
5,4808843,6805,32
5,626930,856,4
5,4872062,6171,29
5,9770905,13185,62
5,1050474,1500,7
5,8526321,11699,55
5,5260710,7661,36
5,3143030,4262,20
5,1214035,1710,8
5,5368180,7444,35
5,9778113,13608,64
5,5057889,7025,33
5,12178189,16385,77
5,8198919,11063,52
5,19378387,25932,122
5,1584388,2136,10
5,3204826,4474,21
5,8130173,10853,51
5,9850180,13189,62
5,8275856,10845,51
5,8694080,11699,55
5,5099077,6809,32
5,13862265,18498,87
5,3069604,4049,19
5,625575,860,4
5,2420650,3621,17
5,1896702,2555,12
5,3296940,4473,21
5,6785348,9360,44
5,5472846,7663,36
5,2773385,4048,19
5,6792892,9152,43
5,1981978,2777,13
5,603599,855,4
5,2003931,2768,13
5,8802745,11698,55
5,6932221,9575,45
5,4384559,5957,28
5,1516930,2135,10
5,8291997,11487,54
5,1939298,2559,12
5,1881950,2556,12
5,6428794,9153,43
5,5708380,7659,36
5,1962550,2774,13
5,1248271,1705,8
5,1214105,1919,9
5,8773395,11489,54
5,6491597,8938,42
5,5695000,7659,36
5,1602329,2132,10
5,1089973,1495,7
5,2581058,3622,17
5,4696376,6810,32
5,6990784,9574,45
5,3178491,4260,20
5,6954764,9364,44
5,8266830,11282,53
5,10259669,14037,66
5,1561401,2136,10
5,9751741,13405,63
5,10640357,14042,66
5,2731512,3622,17
5,5511180,7659,36
5,10195525,13827,65
5,2069890,2774,13
5,4085590,5955,28
5,9198019,12337,58
5,1724966,2344,11
5,7031749,9792,46
5,1688200,2349,11
5,3798185,5116,24
5,10432724,14033,66
5,11643128,15744,74
5,6819977,9149,43
5,12338689,16374,77
5,1539723,2132,10
5,5998611,8082,38
