OMNIKDTREE,EUCLIDEAN,GNAT,3,2995,104098
k,time,count,disk
5,3710255,4263,20
5,3038747,4050,19
5,22445018,26993,127
5,2296896,2993,14
5,6675863,8734,41
5,2542897,3197,15
5,2330672,2989,14
5,3385790,4474,21
5,1310218,1709,8
5,5532748,7243,34
5,1851813,2347,11
5,1102256,1497,7
5,990772,1284,6
5,6994250,9148,43
5,8057092,10423,49
5,10153989,12765,60
5,5961049,7671,36
5,6820894,8734,41
5,8021480,10428,49
5,19922540,24661,116
5,7227678,8935,42
5,12567452,15526,73
5,5997044,7451,35
5,6064170,7671,36
5,7713164,10001,47
5,6408757,8309,39
5,4066396,5115,24
5,6593837,8525,40
5,2482904,3407,16
5,4063393,5117,24
5,8198073,10430,49
5,1338580,1709,8
5,4405979,5536,26
5,3347272,4261,20
5,4335585,5536,26
5,1754110,2348,11
5,4877797,5968,28
5,6187540,7876,37
5,4289571,5747,27
5,12042490,15106,71
5,4527573,5758,27
5,1436200,1921,9
5,2747580,3838,18
5,4176360,5557,26
5,2692246,3412,16
5,5766602,7456,35
5,2940479,3831,18
5,5405312,6812,32
5,10823420,13603,64
5,665040,856,4
5,9358350,11702,55
5,3247315,4053,19
5,5279132,6603,31
5,2846238,3624,17
5,2161617,2769,13
5,4215028,5544,26
5,3563351,4479,21
5,20546439,25085,118
5,1382521,1706,8
5,13590982,16800,79
5,968352,1282,6
5,1697291,2132,10
5,2554961,3201,15
5,769648,1070,5
5,165797,219,1
5,4990481,6390,30
5,5091669,6385,30
5,5602574,7450,35
5,5538408,7240,34
5,1886914,2354,11
5,5058475,6390,30
5,2110296,2984,14
5,12603837,15743,74
5,4099704,5113,24
5,9580768,11906,56
5,1560990,2135,10
5,858265,1070,5
5,2682277,3418,16
5,2923141,3626,17
5,5112659,6611,31
5,2520683,3206,15
5,8442442,10849,51
5,6171089,7661,36
5,4081326,5118,24
5,4062155,5112,24
5,2506276,3206,15
5,1882666,2566,12
5,2726160,3416,16
5,5430378,6820,32
5,1710782,2133,10
5,3868014,4904,23
5,1374659,1722,8
5,6161894,7882,37
5,5978448,7247,34
5,13024802,16168,76
5,8868428,10847,51
5,12602869,15525,73
5,7857959,9798,46
5,832732,1076,5
5,11212020,13400,63
5,12701703,15733,74
5,9852520,12127,57
5,4523213,5537,26
5,4236531,5326,25
5,11780131,14673,69
5,7447513,9371,44
5,12890791,15954,75
5,9360794,11481,54
5,8243456,10209,48
5,8856900,10845,51
5,6143828,7877,37
5,13763630,17014,80
5,8146102,10211,48
5,4371645,5557,26
5,3545450,4475,21
5,20938984,25933,122
5,5958970,7238,34
5,1016353,1281,6
5,21942188,26993,127
5,8987698,11062,52
5,8782673,10853,51
5,11193875,13613,64
5,20227023,24875,117
5,6791177,8300,39
5,4315752,5748,27
5,4615784,5750,27
5,9191818,11491,54
5,2592786,3407,16
5,11329036,13620,64
5,1320441,1709,8
5,4236505,5534,26
5,3282055,4688,22
5,11424461,14252,67
5,9530190,11912,56
5,4323735,5534,26
5,9376189,12126,57
5,5526587,6820,32
5,1844936,2352,11
5,4282443,5540,26
5,7537202,9361,44
5,4054676,5322,25
5,1208213,1507,7
5,3547215,4693,22
5,1303193,1709,8
5,2335163,2986,14
5,839692,1068,5
5,6992989,8935,42
5,4410292,5541,26
5,1360980,1705,8
5,1531167,1920,9
5,3634172,4704,22
5,7592219,9574,45
5,11199057,13829,65
5,8284511,10212,48
5,7065125,8935,42
5,421937,643,3
5,1921130,2139,10
5,4496071,5757,27
5,10194430,13187,62
5,2642584,3403,16
5,6941985,8735,41
5,1847435,2352,11
5,6529460,8088,38
5,1476383,1936,9
5,1379763,1711,8
5,10553937,13193,62
5,1668213,2132,10
5,3015419,3842,18
5,1705465,2137,10
5,2033099,2988,14
5,8725639,10845,51
5,1539456,1923,9
5,12991665,16379,77
5,2276220,2780,13
5,3631389,4479,21
5,9735510,12129,57
5,7584344,9367,44
5,835390,1077,5
5,4401609,5771,27
5,2568604,2990,14
5,2878434,3837,18
5,8734658,10854,51
5,3514204,4489,21
5,10921904,13611,64
5,15733566,19573,92
5,9786053,12124,57
5,2338599,2990,14
5,10920075,13617,64
