OMNIKDTREE,EUCLIDEAN,KMEDOIDS,3,2995,135180
k,time,count,disk
5,2514670,3198,15
5,5671197,8085,38
5,7822956,10634,50
5,1837538,2564,12
5,7785146,10644,50
5,6247865,8509,40
5,2152784,2990,14
5,1775300,2561,12
5,1355024,1928,9
5,6625537,9358,44
5,976554,1495,7
5,3107210,4469,21
5,1318713,2135,10
5,5138778,7230,34
5,6646136,9358,44
5,4052964,5535,26
5,4250527,5962,28
5,7307644,10221,48
5,3170327,4471,21
5,6261044,8511,40
5,3831441,5531,26
5,2972544,4051,19
5,6773350,9358,44
5,4532594,6174,29
5,2959154,4262,20
5,3414437,5119,24
5,2296097,3198,15
5,6055705,8299,39
5,1943973,2984,14
5,2150670,2987,14
5,3966081,5532,26
5,3710454,5113,24
5,4313268,6379,30
5,3708862,5111,24
5,2034517,2775,13
5,2295683,3196,15
5,754349,1073,5
5,4880273,6810,32
5,4407567,5955,28
5,9837150,13189,62
5,4758827,6596,31
5,4172807,5749,27
5,3336311,4681,22
5,4142270,5748,27
5,2314832,3204,15
5,6160019,8511,40
5,1398889,2135,10
5,3440380,4686,22
5,4627811,6403,30
5,423002,645,3
5,7259274,9996,47
5,1590848,2136,10
5,5623693,7660,36
5,3573632,4898,23
5,4953693,6811,32
5,4641072,6379,30
5,3733401,5127,24
5,9458616,13194,62
5,2453736,2983,14
5,11267590,15093,71
5,1886796,2567,12
5,1314717,1919,9
5,3115139,4272,20
5,770833,1071,5
5,154795,220,1
5,2470516,3408,16
5,4331586,5955,28
5,2157693,2988,14
5,4554485,6382,30
5,927567,1282,6
5,2975706,4259,20
5,903362,1498,7
5,8852677,12333,58
5,1876909,2555,12
5,7489412,10212,48
5,944795,1282,6
5,778974,1071,5
5,1558826,2138,10
5,1531284,2131,10
5,6153339,8723,41
5,1404022,1923,9
5,7038533,9579,45
5,4086737,5531,26
5,3413441,4697,22
5,3403228,4902,23
5,2316085,3417,16
5,1343717,1928,9
5,1222728,1704,8
5,2128966,3414,16
5,1868265,2565,12
5,4637447,6379,30
5,927898,1282,6
5,4779315,6601,31
5,6725310,9148,43
5,8044002,10844,51
5,7448923,10206,48
5,5231118,7023,33
5,4366655,5955,28
5,1738503,2348,11
5,2841982,3840,18
5,9551336,12974,61
5,1661471,2350,11
5,3561685,4688,22
5,4822452,6601,31
5,8800336,12340,58
5,4259234,5743,27
5,8061063,10844,51
5,7888940,10630,50
5,4395106,5961,28
5,3836026,5751,27
5,5593317,7877,37
5,2866736,3845,18
5,2804925,3408,16
5,5783010,7874,37
5,2056366,2778,13
5,7798908,10421,49
5,3328581,4682,22
5,1152014,1284,6
5,2887658,4257,20
5,5820170,7884,37
5,7394811,9996,47
5,9863690,13188,62
5,8129327,10845,51
5,3443313,4682,22
5,3339077,4685,22
5,2983409,4047,19
5,7389978,9995,47
5,1447469,2135,10
5,5528173,7446,35
5,1218773,1717,8
5,3542748,4907,23
5,4780363,6601,31
5,10225652,13826,65
5,6840127,9154,43
5,4761219,6601,31
5,9041228,12340,58
5,3748846,4691,22
5,3620653,4902,23
5,778575,1071,5
5,6252545,8722,41
