OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,3,2995,149255
k,time,count,disk
5,3380540,4263,20
5,2680866,4050,19
5,19277791,26993,127
5,1754798,2993,14
5,5474415,8734,41
5,2076428,3197,15
5,1907287,2989,14
5,2861640,4474,21
5,1076372,1709,8
5,4713914,7243,34
5,1506220,2347,11
5,934743,1497,7
5,792882,1284,6
5,5831395,9148,43
5,7008110,10423,49
5,8992933,12765,60
5,5007831,7671,36
5,5427749,8734,41
5,6876128,10428,49
5,16728142,24661,116
5,6233230,8935,42
5,11044431,15526,73
5,5396691,7451,35
5,5319393,7671,36
5,6589346,10001,47
5,5519290,8309,39
5,3557309,5115,24
5,5642827,8525,40
5,2155163,3407,16
5,3515431,5117,24
5,7196313,10430,49
5,1148764,1709,8
5,3842383,5536,26
5,2937812,4261,20
5,3768248,5536,26
5,1521329,2348,11
5,4290541,5968,28
5,5323771,7876,37
5,3682197,5747,27
5,10645231,15106,71
5,3977249,5758,27
5,1239208,1921,9
5,2308284,3838,18
5,3551255,5557,26
5,2403322,3412,16
5,4941469,7456,35
5,2500039,3831,18
5,4711832,6812,32
5,9504112,13603,64
5,543714,856,4
5,8266231,11702,55
5,2820626,4053,19
5,4561896,6603,31
5,2455350,3624,17
5,1854093,2769,13
5,3652150,5544,26
5,3292469,4479,21
5,17794671,25085,118
5,1144648,1706,8
5,11978818,16800,79
5,825021,1282,6
5,1491390,2132,10
5,2206880,3201,15
5,632233,1070,5
5,147681,219,1
5,4368100,6390,30
5,4479632,6385,30
5,5004046,7450,35
5,4716782,7240,34
5,1665699,2354,11
5,4479369,6390,30
5,1878963,2984,14
5,11024620,15743,74
5,3620242,5113,24
5,8386354,11906,56
5,1312979,2135,10
5,765348,1070,5
5,2311973,3418,16
5,2511645,3626,17
5,4499327,6611,31
5,2218470,3206,15
5,7292528,10849,51
5,5408435,7661,36
5,3600934,5118,24
5,3845181,5112,24
5,2170170,3206,15
5,1623109,2566,12
5,2417339,3416,16
5,4679997,6820,32
5,1486348,2133,10
5,3394435,4904,23
5,1193421,1722,8
5,5415400,7882,37
5,4986660,7247,34
5,11273717,16168,76
5,7674351,10847,51
5,11169133,15525,73
5,6875192,9798,46
5,732288,1076,5
5,9522046,13400,63
5,11096488,15733,74
5,8767619,12127,57
5,3931624,5537,26
5,3719474,5326,25
5,10276981,14673,69
5,6484530,9371,44
5,11314209,15954,75
5,8152183,11481,54
5,7338971,10209,48
5,7492632,10845,51
5,5727033,7877,37
5,12095731,17014,80
5,7184318,10211,48
5,3825394,5557,26
5,3033102,4475,21
5,18331829,25933,122
5,5208556,7238,34
5,890428,1281,6
5,19332179,26993,127
5,7726743,11062,52
5,7743780,10853,51
5,9701146,13613,64
5,18096639,24875,117
5,6008388,8300,39
5,3671821,5748,27
5,4058705,5750,27
5,8218408,11491,54
5,2195731,3407,16
5,9735411,13620,64
5,1120963,1709,8
5,3618973,5534,26
5,2830980,4688,22
5,10064648,14252,67
5,8275086,11912,56
5,3718652,5534,26
5,8120402,12126,57
5,5053970,6820,32
5,1635311,2352,11
5,3698971,5540,26
5,6618574,9361,44
5,3357309,5322,25
5,1052803,1507,7
5,3139233,4693,22
5,1145180,1709,8
5,2041752,2986,14
5,730407,1068,5
5,6065736,8935,42
5,3894608,5541,26
5,1159420,1705,8
5,1344761,1920,9
5,3166146,4704,22
5,6617593,9574,45
5,9983809,13829,65
5,7335459,10212,48
5,6071238,8935,42
5,368675,643,3
5,1507327,2139,10
5,4004162,5757,27
5,8828145,13187,62
5,2265778,3403,16
5,6001592,8735,41
5,1598372,2352,11
5,5933192,8088,38
5,1268256,1936,9
5,1213257,1711,8
5,9318029,13193,62
5,1460514,2132,10
5,2587825,3842,18
5,1493983,2137,10
5,1824149,2988,14
5,7675301,10845,51
5,1345915,1923,9
5,11531044,16379,77
5,1950936,2780,13
5,3215689,4479,21
5,8592035,12129,57
5,6715681,9367,44
5,678529,1077,5
5,3790464,5771,27
5,1954023,2990,14
5,2429589,3837,18
5,7749768,10854,51
5,3062079,4489,21
5,9546589,13611,64
5,13974976,19573,92
5,8564089,12124,57
5,1984186,2990,14
5,9689839,13617,64
5,1608567,2345,11
5,2024978,2989,14
5,4055879,5743,27
5,10107188,14474,68
5,465742,643,3
5,8323674,11703,55
5,4519961,6601,31
5,9415124,13188,62
5,1255340,1922,9
5,10451554,14886,70
5,10925062,15525,73
5,6003045,8722,41
5,9532035,13405,63
5,2746915,3844,18
5,6779734,9148,43
5,595784,858,4
5,3036452,4479,21
5,12583868,17655,83
5,1370780,1920,9
5,10651704,14889,70
5,4108317,6180,29
5,8440424,11907,56
5,1342290,1928,9
5,1199492,1708,8
5,6738110,9787,46
5,17643974,24449,115
5,1820678,2781,13
5,1361591,1930,9
5,2464956,3627,17
5,6904593,9358,44
5,1676271,2345,11
5,4457994,6397,30
5,3900770,5546,26
5,1522956,2576,12
5,6811176,9577,45
5,6213620,9152,43
5,1368206,1924,9
5,4855924,7021,33
5,9450701,12978,61
5,1318472,1922,9
5,7337735,10641,50
5,5195346,7880,37
5,2900504,4050,19
5,1032593,1497,7
5,6174464,8936,42
5,9771186,14463,68
5,4920637,7240,34
5,10296496,14465,68
5,4239775,6173,29
5,17833542,24663,116
5,1747112,2555,12
5,3494524,5111,24
5,5966861,8309,39
5,7783037,10846,51
5,7341746,10650,50
5,7835843,11063,52
5,2559107,3626,17
5,13169677,18500,87
5,2734559,4050,19
5,905188,1293,6
5,3775356,5751,27
5,2983877,4263,20
5,3563282,5131,24
5,7917119,11269,53
5,5455975,7658,36
5,2836729,4474,21
5,8722936,12134,57
5,2966651,4275,20
5,884747,1283,6
5,2534769,3627,17
5,6925588,9785,46
5,6060610,8733,41
5,4359854,6177,29
5,1647973,2350,11
5,4957961,7460,35
5,1361205,1935,9
5,1933037,2777,13
5,3348567,5115,24
5,4044153,5748,27
5,2696507,3840,18
5,725017,1077,5
5,1387698,2354,11
5,10408318,14679,69
5,5585389,7885,37
5,4905526,7036,33
5,1461408,2135,10
5,1505709,2137,10
5,3631249,5323,25
5,4605385,7025,33
5,6252452,8725,41
5,2092188,2991,14
5,8507357,12133,57
5,7042675,9570,45
5,11147852,15524,73
5,849386,1290,6
5,4309034,6172,29
5,9806276,14033,66
5,3150733,4479,21
5,4924409,7026,33
5,11071753,15316,72
5,2137092,2985,14
5,6855089,9997,47
5,10467517,14464,68
5,1866051,2774,13
5,7355700,10638,50
5,1887552,2779,13
5,2729315,3834,18
5,9951875,14041,66
5,11932338,16808,79
5,7032981,9789,46
5,11175886,15317,72
5,1585330,2348,11
5,7216140,9999,47
5,4548863,6816,32
5,11479578,15309,72
5,10346165,14676,69
5,9910629,13833,65
5,1153493,1709,8
5,4551493,6609,31
5,8912516,12980,61
5,4100099,5757,27
5,6604227,9146,43
5,5357002,7445,35
5,5763124,8092,38
5,2560288,3636,17
5,6263504,9147,43
5,8224954,12120,57
5,13952562,18729,88
5,2623746,3625,17
5,13504526,18712,88
5,8052000,11066,52
5,5558777,7671,36
5,4257277,6184,29
5,5605664,7875,37
5,8870300,13192,62
5,13229103,18504,87
5,4992835,7241,34
5,3258707,4680,22
5,6416973,9361,44
5,3996368,5534,26
5,2706760,3832,18
5,3259958,4693,22
5,12338048,17017,80
5,929565,1293,6
5,2553716,3844,18
5,5646809,7445,35
5,3989223,5541,26
5,2344940,3409,16
5,2585356,4261,20
5,2659118,3838,18
5,3569192,5322,25
5,11075781,15318,72
5,1777759,2560,12
5,2819091,4057,19
5,1083435,1707,8
5,883668,1498,7
5,11129951,15736,74
5,2409262,3412,16
5,6877189,9578,45
5,2035974,2992,14
5,3708569,5327,25
5,9110058,12553,59
5,6840412,9360,44
5,3911926,5964,28
5,2787308,4474,21
5,5411334,7875,37
5,7980920,11064,52
5,8145884,11481,54
5,2807037,4052,19
5,2054670,3208,15
5,3235858,4686,22
5,6954603,9571,45
5,11569552,15951,75
5,3311604,4686,22
5,1048302,1493,7
5,8728671,12338,58
5,6118413,8935,42
5,5000503,7664,36
5,9264659,12754,60
5,1151793,1706,8
5,2586351,3623,17
5,747633,1071,5
5,6315149,8945,42
5,2570060,3629,17
5,10192051,14674,69
5,8863805,12340,58
5,2805494,3625,17
5,5245442,7455,35
5,757344,1071,5
5,6099213,8512,40
5,4001804,6385,30
5,6562432,9997,47
5,2136633,2982,14
5,11492619,16168,76
5,2257563,3418,16
5,3235509,5117,24
5,1990369,2773,13
5,6722535,9574,45
5,4442068,6177,29
5,8724588,12341,58
5,3366556,4692,22
5,2441672,3409,16
5,1363350,1922,9
5,3714061,5337,25
5,2721047,3835,18
5,1439083,2131,10
5,4030860,5748,27
5,3375259,4917,23
5,11970760,16378,77
5,1237881,1713,8
5,611910,859,4
5,1791438,2561,12
5,8651095,11919,56
5,1179065,1714,8
5,12566638,17440,82
5,2986177,4262,20
5,3622339,5542,26
5,4875705,7234,34
5,3065264,4479,21
5,6926905,9571,45
5,16439344,22540,106
5,3424927,4685,22
5,2162932,2995,14
5,3853897,5540,26
5,2269381,3203,15
5,1356243,1926,9
5,4313705,6178,29
5,2132316,2988,14
5,7065235,9803,46
5,1675463,2345,11
5,1234110,1720,8
5,7014583,9999,47
5,6918516,9571,45
5,2120352,3197,15
5,1389792,1936,9
5,4282135,5966,28
5,1674058,2348,11
5,5739833,8091,38
5,5491741,8303,39
5,17141924,24026,113
5,2230366,3200,15
5,6719390,9785,46
5,3561972,5323,25
5,923486,1290,6
5,2973925,4263,20
5,1085794,1720,8
5,7499346,10422,49
5,6170072,8511,40
5,771585,1071,5
5,7420077,10433,49
5,7896995,11275,53
5,911208,1283,6
5,10927125,15527,73
5,5902704,8307,39
5,6929260,9574,45
5,1190044,1923,9
5,5844606,8514,40
5,3384910,5328,25
5,2964335,4049,19
5,10196726,14040,66
5,8996646,12763,60
5,4547403,6601,31
5,3811298,5337,25
5,5280459,7451,35
5,6234636,8725,41
5,3844380,5546,26
5,2859833,4052,19
5,304083,431,2
5,1634180,2350,11
5,8931627,12558,59
5,4020597,5539,26
5,6375074,9365,44
5,19316969,26360,124
5,4050676,5541,26
5,1053417,1709,8
5,3171077,4479,21
5,3450051,5537,26
5,2605300,3840,18
5,5630594,7876,37
5,2790314,4052,19
5,3146024,4475,21
5,2790213,3838,18
5,6984192,9574,45
5,9155683,12546,59
5,3880364,5549,26
5,10527287,14463,68
5,14108494,19560,92
5,15276597,20205,95
5,5451885,7450,35
5,2409013,3627,17
5,6046590,8512,40
5,1687211,2561,12
5,3255601,4691,22
5,8927730,12125,57
5,11514003,15946,75
5,1573164,2138,10
5,2399726,3416,16
5,2904444,4049,19
5,5713715,7885,37
5,16543475,22539,106
5,2842495,3837,18
5,1526932,2133,10
5,6198371,8950,42
5,3645652,5108,24
5,2500821,3422,16
5,7617430,10637,50
5,1442252,1709,8
5,7429332,10217,48
5,7976272,10851,51
5,9388366,12984,61
5,4865412,6813,32
5,1082270,1704,8
5,1472511,2347,11
5,8833872,11914,56
5,1509828,2149,10
5,2122378,2988,14
5,4467660,6382,30
5,1772880,2773,13
5,3057857,4687,22
5,2026271,2772,13
5,2668831,3835,18
5,1396169,2141,10
5,4610126,6390,30
5,7173911,9584,45
5,8138991,11059,52
5,5771300,7885,37
5,1030301,1497,7
5,994762,1498,7
5,3647638,5112,24
5,5109779,7249,34
5,5845817,8309,39
5,1586994,2137,10
5,3158897,4474,21
5,921207,1282,6
5,3651087,5534,26
5,5340117,8092,38
5,2002550,2772,13
5,2509134,3415,16
5,1931375,3203,15
5,15554474,21051,99
5,4174134,5548,26
5,4038380,5542,26
5,6164160,8520,40
5,4670900,6384,30
5,6098726,8302,39
5,3417348,4688,22
5,8852269,12125,57
5,1098246,1498,7
5,1341580,1919,9
5,1784610,2146,10
5,1216038,1720,8
5,7602191,10430,49
5,11625153,15971,75
5,3132877,4261,20
5,6523100,9364,44
5,8121026,11286,53
5,1705615,2559,12
5,2931371,4264,20
5,4561862,6811,32
5,5615375,7670,36
5,8965666,12763,60
5,10067859,13603,64
5,1584332,2350,11
5,6301004,8731,41
5,5723438,8096,38
5,4502691,6177,29
5,11693689,16378,77
5,5644681,7882,37
5,8298437,11492,54
5,5486847,7661,36
5,2392881,3624,17
5,1073679,1498,7
5,5556070,7666,36
5,4986642,6812,32
5,1973711,2779,13
5,8528075,11692,55
5,4317422,5965,28
5,16017306,21904,103
5,2273733,3213,15
5,6117694,8307,39
5,4604104,6393,30
5,1347007,2141,10
5,2431039,3421,16
5,1841659,2567,12
5,1462216,2354,11
5,5253871,7237,34
5,7126519,9783,46
5,5108250,7027,33
5,1751516,2778,13
5,9072881,12543,59
5,722012,1071,5
5,1545924,2347,11
5,1153716,1709,8
5,10938207,14468,68
5,3004932,4263,20
5,4164150,5757,27
5,9802954,13402,63
5,1744766,2573,12
5,13713542,18729,88
5,2804642,4056,19
5,7072856,9790,46
5,5411829,7445,35
5,3420790,4687,22
5,18064640,24445,115
5,10291702,13827,65
5,9172237,12558,59
5,1593047,1723,8
5,1821539,2560,12
5,1221712,1711,8
5,4864789,7026,33
5,1030557,1498,7
5,9638649,13402,63
5,156047,219,1
5,1532742,2133,10
5,3103988,4261,20
5,9355832,12977,61
