OMNIKDTREE,EUCLIDEAN,MAXVARIANCE,3,2995,289452
k,time,count,disk
5,3532158,4471,21
5,6993034,9993,47
5,7781582,11269,53
5,700343,1068,5
5,4393654,6171,29
5,7782950,10843,51
5,2014926,2772,13
5,2361881,3618,17
5,3615166,5103,24
5,7326674,10843,51
5,2077135,3618,17
5,7453233,10419,49
5,2019820,2981,14
5,7278881,10418,49
5,7570690,10844,51
5,6769997,9356,44
5,4785313,7019,33
5,4723186,6598,31
5,3699116,5750,27
5,8255631,11055,52
5,6051442,9143,43
5,4758554,6598,31
5,7080157,9993,47
5,5723850,7869,37
5,5212037,7869,37
5,3812266,5743,27
5,3157239,4471,21
5,7702153,10844,51
5,4319020,6381,30
5,3658521,5103,24
5,3504039,4894,23
5,6600295,9146,43
5,5652502,8506,40
5,1810011,2556,12
5,5239023,7232,34
5,5388278,7444,35
5,1817359,2556,12
5,7151366,10205,48
5,6422819,8931,42
5,7266972,9995,47
5,6121220,8506,40
5,5056958,7019,33
5,4298266,6170,29
5,4751743,6803,32
5,1059794,1493,7
5,6461033,9355,44
5,3678681,5743,27
5,1379341,1919,9
5,9005653,12333,58
5,1852284,2555,12
5,7552080,10843,51
5,1853049,2556,12
5,6672833,9355,44
5,3062095,4256,20
5,6825121,9993,47
5,6662460,9143,43
5,3388549,4685,22
5,11647469,16370,77
5,2510747,3406,16
5,9857590,13395,63
5,2794347,3830,18
5,2326941,3830,18
5,1389144,1919,9
5,2128940,2983,14
5,150869,220,1
5,4506289,6167,29
5,5385336,7655,36
5,2754106,3833,18
5,5995923,7870,37
5,1969271,2769,13
5,1667248,2344,11
5,847995,1495,7
5,8417872,11697,55
5,2268380,3193,15
5,6774380,9361,44
5,453306,643,3
5,1958731,2771,13
5,1956150,2769,13
5,1615005,2343,11
5,6878099,9993,47
5,1705112,2343,11
5,3936595,5743,27
5,4797086,6806,32
5,2125362,2984,14
5,6353651,8718,41
5,1913161,2772,13
5,1628033,2556,12
5,3108066,4254,20
5,3883444,5531,26
5,4153947,5746,27
5,6100525,8506,40
5,1554500,2131,10
