OMNIKDTREE,EUCLIDEAN,PCA,3,2995,49688
k,time,count,disk
5,2027831,2559,12
5,3873626,5535,26
5,8816136,12340,58
5,642726,1071,5
5,3529059,5106,24
5,3810268,5535,26
5,1600379,2347,11
5,1191383,1920,9
5,588991,857,4
5,3446479,5122,24
5,881784,1496,7
5,1974647,2987,14
5,921593,1494,7
5,5308251,8087,38
5,5363523,8508,40
5,5422200,7658,36
5,3149189,4476,21
5,2808311,4256,20
5,4857098,7023,33
5,8356697,11699,55
5,5064656,7872,37
5,8842836,12335,58
5,5254883,7448,35
5,4233990,5961,28
5,4656826,7243,34
5,3348604,5110,24
5,3708289,5324,25
5,5199779,7876,37
5,2040381,3200,15
5,2817023,4051,19
5,3456650,4896,23
5,1478014,2136,10
5,3723937,5324,25
5,3225757,4686,22
5,1155334,1706,8
5,947635,1496,7
5,1572836,2559,12
5,4616379,6811,32
5,3763262,5965,28
5,7780352,10851,51
5,2204279,3200,15
5,3626447,5324,25
5,3334974,4689,22
5,2889959,4481,21
5,1632173,2346,11
5,5272596,7877,37
5,2001926,2988,14
5,2340940,3407,16
5,5892389,8300,39
5,298206,431,2
5,6802906,9574,45
5,1366709,1920,9
5,4079740,6172,29
5,1308944,2134,10
5,5130103,7234,34
5,2954463,4263,20
5,1941689,2769,13
5,11205631,15731,74
5,899871,1281,6
5,10267319,14458,68
5,1447242,1711,8
5,1371869,1923,9
5,1952425,2775,13
5,1002963,1500,7
5,1495883,2139,10
5,2850135,4258,20
5,3283495,4688,22
5,1024130,1499,7
5,4118293,6385,30
5,1352909,1922,9
5,2603490,3833,18
5,913911,1497,7
5,8242976,11699,55
5,2397950,3410,16
5,6032162,8513,40
5,1125199,1710,8
5,1047251,1500,7
5,1304350,1924,9
5,1625944,2343,11
5,3429712,4901,23
5,1279387,1924,9
5,4674216,6809,32
5,4142224,5963,28
5,2820203,3838,18
5,2393114,3407,16
5,2212391,3196,15
5,1336812,2137,10
5,1188229,1711,8
5,3875953,5967,28
5,2913688,4472,21
5,3158237,4477,21
5,586826,857,4
5,4051394,5747,27
5,3381638,4904,23
5,6830736,9784,46
5,6376301,9573,45
5,7738490,10633,50
5,5671119,7875,37
5,587209,855,4
5,6060416,8513,40
5,10688640,15307,72
5,3757460,5106,24
5,3241221,4474,21
5,1706927,2558,12
5,7299223,10208,48
5,5731725,8516,40
5,7225681,9996,47
5,6159263,8932,42
5,3674928,5107,24
5,2985253,4475,21
5,4164793,6174,29
5,8524675,12128,57
5,3220052,4689,22
5,2661166,3421,16
5,2011636,2987,14
5,7756663,11065,52
5,3257783,5114,24
5,593620,862,4
5,7520727,10851,51
5,4189875,5748,27
5,5919078,8296,39
5,8307614,11485,54
5,8123061,11277,53
5,4758012,6814,32
5,3260531,5112,24
5,6059780,8301,39
5,6816569,9574,45
5,1335556,2138,10
5,5946629,8301,39
5,1061365,1493,7
5,1841523,2774,13
5,1694932,2558,12
5,10193247,14247,67
5,6589868,9576,45
5,4366284,6388,30
5,6029886,8935,42
5,4761479,6810,32
5,1847257,2565,12
5,2134293,3200,15
5,5397236,7659,36
5,1774435,2772,13
5,300312,431,2
5,3011807,4257,20
5,1189658,1717,8
5,1342621,1928,9
5,1350702,1711,8
5,5569288,8084,38
5,3000618,4258,20
5,1025583,1501,7
5,1039004,1494,7
5,2395379,3415,16
5,4944853,7451,35
5,6893917,9364,44
5,5731575,8084,38
5,5012337,7448,35
5,901846,1281,6
5,1520354,2133,10
5,2898977,4262,20
5,7674782,11482,54
5,3187293,4687,22
5,5288551,7668,36
5,826240,1284,6
5,3809079,5329,25
5,634769,1077,5
5,1475131,2137,10
5,4994365,7233,34
5,944085,1497,7
5,3345621,4684,22
5,1203437,1704,8
5,1181910,1920,9
